Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.9263623,116
"Nu: 0.0001, Gamma: 0.0001",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0001, Gamma: 0.05",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0001, Gamma: 0.1",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0001, Gamma: 0.2",22,1,1311,24,3.387334315,0,40,,,
"Nu: 0.0001, Gamma: 0.5",22,1,1084,251,20.10309278,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,22,380,955,70.39764359,0,40,,,
"Nu: 0.0001, Gamma: 0.9",1,22,138,1197,88.2179676,0,40,,,
"Nu: 0.0001, Gamma: 0.99",1,22,55,1280,94.32989691,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0002, Gamma: 0.05",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0002, Gamma: 0.1",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0002, Gamma: 0.2",22,1,1311,24,3.387334315,0,40,,,
"Nu: 0.0002, Gamma: 0.5",21,2,1110,225,18.11487482,0,40,,,
"Nu: 0.0002, Gamma: 0.7",23,0,564,771,58.46833579,0,40,,,
"Nu: 0.0002, Gamma: 0.9",23,0,358,977,73.6377025,0,40,,,
"Nu: 0.0002, Gamma: 0.99",14,9,344,991,74.00589102,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0003, Gamma: 0.005",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0003, Gamma: 0.05",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0003, Gamma: 0.1",23,0,1330,5,2.06185567,0,40,,,
"Nu: 0.0003, Gamma: 0.2",22,1,1311,24,3.387334315,0,40,,,
"Nu: 0.0003, Gamma: 0.5",20,3,1115,220,17.6730486,0,40,,,
"Nu: 0.0003, Gamma: 0.7",23,0,564,771,58.46833579,0,40,,,
"Nu: 0.0003, Gamma: 0.9",7,16,365,970,71.94403535,0,40,,,
"Nu: 0.0003, Gamma: 0.99",6,17,174,1161,85.93519882,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,23,0,1335,98.30633284,0,40,,,
