Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.91281604,421
"Nu: 0.0001, Gamma: 0.0001",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,1134,1,1.133391456,0,40,,,
"Nu: 0.0001, Gamma: 0.2",7,5,300,835,73.40889276,0,40,,,
"Nu: 0.0001, Gamma: 0.5",5,7,0,1135,99.38971229,0,40,,,
"Nu: 0.0001, Gamma: 0.7",6,6,28,1107,97.03574542,0,40,,,
"Nu: 0.0001, Gamma: 0.9",11,1,10,1125,99.04097646,0,40,,,
"Nu: 0.0001, Gamma: 0.99",11,1,7,1128,99.30252833,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,1134,1,1.133391456,0,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,111,1024,90.32258065,0,40,,,
"Nu: 0.0002, Gamma: 0.5",11,1,25,1110,97.73321709,0,40,,,
"Nu: 0.0002, Gamma: 0.7",9,3,16,1119,98.3435048,0,40,,,
"Nu: 0.0002, Gamma: 0.9",11,1,10,1125,99.04097646,0,40,,,
"Nu: 0.0002, Gamma: 0.99",11,1,7,1128,99.30252833,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,111,1024,90.32258065,0,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,29,1106,97.38448126,0,40,,,
"Nu: 0.0003, Gamma: 0.7",9,3,16,1119,98.3435048,0,40,,,
"Nu: 0.0003, Gamma: 0.9",12,0,7,1128,99.38971229,0,40,,,
"Nu: 0.0003, Gamma: 0.99",12,0,5,1130,99.56408021,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.0004, Gamma: 0.005",9,3,998,137,12.72885789,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,111,1024,90.32258065,0,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,23,1112,97.99476896,0,40,,,
"Nu: 0.0004, Gamma: 0.7",11,1,21,1114,98.08195292,0,40,,,
"Nu: 0.0004, Gamma: 0.9",12,0,14,1121,98.77942459,0,40,,,
"Nu: 0.0004, Gamma: 0.99",12,0,5,1130,99.56408021,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,1134,1,1.133391456,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,1134,1,1.133391456,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,1135,0,1.046207498,0,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,287,848,74.97820401,0,40,,,
