Features: 16,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",336,61,0,0,84.63476070528966,
"Nu: 0.05, Gamma: 0.0625",336,61,0,0,84.63476070528966,
"Nu: 0.05, Gamma: 0.1",304,49,32,12,79.59697732997482,
"Nu: 0.05, Gamma: 0.2",304,49,32,12,79.59697732997482,
"Nu: 0.05, Gamma: 0.5",336,61,0,0,84.63476070528966,
"Nu: 0.05, Gamma: 0.7",336,61,0,0,84.63476070528966,
"Nu: 0.05, Gamma: 0.9",336,61,0,0,84.63476070528966,
"Nu: 0.05, Gamma: 0.99",336,61,0,0,84.63476070528966,
"Nu: 0.0625, Gamma: 0.05",304,49,32,12,79.59697732997482,
"Nu: 0.0625, Gamma: 0.0625",304,49,32,12,79.59697732997482,
"Nu: 0.0625, Gamma: 0.1",304,49,32,12,79.59697732997482,
"Nu: 0.0625, Gamma: 0.2",304,49,32,12,79.59697732997482,
"Nu: 0.0625, Gamma: 0.5",304,49,32,12,79.59697732997482,
"Nu: 0.0625, Gamma: 0.7",304,49,32,12,79.59697732997482,
"Nu: 0.0625, Gamma: 0.9",304,49,32,12,79.59697732997482,
"Nu: 0.0625, Gamma: 0.99",304,49,32,12,79.59697732997482,
"Nu: 0.1, Gamma: 0.05",336,61,0,0,84.63476070528966,
"Nu: 0.1, Gamma: 0.0625",336,61,0,0,84.63476070528966,
"Nu: 0.1, Gamma: 0.1",304,49,32,12,79.59697732997482,
"Nu: 0.1, Gamma: 0.2",304,49,32,12,79.59697732997482,
"Nu: 0.1, Gamma: 0.5",336,61,0,0,84.63476070528966,
"Nu: 0.1, Gamma: 0.7",336,61,0,0,84.63476070528966,
"Nu: 0.1, Gamma: 0.9",336,61,0,0,84.63476070528966,
"Nu: 0.1, Gamma: 0.99",336,61,0,0,84.63476070528966,
"Nu: 0.2, Gamma: 0.05",336,61,0,0,84.63476070528966,
"Nu: 0.2, Gamma: 0.0625",304,49,32,12,79.59697732997482,
"Nu: 0.2, Gamma: 0.1",304,49,32,12,79.59697732997482,
"Nu: 0.2, Gamma: 0.2",304,49,32,12,79.59697732997482,
"Nu: 0.2, Gamma: 0.5",336,61,0,0,84.63476070528966,
"Nu: 0.2, Gamma: 0.7",336,61,0,0,84.63476070528966,
"Nu: 0.2, Gamma: 0.9",336,61,0,0,84.63476070528966,
"Nu: 0.2, Gamma: 0.99",304,49,32,12,79.59697732997482,
"Nu: 0.5, Gamma: 0.05",304,49,32,12,79.59697732997482,
"Nu: 0.5, Gamma: 0.0625",336,61,0,0,84.63476070528966,
"Nu: 0.5, Gamma: 0.1",336,61,0,0,84.63476070528966,
"Nu: 0.5, Gamma: 0.2",336,61,0,0,84.63476070528966,
"Nu: 0.5, Gamma: 0.5",304,49,32,12,79.59697732997482,
"Nu: 0.5, Gamma: 0.7",304,49,32,12,79.59697732997482,
"Nu: 0.5, Gamma: 0.9",304,49,32,12,79.59697732997482,
"Nu: 0.5, Gamma: 0.99",304,49,32,12,79.59697732997482,
"Nu: 0.7, Gamma: 0.05",304,49,32,12,79.59697732997482,
"Nu: 0.7, Gamma: 0.0625",336,61,0,0,84.63476070528966,
"Nu: 0.7, Gamma: 0.1",336,61,0,0,84.63476070528966,
"Nu: 0.7, Gamma: 0.2",336,61,0,0,84.63476070528966,
"Nu: 0.7, Gamma: 0.5",304,49,32,12,79.59697732997482,
"Nu: 0.7, Gamma: 0.7",336,61,0,0,84.63476070528966,
"Nu: 0.7, Gamma: 0.9",304,49,32,12,79.59697732997482,
"Nu: 0.7, Gamma: 0.99",304,49,32,12,79.59697732997482,
"Nu: 0.9, Gamma: 0.05",304,49,32,12,79.59697732997482,
"Nu: 0.9, Gamma: 0.0625",304,49,32,12,79.59697732997482,
"Nu: 0.9, Gamma: 0.1",336,61,0,0,84.63476070528966,
"Nu: 0.9, Gamma: 0.2",304,49,32,12,79.59697732997482,
"Nu: 0.9, Gamma: 0.5",336,61,0,0,84.63476070528966,
"Nu: 0.9, Gamma: 0.7",336,61,0,0,84.63476070528966,
"Nu: 0.9, Gamma: 0.9",336,61,0,0,84.63476070528966,
"Nu: 0.9, Gamma: 0.99",336,61,0,0,84.63476070528966,
"Nu: 0.99, Gamma: 0.05",304,49,32,12,79.59697732997482,
"Nu: 0.99, Gamma: 0.0625",304,49,32,12,79.59697732997482,
"Nu: 0.99, Gamma: 0.1",336,61,0,0,84.63476070528966,
"Nu: 0.99, Gamma: 0.2",336,61,0,0,84.63476070528966,
"Nu: 0.99, Gamma: 0.5",336,61,0,0,84.63476070528966,
"Nu: 0.99, Gamma: 0.7",336,61,0,0,84.63476070528966,
"Nu: 0.99, Gamma: 0.9",336,61,0,0,84.63476070528966,
"Nu: 0.99, Gamma: 0.99",336,61,0,0,84.63476070528966,
,,,,,,
Target Class: blackscholes_cachehalf,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",256,57,48,11,71.7741935483871,
"Nu: 0.05, Gamma: 0.0625",304,66,0,2,82.25806451612904,
"Nu: 0.05, Gamma: 0.1",256,58,48,10,71.50537634408603,
"Nu: 0.05, Gamma: 0.2",256,59,48,9,71.23655913978494,
"Nu: 0.05, Gamma: 0.5",256,59,48,9,71.23655913978494,
"Nu: 0.05, Gamma: 0.7",256,59,48,9,71.23655913978494,
"Nu: 0.05, Gamma: 0.9",256,59,48,9,71.23655913978494,
"Nu: 0.05, Gamma: 0.99",256,59,48,9,71.23655913978494,
"Nu: 0.0625, Gamma: 0.05",304,66,0,2,82.25806451612904,
"Nu: 0.0625, Gamma: 0.0625",304,66,0,2,82.25806451612904,
"Nu: 0.0625, Gamma: 0.1",304,67,0,1,81.98924731182797,
"Nu: 0.0625, Gamma: 0.2",256,59,48,9,71.23655913978494,
"Nu: 0.0625, Gamma: 0.5",304,68,0,0,81.72043010752688,
"Nu: 0.0625, Gamma: 0.7",256,59,48,9,71.23655913978494,
"Nu: 0.0625, Gamma: 0.9",304,68,0,0,81.72043010752688,
"Nu: 0.0625, Gamma: 0.99",304,68,0,0,81.72043010752688,
"Nu: 0.1, Gamma: 0.05",256,57,48,11,71.7741935483871,
"Nu: 0.1, Gamma: 0.0625",304,66,0,2,82.25806451612904,
"Nu: 0.1, Gamma: 0.1",304,67,0,1,81.98924731182797,
"Nu: 0.1, Gamma: 0.2",304,68,0,0,81.72043010752688,
"Nu: 0.1, Gamma: 0.5",256,59,48,9,71.23655913978494,
"Nu: 0.1, Gamma: 0.7",304,68,0,0,81.72043010752688,
"Nu: 0.1, Gamma: 0.9",256,59,48,9,71.23655913978494,
"Nu: 0.1, Gamma: 0.99",304,68,0,0,81.72043010752688,
"Nu: 0.2, Gamma: 0.05",304,66,0,2,82.25806451612904,
"Nu: 0.2, Gamma: 0.0625",256,57,48,11,71.7741935483871,
"Nu: 0.2, Gamma: 0.1",304,67,0,1,81.98924731182797,
"Nu: 0.2, Gamma: 0.2",256,59,48,9,71.23655913978494,
"Nu: 0.2, Gamma: 0.5",304,68,0,0,81.72043010752688,
"Nu: 0.2, Gamma: 0.7",304,68,0,0,81.72043010752688,
"Nu: 0.2, Gamma: 0.9",304,68,0,0,81.72043010752688,
"Nu: 0.2, Gamma: 0.99",304,68,0,0,81.72043010752688,
"Nu: 0.5, Gamma: 0.05",304,66,0,2,82.25806451612904,
"Nu: 0.5, Gamma: 0.0625",256,57,48,11,71.7741935483871,
"Nu: 0.5, Gamma: 0.1",256,58,48,10,71.50537634408603,
"Nu: 0.5, Gamma: 0.2",256,59,48,9,71.23655913978494,
"Nu: 0.5, Gamma: 0.5",304,68,0,0,81.72043010752688,
"Nu: 0.5, Gamma: 0.7",304,68,0,0,81.72043010752688,
"Nu: 0.5, Gamma: 0.9",256,59,48,9,71.23655913978494,
"Nu: 0.5, Gamma: 0.99",304,68,0,0,81.72043010752688,
"Nu: 0.7, Gamma: 0.05",256,57,48,11,71.7741935483871,
"Nu: 0.7, Gamma: 0.0625",256,57,48,11,71.7741935483871,
"Nu: 0.7, Gamma: 0.1",256,58,48,10,71.50537634408603,
"Nu: 0.7, Gamma: 0.2",256,59,48,9,71.23655913978494,
"Nu: 0.7, Gamma: 0.5",304,68,0,0,81.72043010752688,
"Nu: 0.7, Gamma: 0.7",304,68,0,0,81.72043010752688,
