From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
65.0,11.0,6.0,11.0,14.0,11.0,5.0,7.0,2.0,9.0,5.0,11.0,10.0,13.0,17.0,19.0,9.0,0.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,7.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,11.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,9.0,2.0,2.0,2.0,2.0,8.0,2.0,3.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,11.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,blackscholes
83.0,7.0,3.0,6.0,9.0,6.0,4.0,8.0,4.0,3.0,7.0,3.0,12.0,8.0,11.0,29.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,blackscholes
196.0,166.0,24.0,18.0,19.0,23.0,14.0,14.0,9.0,6.0,6.0,5.0,5.0,12.0,20.0,29.0,10.0,86.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,10.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,104.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,92.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,80.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,73.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,103.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,11.0,101.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,14.0,59.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,15.0,78.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,blackscholes
135.0,117.0,43.0,12.0,18.0,22.0,7.0,7.0,5.0,4.0,36.0,2.0,6.0,17.0,30.0,34.0,16.0,75.0,17.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,16.0,2.0,3.0,2.0,8.0,6.0,9.0,80.0,12.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,21.0,3.0,2.0,2.0,7.0,5.0,8.0,76.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,1.0,3.0,13.0,59.0,25.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,26.0,1.0,2.0,0.0,0.0,4.0,13.0,69.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,2.0,0.0,5.0,2.0,6.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,1.0,0.0,2.0,7.0,53.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,1.0,3.0,7.0,57.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,2.0,2.0,6.0,51.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,3.0,3.0,6.0,43.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,2.0,2.0,3.0,6.0,28.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,6.0,2.0,8.0,50.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,2.0,3.0,2.0,3.0,15.0,46.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,7.0,2.0,19.0,39.0,48.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,41.0,2.0,2.0,2.0,4.0,3.0,21.0,67.0,17.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,20.0,1.0,3.0,2.0,2.0,5.0,blackscholes
2647.0,745.0,410.0,281.0,333.0,262.0,184.0,496.0,270.0,172.0,280.0,230.0,270.0,269.0,315.0,684.0,274.0,275.0,66.0,62.0,89.0,63.0,17.0,212.0,132.0,4.0,71.0,76.0,92.0,68.0,87.0,274.0,241.0,421.0,44.0,170.0,557.0,54.0,1.0,184.0,40.0,2.0,53.0,563.0,54.0,57.0,572.0,639.0,240.0,334.0,148.0,50.0,127.0,55.0,1.0,172.0,49.0,2.0,67.0,57.0,48.0,49.0,48.0,222.0,295.0,408.0,56.0,125.0,61.0,93.0,2.0,241.0,57.0,1.0,81.0,70.0,54.0,59.0,60.0,242.0,242.0,420.0,58.0,52.0,122.0,59.0,3.0,168.0,61.0,2.0,145.0,145.0,46.0,58.0,62.0,190.0,184.0,292.0,46.0,42.0,47.0,53.0,0.0,127.0,45.0,1.0,57.0,58.0,42.0,38.0,42.0,143.0,377.0,367.0,63.0,56.0,88.0,50.0,8.0,151.0,114.0,7.0,72.0,65.0,49.0,52.0,62.0,226.0,190.0,401.0,44.0,38.0,40.0,42.0,4.0,157.0,35.0,3.0,71.0,101.0,56.0,48.0,47.0,139.0,180.0,248.0,48.0,46.0,41.0,48.0,0.0,138.0,38.0,0.0,44.0,49.0,42.0,39.0,38.0,143.0,200.0,276.0,61.0,58.0,81.0,137.0,6.0,175.0,76.0,4.0,61.0,90.0,72.0,102.0,80.0,168.0,181.0,237.0,54.0,47.0,58.0,142.0,3.0,141.0,62.0,1.0,121.0,61.0,53.0,58.0,58.0,151.0,246.0,345.0,57.0,62.0,60.0,58.0,4.0,173.0,53.0,4.0,65.0,63.0,49.0,182.0,58.0,185.0,249.0,296.0,65.0,67.0,72.0,64.0,6.0,181.0,60.0,6.0,67.0,77.0,133.0,58.0,851.0,792.0,398.0,292.0,64.0,58.0,58.0,60.0,4.0,184.0,57.0,5.0,75.0,62.0,60.0,142.0,52.0,175.0,385.0,393.0,61.0,60.0,89.0,114.0,7.0,326.0,55.0,7.0,90.0,72.0,61.0,54.0,58.0,168.0,blackscholes
410.0,376.0,324.0,350.0,398.0,305.0,119.0,190.0,439.0,234.0,415.0,343.0,429.0,409.0,432.0,374.0,95.0,125.0,162.0,151.0,160.0,134.0,2.0,36.0,241.0,38.0,180.0,155.0,211.0,176.0,254.0,225.0,76.0,173.0,142.0,255.0,404.0,194.0,6.0,37.0,212.0,63.0,261.0,405.0,222.0,202.0,436.0,455.0,73.0,161.0,272.0,216.0,186.0,215.0,5.0,42.0,351.0,59.0,270.0,142.0,254.0,283.0,182.0,180.0,94.0,137.0,161.0,198.0,127.0,132.0,2.0,26.0,215.0,69.0,193.0,196.0,223.0,179.0,175.0,154.0,87.0,172.0,222.0,251.0,120.0,163.0,2.0,47.0,297.0,64.0,301.0,204.0,304.0,275.0,151.0,149.0,45.0,104.0,106.0,111.0,90.0,96.0,2.0,16.0,159.0,40.0,147.0,101.0,159.0,142.0,101.0,107.0,65.0,129.0,161.0,150.0,117.0,132.0,3.0,16.0,192.0,50.0,182.0,105.0,180.0,153.0,120.0,126.0,54.0,204.0,174.0,181.0,108.0,207.0,4.0,41.0,248.0,51.0,260.0,122.0,276.0,251.0,145.0,158.0,74.0,142.0,224.0,149.0,115.0,132.0,3.0,27.0,194.0,39.0,241.0,121.0,236.0,175.0,158.0,149.0,69.0,133.0,186.0,345.0,141.0,231.0,5.0,36.0,271.0,64.0,184.0,157.0,296.0,321.0,180.0,158.0,50.0,98.0,148.0,128.0,103.0,199.0,1.0,13.0,199.0,27.0,175.0,122.0,196.0,155.0,123.0,177.0,71.0,182.0,179.0,160.0,147.0,153.0,5.0,37.0,282.0,66.0,197.0,138.0,197.0,252.0,175.0,142.0,81.0,143.0,176.0,230.0,170.0,173.0,7.0,30.0,252.0,47.0,321.0,166.0,315.0,169.0,542.0,538.0,116.0,192.0,147.0,165.0,196.0,119.0,7.0,30.0,233.0,64.0,169.0,143.0,213.0,199.0,191.0,154.0,114.0,222.0,205.0,178.0,210.0,153.0,6.0,42.0,252.0,62.0,211.0,192.0,235.0,230.0,226.0,189.0,blackscholes
349.0,292.0,44.0,78.0,59.0,39.0,18.0,23.0,63.0,36.0,36.0,64.0,45.0,53.0,95.0,148.0,45.0,138.0,24.0,31.0,29.0,21.0,6.0,11.0,30.0,11.0,17.0,21.0,21.0,22.0,31.0,65.0,18.0,156.0,9.0,21.0,16.0,19.0,1.0,6.0,20.0,8.0,12.0,10.0,13.0,15.0,12.0,36.0,24.0,162.0,13.0,17.0,15.0,22.0,5.0,8.0,38.0,11.0,20.0,14.0,16.0,16.0,27.0,54.0,30.0,186.0,21.0,39.0,17.0,14.0,5.0,6.0,44.0,13.0,15.0,21.0,17.0,17.0,20.0,61.0,20.0,171.0,18.0,18.0,18.0,13.0,4.0,9.0,26.0,10.0,17.0,14.0,17.0,18.0,17.0,48.0,11.0,164.0,14.0,18.0,12.0,13.0,0.0,6.0,24.0,5.0,15.0,13.0,14.0,14.0,17.0,34.0,11.0,158.0,16.0,18.0,16.0,14.0,2.0,7.0,22.0,8.0,15.0,19.0,17.0,14.0,17.0,40.0,20.0,167.0,19.0,30.0,18.0,19.0,3.0,2.0,21.0,13.0,18.0,20.0,23.0,19.0,37.0,69.0,20.0,138.0,21.0,26.0,16.0,18.0,0.0,1.0,29.0,5.0,23.0,22.0,22.0,19.0,22.0,44.0,17.0,141.0,17.0,21.0,15.0,16.0,2.0,5.0,20.0,11.0,16.0,22.0,19.0,22.0,27.0,55.0,26.0,121.0,11.0,18.0,10.0,10.0,0.0,5.0,17.0,4.0,16.0,13.0,14.0,13.0,17.0,48.0,21.0,126.0,15.0,29.0,17.0,16.0,3.0,5.0,28.0,7.0,14.0,15.0,16.0,16.0,22.0,57.0,28.0,141.0,13.0,18.0,18.0,19.0,2.0,4.0,22.0,9.0,20.0,15.0,14.0,14.0,20.0,45.0,51.0,115.0,18.0,57.0,17.0,12.0,5.0,8.0,51.0,8.0,13.0,15.0,16.0,21.0,18.0,82.0,51.0,158.0,16.0,57.0,22.0,17.0,3.0,8.0,40.0,10.0,16.0,20.0,18.0,14.0,21.0,51.0,blackscholes
164.0,141.0,24.0,26.0,23.0,32.0,9.0,10.0,28.0,17.0,18.0,13.0,26.0,39.0,38.0,51.0,23.0,72.0,4.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,11.0,75.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,17.0,81.0,5.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,13.0,68.0,0.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,3.0,20.0,76.0,4.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,11.0,73.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,88.0,1.0,3.0,3.0,2.0,1.0,0.0,5.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,17.0,78.0,3.0,4.0,4.0,6.0,2.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,2.0,2.0,11.0,60.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,4.0,1.0,2.0,12.0,50.0,4.0,3.0,4.0,5.0,1.0,2.0,4.0,1.0,6.0,8.0,3.0,6.0,2.0,0.0,9.0,36.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,16.0,48.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,7.0,3.0,4.0,22.0,43.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0,1.0,3.0,5.0,22.0,44.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,27.0,55.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,8.0,10.0,blackscholes
165.0,108.0,20.0,18.0,22.0,16.0,7.0,5.0,17.0,11.0,22.0,5.0,12.0,22.0,26.0,50.0,14.0,65.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,7.0,1.0,2.0,2.0,4.0,5.0,8.0,66.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,1.0,2.0,0.0,11.0,14.0,67.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,16.0,16.0,62.0,0.0,2.0,0.0,4.0,0.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,19.0,13.0,70.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,6.0,0.0,1.0,2.0,2.0,19.0,8.0,59.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,2.0,2.0,2.0,8.0,8.0,70.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,2.0,2.0,1.0,16.0,13.0,68.0,3.0,1.0,2.0,1.0,1.0,0.0,4.0,2.0,10.0,0.0,0.0,1.0,2.0,18.0,10.0,50.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,12.0,48.0,2.0,0.0,4.0,4.0,2.0,1.0,4.0,0.0,8.0,2.0,2.0,1.0,2.0,28.0,8.0,33.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0,10.0,46.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,2.0,0.0,19.0,14.0,49.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,10.0,0.0,0.0,1.0,4.0,21.0,15.0,37.0,3.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,8.0,1.0,1.0,3.0,2.0,21.0,19.0,61.0,0.0,1.0,2.0,2.0,0.0,2.0,4.0,2.0,21.0,3.0,5.0,1.0,3.0,13.0,blackscholes
609.0,715.0,65.0,45.0,71.0,58.0,48.0,131.0,14.0,26.0,37.0,20.0,40.0,34.0,82.0,200.0,92.0,310.0,8.0,2.0,13.0,6.0,5.0,56.0,2.0,1.0,5.0,3.0,3.0,2.0,4.0,88.0,54.0,397.0,10.0,3.0,1.0,1.0,0.0,40.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,50.0,74.0,338.0,9.0,1.0,6.0,3.0,2.0,47.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,48.0,79.0,416.0,4.0,1.0,0.0,3.0,2.0,46.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,82.0,64.0,395.0,9.0,1.0,2.0,2.0,2.0,51.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,67.0,49.0,323.0,8.0,2.0,2.0,2.0,0.0,38.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,57.0,144.0,290.0,9.0,4.0,6.0,6.0,3.0,45.0,5.0,4.0,12.0,3.0,6.0,1.0,8.0,88.0,60.0,285.0,7.0,0.0,4.0,1.0,0.0,40.0,0.0,2.0,2.0,0.0,1.0,1.0,8.0,57.0,53.0,242.0,2.0,1.0,0.0,2.0,1.0,35.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,56.0,68.0,237.0,11.0,1.0,3.0,1.0,1.0,58.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,72.0,759.0,626.0,4.0,0.0,2.0,1.0,0.0,567.0,0.0,0.0,3.0,0.0,4.0,1.0,4.0,461.0,62.0,261.0,8.0,0.0,2.0,2.0,1.0,49.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,72.0,55.0,232.0,5.0,0.0,2.0,1.0,0.0,43.0,0.0,0.0,5.0,0.0,1.0,1.0,4.0,65.0,76.0,244.0,7.0,1.0,4.0,2.0,2.0,41.0,2.0,2.0,2.0,1.0,5.0,2.0,8.0,54.0,113.0,295.0,9.0,4.0,15.0,6.0,1.0,158.0,4.0,2.0,14.0,7.0,9.0,4.0,13.0,75.0,blackscholes
