From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ferret
5522.0,3636.0,3485.0,3575.0,3581.0,3573.0,3489.0,3517.0,7327.0,3508.0,5129.0,7798.0,6758.0,3508.0,3511.0,3597.0,1812.0,44.0,42.0,44.0,35.0,38.0,35.0,39.0,3196.0,26.0,968.0,2497.0,1661.0,32.0,20.0,27.0,1733.0,23.0,20.0,25.0,23.0,27.0,21.0,17.0,3030.0,15.0,982.0,2474.0,2045.0,13.0,12.0,11.0,1791.0,43.0,29.0,35.0,38.0,30.0,29.0,29.0,2616.0,30.0,1010.0,2532.0,1826.0,30.0,24.0,26.0,1788.0,42.0,28.0,34.0,30.0,34.0,34.0,28.0,2856.0,32.0,1055.0,2808.0,1985.0,31.0,19.0,18.0,1782.0,36.0,31.0,38.0,36.0,28.0,36.0,42.0,3072.0,40.0,1034.0,2714.0,2042.0,34.0,16.0,16.0,1726.0,22.0,15.0,30.0,23.0,17.0,18.0,21.0,2738.0,17.0,1034.0,2379.0,1892.0,16.0,15.0,14.0,1754.0,32.0,30.0,38.0,26.0,24.0,32.0,37.0,2440.0,25.0,934.0,2476.0,1606.0,26.0,13.0,17.0,1777.0,183.0,158.0,122.0,176.0,124.0,104.0,115.0,2466.0,121.0,1125.0,2950.0,2168.0,120.0,84.0,71.0,1754.0,30.0,25.0,31.0,24.0,23.0,28.0,32.0,2473.0,27.0,948.0,2333.0,1646.0,27.0,13.0,15.0,1773.0,76.0,52.0,62.0,48.0,59.0,46.0,52.0,3017.0,52.0,1013.0,2701.0,2054.0,33.0,36.0,50.0,1730.0,82.0,56.0,30.0,73.0,44.0,18.0,60.0,2901.0,21.0,987.0,2582.0,2178.0,22.0,34.0,24.0,1732.0,93.0,63.0,67.0,73.0,48.0,30.0,38.0,3246.0,28.0,1093.0,2998.0,1843.0,25.0,36.0,33.0,1753.0,41.0,28.0,37.0,30.0,29.0,29.0,36.0,2700.0,32.0,927.0,2490.0,2018.0,26.0,22.0,23.0,1762.0,24.0,22.0,31.0,27.0,18.0,31.0,28.0,2708.0,23.0,931.0,2473.0,1871.0,27.0,14.0,16.0,1815.0,40.0,26.0,35.0,27.0,29.0,37.0,21.0,2963.0,25.0,1013.0,2756.0,2091.0,26.0,12.0,15.0,ferret
3811.0,2499.0,2409.0,2533.0,2460.0,2496.0,2394.0,2467.0,4245.0,2446.0,4456.0,3414.0,3129.0,2497.0,2504.0,2493.0,1262.0,19.0,17.0,32.0,24.0,24.0,19.0,19.0,1828.0,22.0,2508.0,667.0,394.0,42.0,21.0,26.0,1212.0,14.0,9.0,40.0,10.0,12.0,8.0,11.0,1817.0,18.0,1409.0,732.0,450.0,41.0,10.0,14.0,1250.0,19.0,11.0,44.0,17.0,28.0,13.0,23.0,1823.0,28.0,1919.0,782.0,417.0,60.0,36.0,31.0,1236.0,17.0,14.0,67.0,19.0,21.0,16.0,18.0,1821.0,21.0,896.0,710.0,399.0,42.0,20.0,21.0,1255.0,17.0,14.0,38.0,17.0,17.0,13.0,17.0,1822.0,21.0,823.0,871.0,501.0,44.0,22.0,18.0,1208.0,12.0,7.0,38.0,13.0,16.0,13.0,19.0,1820.0,26.0,1998.0,737.0,455.0,33.0,10.0,13.0,1244.0,20.0,15.0,39.0,19.0,23.0,15.0,21.0,1815.0,29.0,1530.0,685.0,412.0,40.0,18.0,18.0,1228.0,24.0,20.0,47.0,12.0,18.0,16.0,14.0,1811.0,31.0,2497.0,720.0,382.0,48.0,17.0,26.0,1225.0,18.0,15.0,55.0,20.0,21.0,8.0,21.0,1822.0,23.0,3954.0,661.0,410.0,46.0,17.0,15.0,1207.0,40.0,29.0,56.0,32.0,31.0,35.0,34.0,1837.0,38.0,4125.0,710.0,456.0,94.0,25.0,33.0,1189.0,28.0,14.0,37.0,12.0,16.0,12.0,12.0,1807.0,23.0,2087.0,687.0,462.0,57.0,21.0,23.0,1210.0,39.0,16.0,65.0,15.0,21.0,13.0,19.0,1822.0,24.0,3196.0,829.0,431.0,42.0,20.0,17.0,1230.0,16.0,13.0,40.0,17.0,26.0,12.0,18.0,1825.0,25.0,2079.0,757.0,469.0,45.0,21.0,18.0,1261.0,14.0,13.0,70.0,19.0,20.0,10.0,15.0,1820.0,20.0,1544.0,700.0,414.0,49.0,16.0,17.0,1250.0,17.0,8.0,53.0,15.0,20.0,12.0,16.0,1823.0,22.0,2644.0,773.0,452.0,38.0,18.0,20.0,ferret
3037.0,1969.0,1852.0,1922.0,1916.0,1925.0,1856.0,1890.0,3723.0,1898.0,1965.0,1857.0,1875.0,1948.0,1938.0,1951.0,998.0,11.0,15.0,19.0,11.0,15.0,14.0,13.0,1839.0,12.0,113.0,12.0,15.0,20.0,16.0,15.0,936.0,5.0,6.0,13.0,7.0,10.0,6.0,8.0,1823.0,6.0,97.0,6.0,4.0,10.0,9.0,9.0,972.0,13.0,12.0,15.0,13.0,14.0,13.0,9.0,1832.0,11.0,117.0,12.0,16.0,22.0,20.0,12.0,971.0,14.0,12.0,19.0,11.0,12.0,10.0,12.0,1833.0,8.0,117.0,8.0,7.0,17.0,13.0,14.0,976.0,13.0,8.0,16.0,10.0,10.0,8.0,10.0,1832.0,10.0,119.0,11.0,10.0,21.0,8.0,10.0,932.0,8.0,6.0,9.0,8.0,8.0,6.0,7.0,1831.0,5.0,120.0,7.0,6.0,13.0,6.0,9.0,957.0,10.0,10.0,17.0,9.0,12.0,8.0,8.0,1831.0,9.0,118.0,12.0,9.0,19.0,10.0,10.0,964.0,16.0,22.0,25.0,20.0,20.0,30.0,25.0,1844.0,19.0,119.0,28.0,22.0,29.0,24.0,24.0,953.0,11.0,8.0,16.0,9.0,9.0,14.0,10.0,1829.0,12.0,117.0,8.0,10.0,17.0,10.0,16.0,940.0,24.0,16.0,20.0,16.0,25.0,19.0,13.0,1838.0,17.0,98.0,17.0,17.0,20.0,20.0,17.0,951.0,21.0,19.0,19.0,17.0,16.0,16.0,14.0,1833.0,13.0,87.0,17.0,21.0,16.0,29.0,20.0,959.0,20.0,21.0,24.0,21.0,20.0,18.0,14.0,1839.0,12.0,89.0,15.0,12.0,20.0,24.0,16.0,985.0,12.0,11.0,20.0,10.0,13.0,9.0,12.0,1832.0,13.0,94.0,8.0,9.0,24.0,15.0,13.0,983.0,13.0,9.0,16.0,10.0,13.0,10.0,11.0,1833.0,10.0,105.0,11.0,11.0,19.0,11.0,15.0,985.0,16.0,12.0,12.0,12.0,10.0,9.0,8.0,1831.0,9.0,107.0,10.0,10.0,21.0,12.0,11.0,ferret
6751.0,4330.0,4318.0,4395.0,4302.0,4333.0,4150.0,4178.0,7336.0,4243.0,5901.0,6891.0,7386.0,7923.0,4375.0,4382.0,2183.0,31.0,49.0,54.0,26.0,24.0,17.0,23.0,2566.0,17.0,1785.0,2182.0,1339.0,1685.0,40.0,44.0,2142.0,27.0,35.0,49.0,23.0,15.0,11.0,14.0,2550.0,16.0,908.0,2231.0,1346.0,1977.0,36.0,38.0,2196.0,35.0,52.0,54.0,24.0,22.0,18.0,23.0,2217.0,19.0,1514.0,2312.0,1292.0,1836.0,45.0,43.0,2171.0,27.0,54.0,59.0,17.0,23.0,13.0,18.0,2476.0,20.0,1138.0,2499.0,1363.0,1896.0,39.0,35.0,2194.0,25.0,46.0,55.0,22.0,23.0,18.0,18.0,2573.0,15.0,1109.0,2541.0,1332.0,2110.0,40.0,41.0,2092.0,23.0,35.0,45.0,17.0,14.0,8.0,17.0,2230.0,12.0,1081.0,2315.0,1131.0,1919.0,25.0,29.0,2110.0,23.0,43.0,42.0,19.0,19.0,20.0,18.0,2052.0,16.0,1223.0,2277.0,1151.0,1636.0,38.0,34.0,2224.0,75.0,164.0,130.0,87.0,43.0,36.0,37.0,2141.0,40.0,1188.0,2339.0,1627.0,1998.0,152.0,154.0,2149.0,21.0,40.0,53.0,17.0,17.0,11.0,14.0,2187.0,15.0,2305.0,2297.0,1221.0,1646.0,36.0,36.0,2126.0,71.0,90.0,104.0,80.0,79.0,75.0,54.0,2520.0,67.0,1697.0,2530.0,1457.0,2154.0,89.0,85.0,2112.0,34.0,49.0,53.0,33.0,18.0,24.0,24.0,2287.0,37.0,1446.0,2247.0,1418.0,1919.0,44.0,39.0,2111.0,70.0,75.0,82.0,51.0,37.0,20.0,22.0,2603.0,20.0,1344.0,2526.0,1385.0,2028.0,61.0,47.0,2167.0,85.0,73.0,65.0,77.0,43.0,22.0,50.0,2699.0,48.0,1864.0,2440.0,1563.0,1950.0,81.0,65.0,2188.0,22.0,80.0,50.0,17.0,17.0,13.0,19.0,2434.0,15.0,1072.0,2276.0,1233.0,2009.0,30.0,50.0,2219.0,25.0,63.0,70.0,22.0,22.0,17.0,20.0,2552.0,15.0,2411.0,2428.0,1544.0,2141.0,39.0,37.0,ferret
3326.0,2164.0,2039.0,2143.0,2147.0,2150.0,2037.0,2077.0,3902.0,2094.0,3790.0,2038.0,2058.0,2116.0,2228.0,2134.0,1090.0,13.0,11.0,17.0,13.0,11.0,8.0,9.0,1838.0,14.0,1352.0,22.0,25.0,36.0,43.0,12.0,1033.0,11.0,4.0,9.0,8.0,6.0,5.0,5.0,1820.0,8.0,1182.0,14.0,19.0,32.0,39.0,6.0,1085.0,16.0,9.0,10.0,9.0,9.0,7.0,8.0,1829.0,11.0,1150.0,12.0,22.0,39.0,39.0,9.0,1081.0,11.0,5.0,12.0,8.0,9.0,5.0,4.0,1822.0,7.0,1466.0,19.0,18.0,44.0,32.0,8.0,1082.0,10.0,6.0,13.0,11.0,8.0,8.0,7.0,1825.0,8.0,971.0,20.0,22.0,42.0,32.0,8.0,1025.0,9.0,2.0,8.0,4.0,5.0,1.0,5.0,1821.0,4.0,1557.0,13.0,14.0,34.0,30.0,6.0,1052.0,11.0,5.0,10.0,8.0,9.0,7.0,7.0,1826.0,9.0,982.0,12.0,19.0,31.0,45.0,9.0,1046.0,17.0,8.0,12.0,7.0,10.0,7.0,7.0,1821.0,11.0,1182.0,23.0,17.0,37.0,35.0,8.0,1057.0,11.0,5.0,13.0,8.0,10.0,5.0,5.0,1823.0,7.0,1641.0,18.0,25.0,40.0,37.0,7.0,1049.0,26.0,21.0,29.0,31.0,33.0,24.0,21.0,1834.0,25.0,2802.0,37.0,37.0,48.0,84.0,21.0,1023.0,11.0,7.0,11.0,5.0,10.0,5.0,2.0,1821.0,8.0,1304.0,12.0,14.0,28.0,44.0,5.0,1032.0,14.0,7.0,17.0,10.0,12.0,9.0,9.0,1832.0,11.0,2101.0,23.0,15.0,45.0,43.0,10.0,1051.0,21.0,15.0,20.0,12.0,16.0,10.0,10.0,1831.0,14.0,1131.0,21.0,27.0,39.0,59.0,14.0,1093.0,14.0,9.0,11.0,11.0,11.0,9.0,8.0,1827.0,11.0,1160.0,17.0,20.0,77.0,45.0,9.0,1075.0,12.0,6.0,12.0,11.0,9.0,6.0,8.0,1829.0,11.0,1635.0,26.0,21.0,50.0,39.0,10.0,ferret
2991.0,1960.0,1886.0,1926.0,1930.0,1957.0,1846.0,1905.0,3808.0,1917.0,1864.0,1912.0,1951.0,1965.0,1967.0,1956.0,983.0,8.0,7.0,6.0,9.0,10.0,6.0,5.0,1872.0,9.0,24.0,29.0,56.0,37.0,10.0,9.0,949.0,6.0,4.0,9.0,10.0,12.0,4.0,7.0,1881.0,7.0,17.0,22.0,54.0,26.0,9.0,8.0,973.0,8.0,6.0,12.0,14.0,12.0,9.0,10.0,1866.0,10.0,23.0,30.0,75.0,42.0,11.0,6.0,968.0,7.0,5.0,7.0,12.0,12.0,4.0,6.0,1881.0,7.0,21.0,27.0,51.0,33.0,10.0,11.0,982.0,8.0,6.0,6.0,9.0,10.0,7.0,7.0,1872.0,7.0,19.0,29.0,49.0,34.0,9.0,9.0,929.0,4.0,3.0,5.0,9.0,7.0,1.0,5.0,1868.0,5.0,17.0,22.0,43.0,27.0,8.0,4.0,957.0,7.0,4.0,7.0,9.0,8.0,2.0,5.0,1860.0,9.0,22.0,17.0,44.0,18.0,7.0,8.0,972.0,16.0,22.0,16.0,21.0,18.0,15.0,18.0,1872.0,18.0,37.0,33.0,95.0,42.0,26.0,15.0,963.0,7.0,5.0,8.0,10.0,11.0,6.0,7.0,1862.0,7.0,23.0,20.0,44.0,31.0,9.0,8.0,939.0,13.0,12.0,11.0,18.0,17.0,12.0,6.0,1881.0,14.0,28.0,27.0,53.0,27.0,7.0,11.0,945.0,18.0,9.0,4.0,20.0,14.0,10.0,9.0,1888.0,14.0,22.0,27.0,55.0,31.0,13.0,14.0,956.0,19.0,19.0,12.0,21.0,19.0,11.0,10.0,1893.0,12.0,23.0,41.0,72.0,42.0,11.0,15.0,991.0,19.0,19.0,14.0,32.0,19.0,12.0,12.0,1899.0,17.0,23.0,42.0,87.0,36.0,31.0,28.0,991.0,9.0,6.0,7.0,13.0,10.0,6.0,14.0,1892.0,10.0,18.0,35.0,57.0,40.0,10.0,11.0,987.0,9.0,6.0,8.0,12.0,12.0,5.0,12.0,1884.0,8.0,20.0,29.0,59.0,35.0,12.0,10.0,ferret
8307.0,5452.0,5199.0,5312.0,5413.0,5287.0,5252.0,5234.0,6946.0,5260.0,7243.0,8628.0,10732.0,9250.0,10448.0,5404.0,2701.0,66.0,21.0,30.0,56.0,21.0,47.0,18.0,1465.0,21.0,1709.0,3032.0,3790.0,1517.0,1982.0,66.0,2615.0,70.0,16.0,23.0,31.0,12.0,27.0,13.0,1373.0,17.0,1404.0,2509.0,3920.0,1538.0,2300.0,20.0,2669.0,75.0,18.0,28.0,49.0,15.0,42.0,21.0,1111.0,22.0,1883.0,2806.0,3889.0,1495.0,2045.0,48.0,2693.0,98.0,14.0,34.0,25.0,14.0,45.0,13.0,1261.0,14.0,1294.0,3312.0,3866.0,1501.0,2001.0,37.0,2657.0,53.0,11.0,25.0,41.0,10.0,36.0,9.0,1433.0,11.0,984.0,2969.0,3885.0,1581.0,2257.0,40.0,2613.0,49.0,14.0,23.0,23.0,13.0,16.0,11.0,1174.0,14.0,1335.0,2856.0,3808.0,1455.0,2046.0,34.0,2635.0,51.0,11.0,25.0,36.0,8.0,30.0,9.0,1014.0,11.0,1127.0,2570.0,3661.0,1424.0,1786.0,26.0,2663.0,188.0,50.0,77.0,138.0,29.0,122.0,29.0,1054.0,38.0,1208.0,2638.0,3725.0,1668.0,2092.0,151.0,2645.0,43.0,12.0,24.0,32.0,11.0,20.0,12.0,1102.0,11.0,2111.0,3091.0,3656.0,1414.0,1724.0,31.0,2655.0,119.0,96.0,93.0,121.0,91.0,107.0,85.0,1387.0,89.0,2789.0,2538.0,4005.0,1760.0,2331.0,95.0,2589.0,62.0,28.0,26.0,41.0,13.0,41.0,15.0,1036.0,71.0,1388.0,2428.0,3845.0,1543.0,2004.0,27.0,2672.0,161.0,21.0,44.0,41.0,18.0,35.0,18.0,1247.0,32.0,1789.0,3760.0,3878.0,1727.0,2127.0,35.0,2707.0,134.0,37.0,43.0,60.0,24.0,55.0,30.0,1306.0,41.0,1519.0,3527.0,4208.0,1542.0,2498.0,62.0,2701.0,215.0,41.0,41.0,75.0,32.0,38.0,37.0,1508.0,40.0,1339.0,3009.0,4003.0,1754.0,2158.0,48.0,2689.0,120.0,13.0,25.0,36.0,10.0,43.0,10.0,1452.0,13.0,2120.0,2895.0,4154.0,1844.0,2405.0,47.0,ferret
7832.0,5040.0,4935.0,5031.0,5142.0,5005.0,4891.0,4919.0,4997.0,4906.0,7322.0,11729.0,9441.0,11153.0,10382.0,7690.0,2535.0,35.0,37.0,38.0,47.0,29.0,40.0,31.0,36.0,38.0,2154.0,6336.0,3905.0,4055.0,2232.0,1265.0,2482.0,20.0,17.0,27.0,25.0,21.0,26.0,12.0,22.0,21.0,2038.0,4920.0,4196.0,4266.0,2339.0,1386.0,2532.0,32.0,23.0,33.0,36.0,26.0,34.0,25.0,34.0,32.0,2354.0,5064.0,4474.0,4024.0,2240.0,1239.0,2593.0,28.0,25.0,37.0,36.0,28.0,28.0,22.0,31.0,32.0,1976.0,7186.0,4429.0,4098.0,2358.0,1381.0,2516.0,27.0,16.0,25.0,27.0,18.0,23.0,15.0,25.0,24.0,1504.0,6584.0,4066.0,4065.0,2320.0,1364.0,2460.0,27.0,21.0,33.0,32.0,24.0,30.0,21.0,33.0,27.0,2022.0,5855.0,3732.0,4107.0,2211.0,1258.0,2473.0,24.0,17.0,28.0,31.0,23.0,24.0,17.0,25.0,30.0,1750.0,6057.0,4262.0,3823.0,2153.0,1021.0,2545.0,57.0,55.0,63.0,77.0,71.0,79.0,66.0,69.0,70.0,1799.0,5876.0,4761.0,3983.0,2294.0,1243.0,2471.0,25.0,22.0,27.0,31.0,24.0,26.0,17.0,25.0,33.0,2584.0,5363.0,4375.0,3838.0,2121.0,1124.0,2462.0,75.0,74.0,88.0,87.0,73.0,73.0,60.0,76.0,85.0,2659.0,4221.0,4582.0,4395.0,2396.0,1416.0,2454.0,31.0,28.0,29.0,40.0,30.0,40.0,31.0,41.0,39.0,2012.0,3925.0,4151.0,3956.0,2268.0,1242.0,2512.0,46.0,28.0,36.0,47.0,32.0,54.0,27.0,53.0,34.0,2311.0,6198.0,3769.0,4118.0,2427.0,1289.0,2586.0,96.0,45.0,51.0,57.0,41.0,48.0,41.0,58.0,45.0,1935.0,7205.0,3778.0,4097.0,2609.0,1654.0,2452.0,104.0,61.0,52.0,70.0,49.0,46.0,46.0,55.0,42.0,1692.0,6136.0,3179.0,4383.0,2284.0,1623.0,2518.0,88.0,62.0,35.0,73.0,42.0,46.0,25.0,47.0,31.0,2613.0,7348.0,3861.0,4667.0,2873.0,1531.0,ferret
7103.0,4361.0,4463.0,4429.0,4387.0,4291.0,4190.0,4051.0,4196.0,4226.0,7692.0,7178.0,11808.0,7917.0,9906.0,9131.0,2196.0,26.0,30.0,42.0,32.0,29.0,28.0,33.0,31.0,31.0,3408.0,1966.0,5894.0,2463.0,3539.0,1823.0,2243.0,20.0,22.0,34.0,26.0,25.0,21.0,23.0,20.0,20.0,3097.0,1934.0,6354.0,2631.0,3925.0,1850.0,2228.0,27.0,30.0,46.0,35.0,33.0,29.0,28.0,27.0,26.0,3150.0,2110.0,6343.0,2501.0,3605.0,1692.0,2202.0,23.0,27.0,40.0,29.0,29.0,23.0,29.0,24.0,22.0,3167.0,4415.0,6457.0,2524.0,3444.0,1719.0,2155.0,23.0,23.0,33.0,28.0,21.0,25.0,22.0,25.0,21.0,3060.0,3511.0,6131.0,2703.0,3753.0,1865.0,2107.0,23.0,25.0,38.0,30.0,22.0,22.0,27.0,22.0,23.0,2898.0,2073.0,5671.0,2596.0,3625.0,1726.0,2038.0,22.0,19.0,32.0,24.0,22.0,23.0,20.0,26.0,19.0,2517.0,1852.0,5827.0,2317.0,3360.0,1623.0,2125.0,57.0,49.0,61.0,44.0,47.0,46.0,54.0,59.0,58.0,2720.0,2279.0,5219.0,2283.0,3532.0,1713.0,2127.0,26.0,22.0,40.0,28.0,24.0,26.0,22.0,28.0,19.0,3032.0,2069.0,4800.0,2430.0,3419.0,1638.0,2186.0,119.0,107.0,120.0,110.0,98.0,107.0,96.0,93.0,99.0,3503.0,2514.0,5319.0,2843.0,3981.0,1939.0,2173.0,33.0,34.0,56.0,35.0,31.0,32.0,30.0,31.0,31.0,3117.0,3056.0,6868.0,2526.0,3570.0,1775.0,2192.0,41.0,40.0,48.0,42.0,33.0,38.0,35.0,41.0,35.0,3067.0,4665.0,7883.0,2529.0,3389.0,1695.0,2263.0,60.0,53.0,56.0,51.0,49.0,59.0,42.0,48.0,50.0,3349.0,4627.0,7914.0,2663.0,3591.0,1888.0,2256.0,94.0,58.0,63.0,47.0,43.0,51.0,44.0,48.0,45.0,2953.0,2786.0,7844.0,2816.0,3387.0,2025.0,2297.0,115.0,66.0,75.0,48.0,49.0,46.0,49.0,56.0,53.0,3564.0,3397.0,7939.0,3007.0,4170.0,2306.0,ferret
