ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret
5522,3636,3485,3575,3581,3573,3489,3517,7327,3508,5129,7798,6758,3508,3511,3597,ferret
1812,44,42,44,35,38,35,39,3196,26,968,2497,1661,32,20,27,ferret
1733,23,20,25,23,27,21,17,3030,15,982,2474,2045,13,12,11,ferret
1791,43,29,35,38,30,29,29,2616,30,1010,2532,1826,30,24,26,ferret
1788,42,28,34,30,34,34,28,2856,32,1055,2808,1985,31,19,18,ferret
1782,36,31,38,36,28,36,42,3072,40,1034,2714,2042,34,16,16,ferret
1726,22,15,30,23,17,18,21,2738,17,1034,2379,1892,16,15,14,ferret
1754,32,30,38,26,24,32,37,2440,25,934,2476,1606,26,13,17,ferret
1777,183,158,122,176,124,104,115,2466,121,1125,2950,2168,120,84,71,ferret
1754,30,25,31,24,23,28,32,2473,27,948,2333,1646,27,13,15,ferret
1773,76,52,62,48,59,46,52,3017,52,1013,2701,2054,33,36,50,ferret
1730,82,56,30,73,44,18,60,2901,21,987,2582,2178,22,34,24,ferret
1732,93,63,67,73,48,30,38,3246,28,1093,2998,1843,25,36,33,ferret
1753,41,28,37,30,29,29,36,2700,32,927,2490,2018,26,22,23,ferret
1762,24,22,31,27,18,31,28,2708,23,931,2473,1871,27,14,16,ferret
1815,40,26,35,27,29,37,21,2963,25,1013,2756,2091,26,12,15,ferret
3811,2499,2409,2533,2460,2496,2394,2467,4245,2446,4456,3414,3129,2497,2504,2493,ferret
1262,19,17,32,24,24,19,19,1828,22,2508,667,394,42,21,26,ferret
1212,14,9,40,10,12,8,11,1817,18,1409,732,450,41,10,14,ferret
1250,19,11,44,17,28,13,23,1823,28,1919,782,417,60,36,31,ferret
1236,17,14,67,19,21,16,18,1821,21,896,710,399,42,20,21,ferret
1255,17,14,38,17,17,13,17,1822,21,823,871,501,44,22,18,ferret
1208,12,7,38,13,16,13,19,1820,26,1998,737,455,33,10,13,ferret
1244,20,15,39,19,23,15,21,1815,29,1530,685,412,40,18,18,ferret
1228,24,20,47,12,18,16,14,1811,31,2497,720,382,48,17,26,ferret
1225,18,15,55,20,21,8,21,1822,23,3954,661,410,46,17,15,ferret
1207,40,29,56,32,31,35,34,1837,38,4125,710,456,94,25,33,ferret
