From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
1784.0,1220.0,1190.0,1245.0,1245.0,1263.0,1095.0,1140.0,1125.0,1115.0,1097.0,1481.0,4814.0,1355.0,1182.0,1410.0,288.0,69.0,100.0,81.0,107.0,90.0,77.0,83.0,87.0,74.0,74.0,244.0,3970.0,155.0,97.0,95.0,270.0,80.0,71.0,88.0,102.0,92.0,84.0,74.0,81.0,76.0,68.0,239.0,3565.0,140.0,81.0,90.0,297.0,82.0,87.0,77.0,114.0,91.0,92.0,92.0,84.0,78.0,78.0,245.0,2820.0,161.0,82.0,73.0,342.0,103.0,104.0,104.0,111.0,117.0,105.0,108.0,106.0,92.0,97.0,265.0,2913.0,182.0,105.0,97.0,330.0,101.0,109.0,90.0,122.0,116.0,126.0,109.0,116.0,101.0,96.0,260.0,3226.0,182.0,99.0,91.0,221.0,56.0,65.0,68.0,87.0,80.0,63.0,92.0,71.0,61.0,77.0,208.0,2835.0,150.0,76.0,76.0,232.0,72.0,69.0,69.0,108.0,88.0,84.0,83.0,105.0,73.0,85.0,237.0,2806.0,165.0,86.0,72.0,277.0,76.0,85.0,79.0,108.0,95.0,84.0,92.0,77.0,92.0,90.0,245.0,2823.0,169.0,91.0,94.0,269.0,63.0,75.0,71.0,88.0,91.0,78.0,76.0,81.0,64.0,88.0,229.0,2765.0,164.0,86.0,84.0,263.0,78.0,86.0,81.0,109.0,95.0,88.0,86.0,86.0,78.0,79.0,250.0,3697.0,161.0,106.0,95.0,486.0,86.0,90.0,83.0,107.0,104.0,86.0,94.0,96.0,81.0,80.0,244.0,2607.0,198.0,102.0,84.0,404.0,236.0,208.0,199.0,233.0,229.0,249.0,251.0,222.0,206.0,202.0,442.0,2769.0,390.0,195.0,254.0,370.0,95.0,97.0,89.0,111.0,102.0,101.0,99.0,100.0,92.0,112.0,289.0,2935.0,171.0,146.0,114.0,270.0,104.0,131.0,112.0,120.0,117.0,110.0,106.0,116.0,99.0,99.0,236.0,2742.0,209.0,111.0,142.0,490.0,127.0,127.0,119.0,123.0,133.0,131.0,124.0,123.0,119.0,106.0,330.0,3223.0,243.0,157.0,118.0,raytrace
2965.0,1637.0,1512.0,1528.0,1546.0,1649.0,1429.0,1523.0,1531.0,1507.0,1401.0,2174.0,1499.0,2288.0,1585.0,1531.0,1489.0,12.0,16.0,13.0,14.0,14.0,10.0,17.0,13.0,12.0,7.0,713.0,12.0,768.0,13.0,14.0,1394.0,8.0,12.0,10.0,10.0,9.0,9.0,15.0,12.0,9.0,9.0,688.0,7.0,654.0,13.0,14.0,1404.0,11.0,15.0,13.0,19.0,10.0,11.0,17.0,11.0,11.0,8.0,649.0,10.0,692.0,11.0,11.0,1451.0,17.0,21.0,10.0,13.0,14.0,11.0,14.0,13.0,11.0,11.0,706.0,12.0,711.0,13.0,16.0,1448.0,15.0,19.0,13.0,13.0,12.0,12.0,18.0,16.0,14.0,12.0,714.0,14.0,732.0,14.0,16.0,1349.0,10.0,15.0,11.0,10.0,10.0,9.0,13.0,12.0,12.0,7.0,750.0,8.0,679.0,12.0,10.0,1446.0,11.0,12.0,10.0,11.0,10.0,9.0,14.0,15.0,12.0,8.0,725.0,10.0,713.0,13.0,12.0,1436.0,10.0,13.0,11.0,10.0,11.0,8.0,13.0,13.0,10.0,8.0,654.0,9.0,760.0,12.0,12.0,1368.0,14.0,13.0,9.0,14.0,13.0,10.0,16.0,12.0,13.0,6.0,674.0,12.0,712.0,13.0,12.0,1377.0,11.0,13.0,10.0,11.0,12.0,8.0,15.0,12.0,12.0,5.0,701.0,9.0,668.0,11.0,13.0,1378.0,17.0,24.0,22.0,25.0,21.0,22.0,24.0,20.0,34.0,18.0,723.0,19.0,662.0,19.0,18.0,1453.0,25.0,28.0,25.0,16.0,24.0,26.0,25.0,27.0,31.0,14.0,784.0,19.0,717.0,25.0,23.0,1416.0,16.0,21.0,17.0,16.0,18.0,12.0,21.0,16.0,18.0,14.0,738.0,18.0,714.0,17.0,16.0,1398.0,16.0,16.0,15.0,18.0,14.0,14.0,20.0,18.0,16.0,15.0,756.0,15.0,669.0,26.0,28.0,1402.0,14.0,17.0,13.0,12.0,14.0,12.0,17.0,15.0,14.0,9.0,704.0,14.0,672.0,15.0,14.0,raytrace
2794.0,1462.0,1411.0,1458.0,1475.0,1522.0,1366.0,1395.0,1367.0,1363.0,1348.0,2163.0,1462.0,2350.0,1536.0,1492.0,1273.0,13.0,13.0,13.0,16.0,16.0,11.0,12.0,18.0,11.0,12.0,737.0,16.0,755.0,18.0,13.0,1206.0,13.0,9.0,15.0,10.0,14.0,10.0,8.0,13.0,11.0,8.0,685.0,14.0,714.0,15.0,11.0,1237.0,15.0,13.0,14.0,9.0,12.0,10.0,9.0,17.0,12.0,9.0,702.0,16.0,689.0,16.0,14.0,1239.0,10.0,9.0,19.0,11.0,13.0,11.0,13.0,14.0,11.0,10.0,737.0,15.0,729.0,15.0,10.0,1307.0,11.0,11.0,13.0,12.0,13.0,9.0,9.0,17.0,11.0,11.0,710.0,15.0,758.0,17.0,12.0,1204.0,10.0,8.0,15.0,10.0,12.0,6.0,8.0,11.0,8.0,7.0,762.0,14.0,753.0,11.0,8.0,1269.0,12.0,11.0,13.0,11.0,13.0,8.0,11.0,14.0,12.0,9.0,687.0,15.0,763.0,16.0,11.0,1218.0,10.0,9.0,11.0,13.0,11.0,7.0,10.0,11.0,9.0,10.0,673.0,16.0,766.0,15.0,9.0,1196.0,9.0,9.0,13.0,12.0,15.0,10.0,7.0,15.0,7.0,7.0,667.0,14.0,796.0,15.0,11.0,1182.0,9.0,7.0,10.0,8.0,11.0,8.0,8.0,14.0,8.0,7.0,700.0,13.0,774.0,12.0,10.0,1288.0,22.0,21.0,23.0,22.0,17.0,18.0,21.0,15.0,15.0,16.0,762.0,24.0,838.0,24.0,22.0,1315.0,20.0,20.0,17.0,19.0,21.0,16.0,19.0,23.0,16.0,16.0,757.0,27.0,811.0,23.0,22.0,1289.0,18.0,20.0,20.0,16.0,11.0,18.0,13.0,16.0,15.0,17.0,775.0,25.0,781.0,21.0,17.0,1310.0,14.0,12.0,13.0,17.0,12.0,10.0,10.0,16.0,10.0,10.0,789.0,17.0,743.0,22.0,15.0,1322.0,14.0,11.0,14.0,10.0,12.0,10.0,10.0,16.0,10.0,10.0,713.0,16.0,764.0,15.0,13.0,raytrace
2501.0,1298.0,1194.0,1247.0,1179.0,1229.0,1131.0,1185.0,1265.0,1244.0,1137.0,2013.0,1253.0,1920.0,1326.0,1249.0,1269.0,20.0,8.0,20.0,13.0,12.0,8.0,10.0,14.0,12.0,12.0,660.0,19.0,531.0,29.0,23.0,1218.0,24.0,3.0,11.0,9.0,8.0,5.0,7.0,8.0,4.0,3.0,631.0,8.0,528.0,9.0,9.0,1247.0,23.0,7.0,15.0,12.0,11.0,8.0,8.0,9.0,8.0,7.0,636.0,10.0,504.0,9.0,7.0,1147.0,50.0,4.0,8.0,8.0,7.0,6.0,6.0,11.0,7.0,5.0,586.0,10.0,473.0,7.0,8.0,1188.0,24.0,5.0,12.0,9.0,10.0,8.0,8.0,10.0,10.0,6.0,627.0,9.0,532.0,9.0,8.0,1170.0,24.0,3.0,10.0,7.0,8.0,3.0,5.0,8.0,5.0,4.0,616.0,5.0,512.0,7.0,6.0,1225.0,19.0,3.0,11.0,6.0,8.0,6.0,6.0,9.0,5.0,3.0,604.0,7.0,542.0,7.0,7.0,1241.0,22.0,4.0,13.0,10.0,11.0,6.0,7.0,10.0,8.0,5.0,615.0,8.0,525.0,8.0,8.0,1264.0,21.0,6.0,15.0,8.0,10.0,7.0,8.0,9.0,9.0,5.0,644.0,9.0,520.0,11.0,8.0,1188.0,22.0,3.0,10.0,6.0,7.0,4.0,2.0,8.0,6.0,2.0,623.0,6.0,494.0,8.0,4.0,1224.0,19.0,5.0,13.0,15.0,10.0,6.0,10.0,16.0,10.0,10.0,672.0,16.0,542.0,14.0,6.0,1268.0,46.0,5.0,13.0,12.0,12.0,8.0,12.0,17.0,12.0,9.0,708.0,12.0,540.0,11.0,9.0,1330.0,32.0,11.0,21.0,21.0,17.0,16.0,17.0,22.0,17.0,16.0,732.0,22.0,538.0,20.0,14.0,1298.0,78.0,8.0,15.0,10.0,16.0,10.0,12.0,13.0,12.0,8.0,697.0,10.0,538.0,15.0,10.0,1245.0,44.0,6.0,15.0,9.0,10.0,7.0,8.0,12.0,9.0,6.0,690.0,9.0,541.0,11.0,8.0,raytrace
3056.0,1521.0,1391.0,1467.0,1492.0,1532.0,1394.0,1403.0,1416.0,1483.0,1446.0,2244.0,1572.0,2280.0,1502.0,1505.0,1391.0,10.0,11.0,9.0,18.0,41.0,11.0,11.0,9.0,12.0,10.0,652.0,13.0,704.0,22.0,11.0,1344.0,4.0,2.0,6.0,8.0,22.0,3.0,6.0,6.0,8.0,3.0,624.0,7.0,661.0,9.0,6.0,1422.0,10.0,6.0,7.0,9.0,22.0,7.0,10.0,10.0,9.0,6.0,672.0,12.0,638.0,12.0,9.0,1450.0,5.0,5.0,7.0,12.0,47.0,5.0,7.0,8.0,8.0,5.0,673.0,7.0,631.0,10.0,7.0,1383.0,10.0,7.0,10.0,10.0,20.0,13.0,12.0,10.0,13.0,8.0,681.0,14.0,646.0,21.0,18.0,1333.0,5.0,4.0,5.0,8.0,17.0,6.0,7.0,8.0,8.0,4.0,679.0,9.0,729.0,10.0,9.0,1390.0,6.0,4.0,5.0,11.0,20.0,4.0,6.0,7.0,7.0,4.0,694.0,6.0,686.0,9.0,8.0,1405.0,9.0,4.0,4.0,8.0,18.0,5.0,6.0,7.0,8.0,3.0,662.0,7.0,692.0,10.0,8.0,1448.0,7.0,5.0,4.0,11.0,19.0,4.0,6.0,7.0,7.0,4.0,743.0,8.0,676.0,9.0,8.0,1431.0,4.0,2.0,4.0,7.0,17.0,4.0,5.0,6.0,6.0,3.0,690.0,5.0,673.0,7.0,6.0,1517.0,9.0,8.0,5.0,16.0,21.0,12.0,12.0,13.0,11.0,9.0,759.0,13.0,693.0,8.0,9.0,1535.0,10.0,7.0,6.0,14.0,39.0,8.0,11.0,8.0,8.0,7.0,710.0,10.0,777.0,11.0,9.0,1494.0,15.0,11.0,11.0,17.0,24.0,13.0,10.0,12.0,11.0,10.0,655.0,13.0,669.0,10.0,10.0,1489.0,12.0,8.0,8.0,15.0,66.0,7.0,11.0,11.0,10.0,7.0,606.0,10.0,647.0,13.0,11.0,1493.0,10.0,8.0,6.0,10.0,34.0,7.0,10.0,9.0,9.0,6.0,660.0,10.0,660.0,12.0,10.0,raytrace
8354.0,5322.0,5481.0,5598.0,5322.0,5555.0,5375.0,5567.0,5295.0,5061.0,5177.0,5414.0,4946.0,5719.0,5762.0,5504.0,3138.0,250.0,657.0,561.0,382.0,488.0,525.0,592.0,557.0,901.0,287.0,779.0,49.0,728.0,484.0,414.0,3087.0,227.0,562.0,678.0,313.0,483.0,455.0,472.0,552.0,175.0,195.0,712.0,18.0,742.0,469.0,228.0,3203.0,231.0,552.0,572.0,375.0,520.0,551.0,497.0,537.0,174.0,207.0,739.0,19.0,785.0,500.0,242.0,3153.0,261.0,570.0,565.0,346.0,573.0,522.0,569.0,501.0,195.0,243.0,735.0,29.0,723.0,564.0,308.0,3177.0,253.0,514.0,599.0,374.0,533.0,594.0,537.0,519.0,202.0,247.0,778.0,22.0,728.0,533.0,286.0,3105.0,193.0,511.0,592.0,317.0,538.0,476.0,480.0,505.0,147.0,198.0,729.0,14.0,771.0,511.0,207.0,3077.0,292.0,529.0,551.0,387.0,563.0,503.0,424.0,548.0,223.0,256.0,738.0,20.0,763.0,515.0,278.0,3001.0,187.0,574.0,584.0,326.0,503.0,504.0,449.0,517.0,179.0,192.0,729.0,15.0,708.0,467.0,228.0,3012.0,311.0,570.0,577.0,360.0,472.0,491.0,501.0,559.0,173.0,252.0,706.0,33.0,787.0,454.0,916.0,3108.0,253.0,559.0,595.0,359.0,494.0,504.0,445.0,568.0,188.0,180.0,752.0,29.0,767.0,494.0,263.0,3016.0,212.0,550.0,579.0,359.0,463.0,516.0,426.0,595.0,168.0,220.0,740.0,17.0,713.0,509.0,232.0,3145.0,242.0,603.0,624.0,421.0,531.0,559.0,487.0,545.0,226.0,262.0,699.0,15.0,791.0,505.0,291.0,3220.0,273.0,632.0,558.0,404.0,580.0,590.0,504.0,553.0,194.0,262.0,682.0,29.0,761.0,651.0,302.0,3278.0,290.0,605.0,617.0,414.0,596.0,553.0,492.0,580.0,235.0,280.0,727.0,30.0,744.0,533.0,364.0,3244.0,1068.0,610.0,621.0,480.0,577.0,560.0,694.0,590.0,418.0,347.0,740.0,36.0,740.0,607.0,347.0,raytrace
7360.0,4518.0,5126.0,5178.0,5004.0,5033.0,5018.0,4363.0,5036.0,4360.0,4337.0,4946.0,4477.0,5215.0,5028.0,4457.0,2996.0,46.0,781.0,684.0,635.0,692.0,642.0,44.0,738.0,39.0,41.0,472.0,34.0,787.0,557.0,52.0,2859.0,31.0,799.0,658.0,561.0,609.0,619.0,23.0,742.0,30.0,26.0,463.0,28.0,724.0,549.0,45.0,2887.0,32.0,787.0,705.0,523.0,640.0,654.0,31.0,743.0,28.0,33.0,410.0,28.0,774.0,606.0,38.0,2936.0,35.0,809.0,703.0,558.0,674.0,729.0,43.0,707.0,32.0,33.0,451.0,34.0,749.0,618.0,52.0,2934.0,39.0,744.0,702.0,599.0,586.0,760.0,41.0,671.0,33.0,37.0,407.0,35.0,730.0,639.0,51.0,2855.0,30.0,758.0,813.0,570.0,726.0,736.0,32.0,844.0,26.0,33.0,411.0,30.0,807.0,579.0,41.0,2842.0,37.0,766.0,786.0,617.0,698.0,782.0,35.0,770.0,29.0,31.0,421.0,37.0,756.0,591.0,45.0,2847.0,36.0,843.0,707.0,566.0,604.0,687.0,34.0,728.0,32.0,33.0,417.0,28.0,711.0,531.0,36.0,2859.0,44.0,804.0,736.0,567.0,639.0,728.0,39.0,779.0,44.0,45.0,436.0,28.0,742.0,617.0,48.0,2931.0,40.0,760.0,715.0,574.0,738.0,688.0,38.0,809.0,34.0,40.0,386.0,29.0,696.0,570.0,46.0,2871.0,24.0,763.0,731.0,547.0,726.0,723.0,22.0,714.0,23.0,28.0,451.0,26.0,737.0,617.0,37.0,2970.0,18.0,767.0,685.0,550.0,754.0,688.0,18.0,811.0,19.0,18.0,513.0,17.0,812.0,616.0,29.0,2957.0,43.0,729.0,685.0,620.0,753.0,742.0,45.0,743.0,46.0,54.0,454.0,39.0,785.0,643.0,55.0,2976.0,29.0,709.0,727.0,658.0,671.0,694.0,29.0,797.0,28.0,29.0,498.0,27.0,733.0,571.0,38.0,2932.0,40.0,768.0,794.0,644.0,731.0,675.0,43.0,787.0,44.0,47.0,525.0,33.0,781.0,587.0,53.0,raytrace
5987.0,3469.0,4094.0,4071.0,3459.0,4177.0,4091.0,3322.0,4050.0,3426.0,3319.0,3460.0,3425.0,4189.0,4201.0,3528.0,2406.0,30.0,701.0,562.0,40.0,595.0,745.0,26.0,646.0,28.0,32.0,56.0,33.0,762.0,521.0,33.0,2350.0,20.0,684.0,564.0,33.0,579.0,711.0,19.0,686.0,15.0,20.0,44.0,24.0,734.0,553.0,30.0,2401.0,22.0,686.0,514.0,35.0,628.0,686.0,21.0,747.0,19.0,20.0,43.0,21.0,717.0,549.0,31.0,2405.0,29.0,703.0,467.0,42.0,621.0,746.0,24.0,774.0,25.0,35.0,64.0,29.0,745.0,555.0,36.0,2487.0,27.0,750.0,538.0,39.0,615.0,813.0,29.0,731.0,26.0,32.0,52.0,29.0,724.0,558.0,43.0,2375.0,18.0,699.0,515.0,31.0,686.0,752.0,23.0,700.0,21.0,30.0,46.0,28.0,774.0,517.0,26.0,2345.0,30.0,759.0,513.0,33.0,695.0,707.0,27.0,741.0,21.0,31.0,48.0,31.0,722.0,578.0,34.0,2325.0,22.0,730.0,518.0,30.0,593.0,724.0,17.0,670.0,16.0,26.0,47.0,23.0,751.0,570.0,30.0,2450.0,24.0,716.0,527.0,44.0,677.0,728.0,27.0,712.0,18.0,30.0,53.0,34.0,768.0,548.0,28.0,2321.0,22.0,735.0,591.0,31.0,599.0,678.0,23.0,731.0,17.0,26.0,56.0,25.0,721.0,552.0,23.0,2403.0,24.0,705.0,564.0,37.0,646.0,676.0,26.0,712.0,18.0,22.0,30.0,30.0,740.0,554.0,30.0,2417.0,12.0,711.0,549.0,19.0,676.0,724.0,11.0,688.0,16.0,11.0,29.0,14.0,709.0,587.0,12.0,2442.0,22.0,706.0,518.0,26.0,651.0,750.0,18.0,705.0,20.0,23.0,36.0,22.0,722.0,596.0,27.0,2524.0,23.0,691.0,548.0,31.0,651.0,713.0,24.0,736.0,20.0,26.0,65.0,25.0,727.0,584.0,31.0,2518.0,32.0,723.0,556.0,39.0,610.0,741.0,31.0,737.0,22.0,28.0,72.0,31.0,724.0,627.0,29.0,raytrace
3416.0,1832.0,2244.0,1872.0,1770.0,2416.0,2381.0,1796.0,2086.0,1745.0,1742.0,1823.0,1784.0,2001.0,1892.0,1767.0,1567.0,10.0,413.0,30.0,16.0,691.0,671.0,16.0,290.0,17.0,12.0,12.0,12.0,160.0,31.0,15.0,1537.0,10.0,368.0,18.0,6.0,701.0,680.0,7.0,281.0,15.0,8.0,10.0,12.0,163.0,24.0,13.0,1553.0,11.0,403.0,29.0,11.0,746.0,624.0,14.0,297.0,14.0,14.0,15.0,15.0,155.0,31.0,10.0,1469.0,9.0,383.0,32.0,17.0,697.0,649.0,15.0,286.0,16.0,17.0,15.0,23.0,170.0,32.0,19.0,1406.0,15.0,425.0,32.0,19.0,707.0,721.0,22.0,277.0,18.0,19.0,28.0,22.0,191.0,38.0,21.0,1463.0,10.0,426.0,19.0,15.0,773.0,659.0,14.0,295.0,13.0,13.0,13.0,15.0,163.0,30.0,14.0,1526.0,10.0,440.0,19.0,13.0,719.0,687.0,16.0,278.0,17.0,12.0,14.0,12.0,171.0,24.0,14.0,1426.0,11.0,459.0,24.0,13.0,712.0,597.0,11.0,288.0,15.0,8.0,10.0,12.0,166.0,30.0,16.0,1512.0,10.0,407.0,27.0,10.0,706.0,665.0,11.0,343.0,9.0,8.0,9.0,9.0,165.0,28.0,13.0,1516.0,7.0,376.0,23.0,9.0,686.0,639.0,10.0,340.0,11.0,7.0,8.0,9.0,156.0,27.0,12.0,1568.0,18.0,422.0,19.0,14.0,729.0,691.0,15.0,306.0,15.0,15.0,13.0,20.0,156.0,32.0,19.0,1534.0,7.0,425.0,12.0,4.0,759.0,701.0,5.0,256.0,6.0,5.0,4.0,6.0,181.0,16.0,7.0,1514.0,12.0,433.0,24.0,11.0,771.0,634.0,8.0,342.0,10.0,12.0,9.0,15.0,164.0,33.0,15.0,1498.0,15.0,427.0,28.0,15.0,781.0,658.0,18.0,313.0,14.0,13.0,14.0,19.0,219.0,41.0,14.0,1553.0,12.0,375.0,26.0,10.0,690.0,629.0,11.0,331.0,11.0,10.0,10.0,12.0,183.0,30.0,15.0,raytrace
7955.0,3241.0,2858.0,3026.0,2973.0,3502.0,3344.0,2873.0,2991.0,2908.0,2887.0,2760.0,3462.0,2902.0,3064.0,2995.0,1544.0,313.0,119.0,243.0,168.0,592.0,553.0,184.0,206.0,161.0,153.0,145.0,622.0,107.0,202.0,111.0,1487.0,333.0,97.0,250.0,125.0,603.0,514.0,183.0,180.0,144.0,156.0,123.0,528.0,99.0,176.0,98.0,1538.0,360.0,123.0,240.0,146.0,584.0,515.0,188.0,205.0,168.0,149.0,150.0,480.0,117.0,176.0,111.0,1562.0,372.0,124.0,237.0,164.0,624.0,556.0,193.0,258.0,165.0,174.0,157.0,608.0,122.0,199.0,126.0,1591.0,386.0,124.0,239.0,160.0,609.0,527.0,186.0,231.0,182.0,165.0,154.0,640.0,124.0,218.0,126.0,1488.0,321.0,117.0,242.0,139.0,674.0,511.0,161.0,210.0,171.0,155.0,146.0,491.0,104.0,198.0,110.0,1472.0,316.0,111.0,232.0,163.0,601.0,544.0,158.0,237.0,152.0,167.0,140.0,393.0,103.0,188.0,114.0,1512.0,347.0,129.0,239.0,170.0,594.0,561.0,250.0,195.0,159.0,171.0,143.0,462.0,120.0,215.0,119.0,1489.0,281.0,113.0,223.0,145.0,581.0,491.0,165.0,224.0,138.0,155.0,119.0,431.0,101.0,176.0,100.0,1472.0,296.0,109.0,228.0,153.0,605.0,498.0,170.0,218.0,161.0,145.0,127.0,444.0,105.0,180.0,118.0,1426.0,292.0,103.0,226.0,148.0,605.0,505.0,185.0,177.0,145.0,175.0,118.0,396.0,101.0,175.0,104.0,1560.0,565.0,146.0,242.0,213.0,660.0,636.0,203.0,231.0,197.0,194.0,143.0,489.0,161.0,242.0,168.0,1543.0,273.0,128.0,216.0,160.0,611.0,556.0,188.0,232.0,167.0,157.0,130.0,506.0,117.0,237.0,126.0,1561.0,278.0,124.0,190.0,165.0,616.0,557.0,185.0,238.0,158.0,219.0,148.0,477.0,116.0,183.0,160.0,1583.0,296.0,123.0,220.0,160.0,637.0,561.0,179.0,229.0,169.0,211.0,170.0,524.0,122.0,213.0,127.0,raytrace
