From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
743,640,572,613,609,620,579,5039,593,588,574,583,597,627,683,649,51,14,1,7,4,4,4,1888,6,5,4,1,5,5,22,8,14,19,1,1,2,3,0,1939,10,1,2,1,1,2,15,2,40,14,4,4,4,4,5,2093,5,2,3,3,4,3,21,5,34,17,2,5,5,1,2,2010,12,3,3,1,2,3,24,3,41,10,1,1,6,5,1,1949,12,2,2,2,3,6,18,8,22,8,1,3,4,3,2,1830,8,2,1,2,2,1,21,5,34,10,2,2,3,3,4,2024,12,2,2,2,5,2,20,3,25,12,1,4,2,1,2,1877,11,7,3,2,2,4,16,4,26,14,1,3,2,3,1,2012,5,2,3,1,3,4,24,5,17,10,1,3,4,2,1,2219,11,2,3,4,4,4,18,5,18,5,0,1,3,3,0,2082,8,0,2,2,5,2,16,4,34,9,2,3,7,3,1,2047,13,2,2,2,1,5,38,4,51,9,1,5,2,6,3,1917,13,4,1,0,4,5,19,6,64,6,2,6,7,4,4,1961,13,5,2,4,5,8,37,11,62,14,4,3,8,5,3,2022,8,3,3,1,3,4,38,7,vips
23593,15510,15750,16107,15792,15878,15636,15887,15461,14813,13409,15368,15777,15735,16103,15350,8586,1843,2201,2347,1961,2024,2284,2298,2100,1558,254,2241,2305,2116,2291,1545,8470,1726,2161,2276,1959,1910,2263,2136,2070,1499,225,2155,2205,1992,2219,1955,8675,1895,2210,2265,1949,1949,2403,2186,2025,2262,236,2153,2296,2038,2451,3098,8628,1965,2185,2212,1923,1890,2211,2105,2011,4482,172,2030,2134,2084,2267,2735,8794,1918,2184,2269,1986,1962,2303,2176,2098,4268,237,2088,2148,1986,2284,1588,8420,2587,2151,2279,1961,1907,2273,2145,2153,1854,204,2051,2078,1863,2385,1475,8467,3412,2288,2299,1947,2065,2340,2179,2222,1578,259,2174,2128,1959,2298,1576,8559,2148,2303,2316,2077,2844,2368,2246,2281,1711,280,2084,2191,2060,2399,1555,8455,1916,2262,2424,2022,2636,2373,2352,2235,1602,286,2154,2137,2006,2358,1894,8371,1748,2171,2296,1977,2169,2254,2315,2083,1464,179,2049,2082,1925,2313,1464,8263,1704,2205,2251,1972,1949,2260,2259,1973,1457,220,2029,2060,1801,2230,1476,8611,1838,2311,2327,2021,1994,2364,2796,2158,1586,284,2212,2268,2037,2345,1596,8604,2018,2233,2355,2053,1950,2305,2364,2083,1596,251,2248,2291,2068,2324,1618,8618,1799,2206,2384,1992,1956,2772,2322,2094,1570,287,2309,2191,2009,2310,1528,8765,1829,2353,2401,2029,2031,2419,2442,2158,1725,323,2322,2271,2097,2382,1619,vips
22332,15528,14926,14759,15047,15410,14489,15494,14739,15111,12734,14560,15252,15306,14691,15433,8651,2362,2032,1535,1963,2316,1633,2308,1968,2448,95,1953,2496,2400,1612,2379,8692,2383,1935,1585,2016,2256,1771,2378,1979,2401,125,1961,2607,2434,1728,2396,8718,2370,2035,1643,2133,2237,1909,2415,1952,2423,106,1951,2504,2405,1872,2333,8532,2404,2023,1711,1964,2245,1794,2460,2055,2416,134,1968,2528,2418,1831,2341,8566,2389,2097,1661,1981,2280,1705,2373,2001,2435,97,1948,2498,2424,1716,2341,8439,2370,2030,1508,1939,2233,1796,2403,2021,2363,133,1931,2518,2417,1961,2350,8562,2348,1999,1512,1935,2231,1660,2276,1969,2402,124,1964,2384,2433,1716,2396,8420,2384,2021,1554,1942,2254,1787,2410,1998,2502,101,1931,2482,2423,1842,2368,8397,2367,1966,1533,2015,2264,1753,2358,1966,2441,135,1900,2432,2416,1742,2411,8316,2303,1944,1465,1930,2211,1666,2311,1892,2350,41,1908,2421,2396,1675,2335,8297,2305,1931,1441,1862,2173,1670,2330,1917,2382,84,1883,2420,2416,1613,2308,8474,2366,2132,1583,1951,2292,1764,2399,2011,2477,126,1959,2489,2400,1739,2436,8458,2360,1950,1549,1948,2233,1683,2346,1977,2408,120,1930,2355,2394,1716,2361,8546,2307,1990,1486,1967,2202,1945,2339,1949,2424,137,1916,2328,2372,1668,2390,8598,2373,2073,1521,1994,2260,1704,2534,1960,2754,132,1922,2443,2431,1742,2413,vips
22880,15154,15304,15553,15856,15302,15249,15220,15177,14878,13070,15085,15293,15151,15637,15217,8904,1829,2036,2254,2598,1690,2214,1948,1784,1827,163,2061,2106,2133,2231,1755,8863,1837,1946,2232,2632,1649,2130,2047,1785,1806,133,2027,2360,1850,2168,1869,8880,1778,1989,2154,2536,1638,2254,2040,1750,1844,138,2013,2083,1898,2547,1662,8848,1772,1989,2117,2491,1621,2179,2203,1833,1758,143,2315,2097,1853,2205,1798,9007,1878,2022,2215,2641,2204,2239,2388,2080,1882,196,2515,2116,2130,2236,1854,8692,1794,1949,2128,2591,2543,2167,2054,1910,1735,166,2007,2050,2578,2395,1728,8719,1806,2006,2173,2530,2657,2232,2029,1725,1775,164,2106,2046,2766,2261,1745,8741,1827,2001,2163,2546,2407,2209,2103,1850,1839,124,2088,2107,2167,2233,1774,8771,1911,1989,2213,2589,1906,2174,2055,1738,1745,151,2062,2165,2014,2183,2025,8654,1872,1898,2101,2539,1528,2037,1981,1747,1652,28,1916,2119,2004,2116,1615,8778,1787,2113,2138,2611,1551,2140,2004,1816,1782,131,1960,2281,1823,2209,1686,8895,1942,2280,2244,2634,1662,2293,2098,1984,1871,164,2371,2294,1950,2272,1776,8867,1899,2244,2204,2575,1661,2213,2017,1801,1910,159,2047,2018,1809,2219,1785,8883,1812,2175,2200,2555,1630,2235,1971,1874,1855,169,2018,2094,1825,2218,1726,8884,1754,2093,2195,2492,1630,2221,2065,1808,1932,131,2026,2021,1792,2249,1775,vips
23553,15642,15882,15469,15113,15875,15270,15571,15520,15323,13177,16139,15869,15553,15506,15595,8880,2062,2454,1873,1541,2210,2028,2049,2251,2128,94,2936,2566,2119,1894,2023,8750,2119,2563,1902,1720,2244,2102,2111,2233,2142,145,3076,2655,2149,2050,2047,8814,2080,2552,1897,1723,2278,2304,2109,2253,2168,130,2943,2609,2161,2470,2037,8702,2037,2575,1867,1624,2184,2129,2174,2199,2163,97,3024,2584,2137,2058,2024,8776,2127,2622,1950,1592,2321,2194,2167,2259,2196,130,3125,2596,2188,2019,2038,8533,2091,2631,2302,1557,2232,2210,2185,2241,2084,156,2945,2625,2148,2217,1954,8646,2045,2471,1834,1518,2167,2075,2064,2199,2074,104,2937,2520,2134,1903,2025,8701,2093,2562,1894,1762,2226,2133,2151,2316,2276,145,2956,2572,2186,2079,2075,8564,2125,2496,1867,1561,2246,2086,2156,2398,2187,131,3039,2595,2218,1919,2349,8421,1988,2427,1827,1544,2092,1993,2075,2139,2040,28,2887,2575,2062,1791,1939,8542,2095,2701,1855,1593,2293,2099,2150,2217,2093,169,3075,2805,2176,1937,2049,8725,2104,2683,1897,1758,2256,2079,2209,2291,2207,136,3104,2607,2176,1920,2107,8793,2074,2528,1880,1717,2200,2004,2138,2226,2101,117,2902,2507,2151,1919,2016,8866,2088,2589,2112,1954,2193,2738,2102,2290,2188,164,2948,2598,2157,1963,2146,8905,2097,2578,1865,1703,2248,2073,2201,2213,2222,101,3090,2639,2171,1958,2056,vips
23117,15145,15135,15557,16562,15243,15152,15269,14604,14700,12930,14865,15005,14942,15546,15476,9099,1760,1951,2064,3348,2058,2147,1949,1679,1824,107,1921,1906,1816,2200,2022,9057,1882,1893,2125,3278,1960,2136,2343,1683,1876,152,1984,2155,1797,2308,2133,9167,2050,2021,2090,3283,2094,2229,2204,1690,1932,153,3510,2922,1841,2231,2059,9060,1776,2624,2039,3209,2033,2046,1989,1671,1906,108,4770,3794,2089,2082,2020,9224,1916,2807,2080,3306,2253,2070,2163,1769,1963,187,2754,3927,2600,2150,2131,8919,1764,2688,2372,3322,2001,2041,1990,1764,1942,197,1901,2321,1803,2249,2154,9105,1804,2345,2059,3245,1882,1995,1943,1766,1911,143,1965,2161,1863,2021,2099,8960,1861,2322,2034,3301,1910,2051,1991,1847,2303,100,1944,2124,1893,2078,2093,8789,1730,2127,1964,3148,1808,1956,1939,1886,1906,89,1873,1994,1776,2025,2021,8809,1668,1902,1911,3192,1817,1891,1882,1631,1846,21,1838,1809,1728,1970,1970,8849,1740,1932,2028,3258,1825,2019,1978,1694,1920,150,1880,1850,1732,1983,2028,9081,1895,2318,2105,3279,1949,2130,2066,1783,2005,163,2033,1917,1834,2113,2054,9048,1737,1930,2100,3261,1848,2018,1965,1707,1889,117,1880,1802,1748,2109,2013,9060,1835,1956,2318,3250,1933,2430,1986,1659,1933,186,1955,1868,1799,2226,2086,9249,1739,1941,2173,3285,1844,2077,1980,1631,1860,102,1901,1808,1721,2208,2016,vips
23210,16021,16029,15931,14987,16160,15070,16035,15489,15403,13253,15405,15659,16027,15329,15703,8960,2371,2585,2317,1352,2410,1777,2367,2190,2040,105,2251,2254,2456,1758,2093,8701,2379,2605,2297,1456,2526,1818,2366,2150,2036,112,2340,2378,2531,1781,1995,8778,2321,2672,2237,1681,2404,1882,2345,2129,2006,94,2195,2270,2507,1784,1944,8645,2357,2679,2311,1780,2411,1883,2406,2163,1994,108,2218,2221,2511,1839,1993,8712,2417,2729,2328,1706,2477,1872,2429,2237,2031,129,2286,2266,2605,1792,2031,8392,2366,2736,2516,1675,2410,1845,2395,2134,1966,112,2185,2266,2527,1868,1974,8724,2412,2732,2265,1915,2509,1823,2364,2134,2015,119,2275,2221,2523,1748,2069,8783,2399,2698,2279,2073,2448,1914,2393,2214,2462,144,2231,2309,2550,1871,2145,8836,2409,2654,2221,1937,2505,1805,2424,2263,2142,130,2240,2236,2563,1735,2158,8686,2312,2671,2253,2037,2385,1730,2297,2079,2013,28,2144,2181,2453,1684,2033,8825,2363,2757,2299,1648,2515,1756,2364,2065,2047,109,2167,2201,2538,1728,2249,9110,2405,2888,2307,1540,2469,1805,2339,2178,2078,106,2210,2267,2531,1768,2328,9119,2361,2651,2262,1428,2485,1778,2383,2162,2008,114,2246,2206,2530,1745,2181,9056,2288,2640,2255,1496,2336,2068,2347,2158,2048,113,2186,2196,2468,1715,2133,9085,2378,2645,2285,1510,2444,1792,2442,2159,2037,109,2224,2170,2546,1755,2031,vips
22362,14762,14549,14797,15992,14758,13877,14836,14497,14716,12526,14267,14541,14569,14816,15237,9157,1911,1887,1987,3253,2332,1406,1901,2078,2248,139,2034,2030,1788,2003,2418,9010,1825,1829,1979,3243,1910,1395,1941,2061,2223,120,2005,1933,1766,1963,2402,8978,1771,1835,2358,3155,1904,1367,1928,1946,2183,97,1962,1916,1827,1984,2381,9004,1730,1786,2205,3080,1872,1589,1909,1968,2229,93,1862,1881,1755,1983,2389,9111,1850,1862,2023,3179,1946,1516,2206,2042,2310,132,1982,2167,1833,2086,2546,8869,1746,1859,1969,3160,1744,1387,1987,1990,2180,136,1761,3189,1692,2313,2490,8959,1803,2246,1952,3237,1820,1416,1940,2073,2206,142,1838,3898,1855,2066,2438,8812,1893,2453,1915,3228,1852,1422,1989,2030,2532,117,1844,2492,1893,2084,2458,8891,1754,2415,1878,3121,1767,1358,1945,1978,2212,105,1771,1909,1719,1955,2463,8788,1751,2504,1787,3166,1723,1289,1998,1894,2124,19,1695,1798,1751,1887,2277,8891,2099,2677,1880,3230,1828,1303,2103,1971,2266,139,1746,1856,1785,1971,2398,8884,1940,2683,1956,3155,1925,1382,2144,2008,2232,99,1885,1875,1891,2034,2343,9031,1889,2427,1873,3242,1856,1371,2158,2068,2223,128,1982,1884,1822,1982,2356,9051,1820,1932,1891,3191,1918,1561,2006,1947,2133,118,1870,1903,1821,1982,2324,9033,1784,1813,1929,3243,1958,1331,2015,2028,2151,103,1864,1869,1869,1974,2320,vips
21748,14992,14973,15235,13876,15318,13885,15051,14635,13648,12490,14485,15082,15097,16124,15043,8279,2248,2363,2400,1184,2522,1054,2361,2198,1153,108,2213,2557,2460,3209,2252,8185,2200,2332,2397,1163,2468,1044,2324,2123,1164,100,2182,2477,2382,3242,2253,8256,2202,2414,2369,1196,2413,1091,2373,2113,1096,132,2202,2713,2442,3641,2149,8238,2191,2414,2399,1206,2444,1180,2380,2087,1029,94,2159,2539,2439,3396,2094,8423,2301,2447,2395,1192,2504,1086,2399,2126,1079,112,2252,2672,2472,3257,2116,8138,2220,2379,2371,1220,2442,1017,2374,2040,1067,111,2146,2599,2412,3411,2043,8264,2211,2363,2370,1197,2426,959,2378,2045,1098,113,2178,2501,2451,3350,2047,8300,2280,2422,2387,1211,2482,1097,2436,2083,1320,130,2203,2566,2447,3420,2212,8217,2243,2359,2335,1216,2455,1063,2400,2233,1050,130,2218,2555,2461,3202,2081,8076,2167,2316,2351,1109,2405,940,2283,1977,1026,23,2112,2510,2341,3265,1983,8048,2186,2400,2395,1127,2371,981,2291,2061,1071,103,2135,2556,2417,3290,2016,8306,2177,2370,2526,1143,2445,1026,2374,2146,1167,99,2160,2558,2412,3195,2140,8416,2230,2442,2384,1191,2440,1070,2390,2173,1105,117,2189,2524,2450,3236,2245,8505,2195,2393,2619,1184,2367,1144,2321,2216,1255,100,2149,2506,2380,3331,2220,8417,2216,2389,2391,1187,2426,1150,2484,2167,1212,104,2176,2521,2457,3414,2226,vips
22455,14936,14894,15109,14812,15129,15453,14877,14566,15424,12742,14401,14854,14755,14969,14935,8736,1823,1872,1986,1682,2129,2699,1771,1876,2728,163,1903,1989,1760,1879,1807,8726,1777,1989,1910,1810,1835,2776,1816,1864,2675,184,2275,1986,1727,2047,1848,8757,1828,2241,1891,2264,1850,2740,1902,1911,2715,148,2102,2305,2058,5477,1840,8758,1874,2460,2018,2386,1834,2848,2203,1890,2719,179,2077,2268,2132,4243,1912,8725,2208,2496,2136,2618,1833,2931,1941,1862,2780,216,2241,2355,1921,2210,1878,8498,1790,2200,1992,2230,1781,2715,1849,1749,2662,142,1997,2185,1811,1896,1867,8571,1831,1828,1883,1903,1766,2729,1841,1827,2676,159,1873,1980,1867,1881,1812,8516,1972,1894,1923,1963,1879,2716,1896,1851,2642,112,1843,1962,1934,1910,2063,8493,1849,1719,1881,1788,1822,2621,1803,1767,2696,132,1778,1854,1717,1831,1815,8432,1703,1705,1779,1814,1810,2610,1734,1693,2626,25,1694,1750,1635,1749,1724,8446,1822,1887,1846,1898,2175,2817,1806,1761,2716,190,1777,1870,1646,1846,1816,8572,1868,1880,1945,2139,2093,2675,1859,1837,2709,125,1874,1925,1730,1871,1813,8732,1824,1876,1914,2392,2030,2837,1883,1929,2731,194,1821,1856,1706,1906,1828,8642,1777,1771,1885,1737,1964,2804,1778,1796,2685,116,1800,1899,1674,1842,1777,8654,1653,1822,1842,1670,1975,2707,1807,1774,2695,108,1754,1893,1616,1841,1772,vips
