Features: 16,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percentage,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,0,0.0,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,0,0.0,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,0,0.0,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,0,0.0,0,40,
"Nu: 0.0001, Gamma: 0.005",0,12,0,0,0.0,0,40,
"Nu: 0.0001, Gamma: 0.05",12,0,0,0,100.0,0,40,
"Nu: 0.0001, Gamma: 0.0625",12,0,0,0,100.0,0,40,
"Nu: 0.0001, Gamma: 0.1",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.0001, Gamma: 0.2",10,2,0,0,83.33333333333334,0,40,
"Nu: 0.0001, Gamma: 0.5",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.0001, Gamma: 0.7",6,6,0,0,50.0,0,40,
"Nu: 0.0001, Gamma: 0.9",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.0001, Gamma: 0.99",2,10,0,0,16.666666666666664,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,0,0.0,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,0,0.0,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,0,0.0,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,0,0.0,0,40,
"Nu: 0.0002, Gamma: 0.005",12,0,0,0,100.0,0,40,
"Nu: 0.0002, Gamma: 0.05",12,0,0,0,100.0,0,40,
"Nu: 0.0002, Gamma: 0.0625",12,0,0,0,100.0,0,40,
"Nu: 0.0002, Gamma: 0.1",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.0002, Gamma: 0.2",10,2,0,0,83.33333333333334,0,40,
"Nu: 0.0002, Gamma: 0.5",9,3,0,0,75.0,0,40,
"Nu: 0.0002, Gamma: 0.7",6,6,0,0,50.0,0,40,
"Nu: 0.0002, Gamma: 0.9",7,5,0,0,58.333333333333336,0,40,
"Nu: 0.0002, Gamma: 0.99",2,10,0,0,16.666666666666664,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,0,0.0,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,0,0.0,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,0,0.0,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,0,0.0,0,40,
"Nu: 0.0003, Gamma: 0.005",12,0,0,0,100.0,0,40,
"Nu: 0.0003, Gamma: 0.05",12,0,0,0,100.0,0,40,
"Nu: 0.0003, Gamma: 0.0625",12,0,0,0,100.0,0,40,
"Nu: 0.0003, Gamma: 0.1",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.0003, Gamma: 0.2",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.0003, Gamma: 0.5",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.0003, Gamma: 0.7",6,6,0,0,50.0,0,40,
"Nu: 0.0003, Gamma: 0.9",8,4,0,0,66.66666666666666,0,40,
"Nu: 0.0003, Gamma: 0.99",7,5,0,0,58.333333333333336,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,0,0.0,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,0,0.0,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,0,0.0,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,0,0.0,0,40,
