Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,95,145
"Nu: 0.0001, Gamma: 0.0001",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,0,13,5,35,0,40,,,
"Nu: 0.0001, Gamma: 0.1",2,0,13,5,35,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,0,6,12,70,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,2,0,18,90,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,2,0,18,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,2,0,18,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,2,0,18,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,2,0,18,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,2,0,18,90,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,2,0,18,90,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,0,13,5,35,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,0,13,5,35,0,40,,,
"Nu: 0.0002, Gamma: 0.1",2,0,13,5,35,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,0,6,12,70,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,2,2,16,80,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,2,0,18,90,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,2,0,18,90,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,2,0,18,90,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,2,0,18,90,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,2,0,18,90,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,2,0,18,90,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,2,0,18,90,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,2,0,18,90,0,40,,,
"Nu: 0.0003, Gamma: 0.05",2,0,13,5,35,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,0,13,5,35,0,40,,,
"Nu: 0.0003, Gamma: 0.1",2,0,13,5,35,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,0,6,12,70,0,40,,,
"Nu: 0.0003, Gamma: 0.5",0,2,2,16,80,0,40,,,
"Nu: 0.0003, Gamma: 0.7",0,2,0,18,90,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2,0,13,5,35,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,0,13,5,35,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,2,0,18,90,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,2,0,18,90,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,2,0,18,90,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,2,0,18,90,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,2,0,18,90,0,40,,,
"Nu: 0.0004, Gamma: 0.05",2,0,13,5,35,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,0,13,5,35,0,40,,,
"Nu: 0.0004, Gamma: 0.1",2,0,13,5,35,0,40,,,
"Nu: 0.0004, Gamma: 0.2",0,2,3,15,75,0,40,,,
"Nu: 0.0004, Gamma: 0.5",0,2,2,16,80,0,40,,,
"Nu: 0.0004, Gamma: 0.7",2,0,13,5,35,0,40,,,
"Nu: 0.0004, Gamma: 0.9",0,2,2,16,80,0,40,,,
"Nu: 0.0004, Gamma: 0.99",0,2,1,17,85,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,2,0,18,90,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,2,0,18,90,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,2,0,18,90,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,2,0,18,90,0,40,,,
"Nu: 0.005, Gamma: 0.005",2,0,13,5,35,0,40,,,
"Nu: 0.005, Gamma: 0.05",2,0,13,5,35,0,40,,,
"Nu: 0.005, Gamma: 0.0625",2,0,13,5,35,0,40,,,
"Nu: 0.005, Gamma: 0.1",2,0,13,5,35,0,40,,,
"Nu: 0.005, Gamma: 0.2",2,0,14,4,30,0,40,,,
"Nu: 0.005, Gamma: 0.5",2,0,13,5,35,0,40,,,
"Nu: 0.005, Gamma: 0.7",2,0,14,4,30,0,40,,,
"Nu: 0.005, Gamma: 0.9",2,0,11,7,45,0,40,,,
"Nu: 0.005, Gamma: 0.99",2,0,8,10,60,0,40,,,
"Nu: 0.05, Gamma: 0.0001",2,0,13,5,35,0,40,,,
"Nu: 0.05, Gamma: 0.0002",2,0,13,5,35,0,40,,,
"Nu: 0.05, Gamma: 0.0003",2,0,13,5,35,0,40,,,
"Nu: 0.05, Gamma: 0.0004",2,0,13,5,35,0,40,,,
"Nu: 0.05, Gamma: 0.005",2,0,15,3,25,0,40,,,
"Nu: 0.05, Gamma: 0.05",2,0,17,1,15,0,40,,,
"Nu: 0.05, Gamma: 0.0625",2,0,15,3,25,0,40,,,
"Nu: 0.05, Gamma: 0.1",2,0,17,1,15,0,40,,,
"Nu: 0.05, Gamma: 0.2",2,0,14,4,30,0,40,,,
"Nu: 0.05, Gamma: 0.5",2,0,13,5,35,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,0,15,3,25,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,0,13,5,35,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,0,11,7,45,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,0,15,3,25,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,0,15,3,25,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,0,15,3,25,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,0,15,3,25,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2,0,15,3,25,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,0,17,1,15,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,0,15,3,25,0,40,,,
"Nu: 0.0625, Gamma: 0.1",2,0,17,1,15,0,40,,,
"Nu: 0.0625, Gamma: 0.2",2,0,16,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,0,13,5,35,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,0,15,3,25,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,0,13,5,35,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,0,11,7,45,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,0,15,3,25,0,40,,,
"Nu: 0.1, Gamma: 0.0002",2,0,15,3,25,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,0,15,3,25,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,0,15,3,25,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,0,15,3,25,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,0,17,1,15,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,0,15,3,25,0,40,,,
"Nu: 0.1, Gamma: 0.1",2,0,17,1,15,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,0,16,2,20,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,0,13,5,35,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,0,15,3,25,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,0,11,7,45,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,0,11,7,45,0,40,,,
"Nu: 0.2, Gamma: 0.0001",2,0,11,7,45,0,40,,,
"Nu: 0.2, Gamma: 0.0002",2,0,12,6,40,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,0,12,6,40,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,0,12,6,40,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,0,15,3,25,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,0,15,3,25,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,0,15,3,25,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,0,15,3,25,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,0,14,4,30,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,0,13,5,35,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,0,15,3,25,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,0,13,5,35,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,0,13,5,35,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,0,11,7,45,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,0,11,7,45,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,0,11,7,45,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,0,11,7,45,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,0,10,8,50,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,0,10,8,50,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,0,10,8,50,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,0,11,7,45,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,0,10,8,50,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,0,11,7,45,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,0,10,8,50,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,0,9,9,55,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,0,9,9,55,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,0,7,11,65,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,0,6,12,70,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,0,6,12,70,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,0,6,12,70,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,0,8,10,60,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,0,7,11,65,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,0,7,11,65,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,0,7,11,65,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,0,6,12,70,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,0,2,16,90,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,0,4,14,80,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,1,1,17,90,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,1,0,18,95,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,0,7,11,65,0,40,,,
"Nu: 0.9, Gamma: 0.0002",2,0,7,11,65,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,2,0,18,90,0,40,,,
"Nu: 0.9, Gamma: 0.0004",2,0,6,12,70,0,40,,,
"Nu: 0.9, Gamma: 0.005",2,0,6,12,70,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,0,5,13,75,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,0,5,13,75,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,0,4,14,80,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,0,3,15,85,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,1,0,18,95,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,2,0,18,90,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,2,0,18,90,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,0,12,6,40,0,40,,,
"Nu: 0.99, Gamma: 0.0002",2,0,6,12,70,0,40,,,
"Nu: 0.99, Gamma: 0.0003",2,0,6,12,70,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,2,0,18,90,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,2,0,18,90,0,40,,,
,,,,,,,,,,
Target Class: blackscholes_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.1",0,2,5,15,68.18181818,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
