Features: 16,,,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.08284024,31,2924,2193
"Nu: 5e-05, Gamma: 1e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 2e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 3e-05",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 5e-05, Gamma: 4e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 5e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 6e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 7e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 8e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 9e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0001",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0002",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0003",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0004",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 0.005",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 5e-05, Gamma: 0.1",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 5e-05, Gamma: 0.2",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 5e-05, Gamma: 0.5",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 5e-05, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 5e-05, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 5e-05, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 6e-05, Gamma: 1e-05",135,9,201,22,42.77929155,0,40,,,,,
"Nu: 6e-05, Gamma: 2e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 3e-05",257,23,79,8,72.20708447,0,40,,,,,
"Nu: 6e-05, Gamma: 4e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 5e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 6e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 7e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 8e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 9e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.0001",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.0002",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.0003",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.0004",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.005",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.1",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.2",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.5",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.7",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.9",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 6e-05, Gamma: 0.99",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 1e-05",123,10,213,21,39.23705722,0,40,,,,,
"Nu: 7e-05, Gamma: 2e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 3e-05",257,23,79,8,72.20708447,0,40,,,,,
"Nu: 7e-05, Gamma: 4e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 5e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 6e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 7e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 8e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 9e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 0.0001",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 0.0002",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 0.0003",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 0.0004",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 0.005",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 7e-05, Gamma: 0.1",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 7e-05, Gamma: 0.2",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 7e-05, Gamma: 0.5",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 7e-05, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 7e-05, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 7e-05, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 8e-05, Gamma: 1e-05",115,7,221,24,37.8746594,0,40,,,,,
"Nu: 8e-05, Gamma: 2e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 3e-05",257,23,79,8,72.20708447,0,40,,,,,
"Nu: 8e-05, Gamma: 4e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 5e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 6e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 7e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 8e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 9e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.0001",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.0002",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.0003",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.0004",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.005",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.1",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.2",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.5",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.7",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.9",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 8e-05, Gamma: 0.99",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 1e-05",115,7,221,24,37.8746594,0,40,,,,,
"Nu: 9e-05, Gamma: 2e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 3e-05",257,23,79,8,72.20708447,0,40,,,,,
"Nu: 9e-05, Gamma: 4e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 5e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 6e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 7e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 8e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 9e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.0001",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.0002",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.0003",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.0004",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.005",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.1",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.2",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.5",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.7",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.9",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 9e-05, Gamma: 0.99",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 1e-05",115,7,221,24,37.8746594,0,40,,,,,
"Nu: 0.0001, Gamma: 2e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 3e-05",257,23,79,8,72.20708447,0,40,,,,,
"Nu: 0.0001, Gamma: 4e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 5e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 6e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 7e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 8e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 9e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0001",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0002",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0003",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0004",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 0.005",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0001, Gamma: 0.1",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0001, Gamma: 0.2",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0001, Gamma: 0.5",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0001, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0001, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0001, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0002, Gamma: 1e-05",320,25,16,6,88.82833787,0,40,,,,,
"Nu: 0.0002, Gamma: 2e-05",336,30,0,1,91.82561308,0,40,,,,,
"Nu: 0.0002, Gamma: 3e-05",160,9,176,22,49.59128065,0,40,,,,,
"Nu: 0.0002, Gamma: 4e-05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0002, Gamma: 5e-05",145,8,191,23,45.77656676,0,40,,,,,
"Nu: 0.0002, Gamma: 6e-05",157,8,179,23,49.04632153,0,40,,,,,
"Nu: 0.0002, Gamma: 7e-05",176,9,160,22,53.95095368,0,40,,,,,
"Nu: 0.0002, Gamma: 8e-05",222,15,114,16,64.85013624,0,40,,,,,
"Nu: 0.0002, Gamma: 9e-05",232,17,104,14,67.02997275,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0001",265,20,71,11,75.20435967,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0002",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0003",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0004",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0002, Gamma: 0.005",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0002, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0002, Gamma: 0.1",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0002, Gamma: 0.2",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0002, Gamma: 0.5",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0002, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0002, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0002, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0003, Gamma: 1e-05",320,26,16,5,88.55585831,0,40,,,,,
"Nu: 0.0003, Gamma: 2e-05",333,30,3,1,91.00817439,0,40,,,,,
"Nu: 0.0003, Gamma: 3e-05",145,8,191,23,45.77656676,0,40,,,,,
"Nu: 0.0003, Gamma: 4e-05",142,8,194,23,44.95912807,0,40,,,,,
"Nu: 0.0003, Gamma: 5e-05",145,8,191,23,45.77656676,0,40,,,,,
"Nu: 0.0003, Gamma: 6e-05",157,8,179,23,49.04632153,0,40,,,,,
