From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
2453,339,266,1811,341,2297,1891,1927,1630,1339,1653,1777,1509,1783,2106,3020,1293,11,8,1140,12,1309,1553,1474,1424,1073,1173,1492,1159,1435,1468,2024,1130,7,6,982,9,1165,1422,1292,1220,994,1020,1313,1075,1231,1302,1773,1380,21,19,1173,33,1400,1601,1510,1385,1124,1354,1478,1152,1438,1437,1841,1362,9,7,1143,10,1362,1590,1553,1427,1140,1321,1462,1197,1491,1544,2395,1457,39,28,1262,54,1688,1669,1684,1655,1297,1353,1602,1302,1469,1654,2100,1210,27,27,1022,42,1268,1471,1473,1283,1171,1188,1351,1082,1303,1408,1810,1271,22,34,1105,58,1417,1540,1389,1319,1066,1234,1476,1183,1339,1415,2317,1193,19,22,1036,30,1251,1421,1354,1274,975,1124,1381,1107,1353,1295,1790,1185,19,24,1057,44,1172,1472,1406,1257,976,1091,1414,1114,1296,1359,1759,1265,25,16,1201,37,1374,1583,1546,1385,1099,1211,1518,1232,1425,1514,2942,1203,21,28,1133,41,1254,1551,1474,1346,1075,1125,1371,1050,1368,1516,2627,1316,20,19,1199,23,1482,1653,1573,1325,1100,1236,1497,1132,1381,1540,2168,1326,23,20,1180,32,1357,1554,1520,1366,1132,1174,1488,1204,1318,1513,2387,1417,26,27,1086,51,1512,1535,1458,1357,1070,1290,1337,1138,1306,1410,1856,1576,10,17,1272,49,1625,1722,1682,1505,1288,1490,1622,1355,1469,1602,2318,bodytrack_cachehalf
4095,143,73,3880,83,3880,4109,3960,3823,3945,4134,3949,3831,3800,4088,3804,3994,10,10,3837,9,4126,4203,3975,4119,4253,4500,4231,3923,4130,4166,3817,3571,5,4,3511,6,3809,3721,3571,3677,3754,3952,3691,3680,3685,3680,3694,3770,6,6,3827,32,3977,4035,3779,3956,3988,4114,3864,3808,3848,3925,3815,3911,8,5,3790,4,4247,4072,3952,3842,4125,4136,3938,3887,4082,4099,3880,3823,5,5,3845,8,4057,4036,3779,3793,3993,3896,3868,3756,3917,3983,3801,3634,1,2,3530,1,3935,3916,3901,3728,3920,3777,3704,3642,3781,3788,3728,3801,2,3,3667,2,4014,3991,3851,3709,4026,3767,3839,3673,3862,3825,3794,3660,2,4,3520,2,3921,3751,3675,3637,3728,3692,3561,3412,3873,3620,3453,3867,2,3,3728,3,4098,4004,3868,3839,3938,3935,3941,3738,3965,3832,3618,3641,0,1,3632,1,3860,3754,3876,3794,3912,3739,3871,3494,3752,3711,3622,3904,2,2,3766,1,3999,4006,3929,3865,3929,3947,3846,3629,3709,3733,3801,3696,2,3,3679,2,3989,3860,3804,3832,4002,3869,3774,3585,3784,3775,3564,3726,5,6,3781,7,4128,3938,3889,3972,4014,3839,3975,3849,3889,3946,3661,3615,5,6,3585,6,3800,3892,3771,3875,3889,3781,3656,3723,3715,3763,3486,4014,8,5,4026,14,4183,4313,4165,4146,4341,4312,4086,4031,4127,4187,3901,bodytrack_cachehalf
4100,86,54,3887,89,3983,4073,3949,3785,3901,4101,3869,3789,3857,4087,3734,3933,8,6,3896,6,4140,4354,4013,4158,4206,4480,4183,3995,4203,4086,3944,3520,5,4,3579,3,3804,3776,3576,3675,3773,3960,3581,3552,3645,3677,3718,3747,3,3,3800,12,3961,4011,3728,3875,3959,4076,3937,3784,3857,3878,3826,3871,5,4,3935,5,4172,4098,4024,3886,4088,4131,3913,3860,4123,4059,3825,3846,3,2,3777,6,4047,4081,3822,3806,3912,4018,3930,3774,3911,3952,3749,3714,0,0,3617,2,3916,3994,3810,3613,3970,3786,3776,3673,3790,3769,3703,3799,2,2,3663,2,3978,4022,3820,3833,3931,3851,3745,3701,3803,3866,3654,3664,2,1,3523,3,3952,3768,3716,3576,3726,3674,3555,3378,3784,3573,3354,3701,1,1,3779,3,4105,3982,3948,3847,3989,3926,3911,3700,3864,3806,3620,3613,0,0,3673,1,3945,3754,3797,3791,3910,3777,3800,3569,3628,3685,3638,3801,1,1,3740,1,4010,4066,3941,3757,4000,3944,3850,3614,3814,3854,3757,3639,2,0,3668,2,3902,3844,3765,3843,3907,3862,3766,3621,3758,3829,3714,3740,4,2,3742,2,4088,3810,3832,3932,4088,3889,3797,3822,3850,3897,3663,3638,5,4,3613,4,3789,3908,3716,3803,3918,3813,3691,3673,3646,3662,3427,4016,1,3,3993,6,4187,4299,4039,4146,4299,4271,4016,3970,4045,4036,3877,bodytrack_cachehalf
2567,98,77,2214,121,2323,2224,1962,1866,2118,2283,1897,1642,1869,1986,2237,2250,6,4,2174,7,2170,2117,1891,1955,2171,2388,1924,1700,1913,1917,2134,1939,4,2,1940,1,1978,1916,1641,1675,1940,2105,1721,1508,1695,1641,2053,2090,7,5,2018,14,2106,2081,1755,1831,2072,2243,1831,1570,1744,1791,2094,2225,5,2,2100,8,2132,2129,1803,1815,2085,2218,1825,1648,1825,1921,2221,2203,10,10,2053,14,2191,2158,1807,1821,2118,2190,1837,1613,1814,1859,2238,2045,6,6,1951,5,2039,1934,1791,1719,2011,2023,1744,1551,1749,1695,2122,2120,6,6,2008,9,2061,2008,1748,1794,2042,2009,1814,1598,1799,1733,2077,2018,4,3,1920,9,2054,1969,1712,1624,1940,1895,1672,1488,1785,1681,1897,2150,4,6,1989,6,2062,1986,1785,1770,2012,2095,1816,1575,1809,1727,2005,2043,6,20,2022,22,2085,1912,1833,1752,2017,1985,1804,1486,1708,1727,2043,2120,4,4,2069,6,2081,2021,1796,1759,1973,2105,1825,1508,1723,1685,2107,2067,6,4,1972,8,2163,2065,1784,1742,2010,2053,1784,1518,1769,1804,2025,2053,7,5,2052,12,2138,1998,1810,1791,2094,2132,1857,1616,1758,1776,2046,2026,9,6,1880,11,2012,1974,1767,1766,1997,2010,1747,1539,1698,1686,1989,2334,9,11,2231,32,2260,2203,1904,1914,2238,2351,1909,1724,1934,1962,2179,bodytrack_cachehalf
505,152,126,317,130,309,168,189,183,178,183,188,221,211,335,1902,135,5,9,58,6,89,59,59,51,54,63,50,71,60,64,1525,135,5,2,53,5,79,46,43,50,32,55,29,92,29,37,1150,176,13,13,82,11,109,89,76,80,74,96,65,102,71,80,1224,157,6,3,72,7,83,65,69,83,52,101,63,90,57,80,1604,212,15,10,102,12,146,93,96,139,98,149,83,133,81,114,1310,113,9,12,59,7,83,44,47,69,65,109,45,76,47,59,1195,123,13,10,58,8,106,57,56,57,69,116,45,68,58,78,1575,129,11,10,84,13,100,65,58,68,50,99,55,95,66,77,1214,132,11,12,69,5,82,51,55,54,42,85,47,83,55,58,1160,103,10,9,82,10,121,55,67,69,48,89,43,74,63,75,2291,99,10,10,45,8,70,34,27,48,27,62,24,45,36,68,1825,140,10,9,86,13,129,86,79,75,61,97,60,92,75,109,1364,157,12,11,90,8,92,71,78,83,76,103,69,99,65,85,1550,213,14,15,76,10,130,64,76,68,59,93,74,114,74,82,1125,240,16,15,138,34,192,102,101,112,116,160,106,150,110,127,1564,bodytrack_cachehalf
4132,255,158,3623,215,3898,3736,3647,3514,3512,3818,3643,3469,3551,3852,3680,3409,22,9,3361,10,3623,3593,3323,3595,3595,3804,3576,3390,3588,3521,3465,3129,16,6,3001,5,3374,3297,3009,3104,3222,3441,3132,3111,3124,3106,3272,3407,15,12,3396,42,3544,3497,3331,3563,3495,3653,3394,3358,3454,3454,3500,3625,17,5,3417,9,3819,3593,3458,3449,3474,3705,3400,3512,3564,3630,3614,3477,26,21,3384,65,3894,3584,3366,3480,3591,3613,3526,3387,3466,3515,3633,3240,20,8,3063,14,3561,3302,3264,3220,3419,3318,3214,3221,3252,3231,3390,3430,19,6,3224,14,3632,3464,3253,3260,3410,3383,3220,3191,3242,3334,3278,3211,15,4,3068,16,3498,3273,3211,3158,3247,3234,3095,3087,3247,3119,3134,3302,16,9,3263,16,3641,3402,3289,3337,3371,3447,3335,3293,3361,3253,3310,3245,15,13,3257,39,3698,3342,3408,3296,3540,3406,3344,3227,3306,3260,3343,3380,12,6,3300,12,3632,3507,3408,3394,3463,3511,3379,3247,3304,3398,3470,3377,7,5,3283,12,3682,3444,3325,3289,3356,3464,3347,3191,3266,3320,3333,3333,11,6,3355,19,3761,3463,3375,3441,3482,3498,3400,3419,3337,3384,3389,3243,13,9,3119,19,3482,3351,3227,3367,3387,3304,3215,3228,3220,3268,3176,3661,17,10,3552,29,3898,3654,3489,3663,3739,3824,3587,3540,3521,3655,3547,bodytrack_cachehalf
4088,114,36,3853,82,3946,4089,3948,3752,3847,4143,3839,3767,3779,4033,3726,3931,10,9,3956,4,4187,4267,4121,4152,4301,4484,4121,4006,4089,4111,3903,3538,4,2,3479,4,3783,3765,3565,3663,3842,4027,3706,3531,3663,3610,3750,3804,5,4,3773,30,4007,4032,3770,3878,3904,4105,3916,3742,3962,3889,3915,3917,6,3,3840,3,4243,4146,3959,3956,4049,4140,3955,3891,4090,4090,3902,3797,4,4,3774,5,4065,4029,3844,3728,4022,3954,3931,3823,3946,4004,3747,3713,5,0,3611,3,3946,3867,3873,3726,3954,3759,3732,3685,3809,3763,3707,3852,5,3,3725,4,3999,4036,3814,3827,3976,3894,3844,3712,3817,3810,3618,3594,5,2,3513,2,3913,3779,3715,3517,3733,3692,3531,3484,3642,3600,3357,3807,3,0,3788,3,4121,4020,3910,3882,3938,3998,3830,3742,3904,3762,3627,3569,2,1,3524,2,3973,3726,3867,3689,3949,3803,3843,3597,3731,3631,3686,3897,3,1,3787,2,3983,4004,3895,3859,3913,3959,3822,3682,3873,3762,3744,3715,3,2,3682,3,3972,3897,3836,3728,3945,3909,3809,3610,3755,3733,3622,3746,6,1,3776,8,4055,3929,3826,3924,4043,3883,3892,3796,3859,3896,3643,3678,4,4,3670,6,3788,3823,3783,3838,3843,3745,3670,3614,3635,3750,3441,4047,5,1,3980,10,4214,4185,4064,4147,4245,4326,4166,4027,3997,4070,3836,bodytrack_cachehalf
3201,191,116,3225,145,3438,3341,3059,2945,3197,3653,2973,3137,2915,3168,3647,2705,13,9,3167,9,3265,3206,2849,3053,3315,3620,3032,3193,3044,2977,3610,2423,6,2,2800,5,3075,2921,2613,2669,2965,3291,2654,2901,2622,2642,3167,2588,8,5,3030,26,3142,3107,2763,2925,3029,3399,2843,3012,2852,2833,3269,2681,6,4,3088,5,3237,3143,2891,2853,3104,3423,2856,3116,2963,3019,3587,2653,12,8,3018,11,3296,3137,2842,2917,3174,3566,2908,3145,2881,2900,3311,2540,7,5,2863,5,3050,2940,2805,2714,3078,3275,2667,2934,2740,2721,3172,2592,7,3,2951,6,3152,3065,2822,2791,3052,3172,2749,2975,2751,2784,3381,2494,7,4,2821,6,3102,2954,2630,2643,2864,3076,2627,2876,2694,2639,2937,2555,7,5,3013,8,3154,3042,2764,2730,3062,3226,2789,2990,2901,2749,3136,2532,10,10,2897,40,3232,2955,2814,2767,3105,3153,2769,2926,2781,2707,3634,2662,4,4,2978,5,3073,3034,2835,2778,3028,3294,2754,2939,2815,2723,3501,2533,5,5,2880,6,3194,3015,2758,2775,3032,3289,2748,2920,2799,2727,3103,2572,9,6,3020,10,3180,3064,2767,2916,3060,3294,2847,3096,2767,2905,3412,2504,8,7,2807,10,3011,2959,2807,2869,3014,3235,2680,2950,2659,2736,2901,2798,6,7,3160,13,3318,3197,3015,3095,3282,3605,3008,3258,2929,2968,3432,bodytrack_cachehalf
2991,311,238,2553,219,2881,2411,2449,2304,2320,2518,2516,2326,2392,2601,3832,2142,13,14,2049,12,2350,2195,2050,2129,2153,2234,2198,2077,2210,2132,3285,1861,7,7,1855,8,2209,2016,1821,1924,1919,2015,1887,1840,1893,1856,3135,2115,20,17,1990,40,2416,2225,2092,2063,2103,2260,2078,2047,2133,2030,3210,2137,9,9,2080,9,2408,2197,2136,2156,2141,2313,2094,2049,2208,2140,3676,2214,28,26,2086,61,2600,2268,2145,2322,2211,2291,2254,2108,2213,2242,3514,2045,25,21,1893,20,2294,2037,2030,2019,2154,2066,2040,1955,2023,2001,3106,2046,15,16,1934,22,2368,2095,1964,2027,2088,2168,2081,1889,2100,1975,3358,1952,17,20,1944,45,2279,1958,1817,1936,2017,2025,2013,1879,2020,1944,3018,1975,19,13,1926,19,2313,2026,1949,1994,2019,2111,2048,1965,2068,1934,2967,2031,16,16,2012,28,2507,2101,2070,2095,2150,2184,2115,2000,2111,2072,3787,2129,15,14,2049,18,2447,2101,2060,2147,2148,2174,2115,1969,2087,2074,3574,2083,14,11,2122,17,2531,2214,2118,2072,2140,2241,2187,1974,2110,2042,3356,2118,20,17,2095,26,2362,2136,2035,2104,2154,2209,2166,2054,2030,2086,3380,2118,20,17,1922,26,2313,2062,1944,2013,2039,2059,2031,1955,1931,2003,2835,2396,19,30,2243,53,2746,2331,2228,2245,2352,2388,2359,2218,2253,2248,3287,bodytrack_cachehalf
4073,138,55,3789,95,3983,4088,3963,3898,4040,4050,3888,3744,3875,4045,3755,3947,7,7,3925,5,4233,4216,4006,4133,4287,4266,4198,3966,4112,4081,3881,3501,5,4,3503,6,3712,3824,3597,3754,3712,3838,3651,3673,3701,3649,3673,3749,4,5,3697,25,4052,4003,3789,3897,3916,3998,3891,3791,3895,3934,3798,3875,8,5,3795,7,4082,4100,3923,3962,4061,4164,3981,3854,4061,4115,3938,3796,5,4,3735,6,4038,4102,3832,3804,3919,4115,3864,3734,3956,3947,3714,3641,3,1,3594,2,3923,3929,3899,3718,3971,3872,3774,3627,3860,3819,3667,3755,4,0,3682,4,3850,3983,3849,3831,3920,3921,3728,3693,3834,3849,3654,3662,3,1,3485,4,3749,3762,3627,3544,3772,3661,3548,3501,3767,3656,3459,3750,4,2,3731,4,3979,3947,3815,3828,3969,4006,3926,3752,3915,3781,3579,3657,2,0,3638,2,3907,3768,3874,3781,3875,3851,3786,3618,3712,3644,3604,3894,1,1,3798,3,3976,4027,3922,3845,3996,3896,3871,3679,3791,3844,3673,3680,4,2,3639,3,3911,3859,3794,3818,3841,3862,3729,3632,3801,3665,3575,3719,7,4,3793,12,4003,3878,3850,3954,3998,4054,3844,3744,3801,3906,3638,3565,5,2,3498,5,3825,3808,3689,3811,3860,3711,3671,3701,3620,3724,3369,3937,6,3,4006,6,4131,4270,4157,4283,4308,4211,4108,3944,4062,4163,3859,bodytrack_cachehalf
