Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.0001, Gamma: 0.0001",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0001, Gamma: 0.1",1,3,27,18,38.7755102,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,9,36,77.55102041,0,40,,,
"Nu: 0.0001, Gamma: 0.5",2,2,0,45,95.91836735,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,0,45,95.91836735,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,0,45,95.91836735,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,0,45,95.91836735,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,33,12,30.6122449,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,32,13,32.65306122,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,30,15,36.73469388,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,9,36,77.55102041,0,40,,,
"Nu: 0.0002, Gamma: 0.5",3,1,14,31,69.3877551,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,11,34,75.51020408,0,40,,,
"Nu: 0.0002, Gamma: 0.9",3,1,0,45,97.95918367,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,1,0,45,97.95918367,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,33,12,30.6122449,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,1,32,13,32.65306122,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,30,15,36.73469388,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,2,28,17,38.7755102,0,40,,,
"Nu: 0.0003, Gamma: 0.5",3,1,14,31,69.3877551,0,40,,,
"Nu: 0.0003, Gamma: 0.7",3,1,2,43,93.87755102,0,40,,,
"Nu: 0.0003, Gamma: 0.9",3,1,0,45,97.95918367,0,40,,,
"Nu: 0.0003, Gamma: 0.99",3,1,0,45,97.95918367,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.0004, Gamma: 0.05",3,1,33,12,30.6122449,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,1,32,13,32.65306122,0,40,,,
"Nu: 0.0004, Gamma: 0.1",3,1,30,15,36.73469388,0,40,,,
"Nu: 0.0004, Gamma: 0.2",2,2,30,15,34.69387755,0,40,,,
"Nu: 0.0004, Gamma: 0.5",3,1,15,30,67.34693878,0,40,,,
"Nu: 0.0004, Gamma: 0.7",3,1,2,43,93.87755102,0,40,,,
"Nu: 0.0004, Gamma: 0.9",3,1,0,45,97.95918367,0,40,,,
