Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,327
"Nu: 0.0001, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0001, Gamma: 0.2",4,1,12,32,73.46938776,0,40,,,
"Nu: 0.0001, Gamma: 0.5",3,2,33,11,28.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,3,9,35,75.51020408,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,3,9,35,75.51020408,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0002, Gamma: 0.2",4,1,12,32,73.46938776,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.0002, Gamma: 0.7",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.0002, Gamma: 0.9",2,3,9,35,75.51020408,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,3,4,40,85.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.05",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0003, Gamma: 0.1",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0003, Gamma: 0.2",4,1,12,32,73.46938776,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,1,37,7,22.44897959,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,4,11,33,69.3877551,0,40,,,
"Nu: 0.0003, Gamma: 0.9",3,2,30,14,34.69387755,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,3,30,14,32.65306122,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.005",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0004, Gamma: 0.05",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0004, Gamma: 0.1",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.0004, Gamma: 0.2",4,1,12,32,73.46938776,0,40,,,
"Nu: 0.0004, Gamma: 0.5",4,1,37,7,22.44897959,0,40,,,
"Nu: 0.0004, Gamma: 0.7",1,4,11,33,69.3877551,0,40,,,
"Nu: 0.0004, Gamma: 0.9",1,4,15,29,61.2244898,0,40,,,
"Nu: 0.0004, Gamma: 0.99",3,2,27,17,40.81632653,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.005, Gamma: 0.0004",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,43,1,12.24489796,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,43,1,12.24489796,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,43,1,12.24489796,0,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,43,1,12.24489796,0,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,42,2,14.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.5",5,0,42,2,14.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.7",4,1,35,9,26.53061224,0,40,,,
"Nu: 0.005, Gamma: 0.9",4,1,35,9,26.53061224,0,40,,,
"Nu: 0.005, Gamma: 0.99",4,1,35,9,26.53061224,0,40,,,
"Nu: 0.05, Gamma: 0.0001",1,4,9,35,73.46938776,0,40,,,
"Nu: 0.05, Gamma: 0.0002",4,1,14,30,69.3877551,0,40,,,
"Nu: 0.05, Gamma: 0.0003",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.05, Gamma: 0.0004",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,32,12,34.69387755,0,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,32,12,34.69387755,0,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,33,11,32.65306122,0,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,42,2,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.5",5,0,41,3,16.32653061,0,40,,,
"Nu: 0.05, Gamma: 0.7",4,1,35,9,26.53061224,0,40,,,
"Nu: 0.05, Gamma: 0.9",4,1,34,10,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.99",4,1,34,10,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",1,4,8,36,75.51020408,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,1,17,27,63.26530612,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,33,11,32.65306122,0,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,34,10,30.6122449,0,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,41,3,16.32653061,0,40,,,
"Nu: 0.0625, Gamma: 0.7",4,1,35,9,26.53061224,0,40,,,
"Nu: 0.0625, Gamma: 0.9",4,1,34,10,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.99",4,1,34,10,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,2,14,30,67.34693878,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,1,26,18,44.89795918,0,40,,,
