ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canneal
12414,8270.0,8254.0,8330.0,8369.0,8433.0,8432.0,8356.0,8499.0,8199.0,8220.0,8064.0,9284.0,7889.0,8644.0,9394.0,canneal
4528,702.0,750.0,679.0,738.0,791.0,724.0,715.0,732.0,727.0,752.0,734.0,1595.0,109.0,770.0,1729.0,canneal
4365,653.0,717.0,691.0,719.0,707.0,737.0,696.0,684.0,642.0,680.0,670.0,1584.0,110.0,707.0,1683.0,canneal
4443,718.0,741.0,742.0,727.0,750.0,762.0,714.0,707.0,702.0,674.0,716.0,1558.0,169.0,732.0,1733.0,canneal
4529,738.0,800.0,764.0,745.0,734.0,789.0,744.0,761.0,769.0,692.0,729.0,1620.0,143.0,726.0,1798.0,canneal
4502,715.0,831.0,776.0,782.0,741.0,801.0,786.0,769.0,786.0,802.0,822.0,1648.0,122.0,775.0,1957.0,canneal
4538,777.0,675.0,789.0,707.0,831.0,757.0,723.0,759.0,746.0,754.0,754.0,1603.0,138.0,681.0,1830.0,canneal
4513,754.0,738.0,759.0,710.0,770.0,736.0,772.0,775.0,740.0,708.0,710.0,1603.0,129.0,716.0,1699.0,canneal
4603,761.0,712.0,735.0,700.0,765.0,726.0,831.0,730.0,730.0,760.0,651.0,1644.0,129.0,722.0,1852.0,canneal
4410,762.0,719.0,740.0,708.0,747.0,801.0,800.0,749.0,722.0,764.0,688.0,1650.0,142.0,725.0,1788.0,canneal
4493,864.0,820.0,783.0,807.0,877.0,863.0,786.0,784.0,904.0,782.0,831.0,1760.0,128.0,883.0,2072.0,canneal
4340,740.0,653.0,704.0,804.0,760.0,796.0,715.0,753.0,745.0,736.0,695.0,1601.0,134.0,746.0,1754.0,canneal
