ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneal_halfcache
12414,8270,8254,8330,8369,8433,8432,8356,8499,8199,8220,8064,9284,7889,8644,9394,canneal_halfcache
4528,702,750,679,738,791,724,715,732,727,752,734,1595,109,770,1729,canneal_halfcache
4365,653,717,691,719,707,737,696,684,642,680,670,1584,110,707,1683,canneal_halfcache
4443,718,741,742,727,750,762,714,707,702,674,716,1558,169,732,1733,canneal_halfcache
4529,738,800,764,745,734,789,744,761,769,692,729,1620,143,726,1798,canneal_halfcache
4502,715,831,776,782,741,801,786,769,786,802,822,1648,122,775,1957,canneal_halfcache
4538,777,675,789,707,831,757,723,759,746,754,754,1603,138,681,1830,canneal_halfcache
4513,754,738,759,710,770,736,772,775,740,708,710,1603,129,716,1699,canneal_halfcache
4603,761,712,735,700,765,726,831,730,730,760,651,1644,129,722,1852,canneal_halfcache
4410,762,719,740,708,747,801,800,749,722,764,688,1650,142,725,1788,canneal_halfcache
4493,864,820,783,807,877,863,786,784,904,782,831,1760,128,883,2072,canneal_halfcache
4340,740,653,704,804,760,796,715,753,745,736,695,1601,134,746,1754,canneal_halfcache
4643,841,793,882,850,839,834,811,847,822,811,783,1658,198,778,1887,canneal_halfcache
4692,830,781,761,774,813,847,770,769,785,839,769,1718,181,726,1871,canneal_halfcache
4696,859,730,826,707,740,771,749,714,814,700,758,1643,173,776,1729,canneal_halfcache
4595,825,871,854,804,823,847,780,783,843,824,775,1729,220,803,1744,canneal_halfcache
14675,9988,9547,9641,9711,9813,10565,9877,9934,9768,9867,9578,9870,8758,9943,10010,canneal_halfcache
5482,993,995,913,1078,955,1782,1015,1029,1047,1067,1099,975,76,1072,997,canneal_halfcache
5181,944,913,978,934,1011,1817,935,973,943,990,999,922,79,988,923,canneal_halfcache
5205,992,884,826,1078,898,1736,901,967,915,960,948,937,79,996,1011,canneal_halfcache
5260,992,888,885,1023,1133,1891,881,1002,931,966,1011,933,72,963,1052,canneal_halfcache
5317,1042,1030,1036,1132,947,1858,929,1135,1021,1167,1046,982,71,1008,1053,canneal_halfcache
5357,1075,922,933,1044,1055,1754,969,1010,1000,1097,951,983,74,969,1042,canneal_halfcache
5458,1067,987,967,1002,991,1878,918,1110,981,1023,921,925,82,1037,1037,canneal_halfcache
5456,1024,946,938,1032,1013,1818,983,1008,993,960,974,941,80,1014,1048,canneal_halfcache
5352,1041,995,908,1042,1047,1833,1003,1031,1038,1038,1033,1010,86,995,1093,canneal_halfcache
5494,1135,1044,1039,1171,1118,2071,1072,1134,992,1069,1086,1071,79,1013,1210,canneal_halfcache
5191,955,980,940,977,1034,1836,910,971,972,1037,987,904,65,866,1005,canneal_halfcache
5319,970,1072,998,1137,975,1980,973,1022,940,1076,1018,1032,72,1042,1014,canneal_halfcache
5278,925,861,904,947,981,1772,847,839,835,1018,990,813,30,936,969,canneal_halfcache
5443,1062,952,1008,912,1015,1814,929,961,1017,1036,963,921,85,972,1018,canneal_halfcache
5400,1063,951,983,926,1033,1913,963,980,896,1078,924,1050,68,954,1092,canneal_halfcache
16833,11490,11297,11332,11697,11849,12300,11516,11542,11699,11296,11220,11408,10279,11917,11412,canneal_halfcache
6417,1072,1207,1198,1181,1266,1860,1285,1282,1294,1153,1269,1273,127,1331,1150,canneal_halfcache
6067,1129,1166,1201,1171,1102,1773,1151,1187,1097,1204,1154,1189,117,1148,1161,canneal_halfcache
6243,1079,1160,1164,1155,1177,1875,1145,1192,1192,1131,1138,1286,116,1148,1187,canneal_halfcache
6393,1185,1220,1179,1285,1220,1971,1238,1241,1284,1163,1220,1238,131,1253,1305,canneal_halfcache
6545,1246,1330,1238,1399,1324,2074,1305,1330,1289,1343,1301,1261,129,1328,1292,canneal_halfcache
6322,1229,1272,1324,1301,1177,1852,1288,1250,1262,1263,1341,1252,158,1220,1255,canneal_halfcache
6247,1163,1229,1307,1124,1223,1887,1195,1209,1222,1334,1187,1164,124,1112,1199,canneal_halfcache
6316,1169,1268,1241,1215,1242,1842,1215,1138,1230,1233,1149,1120,130,1206,1207,canneal_halfcache
6333,1240,1139,1306,1273,1313,1790,1246,1209,1318,1337,1201,1299,117,1289,1208,canneal_halfcache
6340,1494,1351,1346,1468,1509,1951,1309,1423,1333,1295,1326,1328,108,1373,1315,canneal_halfcache
6121,1228,1213,1192,1297,1197,1830,1226,1254,1235,1152,1211,1229,125,1183,1173,canneal_halfcache
6278,1312,1274,1238,1257,1291,2025,1365,1266,1261,1253,1265,1178,120,1259,1281,canneal_halfcache
6125,1152,1066,1162,1134,1199,1734,1084,1155,1189,1123,1017,1098,40,1102,1131,canneal_halfcache
6494,1208,1142,1230,1177,1234,1892,1226,1257,1224,1242,1172,1155,129,1250,1217,canneal_halfcache
6320,1148,1233,1198,1242,1241,1984,1243,1212,1205,1189,1119,1239,121,1240,1276,canneal_halfcache
8526,5730,5687,5726,5544,5835,5572,5494,5639,7180,5483,5481,5735,5105,5561,5690,canneal_halfcache
3309,533,507,547,529,498,527,511,478,2008,492,572,524,59,547,557,canneal_halfcache
3184,539,497,491,455,472,458,482,537,1964,490,563,507,46,523,608,canneal_halfcache
3234,583,549,502,487,465,474,447,472,1935,436,566,535,57,526,540,canneal_halfcache
3117,540,514,525,507,478,495,503,451,1799,506,588,495,47,567,615,canneal_halfcache
3328,624,549,576,548,501,539,546,505,2093,539,629,578,50,612,615,canneal_halfcache
3104,544,504,476,415,478,501,467,474,1835,507,623,504,49,575,560,canneal_halfcache
3093,518,496,508,497,559,502,466,516,1898,548,573,517,45,553,538,canneal_halfcache
3168,527,395,516,568,511,452,475,496,1926,510,564,439,47,519,542,canneal_halfcache
3119,623,513,510,551,541,510,467,471,1966,516,610,516,62,573,574,canneal_halfcache
3155,677,583,543,619,553,557,546,490,2227,474,648,530,49,595,538,canneal_halfcache
3007,484,475,497,544,520,496,455,472,1891,435,602,444,57,497,517,canneal_halfcache
3214,500,595,576,545,484,528,573,487,2142,603,593,523,61,519,593,canneal_halfcache
3079,463,460,509,458,492,436,448,460,1922,463,528,479,18,490,478,canneal_halfcache
3142,508,539,508,435,494,466,557,483,1925,596,547,566,52,526,533,canneal_halfcache
3139,533,549,550,465,519,516,530,504,1983,496,534,540,53,508,524,canneal_halfcache
22421,15420,15507,15146,15415,15626,15388,15414,15167,15454,15400,15486,15360,14721,15281,15253,canneal_halfcache
8422,1584,1636,1595,1686,1582,1601,1585,1698,1955,1713,1675,1581,1001,1648,1640,canneal_halfcache
8337,1452,1612,1507,1516,1610,1614,1552,1617,1758,1565,1573,1644,990,1520,1498,canneal_halfcache
8286,1508,1520,1542,1573,1589,1590,1553,1549,1722,1593,1560,1553,887,1490,1491,canneal_halfcache
8473,1648,1616,1606,1584,1586,1577,1584,1613,1754,1626,1481,1575,928,1631,1495,canneal_halfcache
8566,1590,1584,1638,1697,1702,1668,1784,1720,2038,1754,1624,1742,1011,1618,1738,canneal_halfcache
8420,1522,1565,1494,1545,1590,1641,1566,1529,1841,1583,1636,1555,941,1579,1568,canneal_halfcache
8366,1598,1629,1599,1621,1652,1516,1541,1569,1736,1593,1516,1571,907,1604,1501,canneal_halfcache
8290,1603,1547,1607,1625,1586,1557,1494,1583,1798,1575,1542,1591,886,1467,1531,canneal_halfcache
8332,1543,1690,1566,1723,1710,1739,1758,1667,1859,1590,1685,1677,1030,1670,1608,canneal_halfcache
8627,1679,1676,1852,1781,1814,1758,1955,1728,1956,1937,1830,1752,1120,1654,1854,canneal_halfcache
8534,1501,1652,1534,1526,1646,1713,1641,1609,1860,1707,1524,1501,905,1613,1606,canneal_halfcache
8509,1605,1799,1587,1604,1653,1721,1642,1659,1876,1749,1652,1582,1007,1764,1668,canneal_halfcache
8355,1552,1395,1381,1497,1489,1636,1560,1588,1772,1614,1525,1479,925,1485,1462,canneal_halfcache
8242,1495,1634,1488,1646,1603,1587,1520,1674,1711,1556,1529,1536,952,1433,1592,canneal_halfcache
8264,1537,1534,1560,1577,1617,1533,1605,1628,1739,1535,1561,1491,1027,1534,1572,canneal_halfcache
16696,11381,11196,11301,11372,11513,11515,11801,11738,11493,11291,11354,11697,12235,11467,11521,canneal_halfcache
6184,1219,1257,1138,1000,1174,1281,1210,1259,1226,1113,1021,1096,1899,1131,1086,canneal_halfcache
6037,1156,1032,1041,1028,1089,1179,1125,1110,1132,1063,1059,1080,1852,1064,1093,canneal_halfcache
6114,1116,1197,964,1072,1066,1131,1103,1055,1175,1071,1061,1126,1734,1122,1076,canneal_halfcache
6189,1179,1307,1116,1081,1146,1139,1134,1304,1140,1224,1145,1163,1862,1152,1139,canneal_halfcache
6351,1237,1220,1238,1264,1213,1160,1178,1298,1151,1177,1201,1294,2137,1175,1244,canneal_halfcache
6230,1122,1096,1059,1154,1108,1129,1087,1210,1083,1178,1065,1125,1839,1048,1152,canneal_halfcache
6472,1139,1312,1106,1080,1140,1198,1125,1214,1109,1174,1098,1052,1831,1121,1205,canneal_halfcache
6300,1116,1267,1130,1061,1165,1146,1138,1207,1209,1182,1020,1097,1805,1102,1183,canneal_halfcache
6273,1169,1205,1181,1148,1109,1191,1134,1205,1103,1227,1163,1123,1848,1159,1240,canneal_halfcache
6246,1292,1399,1329,1221,1281,1367,1374,1331,1255,1221,1200,1198,1986,1219,1239,canneal_halfcache
6216,1137,1217,1141,1120,1190,1227,1058,1175,1058,1231,1094,1181,1828,1147,1156,canneal_halfcache
6269,1228,1218,1220,1230,1186,1325,1241,1327,1250,1209,1178,1145,1798,1181,1212,canneal_halfcache
6243,1173,1199,1175,1114,1134,1181,1187,1232,1185,1297,1192,1181,1904,1132,1141,canneal_halfcache
6170,1144,1178,1223,1159,1091,1147,1143,1224,1183,1088,1086,1081,1917,1065,1136,canneal_halfcache
6238,1116,1101,1192,1148,1114,1231,1196,1174,1180,1227,1058,1119,1796,1196,1196,canneal_halfcache
23986,16487,16623,16643,16417,16591,16224,16354,16496,16386,16293,15595,16412,16445,16679,16464,canneal_halfcache
9144,1615,1770,1673,1692,1804,1787,1793,1624,1670,1704,1690,1711,1787,1705,1655,canneal_halfcache
9031,1673,1780,1755,1633,1760,1536,1739,1630,1669,1692,1580,1671,1640,1614,1641,canneal_halfcache
9089,1669,1692,1638,1603,1701,1667,1620,1627,1599,1648,1545,1663,1650,1588,1626,canneal_halfcache
8888,1686,1806,1602,1650,1711,1712,1674,1696,1705,1598,1580,1766,1679,1649,1715,canneal_halfcache
9139,1846,1942,1689,1742,1876,1884,1713,1840,1826,1725,1708,1767,1820,1798,1745,canneal_halfcache
8922,1644,1581,1709,1628,1653,1522,1696,1661,1712,1645,1637,1645,1707,1531,1606,canneal_halfcache
8936,1616,1637,1677,1669,1648,1658,1606,1695,1503,1636,1573,1727,1643,1657,1613,canneal_halfcache
8935,1658,1755,1590,1596,1725,1676,1648,1623,1743,1686,1512,1798,1653,1668,1596,canneal_halfcache
8981,1694,1769,1719,1756,1798,1681,1732,1653,1734,1670,1531,1753,1689,1770,1665,canneal_halfcache
9041,1722,1945,1803,1802,1989,1853,1939,1830,1790,1743,1778,1917,1778,1748,1824,canneal_halfcache
8592,1524,1697,1699,1588,1737,1714,1636,1631,1621,1634,1526,1786,1698,1647,1612,canneal_halfcache
