Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.85714286,328
"Nu: 0.0001, Gamma: 0.0001",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0001, Gamma: 0.05",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0001, Gamma: 0.1",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0001, Gamma: 0.2",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,5,31,14,29.41176471,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,4,5,40,82.35294118,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,4,32,13,29.41176471,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0002, Gamma: 0.05",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0002, Gamma: 0.1",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0002, Gamma: 0.2",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0002, Gamma: 0.5",4,2,10,35,76.47058824,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,3,10,35,74.50980392,0,40,,,
"Nu: 0.0002, Gamma: 0.9",2,4,5,40,82.35294118,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,4,6,39,80.39215686,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0003, Gamma: 0.05",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0003, Gamma: 0.1",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0003, Gamma: 0.2",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,2,10,35,76.47058824,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,5,34,11,23.52941176,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2,4,16,29,60.78431373,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,4,6,39,80.39215686,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.0004, Gamma: 0.05",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0004, Gamma: 0.1",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0004, Gamma: 0.2",5,1,14,31,70.58823529,0,40,,,
"Nu: 0.0004, Gamma: 0.5",2,4,37,8,19.60784314,0,40,,,
"Nu: 0.0004, Gamma: 0.7",1,5,34,11,23.52941176,0,40,,,
"Nu: 0.0004, Gamma: 0.9",2,4,16,29,60.78431373,0,40,,,
"Nu: 0.0004, Gamma: 0.99",2,4,6,39,80.39215686,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.005, Gamma: 0.005",5,1,42,3,15.68627451,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,1,42,3,15.68627451,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,1,42,3,15.68627451,0,40,,,
"Nu: 0.005, Gamma: 0.1",5,1,42,3,15.68627451,0,40,,,
"Nu: 0.005, Gamma: 0.2",3,3,40,5,15.68627451,0,40,,,
