Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.67611336,687
"Nu: 5e-05, Gamma: 1e-05",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 2e-05",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 3e-05",230,122,1,0,65.15580737,0,40,,,
"Nu: 5e-05, Gamma: 4e-05",230,122,1,0,65.15580737,0,40,,,
"Nu: 5e-05, Gamma: 5e-05",230,122,1,0,65.15580737,0,40,,,
"Nu: 5e-05, Gamma: 6e-05",230,122,1,0,65.15580737,0,40,,,
"Nu: 5e-05, Gamma: 7e-05",230,122,1,0,65.15580737,0,40,,,
"Nu: 5e-05, Gamma: 8e-05",230,122,1,0,65.15580737,0,40,,,
"Nu: 5e-05, Gamma: 9e-05",230,122,1,0,65.15580737,0,40,,,
"Nu: 5e-05, Gamma: 0.0001",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.0002",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.0003",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.0004",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.005",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.05",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.0625",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.1",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.2",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.5",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.7",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.9",231,122,0,0,65.43909348,0,40,,,
"Nu: 5e-05, Gamma: 0.99",231,122,0,0,65.43909348,0,40,,,
"Nu: 6e-05, Gamma: 1e-05",231,122,0,0,65.43909348,0,40,,,
"Nu: 6e-05, Gamma: 2e-05",231,122,0,0,65.43909348,0,40,,,
