Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.91902834,447
"Nu: 0.0001, Gamma: 0.0001",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0001, Gamma: 0.005",11,13,906,305,25.58704453,0,40,,,
"Nu: 0.0001, Gamma: 0.05",24,0,1211,0,1.943319838,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.0001, Gamma: 0.1",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.0001, Gamma: 0.2",10,14,870,341,28.42105263,0,40,,,
"Nu: 0.0001, Gamma: 0.5",23,1,884,327,28.34008097,0,40,,,
"Nu: 0.0001, Gamma: 0.7",23,1,875,336,29.06882591,0,40,,,
"Nu: 0.0001, Gamma: 0.9",23,1,408,803,66.88259109,0,40,,,
"Nu: 0.0001, Gamma: 0.99",23,1,446,765,63.80566802,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0002, Gamma: 0.005",11,13,906,305,25.58704453,0,40,,,
"Nu: 0.0002, Gamma: 0.05",24,0,1211,0,1.943319838,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.0002, Gamma: 0.1",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.0002, Gamma: 0.2",24,0,1207,4,2.267206478,0,40,,,
"Nu: 0.0002, Gamma: 0.5",23,1,903,308,26.80161943,0,40,,,
"Nu: 0.0002, Gamma: 0.7",20,4,864,347,29.71659919,0,40,,,
"Nu: 0.0002, Gamma: 0.9",23,1,408,803,66.88259109,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,21,348,863,70.12145749,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0003, Gamma: 0.005",11,13,906,305,25.58704453,0,40,,,
"Nu: 0.0003, Gamma: 0.05",24,0,1211,0,1.943319838,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.0003, Gamma: 0.1",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.0003, Gamma: 0.2",24,0,1207,4,2.267206478,0,40,,,
"Nu: 0.0003, Gamma: 0.5",23,1,903,308,26.80161943,0,40,,,
"Nu: 0.0003, Gamma: 0.7",20,4,864,347,29.71659919,0,40,,,
"Nu: 0.0003, Gamma: 0.9",20,4,583,628,52.46963563,0,40,,,
"Nu: 0.0003, Gamma: 0.99",3,21,348,863,70.12145749,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.0004, Gamma: 0.005",11,13,906,305,25.58704453,0,40,,,
"Nu: 0.0004, Gamma: 0.05",24,0,1211,0,1.943319838,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.0004, Gamma: 0.1",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.0004, Gamma: 0.2",24,0,1207,4,2.267206478,0,40,,,
"Nu: 0.0004, Gamma: 0.5",23,1,903,308,26.80161943,0,40,,,
"Nu: 0.0004, Gamma: 0.7",18,6,875,336,28.66396761,0,40,,,
"Nu: 0.0004, Gamma: 0.9",5,19,605,606,49.47368421,0,40,,,
"Nu: 0.0004, Gamma: 0.99",24,0,439,772,64.4534413,0,40,,,
"Nu: 0.005, Gamma: 0.0001",11,13,906,305,25.58704453,0,40,,,
"Nu: 0.005, Gamma: 0.0002",11,13,906,305,25.58704453,0,40,,,
"Nu: 0.005, Gamma: 0.0003",11,13,906,305,25.58704453,0,40,,,
"Nu: 0.005, Gamma: 0.0004",11,13,906,305,25.58704453,0,40,,,
"Nu: 0.005, Gamma: 0.005",24,0,1211,0,1.943319838,0,40,,,
"Nu: 0.005, Gamma: 0.05",24,0,1211,0,1.943319838,0,40,,,
"Nu: 0.005, Gamma: 0.0625",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.005, Gamma: 0.1",24,0,1210,1,2.024291498,0,40,,,
"Nu: 0.005, Gamma: 0.2",24,0,1207,4,2.267206478,0,40,,,
"Nu: 0.005, Gamma: 0.5",24,0,898,313,27.28744939,0,40,,,
"Nu: 0.005, Gamma: 0.7",24,0,869,342,29.63562753,0,40,,,
"Nu: 0.005, Gamma: 0.9",24,0,515,696,58.29959514,0,40,,,
"Nu: 0.005, Gamma: 0.99",24,0,439,772,64.4534413,0,40,,,
"Nu: 0.05, Gamma: 0.0001",23,1,316,895,74.33198381,0,40,,,
"Nu: 0.05, Gamma: 0.0002",0,24,301,910,73.68421053,0,40,,,
"Nu: 0.05, Gamma: 0.0003",23,1,362,849,70.60728745,0,40,,,
"Nu: 0.05, Gamma: 0.0004",23,1,362,849,70.60728745,0,40,,,
"Nu: 0.05, Gamma: 0.005",23,1,320,891,74.00809717,0,40,,,
"Nu: 0.05, Gamma: 0.05",23,1,372,839,69.79757085,0,40,,,
"Nu: 0.05, Gamma: 0.0625",23,1,371,840,69.87854251,0,40,,,
"Nu: 0.05, Gamma: 0.1",23,1,375,836,69.55465587,0,40,,,
"Nu: 0.05, Gamma: 0.2",23,1,464,747,62.34817814,0,40,,,
"Nu: 0.05, Gamma: 0.5",24,0,174,1037,85.91093117,0,40,,,
"Nu: 0.05, Gamma: 0.7",24,0,215,996,82.59109312,0,40,,,
"Nu: 0.05, Gamma: 0.9",24,0,202,1009,83.6437247,0,40,,,
"Nu: 0.05, Gamma: 0.99",24,0,211,1000,82.91497976,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",19,5,308,903,74.65587045,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",19,5,311,900,74.41295547,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",19,5,311,900,74.41295547,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",19,5,311,900,74.41295547,0,40,,,
"Nu: 0.0625, Gamma: 0.005",23,1,316,895,74.33198381,0,40,,,
"Nu: 0.0625, Gamma: 0.05",23,1,316,895,74.33198381,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",23,1,316,895,74.33198381,0,40,,,
"Nu: 0.0625, Gamma: 0.1",23,1,325,886,73.60323887,0,40,,,
"Nu: 0.0625, Gamma: 0.2",22,2,315,896,74.33198381,0,40,,,
"Nu: 0.0625, Gamma: 0.5",22,2,11,1200,98.94736842,0,40,,,
"Nu: 0.0625, Gamma: 0.7",24,0,3,1208,99.75708502,0,40,,,
"Nu: 0.0625, Gamma: 0.9",24,0,173,1038,85.99190283,0,40,,,
"Nu: 0.0625, Gamma: 0.99",24,0,194,1017,84.29149798,0,40,,,
"Nu: 0.1, Gamma: 0.0001",20,4,314,897,74.25101215,0,40,,,
"Nu: 0.1, Gamma: 0.0002",22,2,315,896,74.33198381,0,40,,,
"Nu: 0.1, Gamma: 0.0003",22,2,315,896,74.33198381,0,40,,,
"Nu: 0.1, Gamma: 0.0004",19,5,313,898,74.25101215,0,40,,,
"Nu: 0.1, Gamma: 0.005",21,3,313,898,74.41295547,0,40,,,
"Nu: 0.1, Gamma: 0.05",21,3,313,898,74.41295547,0,40,,,
"Nu: 0.1, Gamma: 0.0625",21,3,313,898,74.41295547,0,40,,,
"Nu: 0.1, Gamma: 0.1",21,3,313,898,74.41295547,0,40,,,
"Nu: 0.1, Gamma: 0.2",21,3,312,899,74.49392713,0,40,,,
