ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
5867,1980,1684,1628,1728,1588,1492,1486,1507,4031,1757,4533,1608,1618,1660,1726,ferret_cachehalf
107,294,131,42,135,39,42,36,33,2545,216,2047,121,72,78,87,ferret_cachehalf
91,288,98,30,157,35,32,29,24,2363,188,1902,109,70,87,86,ferret_cachehalf
120,260,115,26,98,28,27,30,24,2155,179,1785,96,65,64,62,ferret_cachehalf
124,337,166,36,109,36,31,33,25,2163,198,2066,99,65,69,74,ferret_cachehalf
112,306,105,31,123,31,30,29,27,2284,157,2359,110,72,67,79,ferret_cachehalf
61,226,96,22,83,23,20,21,20,2330,154,1861,75,53,50,53,ferret_cachehalf
70,254,90,21,88,21,20,20,20,2159,190,1627,72,60,58,59,ferret_cachehalf
66,270,117,31,115,29,26,28,23,2171,195,1701,109,72,69,78,ferret_cachehalf
87,241,125,44,103,42,49,51,41,2156,235,2149,154,129,123,146,ferret_cachehalf
44,208,113,25,106,27,23,22,24,2350,220,2009,111,64,77,68,ferret_cachehalf
56,353,91,25,95,41,22,23,20,2250,170,1764,94,55,66,85,ferret_cachehalf
80,210,139,29,97,35,26,23,23,2210,173,2125,96,71,70,75,ferret_cachehalf
94,219,109,28,97,26,24,23,25,2233,167,2217,111,66,86,82,ferret_cachehalf
106,206,199,25,100,24,24,22,17,2217,142,1930,92,63,63,67,ferret_cachehalf
136,190,161,31,106,28,26,26,25,2386,236,2147,112,68,77,74,ferret_cachehalf
3571,2298,2236,2258,2246,2260,2180,2181,2204,4236,2190,2511,2484,2480,2798,2285,ferret_cachehalf
1160,12,14,12,14,16,9,11,15,2016,13,201,154,173,298,15,ferret_cachehalf
1129,9,8,10,13,11,8,8,8,1962,6,202,194,166,297,12,ferret_cachehalf
1141,9,7,9,12,13,5,6,7,1907,6,248,199,179,284,9,ferret_cachehalf
1136,15,11,12,17,22,10,11,16,1912,16,294,231,197,342,14,ferret_cachehalf
1146,14,9,12,13,16,11,10,12,1967,10,302,277,227,305,14,ferret_cachehalf
1102,5,8,4,8,12,7,9,9,1951,9,220,193,167,241,11,ferret_cachehalf
1106,10,8,5,12,13,8,4,14,1886,10,226,150,147,218,10,ferret_cachehalf
1121,15,6,8,11,13,11,8,12,1900,11,245,202,152,224,11,ferret_cachehalf
1142,31,38,29,38,37,36,32,30,1922,24,307,245,195,298,22,ferret_cachehalf
1108,14,5,7,11,8,5,7,11,1962,12,232,178,188,268,10,ferret_cachehalf
1124,43,40,44,55,54,44,47,43,1987,31,223,223,222,362,48,ferret_cachehalf
1119,25,28,28,45,32,30,28,35,1979,30,262,181,206,301,31,ferret_cachehalf
1146,28,30,25,38,33,35,29,31,1943,24,254,217,193,355,27,ferret_cachehalf
1175,15,18,13,29,23,19,19,15,1967,18,361,215,238,369,19,ferret_cachehalf
1149,12,7,8,11,12,7,7,8,1978,8,238,244,211,393,13,ferret_cachehalf
449,172,1380,189,481,169,4638,150,383,148,103,262,112,154,2560,182,ferret_cachehalf
93,8,1239,14,179,7,11497,21,170,5,5,104,4,10,9110,9,ferret_cachehalf
58,1,1560,8,158,0,15960,18,167,2,3,92,1,3,10173,1,ferret_cachehalf
102,5,3178,14,148,7,13033,22,129,7,6,95,5,6,4594,5,ferret_cachehalf
124,9,4484,14,140,13,8830,20,159,9,8,112,8,12,2861,8,ferret_cachehalf
101,9,4616,14,132,9,5015,24,128,5,6,138,7,8,4169,5,ferret_cachehalf
54,1,3471,8,117,2,3152,24,98,0,2,109,0,0,4174,0,ferret_cachehalf
68,7,1629,11,142,6,1264,17,126,5,6,128,2,6,3252,7,ferret_cachehalf
90,6,1319,16,166,7,1091,22,99,6,5,119,5,6,1737,7,ferret_cachehalf
89,3,1986,18,149,6,1093,10,136,2,5,95,3,6,1628,6,ferret_cachehalf
59,4,7467,13,172,5,979,16,113,4,3,106,5,8,1641,6,ferret_cachehalf
54,3,12555,4,127,5,988,19,124,6,6,101,8,6,1670,5,ferret_cachehalf
57,3,10383,13,128,3,1033,15,104,3,3,129,1,8,1619,3,ferret_cachehalf
84,6,5359,15,117,7,1054,13,125,6,3,121,6,6,1612,6,ferret_cachehalf
86,2,1265,11,113,8,1011,17,148,3,6,138,4,6,1591,8,ferret_cachehalf
97,6,1267,17,203,4,1027,22,173,7,3,134,3,7,1651,6,ferret_cachehalf
304,142,1150,148,152,105,3382,81,117,140,26,53,99,107,235,124,ferret_cachehalf
79,6,1083,19,24,7,11563,17,21,19,5,20,7,5,46,7,ferret_cachehalf
27,3,1571,14,18,1,15636,2,15,16,3,18,1,1,36,4,ferret_cachehalf
73,6,4011,26,18,6,13393,14,18,20,4,19,4,6,61,6,ferret_cachehalf
83,7,5534,26,18,9,8783,11,19,33,8,19,9,9,65,9,ferret_cachehalf
61,6,5609,27,25,7,5474,17,26,23,6,18,6,7,55,9,ferret_cachehalf
23,0,3902,15,15,0,4025,10,15,18,2,13,1,1,38,2,ferret_cachehalf
47,4,1351,21,19,4,1368,5,19,18,2,13,5,3,40,6,ferret_cachehalf
69,3,1102,25,21,4,995,14,15,17,3,18,4,4,41,5,ferret_cachehalf
69,6,1943,25,29,3,1019,5,21,13,9,20,9,4,68,11,ferret_cachehalf
19,5,7266,21,20,4,900,11,17,20,1,14,4,2,60,5,ferret_cachehalf
26,1,13021,14,16,4,882,2,11,10,2,11,6,6,40,3,ferret_cachehalf
48,5,11704,23,17,4,937,7,15,24,3,20,4,7,62,6,ferret_cachehalf
60,8,6565,27,17,5,964,11,14,14,5,15,7,6,36,9,ferret_cachehalf
95,7,1067,47,25,6,889,11,19,64,6,17,9,7,81,11,ferret_cachehalf
64,6,1042,24,21,7,901,11,21,37,4,12,4,6,69,10,ferret_cachehalf
253,137,1497,106,86,80,4668,46,105,103,37,30,88,92,94,85,ferret_cachehalf
79,8,1509,15,7,5,10736,5,7,7,6,4,6,10,18,7,ferret_cachehalf
23,5,2834,9,1,0,16260,3,2,2,1,1,1,0,4,1,ferret_cachehalf
63,5,4708,19,10,7,12921,4,7,10,4,5,6,6,10,6,ferret_cachehalf
53,8,5948,14,9,9,9837,5,11,9,6,8,5,7,13,6,ferret_cachehalf
55,7,5284,14,8,5,6030,6,10,8,6,9,4,5,18,6,ferret_cachehalf
21,2,3670,9,5,0,4079,5,5,5,2,0,1,1,10,0,ferret_cachehalf
32,4,1516,13,3,6,1875,3,5,7,4,3,2,4,9,2,ferret_cachehalf
63,6,1129,17,6,4,1149,3,4,9,3,2,3,4,17,5,ferret_cachehalf
65,4,1309,17,7,5,1166,3,5,9,6,2,5,4,21,5,ferret_cachehalf
23,4,6335,17,9,3,1034,5,10,8,4,7,3,5,13,6,ferret_cachehalf
17,2,12071,7,2,3,1019,0,4,2,1,1,5,3,5,3,ferret_cachehalf
46,4,12651,17,7,2,1079,5,8,8,4,4,2,6,14,4,ferret_cachehalf
53,5,6216,17,4,4,1085,3,4,7,4,5,4,4,13,1,ferret_cachehalf
52,7,1665,12,14,9,1029,6,5,8,7,7,8,8,20,12,ferret_cachehalf
