Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.81021898,156
"Nu: 0.0001, Gamma: 0.0001",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.05",3,1,61,72,54.74452555,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,1,58,75,56.93430657,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,1,52,81,61.31386861,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,3,3,130,95.62043796,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,3,3,130,95.62043796,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,4,1,132,96.35036496,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,61,72,54.74452555,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,58,75,56.93430657,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,52,81,61.31386861,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,3,3,130,95.62043796,0,40,,,
"Nu: 0.0002, Gamma: 0.5",1,3,7,126,92.70072993,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,3,25,108,79.5620438,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,3,9,124,91.24087591,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,3,1,132,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,61,72,54.74452555,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,1,58,75,56.93430657,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,52,81,61.31386861,0,40,,,
"Nu: 0.0003, Gamma: 0.2",3,1,46,87,65.69343066,0,40,,,
"Nu: 0.0003, Gamma: 0.5",1,3,53,80,59.12408759,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,3,29,104,76.64233577,0,40,,,
"Nu: 0.0003, Gamma: 0.9",1,3,24,109,80.2919708,0,40,,,
"Nu: 0.0003, Gamma: 0.99",1,3,16,117,86.13138686,0,40,,,
