Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.54014599,14
"Nu: 0.0001, Gamma: 0.0001",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.05",3,1,56,77,58.39416058,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,1,55,78,59.12408759,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,18,115,85.40145985,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,4,4,129,94.16058394,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,0,133,98.54014599,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,0,133,98.54014599,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,56,77,58.39416058,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,55,78,59.12408759,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,18,115,85.40145985,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,4,4,129,94.16058394,0,40,,,
"Nu: 0.0002, Gamma: 0.9",2,2,19,114,84.67153285,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,2,12,121,89.7810219,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,56,77,58.39416058,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,1,55,78,59.12408759,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,2,18,115,85.40145985,0,40,,,
"Nu: 0.0003, Gamma: 0.5",3,1,42,91,68.61313869,0,40,,,
"Nu: 0.0003, Gamma: 0.7",2,2,17,116,86.13138686,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2,2,19,114,84.67153285,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,2,12,121,89.7810219,0,40,,,
