ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
5867,1980.0,1684.0,1628.0,1728.0,1588.0,1492.0,1486.0,1507.0,4031.0,1757.0,4533.0,1608.0,1618.0,1660.0,1726.0,ferret
107,294.0,131.0,42.0,135.0,39.0,42.0,36.0,33.0,2545.0,216.0,2047.0,121.0,72.0,78.0,87.0,ferret
91,288.0,98.0,30.0,157.0,35.0,32.0,29.0,24.0,2363.0,188.0,1902.0,109.0,70.0,87.0,86.0,ferret
120,260.0,115.0,26.0,98.0,28.0,27.0,30.0,24.0,2155.0,179.0,1785.0,96.0,65.0,64.0,62.0,ferret
124,337.0,166.0,36.0,109.0,36.0,31.0,33.0,25.0,2163.0,198.0,2066.0,99.0,65.0,69.0,74.0,ferret
112,306.0,105.0,31.0,123.0,31.0,30.0,29.0,27.0,2284.0,157.0,2359.0,110.0,72.0,67.0,79.0,ferret
61,226.0,96.0,22.0,83.0,23.0,20.0,21.0,20.0,2330.0,154.0,1861.0,75.0,53.0,50.0,53.0,ferret
70,254.0,90.0,21.0,88.0,21.0,20.0,20.0,20.0,2159.0,190.0,1627.0,72.0,60.0,58.0,59.0,ferret
66,270.0,117.0,31.0,115.0,29.0,26.0,28.0,23.0,2171.0,195.0,1701.0,109.0,72.0,69.0,78.0,ferret
87,241.0,125.0,44.0,103.0,42.0,49.0,51.0,41.0,2156.0,235.0,2149.0,154.0,129.0,123.0,146.0,ferret
44,208.0,113.0,25.0,106.0,27.0,23.0,22.0,24.0,2350.0,220.0,2009.0,111.0,64.0,77.0,68.0,ferret
56,353.0,91.0,25.0,95.0,41.0,22.0,23.0,20.0,2250.0,170.0,1764.0,94.0,55.0,66.0,85.0,ferret
80,210.0,139.0,29.0,97.0,35.0,26.0,23.0,23.0,2210.0,173.0,2125.0,96.0,71.0,70.0,75.0,ferret
94,219.0,109.0,28.0,97.0,26.0,24.0,23.0,25.0,2233.0,167.0,2217.0,111.0,66.0,86.0,82.0,ferret
106,206.0,199.0,25.0,100.0,24.0,24.0,22.0,17.0,2217.0,142.0,1930.0,92.0,63.0,63.0,67.0,ferret
136,190.0,161.0,31.0,106.0,28.0,26.0,26.0,25.0,2386.0,236.0,2147.0,112.0,68.0,77.0,74.0,ferret
3571,2298.0,2236.0,2258.0,2246.0,2260.0,2180.0,2181.0,2204.0,4236.0,2190.0,2511.0,2484.0,2480.0,2798.0,2285.0,ferret
1160,12.0,14.0,12.0,14.0,16.0,9.0,11.0,15.0,2016.0,13.0,201.0,154.0,173.0,298.0,15.0,ferret
1129,9.0,8.0,10.0,13.0,11.0,8.0,8.0,8.0,1962.0,6.0,202.0,194.0,166.0,297.0,12.0,ferret
1141,9.0,7.0,9.0,12.0,13.0,5.0,6.0,7.0,1907.0,6.0,248.0,199.0,179.0,284.0,9.0,ferret
1136,15.0,11.0,12.0,17.0,22.0,10.0,11.0,16.0,1912.0,16.0,294.0,231.0,197.0,342.0,14.0,ferret
1146,14.0,9.0,12.0,13.0,16.0,11.0,10.0,12.0,1967.0,10.0,302.0,277.0,227.0,305.0,14.0,ferret
1102,5.0,8.0,4.0,8.0,12.0,7.0,9.0,9.0,1951.0,9.0,220.0,193.0,167.0,241.0,11.0,ferret
1106,10.0,8.0,5.0,12.0,13.0,8.0,4.0,14.0,1886.0,10.0,226.0,150.0,147.0,218.0,10.0,ferret
1121,15.0,6.0,8.0,11.0,13.0,11.0,8.0,12.0,1900.0,11.0,245.0,202.0,152.0,224.0,11.0,ferret
1142,31.0,38.0,29.0,38.0,37.0,36.0,32.0,30.0,1922.0,24.0,307.0,245.0,195.0,298.0,22.0,ferret
1108,14.0,5.0,7.0,11.0,8.0,5.0,7.0,11.0,1962.0,12.0,232.0,178.0,188.0,268.0,10.0,ferret
1124,43.0,40.0,44.0,55.0,54.0,44.0,47.0,43.0,1987.0,31.0,223.0,223.0,222.0,362.0,48.0,ferret
1119,25.0,28.0,28.0,45.0,32.0,30.0,28.0,35.0,1979.0,30.0,262.0,181.0,206.0,301.0,31.0,ferret
1146,28.0,30.0,25.0,38.0,33.0,35.0,29.0,31.0,1943.0,24.0,254.0,217.0,193.0,355.0,27.0,ferret
1175,15.0,18.0,13.0,29.0,23.0,19.0,19.0,15.0,1967.0,18.0,361.0,215.0,238.0,369.0,19.0,ferret
1149,12.0,7.0,8.0,11.0,12.0,7.0,7.0,8.0,1978.0,8.0,238.0,244.0,211.0,393.0,13.0,ferret
449,172.0,1380.0,189.0,481.0,169.0,4638.0,150.0,383.0,148.0,103.0,262.0,112.0,154.0,2560.0,182.0,ferret
93,8.0,1239.0,14.0,179.0,7.0,11497.0,21.0,170.0,5.0,5.0,104.0,4.0,10.0,9110.0,9.0,ferret
58,1.0,1560.0,8.0,158.0,0.0,15960.0,18.0,167.0,2.0,3.0,92.0,1.0,3.0,10173.0,1.0,ferret
102,5.0,3178.0,14.0,148.0,7.0,13033.0,22.0,129.0,7.0,6.0,95.0,5.0,6.0,4594.0,5.0,ferret
124,9.0,4484.0,14.0,140.0,13.0,8830.0,20.0,159.0,9.0,8.0,112.0,8.0,12.0,2861.0,8.0,ferret
101,9.0,4616.0,14.0,132.0,9.0,5015.0,24.0,128.0,5.0,6.0,138.0,7.0,8.0,4169.0,5.0,ferret
54,1.0,3471.0,8.0,117.0,2.0,3152.0,24.0,98.0,0.0,2.0,109.0,0.0,0.0,4174.0,0.0,ferret
68,7.0,1629.0,11.0,142.0,6.0,1264.0,17.0,126.0,5.0,6.0,128.0,2.0,6.0,3252.0,7.0,ferret
90,6.0,1319.0,16.0,166.0,7.0,1091.0,22.0,99.0,6.0,5.0,119.0,5.0,6.0,1737.0,7.0,ferret
89,3.0,1986.0,18.0,149.0,6.0,1093.0,10.0,136.0,2.0,5.0,95.0,3.0,6.0,1628.0,6.0,ferret
59,4.0,7467.0,13.0,172.0,5.0,979.0,16.0,113.0,4.0,3.0,106.0,5.0,8.0,1641.0,6.0,ferret
54,3.0,12555.0,4.0,127.0,5.0,988.0,19.0,124.0,6.0,6.0,101.0,8.0,6.0,1670.0,5.0,ferret
