Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,96.875,599
"Nu: 5e-05, Gamma: 1e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 2e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 3e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 4e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 5e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 6e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 7e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 8e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 9e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.0001",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.0002",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.0003",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.0004",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.005",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.05",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.0625",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.1",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.2",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.5",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.7",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.9",155,21,0,0,88.06818182,0,40,,,
"Nu: 5e-05, Gamma: 0.99",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 1e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 2e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 3e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 4e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 5e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 6e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 7e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 8e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 9e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 0.0001",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 0.0002",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 0.0003",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 0.0004",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 0.005",155,21,0,0,88.06818182,0,40,,,
"Nu: 6e-05, Gamma: 0.05",155,21,0,0,88.06818182,0,40,,,
