Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,314
"Nu: 0.0001, Gamma: 0.0001",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,33,3,17.5,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,33,3,17.5,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,33,3,17.5,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,9,27,72.5,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,22,14,40,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,20,16,45,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,17,19,52.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,33,3,17.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,33,3,17.5,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,33,3,17.5,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,9,27,72.5,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,2,21,15,42.5,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,3,10,26,67.5,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,3,25,11,30,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,3,25,11,30,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,36,90,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,36,90,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,36,90,0,40,,,
