From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raytrace
2539.0,2347.0,1463.0,2431.0,1531.0,1566.0,2434.0,1573.0,1568.0,1577.0,1483.0,1514.0,1580.0,1677.0,1621.0,1677.0,808.0,785.0,16.0,843.0,22.0,20.0,867.0,16.0,19.0,20.0,18.0,17.0,23.0,20.0,20.0,33.0,739.0,818.0,13.0,874.0,19.0,16.0,883.0,14.0,8.0,14.0,12.0,7.0,13.0,20.0,17.0,24.0,799.0,702.0,17.0,811.0,23.0,21.0,824.0,11.0,14.0,17.0,18.0,15.0,22.0,18.0,18.0,29.0,777.0,773.0,8.0,778.0,10.0,15.0,803.0,9.0,7.0,14.0,12.0,4.0,11.0,15.0,12.0,19.0,797.0,818.0,12.0,748.0,16.0,13.0,737.0,13.0,14.0,13.0,20.0,9.0,13.0,19.0,14.0,20.0,751.0,860.0,12.0,847.0,18.0,13.0,785.0,8.0,11.0,15.0,12.0,13.0,13.0,17.0,13.0,30.0,799.0,873.0,7.0,923.0,11.0,11.0,796.0,10.0,6.0,10.0,11.0,4.0,11.0,13.0,10.0,16.0,801.0,833.0,4.0,881.0,12.0,15.0,865.0,11.0,10.0,11.0,11.0,4.0,12.0,18.0,12.0,17.0,792.0,796.0,7.0,869.0,8.0,11.0,839.0,7.0,8.0,6.0,7.0,3.0,10.0,14.0,9.0,14.0,742.0,797.0,6.0,794.0,9.0,9.0,827.0,7.0,6.0,8.0,11.0,4.0,10.0,16.0,9.0,14.0,765.0,837.0,5.0,779.0,7.0,8.0,807.0,8.0,6.0,8.0,9.0,3.0,10.0,12.0,9.0,14.0,791.0,864.0,5.0,847.0,7.0,8.0,854.0,6.0,7.0,8.0,7.0,4.0,8.0,15.0,9.0,14.0,846.0,857.0,7.0,853.0,10.0,11.0,812.0,11.0,11.0,11.0,11.0,9.0,13.0,16.0,12.0,17.0,822.0,834.0,9.0,825.0,14.0,13.0,903.0,11.0,10.0,13.0,15.0,7.0,13.0,19.0,11.0,20.0,845.0,854.0,9.0,944.0,8.0,9.0,946.0,9.0,9.0,10.0,8.0,7.0,10.0,14.0,11.0,16.0,raytrace
2576.0,2674.0,1496.0,2517.0,1555.0,1581.0,2334.0,1466.0,1532.0,1553.0,1540.0,1500.0,1477.0,1564.0,1633.0,1584.0,825.0,832.0,16.0,877.0,10.0,13.0,823.0,13.0,10.0,17.0,11.0,9.0,9.0,9.0,16.0,13.0,758.0,843.0,11.0,844.0,9.0,13.0,849.0,6.0,8.0,11.0,6.0,7.0,6.0,12.0,11.0,12.0,817.0,773.0,16.0,819.0,7.0,11.0,787.0,14.0,10.0,15.0,8.0,6.0,9.0,7.0,15.0,12.0,792.0,771.0,10.0,889.0,6.0,10.0,735.0,7.0,10.0,13.0,3.0,6.0,6.0,11.0,10.0,10.0,800.0,793.0,12.0,827.0,11.0,14.0,704.0,10.0,11.0,19.0,7.0,7.0,6.0,15.0,13.0,13.0,748.0,771.0,7.0,914.0,5.0,11.0,840.0,8.0,7.0,10.0,9.0,7.0,5.0,4.0,9.0,8.0,747.0,759.0,8.0,859.0,6.0,9.0,746.0,5.0,9.0,13.0,5.0,6.0,3.0,12.0,11.0,9.0,783.0,792.0,8.0,835.0,8.0,10.0,801.0,5.0,11.0,16.0,4.0,5.0,10.0,16.0,11.0,15.0,785.0,750.0,8.0,813.0,8.0,11.0,829.0,6.0,10.0,14.0,4.0,6.0,8.0,9.0,12.0,12.0,782.0,796.0,9.0,858.0,8.0,10.0,853.0,7.0,9.0,15.0,5.0,7.0,5.0,12.0,12.0,11.0,759.0,732.0,7.0,773.0,4.0,9.0,778.0,5.0,9.0,12.0,3.0,5.0,3.0,10.0,10.0,10.0,750.0,851.0,6.0,880.0,5.0,7.0,791.0,4.0,6.0,11.0,2.0,4.0,3.0,7.0,7.0,8.0,794.0,939.0,10.0,804.0,7.0,12.0,804.0,7.0,10.0,17.0,5.0,7.0,8.0,12.0,14.0,11.0,825.0,846.0,11.0,836.0,8.0,12.0,857.0,9.0,11.0,17.0,6.0,8.0,6.0,14.0,13.0,14.0,802.0,861.0,10.0,881.0,9.0,12.0,904.0,8.0,11.0,16.0,6.0,8.0,7.0,11.0,14.0,11.0,raytrace
2377.0,2238.0,1401.0,2334.0,1532.0,1556.0,2302.0,1462.0,1473.0,1404.0,1368.0,1404.0,1451.0,1504.0,1498.0,1514.0,807.0,765.0,10.0,834.0,16.0,13.0,823.0,9.0,12.0,12.0,12.0,8.0,10.0,12.0,13.0,15.0,708.0,665.0,8.0,834.0,9.0,9.0,836.0,6.0,8.0,7.0,3.0,5.0,5.0,10.0,8.0,12.0,776.0,709.0,8.0,795.0,12.0,9.0,780.0,7.0,9.0,9.0,10.0,7.0,7.0,8.0,9.0,11.0,780.0,726.0,8.0,851.0,9.0,13.0,785.0,7.0,8.0,6.0,6.0,6.0,6.0,10.0,9.0,14.0,795.0,735.0,11.0,754.0,9.0,12.0,697.0,8.0,10.0,7.0,5.0,7.0,8.0,11.0,10.0,12.0,720.0,732.0,4.0,904.0,6.0,2.0,835.0,2.0,1.0,3.0,2.0,0.0,4.0,3.0,3.0,7.0,743.0,717.0,7.0,832.0,7.0,8.0,794.0,7.0,6.0,4.0,3.0,5.0,5.0,7.0,9.0,12.0,752.0,781.0,6.0,777.0,5.0,8.0,803.0,6.0,3.0,3.0,2.0,4.0,4.0,5.0,8.0,10.0,712.0,746.0,6.0,750.0,5.0,8.0,734.0,5.0,4.0,4.0,4.0,4.0,3.0,9.0,9.0,9.0,690.0,728.0,6.0,787.0,4.0,7.0,832.0,5.0,5.0,4.0,0.0,1.0,3.0,4.0,6.0,9.0,707.0,655.0,5.0,759.0,7.0,6.0,774.0,4.0,4.0,4.0,1.0,3.0,3.0,7.0,8.0,10.0,732.0,663.0,7.0,810.0,6.0,7.0,895.0,5.0,3.0,6.0,3.0,4.0,5.0,9.0,8.0,10.0,762.0,675.0,9.0,780.0,10.0,9.0,785.0,8.0,6.0,9.0,5.0,7.0,7.0,10.0,12.0,13.0,761.0,609.0,12.0,834.0,12.0,13.0,817.0,11.0,12.0,11.0,8.0,11.0,11.0,14.0,13.0,17.0,762.0,674.0,11.0,857.0,10.0,10.0,853.0,8.0,6.0,8.0,6.0,6.0,5.0,12.0,11.0,14.0,raytrace
2351.0,2418.0,1446.0,2314.0,1506.0,1635.0,2174.0,1491.0,1465.0,1472.0,1402.0,1482.0,1537.0,1581.0,1613.0,1557.0,793.0,922.0,13.0,833.0,24.0,20.0,771.0,15.0,18.0,15.0,14.0,13.0,13.0,16.0,18.0,19.0,728.0,913.0,6.0,811.0,6.0,9.0,737.0,6.0,8.0,6.0,5.0,5.0,9.0,9.0,8.0,10.0,755.0,818.0,7.0,726.0,6.0,8.0,687.0,5.0,10.0,7.0,6.0,5.0,7.0,8.0,10.0,10.0,766.0,830.0,8.0,764.0,5.0,8.0,756.0,7.0,6.0,6.0,4.0,5.0,5.0,8.0,9.0,7.0,826.0,849.0,4.0,797.0,7.0,9.0,753.0,8.0,10.0,10.0,6.0,7.0,8.0,9.0,12.0,10.0,709.0,932.0,7.0,838.0,9.0,10.0,799.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0,753.0,894.0,3.0,769.0,3.0,8.0,776.0,6.0,8.0,7.0,4.0,5.0,5.0,7.0,7.0,7.0,745.0,893.0,4.0,701.0,8.0,8.0,790.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,739.0,896.0,3.0,766.0,4.0,8.0,791.0,6.0,6.0,6.0,4.0,5.0,7.0,10.0,8.0,9.0,703.0,851.0,1.0,802.0,4.0,5.0,740.0,5.0,3.0,4.0,1.0,4.0,4.0,6.0,5.0,5.0,746.0,851.0,3.0,808.0,3.0,6.0,749.0,6.0,4.0,6.0,2.0,5.0,6.0,8.0,7.0,6.0,772.0,929.0,3.0,853.0,6.0,7.0,820.0,5.0,10.0,6.0,4.0,5.0,5.0,8.0,7.0,5.0,798.0,918.0,6.0,850.0,9.0,12.0,733.0,9.0,12.0,8.0,8.0,8.0,10.0,12.0,10.0,12.0,812.0,920.0,6.0,821.0,8.0,10.0,761.0,8.0,8.0,8.0,7.0,7.0,8.0,11.0,9.0,9.0,789.0,867.0,8.0,785.0,9.0,11.0,815.0,9.0,11.0,8.0,7.0,9.0,10.0,11.0,11.0,12.0,raytrace
2021.0,2094.0,1215.0,2157.0,1258.0,1302.0,1793.0,1213.0,1230.0,1271.0,1171.0,1192.0,1265.0,1337.0,1312.0,1273.0,660.0,799.0,13.0,843.0,13.0,15.0,711.0,13.0,14.0,14.0,16.0,15.0,13.0,13.0,21.0,14.0,620.0,750.0,4.0,818.0,8.0,6.0,705.0,5.0,3.0,4.0,5.0,3.0,3.0,7.0,6.0,5.0,672.0,705.0,7.0,792.0,4.0,7.0,631.0,6.0,9.0,6.0,10.0,5.0,8.0,8.0,7.0,10.0,641.0,643.0,4.0,778.0,9.0,8.0,578.0,5.0,6.0,5.0,4.0,4.0,6.0,8.0,8.0,9.0,665.0,676.0,7.0,772.0,10.0,9.0,559.0,8.0,5.0,6.0,8.0,7.0,7.0,10.0,7.0,10.0,591.0,729.0,6.0,872.0,2.0,4.0,624.0,4.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,6.0,619.0,742.0,6.0,758.0,7.0,7.0,653.0,4.0,3.0,4.0,6.0,3.0,4.0,6.0,5.0,8.0,629.0,740.0,4.0,783.0,4.0,6.0,610.0,4.0,4.0,6.0,5.0,3.0,6.0,9.0,7.0,8.0,647.0,740.0,4.0,805.0,8.0,7.0,657.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0,7.0,590.0,732.0,2.0,798.0,4.0,5.0,592.0,3.0,6.0,3.0,4.0,2.0,4.0,8.0,8.0,6.0,607.0,706.0,3.0,832.0,5.0,6.0,637.0,4.0,5.0,4.0,6.0,4.0,4.0,7.0,6.0,8.0,640.0,745.0,5.0,859.0,6.0,7.0,685.0,5.0,4.0,6.0,5.0,4.0,5.0,9.0,7.0,9.0,678.0,808.0,6.0,856.0,7.0,9.0,615.0,7.0,7.0,7.0,9.0,7.0,9.0,11.0,10.0,8.0,667.0,754.0,7.0,919.0,10.0,10.0,615.0,8.0,8.0,8.0,8.0,7.0,7.0,11.0,8.0,12.0,642.0,782.0,7.0,866.0,9.0,9.0,659.0,8.0,8.0,6.0,8.0,6.0,8.0,10.0,10.0,9.0,raytrace
2285.0,2252.0,1351.0,2517.0,1406.0,1423.0,2232.0,1384.0,1436.0,1413.0,1369.0,1409.0,1467.0,1439.0,1471.0,1472.0,753.0,735.0,8.0,889.0,14.0,6.0,874.0,8.0,8.0,11.0,9.0,8.0,8.0,6.0,9.0,11.0,681.0,733.0,3.0,845.0,7.0,5.0,852.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,8.0,10.0,704.0,662.0,6.0,789.0,9.0,7.0,836.0,8.0,7.0,7.0,6.0,4.0,7.0,5.0,8.0,7.0,714.0,655.0,7.0,821.0,8.0,9.0,782.0,7.0,7.0,8.0,7.0,5.0,4.0,6.0,9.0,9.0,722.0,699.0,7.0,805.0,10.0,9.0,756.0,5.0,6.0,7.0,5.0,4.0,5.0,8.0,10.0,10.0,682.0,766.0,6.0,808.0,7.0,4.0,888.0,3.0,2.0,5.0,6.0,4.0,3.0,4.0,1.0,7.0,708.0,738.0,4.0,788.0,7.0,7.0,933.0,6.0,4.0,5.0,3.0,3.0,4.0,7.0,8.0,6.0,732.0,742.0,3.0,821.0,7.0,8.0,841.0,6.0,4.0,5.0,4.0,3.0,4.0,7.0,6.0,7.0,714.0,663.0,5.0,796.0,7.0,9.0,870.0,5.0,4.0,5.0,4.0,3.0,5.0,6.0,7.0,6.0,690.0,719.0,3.0,824.0,7.0,7.0,857.0,5.0,3.0,6.0,3.0,2.0,3.0,5.0,4.0,6.0,712.0,708.0,3.0,809.0,6.0,7.0,849.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,7.0,6.0,743.0,783.0,3.0,913.0,6.0,7.0,860.0,5.0,5.0,6.0,4.0,4.0,4.0,7.0,6.0,7.0,729.0,656.0,7.0,933.0,10.0,10.0,913.0,8.0,6.0,10.0,5.0,7.0,8.0,8.0,11.0,10.0,745.0,667.0,8.0,835.0,10.0,11.0,972.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,11.0,11.0,741.0,706.0,6.0,987.0,9.0,9.0,892.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,10.0,10.0,raytrace
2636.0,2625.0,1610.0,2623.0,1719.0,1750.0,2497.0,1609.0,1638.0,1676.0,1595.0,1644.0,1604.0,1764.0,1763.0,1759.0,876.0,928.0,9.0,933.0,14.0,14.0,836.0,14.0,25.0,17.0,9.0,17.0,13.0,13.0,18.0,16.0,813.0,922.0,4.0,904.0,5.0,7.0,852.0,3.0,13.0,6.0,2.0,3.0,5.0,9.0,6.0,6.0,862.0,838.0,5.0,886.0,7.0,8.0,849.0,6.0,18.0,10.0,7.0,7.0,9.0,10.0,12.0,11.0,876.0,846.0,6.0,914.0,9.0,10.0,919.0,6.0,36.0,9.0,6.0,6.0,8.0,15.0,10.0,10.0,889.0,862.0,5.0,904.0,10.0,9.0,834.0,10.0,20.0,13.0,6.0,7.0,9.0,15.0,11.0,9.0,827.0,896.0,3.0,939.0,8.0,7.0,933.0,9.0,23.0,11.0,5.0,14.0,10.0,6.0,10.0,9.0,813.0,837.0,4.0,932.0,6.0,6.0,856.0,5.0,19.0,9.0,5.0,5.0,6.0,11.0,7.0,9.0,822.0,853.0,4.0,891.0,8.0,7.0,863.0,4.0,14.0,8.0,5.0,7.0,6.0,11.0,9.0,11.0,849.0,883.0,5.0,959.0,6.0,7.0,815.0,5.0,21.0,9.0,5.0,8.0,8.0,14.0,10.0,11.0,804.0,840.0,6.0,881.0,7.0,6.0,802.0,5.0,23.0,8.0,3.0,6.0,6.0,11.0,12.0,10.0,829.0,877.0,4.0,890.0,6.0,5.0,788.0,5.0,10.0,7.0,3.0,4.0,5.0,11.0,9.0,6.0,807.0,866.0,4.0,830.0,5.0,6.0,822.0,4.0,36.0,8.0,3.0,3.0,6.0,12.0,8.0,7.0,893.0,909.0,8.0,820.0,10.0,11.0,865.0,8.0,24.0,11.0,10.0,11.0,12.0,17.0,13.0,13.0,891.0,919.0,9.0,842.0,10.0,10.0,879.0,8.0,70.0,11.0,7.0,7.0,8.0,14.0,11.0,10.0,890.0,920.0,10.0,842.0,9.0,10.0,940.0,8.0,41.0,11.0,7.0,7.0,8.0,15.0,10.0,11.0,raytrace
7826.0,5625.0,4543.0,5624.0,5565.0,5275.0,5173.0,5641.0,5219.0,5064.0,5432.0,5127.0,5524.0,5186.0,5425.0,5620.0,2921.0,801.0,35.0,878.0,724.0,782.0,844.0,1015.0,708.0,471.0,802.0,644.0,707.0,681.0,540.0,788.0,2796.0,667.0,11.0,872.0,711.0,701.0,793.0,563.0,829.0,377.0,722.0,521.0,659.0,633.0,391.0,709.0,2967.0,574.0,32.0,885.0,729.0,658.0,868.0,669.0,696.0,379.0,718.0,508.0,591.0,623.0,365.0,681.0,2909.0,663.0,30.0,838.0,811.0,714.0,860.0,626.0,691.0,353.0,881.0,557.0,661.0,585.0,433.0,722.0,2829.0,663.0,28.0,849.0,778.0,596.0,890.0,610.0,777.0,417.0,683.0,528.0,581.0,599.0,406.0,712.0,2729.0,605.0,25.0,898.0,736.0,638.0,845.0,586.0,790.0,366.0,766.0,482.0,593.0,603.0,381.0,641.0,2818.0,685.0,33.0,889.0,794.0,621.0,833.0,424.0,697.0,741.0,717.0,526.0,594.0,604.0,664.0,660.0,2840.0,645.0,29.0,858.0,727.0,717.0,788.0,582.0,741.0,387.0,714.0,488.0,608.0,653.0,373.0,662.0,2806.0,643.0,33.0,849.0,643.0,681.0,774.0,529.0,710.0,275.0,633.0,412.0,549.0,682.0,715.0,663.0,2787.0,653.0,23.0,871.0,761.0,656.0,848.0,562.0,740.0,362.0,678.0,489.0,597.0,684.0,418.0,606.0,2763.0,658.0,26.0,782.0,681.0,645.0,789.0,545.0,683.0,337.0,759.0,492.0,665.0,664.0,415.0,646.0,2916.0,726.0,28.0,903.0,801.0,701.0,843.0,678.0,713.0,437.0,803.0,610.0,704.0,675.0,511.0,736.0,2929.0,900.0,30.0,857.0,870.0,771.0,770.0,790.0,691.0,482.0,911.0,669.0,804.0,630.0,580.0,783.0,3031.0,1158.0,34.0,929.0,779.0,695.0,852.0,1038.0,729.0,477.0,865.0,590.0,780.0,709.0,452.0,768.0,2987.0,852.0,29.0,885.0,759.0,756.0,819.0,724.0,773.0,568.0,904.0,568.0,717.0,698.0,539.0,762.0,raytrace
6763.0,4002.0,3820.0,4810.0,4853.0,4763.0,4757.0,3876.0,4731.0,3966.0,4549.0,3925.0,4081.0,4940.0,4113.0,4136.0,2734.0,72.0,61.0,906.0,850.0,939.0,887.0,63.0,830.0,106.0,701.0,57.0,86.0,968.0,78.0,102.0,2662.0,43.0,17.0,849.0,758.0,958.0,825.0,24.0,755.0,33.0,692.0,11.0,35.0,925.0,21.0,33.0,2694.0,67.0,38.0,862.0,735.0,926.0,775.0,45.0,819.0,65.0,770.0,35.0,66.0,916.0,57.0,66.0,2826.0,78.0,48.0,859.0,806.0,967.0,849.0,56.0,819.0,85.0,813.0,51.0,90.0,871.0,79.0,96.0,2724.0,63.0,43.0,812.0,669.0,879.0,880.0,53.0,764.0,67.0,706.0,46.0,62.0,887.0,57.0,69.0,2795.0,31.0,18.0,918.0,770.0,900.0,847.0,26.0,923.0,36.0,724.0,19.0,36.0,1006.0,28.0,34.0,2871.0,67.0,51.0,868.0,821.0,918.0,774.0,50.0,896.0,68.0,751.0,48.0,67.0,970.0,60.0,74.0,2781.0,61.0,43.0,857.0,745.0,983.0,859.0,48.0,830.0,64.0,655.0,43.0,69.0,928.0,57.0,65.0,2798.0,81.0,64.0,885.0,754.0,951.0,937.0,57.0,844.0,77.0,762.0,58.0,122.0,985.0,90.0,110.0,2716.0,55.0,43.0,829.0,876.0,855.0,871.0,44.0,831.0,60.0,670.0,43.0,71.0,1012.0,61.0,63.0,2759.0,62.0,48.0,887.0,832.0,877.0,787.0,49.0,855.0,58.0,755.0,46.0,65.0,907.0,58.0,70.0,2830.0,88.0,57.0,919.0,925.0,930.0,886.0,50.0,859.0,79.0,818.0,54.0,90.0,968.0,88.0,121.0,2847.0,60.0,39.0,878.0,887.0,912.0,918.0,43.0,809.0,58.0,777.0,36.0,60.0,915.0,53.0,71.0,2858.0,112.0,50.0,870.0,783.0,907.0,948.0,52.0,879.0,106.0,734.0,51.0,112.0,1003.0,60.0,118.0,2849.0,113.0,59.0,977.0,896.0,932.0,891.0,60.0,937.0,88.0,756.0,54.0,114.0,1017.0,88.0,124.0,raytrace
