Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,312
"Nu: 0.0001, Gamma: 0.0001",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,9,28,73.17073171,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,23,14,39.02439024,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,21,16,43.90243902,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,18,19,51.2195122,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,9,28,73.17073171,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,2,22,15,41.46341463,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,3,11,26,65.85365854,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,3,26,11,29.26829268,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,3,26,11,29.26829268,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.05",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0003, Gamma: 0.1",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,2,9,28,73.17073171,0,40,,,
"Nu: 0.0003, Gamma: 0.5",2,2,22,15,41.46341463,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,3,11,26,65.85365854,0,40,,,
"Nu: 0.0003, Gamma: 0.9",1,3,26,11,29.26829268,0,40,,,
