Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,96.70781893,1462
"Nu: 5e-05, Gamma: 1e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 2e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 3e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 4e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 5e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 6e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 7e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 8e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 9e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.0001",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.0002",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.0003",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.0004",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.005",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.05",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.0625",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.1",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.2",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.5",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.7",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.9",117,24,0,0,82.9787234,0,40,,,
"Nu: 5e-05, Gamma: 0.99",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 1e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 2e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 3e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 4e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 5e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 6e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 7e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 8e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 9e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.0001",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.0002",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.0003",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.0004",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.005",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.05",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.0625",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.1",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.2",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.5",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.7",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.9",117,24,0,0,82.9787234,0,40,,,
"Nu: 6e-05, Gamma: 0.99",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 1e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 2e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 3e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 4e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 5e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 6e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 7e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 8e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 9e-05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 0.0001",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 0.0002",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 0.0003",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 0.0004",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 0.005",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 0.05",117,24,0,0,82.9787234,0,40,,,
"Nu: 7e-05, Gamma: 0.0625",117,24,0,0,82.9787234,0,40,,,
