Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.29078014,290
"Nu: 0.0001, Gamma: 0.0001",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,176,55,27.57201646,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,169,62,30.4526749,0,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,149,82,38.68312757,0,40,,,
"Nu: 0.0001, Gamma: 0.2",9,3,129,102,45.67901235,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,11,49,182,75.30864198,0,40,,,
"Nu: 0.0001, Gamma: 0.7",8,4,17,214,91.35802469,0,40,,,
"Nu: 0.0001, Gamma: 0.9",9,3,38,193,83.12757202,0,40,,,
"Nu: 0.0001, Gamma: 0.99",9,3,35,196,84.36213992,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,176,55,27.57201646,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,169,62,30.4526749,0,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,149,82,38.68312757,0,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,145,86,40.32921811,0,40,,,
"Nu: 0.0002, Gamma: 0.5",8,4,38,193,82.71604938,0,40,,,
"Nu: 0.0002, Gamma: 0.7",12,0,52,179,78.60082305,0,40,,,
"Nu: 0.0002, Gamma: 0.9",9,3,38,193,83.12757202,0,40,,,
"Nu: 0.0002, Gamma: 0.99",9,3,43,188,81.06995885,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,176,55,27.57201646,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,169,62,30.4526749,0,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,153,78,37.03703704,0,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,145,86,40.32921811,0,40,,,
"Nu: 0.0003, Gamma: 0.5",12,0,93,138,61.72839506,0,40,,,
"Nu: 0.0003, Gamma: 0.7",12,0,93,138,61.72839506,0,40,,,
"Nu: 0.0003, Gamma: 0.9",11,1,86,145,64.19753086,0,40,,,
"Nu: 0.0003, Gamma: 0.99",9,3,80,151,65.8436214,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,206,25,15.22633745,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,176,55,27.57201646,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,169,62,30.4526749,0,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,177,54,27.16049383,0,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,145,86,40.32921811,0,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,93,138,61.72839506,0,40,,,
"Nu: 0.0004, Gamma: 0.7",12,0,74,157,69.5473251,0,40,,,
"Nu: 0.0004, Gamma: 0.9",11,1,87,144,63.78600823,0,40,,,
"Nu: 0.0004, Gamma: 0.99",12,0,87,144,64.19753086,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,212,19,12.75720165,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,206,25,15.22633745,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,196,35,19.34156379,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,189,42,22.22222222,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,177,54,27.16049383,0,40,,,
