Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,96.22641509,462
"Nu: 0.0001, Gamma: 0.0001",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,1,33,15,35.8490566,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,1,32,16,37.73584906,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,2,21,27,56.60377358,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,4,0,48,92.45283019,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,1,33,15,35.8490566,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,1,32,16,37.73584906,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,2,21,27,56.60377358,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,2,22,26,54.71698113,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,4,4,44,84.90566038,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,4,3,45,86.79245283,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0003, Gamma: 0.05",4,1,33,15,35.8490566,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,1,32,16,37.73584906,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,2,21,27,56.60377358,0,40,,,
"Nu: 0.0003, Gamma: 0.2",3,2,27,21,45.28301887,0,40,,,
"Nu: 0.0003, Gamma: 0.5",3,2,5,43,86.79245283,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,4,4,44,84.90566038,0,40,,,
"Nu: 0.0003, Gamma: 0.9",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0004, Gamma: 0.05",4,1,33,15,35.8490566,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,1,32,16,37.73584906,0,40,,,
"Nu: 0.0004, Gamma: 0.1",3,2,31,17,37.73584906,0,40,,,
"Nu: 0.0004, Gamma: 0.2",4,1,26,22,49.05660377,0,40,,,
"Nu: 0.0004, Gamma: 0.5",3,2,5,43,86.79245283,0,40,,,
"Nu: 0.0004, Gamma: 0.7",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.0004, Gamma: 0.9",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.0004, Gamma: 0.99",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.005, Gamma: 0.005",4,1,39,9,24.52830189,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,48,0,9.433962264,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,48,0,9.433962264,0,40,,,
"Nu: 0.005, Gamma: 0.1",3,2,33,15,33.96226415,0,40,,,
"Nu: 0.005, Gamma: 0.2",4,1,27,21,47.16981132,0,40,,,
"Nu: 0.005, Gamma: 0.5",2,3,12,36,71.69811321,0,40,,,
"Nu: 0.005, Gamma: 0.7",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.005, Gamma: 0.9",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.005, Gamma: 0.99",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.05, Gamma: 0.0001",4,1,45,3,13.20754717,0,40,,,
"Nu: 0.05, Gamma: 0.0002",4,1,45,3,13.20754717,0,40,,,
"Nu: 0.05, Gamma: 0.0003",4,1,45,3,13.20754717,0,40,,,
"Nu: 0.05, Gamma: 0.0004",4,1,45,3,13.20754717,0,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,48,0,9.433962264,0,40,,,
"Nu: 0.05, Gamma: 0.05",4,1,45,3,13.20754717,0,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,48,0,9.433962264,0,40,,,
"Nu: 0.05, Gamma: 0.1",4,1,36,12,30.18867925,0,40,,,
"Nu: 0.05, Gamma: 0.2",4,1,27,21,47.16981132,0,40,,,
"Nu: 0.05, Gamma: 0.5",4,1,15,33,69.81132075,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",1,4,28,20,39.62264151,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",1,4,28,20,39.62264151,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",1,4,28,20,39.62264151,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",1,4,28,20,39.62264151,0,40,,,
"Nu: 0.0625, Gamma: 0.005",3,2,42,6,16.98113208,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,1,46,2,11.32075472,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,2,43,5,15.09433962,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,2,33,15,33.96226415,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,2,24,24,50.94339623,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,3,12,36,71.69811321,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,3,27,21,43.39622642,0,40,,,
"Nu: 0.1, Gamma: 0.0002",2,3,27,21,43.39622642,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,3,29,19,39.62264151,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,2,41,7,18.86792453,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,1,44,4,15.09433962,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,1,44,4,15.09433962,0,40,,,
"Nu: 0.1, Gamma: 0.0625",3,2,42,6,16.98113208,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,1,37,11,28.30188679,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,1,27,21,47.16981132,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,2,12,36,73.58490566,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,1,45,3,13.20754717,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,2,42,6,16.98113208,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,2,41,7,18.86792453,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,2,41,7,18.86792453,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,2,41,7,18.86792453,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,2,39,9,22.64150943,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,2,39,9,22.64150943,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,1,28,20,45.28301887,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,2,21,27,56.60377358,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,3,6,42,83.01886792,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,3,0,48,94.33962264,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,2,3,45,90.56603774,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,3,28,20,41.50943396,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,3,28,20,41.50943396,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,4,28,20,39.62264151,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,3,28,20,41.50943396,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,3,28,20,41.50943396,0,40,,,
