Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.66197183,621
"Nu: 5e-05, Gamma: 1e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 2e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 3e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 4e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 5e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 6e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 7e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 8e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 9e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.0001",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.0002",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.0003",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.0004",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.005",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.05",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.0625",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.1",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.2",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.5",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.7",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.9",119,13,0,0,90.15151515,0,40,,,
"Nu: 5e-05, Gamma: 0.99",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 1e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 2e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 3e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 4e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 5e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 6e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 7e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 8e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 9e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.0001",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.0002",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.0003",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.0004",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.005",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.05",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.0625",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.1",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.2",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.5",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.7",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.9",119,13,0,0,90.15151515,0,40,,,
"Nu: 6e-05, Gamma: 0.99",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 1e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 2e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 3e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 4e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 5e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 6e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 7e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 8e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 9e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.0001",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.0002",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.0003",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.0004",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.005",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.05",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.0625",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.1",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.2",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.5",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.7",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.9",119,13,0,0,90.15151515,0,40,,,
"Nu: 7e-05, Gamma: 0.99",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 1e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 2e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 3e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 4e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 5e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 6e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 7e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 8e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 9e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.0001",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.0002",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.0003",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.0004",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.005",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.05",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.0625",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.1",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.2",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.5",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.7",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.9",119,13,0,0,90.15151515,0,40,,,
"Nu: 8e-05, Gamma: 0.99",119,13,0,0,90.15151515,0,40,,,
"Nu: 9e-05, Gamma: 1e-05",119,13,0,0,90.15151515,0,40,,,
