Features: 16,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.54929577
"Nu: 0.0001, Gamma: 0.0001",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0001, Gamma: 0.05",12,0,130,0,8.450704225,0,40,,
"Nu: 0.0001, Gamma: 0.0625",12,0,128,2,9.85915493,0,40,,
"Nu: 0.0001, Gamma: 0.1",11,1,125,5,11.26760563,0,40,,
"Nu: 0.0001, Gamma: 0.2",8,4,64,66,52.11267606,0,40,,
"Nu: 0.0001, Gamma: 0.5",3,9,21,109,78.87323944,0,40,,
"Nu: 0.0001, Gamma: 0.7",3,9,21,109,78.87323944,0,40,,
"Nu: 0.0001, Gamma: 0.9",4,8,21,109,79.57746479,0,40,,
"Nu: 0.0001, Gamma: 0.99",4,8,21,109,79.57746479,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0002, Gamma: 0.05",12,0,130,0,8.450704225,0,40,,
"Nu: 0.0002, Gamma: 0.0625",12,0,128,2,9.85915493,0,40,,
"Nu: 0.0002, Gamma: 0.1",11,1,125,5,11.26760563,0,40,,
"Nu: 0.0002, Gamma: 0.2",8,4,90,40,33.8028169,0,40,,
"Nu: 0.0002, Gamma: 0.5",10,2,73,57,47.18309859,0,40,,
"Nu: 0.0002, Gamma: 0.7",10,2,70,60,49.29577465,0,40,,
"Nu: 0.0002, Gamma: 0.9",10,2,77,53,44.36619718,0,40,,
"Nu: 0.0002, Gamma: 0.99",7,5,50,80,61.26760563,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,130,91.54929577,0,40,,
"Nu: 0.0003, Gamma: 0.005",7,5,84,46,37.32394366,0,40,,
"Nu: 0.0003, Gamma: 0.05",12,0,130,0,8.450704225,0,40,,
"Nu: 0.0003, Gamma: 0.0625",12,0,128,2,9.85915493,0,40,,
"Nu: 0.0003, Gamma: 0.1",11,1,125,5,11.26760563,0,40,,
