ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vips_cachehalf
382,194,83,9625,153,195,54,109,109,97,15,62,96,191,182,190,vips_cachehalf
104,8,7,8722,9,9,6,7,7,7,5,6,7,10,10,12,vips_cachehalf
46,6,4,8523,5,6,3,3,5,4,2,2,3,6,6,7,vips_cachehalf
98,5,6,8530,9,8,6,5,7,6,5,6,6,7,7,8,vips_cachehalf
88,8,5,8525,7,8,5,6,7,5,3,4,5,7,9,9,vips_cachehalf
106,9,7,8218,8,15,5,6,6,6,4,5,5,8,10,9,vips_cachehalf
31,3,3,7842,4,4,1,3,4,3,2,2,2,6,6,6,vips_cachehalf
64,6,4,7955,4,6,2,6,5,4,2,4,5,5,7,4,vips_cachehalf
66,6,10,8006,5,6,7,6,4,3,4,3,4,9,7,7,vips_cachehalf
55,6,5,7885,6,5,3,3,4,3,2,3,3,5,6,6,vips_cachehalf
10,3,4,7835,4,4,1,4,2,3,0,1,2,4,5,4,vips_cachehalf
