From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
2686,1943,1726,1842,1880,1779,1633,1706,1702,1684,1676,1824,7121,2039,4054,1815,117,121,30,38,59,37,30,44,33,30,31,138,2800,177,1116,32,83,112,23,26,61,28,25,34,23,22,21,124,2942,166,1184,28,145,107,26,28,43,29,26,50,25,24,24,117,2683,212,1126,29,148,140,38,33,63,33,27,68,32,27,27,142,2523,228,1174,32,129,121,29,32,53,34,28,50,30,32,28,119,2553,166,1146,34,65,103,17,26,30,24,19,34,20,21,23,94,2480,129,1334,22,91,90,17,25,48,22,21,29,21,23,24,144,2229,160,1095,30,91,110,27,33,44,34,28,45,27,29,29,146,2185,172,1130,34,84,93,31,36,39,36,32,51,32,32,31,158,2143,193,1082,38,57,81,22,24,32,24,20,35,19,20,18,141,2366,181,1191,24,64,102,31,30,39,35,28,50,30,30,30,108,2527,341,1211,39,66,179,34,25,45,25,24,42,28,25,28,128,2399,184,1428,36,114,102,29,31,80,33,25,41,26,28,30,132,2819,160,1167,41,116,103,24,17,32,27,22,73,19,18,25,114,2844,170,1358,25,134,95,27,34,55,32,24,56,28,29,28,175,2649,209,1152,36,x264_cachehalf
1883,1217,1085,5696,1170,1106,5811,1034,1083,1048,995,953,1037,1082,1153,1139,599,22,33,1431,56,15,2895,10,11,17,13,19,19,23,28,34,535,22,21,1454,52,9,2974,7,6,8,5,11,11,10,12,17,619,48,51,1399,136,48,3334,34,33,23,25,21,35,34,27,41,600,76,55,1483,73,51,2892,29,29,31,33,30,35,39,43,48,566,26,25,1816,54,10,3317,8,8,10,11,11,11,17,11,18,509,47,38,1392,75,32,2341,24,21,23,19,20,29,29,34,39,527,21,23,1243,37,6,2422,4,4,7,12,11,6,11,6,9,554,27,27,1227,42,9,2323,4,3,10,12,16,18,18,12,12,537,21,25,1264,34,8,2646,4,7,10,10,6,14,11,9,12,520,47,41,1197,50,23,2574,20,25,28,36,38,42,42,29,27,487,30,30,1542,39,10,2595,14,10,18,19,19,19,21,15,28,527,41,34,1214,38,15,2819,8,12,10,15,19,18,23,14,22,553,36,39,1664,49,17,3127,20,16,25,32,21,24,29,29,32,588,82,40,1376,44,17,2990,11,18,16,18,21,17,23,14,27,571,49,52,1818,46,13,4493,8,8,11,10,13,13,13,12,14,x264_cachehalf
68,7,5,8,12,4,4,4,4,5,4,4,8,11,6,47,10,0,2,1,1,1,1,1,1,1,1,1,1,3,2,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,13,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1,3,1,1,1,1,1,1,1,1,1,1,1,3,26,3,1,1,1,1,1,1,1,1,1,2,1,1,2,4,x264_cachehalf
69,6,6,10,36,3,5,6,4,3,3,2,7,12,13,48,11,0,2,1,5,1,1,1,1,1,1,1,2,1,2,5,8,0,0,1,8,0,0,0,0,0,0,0,1,0,0,2,8,0,0,1,14,0,0,0,0,0,1,0,1,0,1,2,13,1,0,0,22,1,1,1,2,1,1,1,1,2,3,7,11,0,0,0,8,0,0,0,0,0,0,0,1,0,1,1,5,0,1,0,7,0,0,0,0,0,0,0,1,0,0,1,14,0,0,0,11,0,0,1,1,0,0,0,1,0,2,2,13,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,8,0,0,0,0,0,0,0,1,0,0,2,5,0,0,1,6,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,4,0,0,0,0,0,0,0,1,2,0,1,4,0,0,0,9,1,1,1,1,1,1,1,2,1,1,2,8,0,0,1,4,0,0,0,0,0,1,1,1,1,0,1,11,0,2,1,47,2,1,1,1,1,1,1,2,1,1,2,27,3,1,1,41,1,1,1,1,2,1,1,2,1,1,2,x264_cachehalf
67,7,6,9,17,4,33,3,3,6,3,3,5,13,15,41,10,0,3,1,1,1,4,1,1,1,1,1,2,2,3,3,10,0,0,0,0,0,8,0,0,0,0,0,1,1,1,2,8,0,1,0,6,0,15,1,0,0,0,0,1,0,1,3,17,3,1,2,6,1,29,1,0,0,0,0,1,0,3,6,10,0,0,0,2,0,8,0,0,0,0,0,1,1,1,2,4,0,0,0,3,0,3,1,1,1,1,1,1,1,2,2,10,0,0,1,2,0,6,0,0,1,0,0,1,0,2,1,12,0,0,0,1,0,8,0,0,0,0,0,1,1,1,1,7,0,0,0,4,0,9,0,0,0,0,0,1,0,2,1,6,0,0,0,0,0,6,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,6,1,1,1,2,0,10,1,1,1,1,1,2,1,2,2,9,0,0,0,1,1,4,0,1,0,0,1,1,0,2,1,11,1,1,1,3,1,43,2,1,1,1,1,2,2,2,2,23,2,1,1,8,1,36,2,1,1,1,1,2,1,2,2,x264_cachehalf
70,38,7,11,8,3,11,3,4,3,4,2,8,11,13,44,10,0,2,3,2,2,1,2,2,2,4,4,4,4,4,10,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,14,0,0,1,0,6,0,1,0,0,0,0,0,2,2,12,25,0,1,1,0,4,0,0,0,0,0,0,0,3,1,10,6,0,0,0,0,2,0,0,0,0,0,0,0,1,1,9,15,1,1,1,1,2,0,0,0,1,0,0,0,5,7,10,6,0,0,0,0,1,0,0,0,0,0,1,1,2,1,13,8,0,1,0,0,1,0,0,0,0,0,1,0,2,1,5,8,0,0,0,0,4,0,0,0,0,0,1,0,2,1,5,5,0,0,1,0,0,0,0,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,16,1,1,1,1,3,1,1,1,1,1,2,2,1,2,7,5,2,0,0,0,0,0,0,0,0,0,2,0,0,2,10,42,1,1,2,1,2,1,1,2,1,1,2,1,3,2,25,43,1,3,1,1,5,1,1,1,1,1,2,2,2,2,x264_cachehalf
73,14,4,9,8,4,6,3,3,4,3,3,4,12,15,8,11,0,2,1,1,1,1,1,1,1,1,1,1,1,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,5,0,0,0,0,0,0,0,0,0,0,1,1,3,0,11,4,0,0,1,0,0,0,0,0,1,0,0,0,2,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,9,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,11,4,2,2,2,2,2,2,2,2,3,2,2,2,4,2,7,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,x264_cachehalf
67,6,6,9,8,3,4,3,3,3,4,2,8,45,13,42,12,0,2,1,2,1,1,1,1,1,1,1,2,12,6,3,8,0,1,0,0,0,0,0,0,0,0,0,1,8,0,2,7,0,0,0,0,0,1,0,0,0,0,0,1,15,1,2,12,0,0,0,1,0,0,0,0,0,0,1,1,25,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,9,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,9,1,2,11,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2,12,0,0,0,0,0,0,0,0,0,0,0,1,9,2,3,5,0,0,0,1,0,0,0,0,0,0,0,1,15,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,4,0,0,0,1,0,0,0,0,0,0,0,1,5,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,12,2,4,12,1,1,1,0,1,0,0,0,0,0,0,0,0,2,3,11,0,1,2,1,1,1,1,1,1,1,1,2,46,2,3,23,1,1,1,1,2,1,1,1,1,1,1,3,25,3,2,x264_cachehalf
69,7,4,7,8,4,5,4,3,4,3,2,4,17,12,39,10,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,9,2,1,1,2,1,1,1,1,1,2,1,2,0,0,12,10,1,1,1,1,1,1,1,2,1,1,1,1,3,1,3,22,2,1,1,1,1,1,1,2,1,1,1,1,5,2,2,x264_cachehalf
70,6,4,7,6,3,5,3,4,3,4,3,7,8,10,44,11,0,2,1,2,1,1,1,1,1,1,1,1,2,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,10,0,1,2,1,1,1,1,1,1,1,1,2,1,3,2,25,2,1,1,1,1,1,1,1,2,1,1,1,1,1,4,x264_cachehalf
