Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.46014493,77
"Nu: 0.0001, Gamma: 0.0001",0,502,0,5018,90.9057971,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,502,0,5018,90.9057971,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",273,229,466,4552,87.40942029,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",270,232,461,4557,87.44565217,0,40,,,
"Nu: 0.0001, Gamma: 0.005",502,0,5016,2,9.130434783,0,40,,,
"Nu: 0.0001, Gamma: 0.05",502,0,4850,168,12.13768116,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",502,0,4992,26,9.565217391,0,40,,,
"Nu: 0.0001, Gamma: 0.1",502,0,5013,5,9.184782609,0,40,,,
"Nu: 0.0001, Gamma: 0.2",500,2,5005,13,9.293478261,0,40,,,
"Nu: 0.0001, Gamma: 0.5",377,125,588,4430,87.08333333,0,40,,,
"Nu: 0.0001, Gamma: 0.7",499,3,5003,15,9.311594203,0,40,,,
"Nu: 0.0001, Gamma: 0.9",498,4,5000,18,9.347826087,0,40,,,
"Nu: 0.0001, Gamma: 0.99",348,154,371,4647,90.48913043,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,502,0,5018,90.9057971,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",270,232,464,4554,87.39130435,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",273,229,466,4552,87.40942029,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",270,232,461,4557,87.44565217,0,40,,,
"Nu: 0.0002, Gamma: 0.005",502,0,1954,3064,64.60144928,0,40,,,
"Nu: 0.0002, Gamma: 0.05",502,0,4530,488,17.93478261,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",502,0,4992,26,9.565217391,0,40,,,
"Nu: 0.0002, Gamma: 0.1",367,135,718,4300,84.54710145,0,40,,,
"Nu: 0.0002, Gamma: 0.2",458,44,1152,3866,78.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.5",330,172,421,4597,89.25724638,0,40,,,
"Nu: 0.0002, Gamma: 0.7",498,4,1929,3089,64.98188406,0,40,,,
"Nu: 0.0002, Gamma: 0.9",337,165,376,4642,90.19927536,0,40,,,
"Nu: 0.0002, Gamma: 0.99",153,349,118,4900,91.53985507,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",312,190,580,4438,86.05072464,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",316,186,591,4427,85.92391304,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",318,184,591,4427,85.96014493,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",314,188,584,4434,86.01449275,0,40,,,
"Nu: 0.0003, Gamma: 0.005",502,0,1629,3389,70.48913043,0,40,,,
"Nu: 0.0003, Gamma: 0.05",342,160,669,4349,84.98188406,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",355,147,686,4332,84.90942029,0,40,,,
"Nu: 0.0003, Gamma: 0.1",376,126,743,4275,84.25724638,0,40,,,
"Nu: 0.0003, Gamma: 0.2",500,2,3067,1951,44.40217391,0,40,,,
"Nu: 0.0003, Gamma: 0.5",498,4,1484,3534,73.04347826,0,40,,,
"Nu: 0.0003, Gamma: 0.7",498,4,1753,3265,68.17028986,0,40,,,
"Nu: 0.0003, Gamma: 0.9",493,9,1090,3928,80.09057971,0,40,,,
"Nu: 0.0003, Gamma: 0.99",494,8,1103,3915,79.87318841,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",312,190,581,4437,86.0326087,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",316,186,591,4427,85.92391304,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",318,184,591,4427,85.96014493,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",314,188,587,4431,85.96014493,0,40,,,
"Nu: 0.0004, Gamma: 0.005",502,0,1631,3387,70.45289855,0,40,,,
"Nu: 0.0004, Gamma: 0.05",342,160,670,4348,84.96376812,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",350,152,684,4334,84.85507246,0,40,,,
"Nu: 0.0004, Gamma: 0.1",376,126,748,4270,84.16666667,0,40,,,
"Nu: 0.0004, Gamma: 0.2",455,47,1137,3881,78.55072464,0,40,,,
"Nu: 0.0004, Gamma: 0.5",498,4,1909,3109,65.3442029,0,40,,,
"Nu: 0.0004, Gamma: 0.7",498,4,1778,3240,67.7173913,0,40,,,
"Nu: 0.0004, Gamma: 0.9",497,5,3229,1789,41.41304348,0,40,,,
"Nu: 0.0004, Gamma: 0.99",185,317,184,4834,90.92391304,0,40,,,
"Nu: 0.005, Gamma: 0.0001",500,2,5003,15,9.329710145,0,40,,,
"Nu: 0.005, Gamma: 0.0002",263,239,196,4822,92.11956522,0,40,,,
"Nu: 0.005, Gamma: 0.0003",259,243,192,4826,92.11956522,0,40,,,
"Nu: 0.005, Gamma: 0.0004",261,241,193,4825,92.13768116,0,40,,,
"Nu: 0.005, Gamma: 0.005",261,241,196,4822,92.08333333,0,40,,,
"Nu: 0.005, Gamma: 0.05",493,9,1355,3663,75.28985507,0,40,,,
"Nu: 0.005, Gamma: 0.0625",493,9,1348,3670,75.41666667,0,40,,,
"Nu: 0.005, Gamma: 0.1",493,9,1300,3718,76.28623188,0,40,,,
"Nu: 0.005, Gamma: 0.2",493,9,1251,3767,77.17391304,0,40,,,
"Nu: 0.005, Gamma: 0.5",494,8,652,4366,88.04347826,0,40,,,
"Nu: 0.005, Gamma: 0.7",494,8,436,4582,91.95652174,0,40,,,
"Nu: 0.005, Gamma: 0.9",495,7,316,4702,94.14855072,0,40,,,
"Nu: 0.005, Gamma: 0.99",495,7,280,4738,94.80072464,0,40,,,
"Nu: 0.05, Gamma: 0.0001",248,254,69,4949,94.14855072,0,40,,,
"Nu: 0.05, Gamma: 0.0002",276,226,76,4942,94.52898551,0,40,,,
"Nu: 0.05, Gamma: 0.0003",274,228,75,4943,94.51086957,0,40,,,
"Nu: 0.05, Gamma: 0.0004",275,227,76,4942,94.51086957,0,40,,,
"Nu: 0.05, Gamma: 0.005",468,34,438,4580,91.44927536,0,40,,,
