Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,302
"Nu: 0.0001, Gamma: 0.0001",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",5,0,45,1,11.76470588,0,40,,,
"Nu: 0.0001, Gamma: 0.1",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,4,32,14,29.41176471,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,5,30,16,31.37254902,0,40,,,
"Nu: 0.0001, Gamma: 0.7",4,1,35,11,29.41176471,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,3,35,11,25.49019608,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,3,35,11,25.49019608,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.0002, Gamma: 0.05",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",5,0,45,1,11.76470588,0,40,,,
"Nu: 0.0002, Gamma: 0.1",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,4,32,14,29.41176471,0,40,,,
