From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
383,186,62,191,140,198,9470,141,92,98,15,60,109,181,246,209,103,8,6,8,8,8,8760,24,6,6,5,5,8,11,12,13,39,5,2,6,4,5,8502,17,3,4,1,1,4,7,8,5,104,11,6,10,8,8,8567,21,6,6,5,5,9,8,9,10,80,9,6,9,9,9,8549,37,6,7,5,6,8,8,10,13,114,10,5,10,8,10,8635,25,9,6,6,6,9,11,11,10,36,3,2,1,3,4,8502,16,2,2,1,1,5,2,4,3,67,5,3,3,11,5,8807,12,8,4,3,3,9,6,11,10,59,4,4,5,4,5,8566,21,3,3,2,5,5,3,8,9,62,5,3,4,4,6,8487,18,4,3,2,4,3,6,8,9,15,7,2,4,6,5,8587,12,2,3,1,6,3,4,5,5,34,5,2,5,4,5,9562,11,2,3,1,2,3,5,6,6,60,9,3,6,5,6,8484,32,3,4,2,3,4,6,6,6,100,10,10,9,6,11,8593,43,7,6,6,7,8,9,14,11,129,8,7,9,7,8,8890,71,6,10,8,7,9,9,11,11,109,9,4,7,6,8,8839,42,7,7,5,6,7,9,9,10,vips_Halfcache
27309,17379,17664,18640,17818,17956,18133,17355,17865,17054,16744,16965,17987,17345,17814,17388,10145,1613,1883,2273,1837,1970,1985,1874,2166,1638,1571,2087,2345,1631,1953,1484,10136,1616,1829,2172,1896,1896,1965,1913,2173,1627,1631,1976,2354,1839,1924,1645,10674,1667,1918,2264,2734,2011,2072,1974,2206,1733,2556,2312,2268,1807,1973,3838,10199,1788,1904,2225,3273,1934,2237,2354,2347,1860,3652,2326,2402,1886,1950,4517,10346,2238,1933,2363,3117,1949,2214,2678,2298,1745,3217,1987,2426,1808,2108,2205,10023,2896,1884,2295,2372,1948,2051,2647,2291,1650,2288,1954,2423,1819,1954,1536,10013,2457,1876,2226,1968,1950,1978,2134,2208,1698,1744,1919,2319,1750,2010,1503,10098,2032,1939,2303,1991,2046,2048,1965,2231,1835,1631,1906,2605,1757,1987,1590,9884,1637,1857,2246,1784,1933,2012,1833,2266,2063,1466,1819,2299,1590,1930,1485,9976,1693,1915,2361,1851,2081,2043,1930,2265,1872,1607,1916,2363,1837,2010,1484,9652,1462,1815,2163,1527,1871,1944,1606,2162,1856,1505,1763,2244,1529,1847,1406,10092,1815,1975,2266,1875,2084,2209,1830,2530,1880,1566,1845,2377,1617,2055,1610,10186,1625,1929,2273,1845,2007,2291,1915,2309,1825,1929,1849,2335,1653,2030,1565,10273,1690,1977,2367,1893,2197,2221,1876,2287,1790,1618,1962,2433,1663,2084,1570,10366,1685,2037,2374,1825,2041,2491,1854,2411,1786,1729,2082,2554,1755,2093,1563,vips_Halfcache
29216,20645,19687,19772,20559,19895,19410,20025,19392,20325,19174,19906,19481,19393,20362,19534,10410,2823,2135,1723,2878,2245,1685,2534,1684,2687,1759,2831,1648,1879,2585,1794,10425,2771,2162,1683,2851,2246,1688,2482,1643,2636,1717,2925,1639,1806,2623,1731,10548,2793,2173,1702,2885,2267,1894,2551,1681,2646,1783,2968,1918,1860,2615,1795,10376,2921,2143,1738,3003,2234,1876,2569,1661,2680,1771,2965,2025,1820,2591,1768,10454,2874,2214,1761,3017,2411,1934,2628,1722,2688,1808,3089,1924,1845,2718,1789,10352,2949,2292,1787,3013,2435,1689,2794,2018,2756,1832,3086,1940,1851,2675,1790,10303,2844,2117,1722,2933,2211,1704,2759,1650,2652,1805,3013,2044,1848,2611,1788,10492,2873,2209,1882,2899,2348,1895,2838,1980,2879,1901,3117,2446,2001,2681,1865,10372,2912,2177,1720,2943,2313,1620,2538,2069,2739,1780,3008,1857,1859,2631,1795,10263,2900,2172,1743,3030,2333,1674,2580,1869,2710,1807,3059,1764,1906,2693,1787,9902,2812,2081,1573,2931,2195,1497,2453,1639,2633,1715,2896,1594,1742,2578,1720,10454,2910,2194,1767,2938,2244,1815,2633,1854,2718,1870,2931,1857,1915,2726,1827,10366,2861,2173,1792,3015,2224,1621,2633,1729,2676,1847,2918,1628,1815,2671,1758,10406,2914,2260,1741,2968,2337,1718,2545,1686,2739,1823,3117,1682,1884,2739,1821,10374,2966,2263,1744,3042,2278,1805,2539,1604,2871,1875,3154,1631,1950,2665,1821,vips_Halfcache
26838,17367,17842,18107,17381,17946,19341,17546,18944,17351,17996,16785,19045,18525,17568,18644,9746,1526,1922,1936,1601,1951,2905,1637,2829,2059,2386,1571,2810,2549,1707,2470,9622,1550,1965,1753,1620,1815,2715,1701,2705,1639,2281,1564,2722,2378,1706,2368,10238,1565,1989,1872,1617,1990,2857,1813,2867,1698,2389,1641,2897,2406,2246,2497,9708,1803,1984,1854,1635,1928,2944,2175,2948,1762,2427,1635,2814,2436,2641,2537,9770,1780,1872,1897,1749,1908,2970,2368,2969,1680,2394,1627,2813,2426,2057,2522,9617,1597,1813,1814,2429,1838,2823,1920,3076,1687,2341,1532,2982,2429,1960,2464,9674,1754,1724,1862,3226,1924,2820,1817,2685,1667,2329,1620,2800,2396,2394,2451,9897,2015,2033,2115,2576,2081,3009,1776,2836,1829,2372,1655,3335,2416,2250,2501,9876,2175,1780,2049,2038,2116,2798,1649,2833,1857,2371,1539,2849,2374,2007,2510,9737,1890,1980,2047,1799,2143,2880,1714,2908,1976,2422,1609,2986,3106,1856,2606,9270,1639,1821,1820,1413,1880,2705,1528,2680,1829,2237,1434,2823,2365,1622,2395,9907,1706,2059,2052,1545,1990,3051,1649,3395,1835,2316,1600,2828,2331,1828,2459,9834,1701,2115,2008,1654,1892,3016,1733,2890,2004,2641,1600,2911,2414,1748,2773,9708,1575,1958,2009,1550,1862,2928,1556,2814,1791,2352,1539,2861,2385,1693,2468,9766,1563,1881,1989,1514,1991,3265,1756,3010,1703,2526,1513,3122,2490,1689,2544,vips_Halfcache
29796,19637,20670,20182,19441,20084,18601,19367,18962,19392,18674,18414,19101,19344,21145,19654,11006,2168,3281,2274,1778,2679,1400,2243,1486,2452,1782,1751,1491,1980,3405,1948,10972,2131,3105,2356,1783,2549,1420,2223,1507,2356,1750,1798,1502,1994,3652,1935,11537,2216,3239,2313,1852,2697,1480,2261,1572,2423,1854,2568,1572,2020,3377,2010,11022,2128,3135,2312,1673,2644,1521,2198,1593,2384,1865,2928,1537,1875,3451,1911,11044,2185,3305,2395,1778,2895,1504,2261,1575,2407,1824,2854,1558,1817,3529,1953,10941,2242,3337,2423,1819,2979,1481,2305,1712,2498,1845,2195,1709,1831,3331,1825,10928,2187,3342,2306,1742,2705,1371,2297,1475,2408,1787,1801,1457,1806,3344,1865,11073,2309,3354,2562,1869,2798,1532,2447,1550,2690,1971,1976,1691,2011,3346,2022,10860,2320,3252,2398,1740,2797,1370,2228,1457,2437,1775,1738,1456,1776,3512,1789,10843,2271,3197,2444,1778,2811,1347,2282,1508,2445,1971,1772,1524,2177,3405,1903,10595,2147,3130,2335,1600,2725,1312,2080,1427,2288,1922,1631,1449,1760,3271,1679,11109,2350,3356,2374,1829,2801,1644,2323,1615,2486,2167,1929,1579,2039,3549,1996,11008,2164,3223,2384,1802,2668,1522,2219,1638,2377,2172,1774,1568,2036,3480,2116,11044,2197,3906,2455,1873,2686,1480,2289,1519,2475,1846,1737,1507,2005,3426,2024,11191,2272,3430,2438,1879,2740,1524,2254,1516,2583,1826,1794,1504,2018,3560,2083,vips_Halfcache
25283,16597,16263,16850,16911,16905,16742,16427,16791,16120,16700,16215,16689,17339,16394,17672,9180,1703,1540,1801,1981,1756,1945,1604,1933,1773,2355,2230,1894,2477,1575,2514,9195,1849,1756,1816,2062,1771,1966,1892,1908,1864,2454,2293,1947,2434,2333,2588,9885,2053,3285,1921,2110,2125,2085,1996,2097,1940,2496,2343,2339,2462,2717,2602,9162,2164,4154,1866,2047,1738,1954,1644,1844,1823,2418,2306,2337,2366,3119,2537,9634,2263,3670,2757,2122,1838,1997,1737,2068,1938,2515,2326,2432,2447,2001,2640,9257,2002,2001,2252,2070,2082,1857,1641,1945,2224,2491,2320,2391,2450,2225,2670,9476,1851,1634,1919,2034,2433,1933,1651,1794,2167,2450,2246,2088,2353,1735,2536,9452,2029,1666,2199,2041,2447,2197,1716,1875,2380,2500,2375,2416,2532,1720,2639,9215,1911,1485,1809,2009,1991,1868,1497,1874,2472,2396,2189,1859,2340,1544,2622,8990,1813,1445,1846,2023,1718,1906,1588,1910,1989,2393,2273,1867,2398,1581,2693,8606,1702,1420,1636,1911,1541,1778,1442,1695,1779,2330,2142,1685,2462,1479,2515,9188,1901,1671,1900,2028,1855,2544,1690,2115,1879,2478,2305,1882,2422,1674,2562,9329,1778,1563,1785,2046,1677,2386,1659,2161,1830,2552,2298,1866,2363,1646,2594,9250,1863,1814,1918,2133,1743,2245,1692,2254,1843,2602,2367,1953,2441,1658,2627,9192,1864,1516,1813,2135,1813,2244,1688,2140,1860,2674,2475,1977,2457,1631,2621,vips_Halfcache
30938,19789,19913,20925,19622,20654,20962,19602,24067,19975,19572,19059,21109,19601,20026,19794,11709,1846,1868,2606,1614,2677,2943,1848,5312,1903,1744,1593,2703,1556,1821,1602,11801,1772,1803,2684,1735,2666,2923,1894,5541,1845,1709,1560,2638,1574,1789,1681,11977,1847,1882,2644,1992,2722,2959,1889,6001,1931,1810,1603,2673,1644,1843,1704,11843,1774,1799,2615,1626,2737,2972,1802,5360,1838,1785,1628,2680,1598,1759,1622,11855,1919,1882,2661,1698,2817,2960,1865,5230,1926,1805,1664,2794,1562,1817,1679,11681,1850,1854,2778,1631,2847,2990,1860,3711,1933,1773,1644,3062,1619,1837,1652,11713,1806,1947,2653,1604,2635,2889,1895,3936,1914,1794,1626,2767,1577,1869,1680,11809,1848,1871,2687,1621,2731,2907,1930,3478,1924,1849,1998,2734,1911,1834,1746,11894,1845,1843,2679,1555,2748,2946,1849,5664,1899,1754,1881,2740,1760,1797,1630,11742,1850,1839,2700,1591,2701,2899,1837,5125,1888,1771,1715,2785,1706,1803,1722,11500,1766,1770,2654,1388,2714,2846,1799,5159,1859,1730,1532,2685,1954,1706,1583,11970,1944,1939,2616,1602,2712,3389,1927,5866,1931,2028,1671,2714,1647,1862,1835,11836,1831,1836,2667,1570,2692,2946,1821,5605,1906,2052,1621,2688,1575,1788,1846,12035,1874,2074,2736,1638,2692,2990,1856,6064,1953,1843,1564,2803,1637,1878,1793,11918,1842,1907,2743,1523,2744,3216,1914,4635,1963,1832,1541,2915,1579,1857,1800,vips_Halfcache
27456,19204,19114,18735,19847,18443,18306,18522,22704,18853,19423,19052,18410,19561,19354,20761,9477,2431,2187,1499,2835,1603,1538,2338,5212,2292,2986,2863,1553,2881,2267,3488,9696,2402,2233,1613,2843,1653,1639,2587,5585,2384,2949,2792,1614,2773,2601,3332,9617,2401,2178,1511,2767,1725,1630,2281,6121,2301,2940,2808,1623,2742,2231,3498,9585,2394,2196,1550,2841,1531,1652,2221,5418,2265,3090,2889,1831,2785,2271,3601,9924,2450,2327,2026,2865,1580,1803,2360,5270,2392,3127,2945,2352,2797,2357,3598,10510,2480,2232,1945,2932,1597,1605,2304,3697,2353,3182,2935,2100,2859,2321,3517,10200,2438,2356,2010,2853,1534,1630,2317,3952,2450,3130,2870,1653,2810,2452,3509,9585,2360,2132,1774,2762,1521,1800,2301,3448,2327,2926,2842,1644,2755,2197,3363,9702,2487,2241,1735,2919,1789,1991,2377,5681,2339,3094,2927,1590,2790,2495,3580,9592,2353,2151,1511,2915,1583,1756,2234,5129,2333,3037,2931,1452,2895,2274,3637,9286,2349,2113,1411,2835,1548,1662,2149,5119,2235,3101,2850,1398,2918,2207,3479,9579,2420,2301,1647,2809,1634,2187,2347,5961,2360,3060,2825,1574,2767,2336,3482,9429,2376,2120,1540,2789,1556,1809,2290,5602,2349,3079,2927,1499,2727,2278,3427,9653,2464,2613,1676,3018,1640,1791,2482,5994,2497,3241,3052,1620,2802,2370,3639,9444,2458,2262,1505,3116,1597,1661,2305,4567,2371,3400,3170,1502,2778,2264,3589,vips_Halfcache
26284,17408,17450,18209,17137,17887,17880,17298,18112,17370,16610,16268,17775,16866,17574,17106,9525,1959,1979,2339,1577,2287,2471,1858,2069,2087,1494,1634,2310,1514,1972,1548,9563,2065,1932,2326,1701,2260,2394,2089,2308,2106,1514,1811,2395,1611,2020,2162,9684,1974,1935,2282,1579,2335,2473,1789,2372,2064,1633,1737,2253,1474,1890,3542,9595,1896,1929,2279,1684,2235,2473,1832,2169,2033,1916,1815,2416,1535,1892,3177,9642,1939,1857,2560,1632,2301,2464,1815,2116,1983,1696,1597,2401,1502,1913,1815,9339,1835,1802,2319,1554,2265,2375,1656,1654,1908,2400,1700,2367,1503,1790,1602,9564,1986,1957,2399,1634,2310,2493,1797,1837,2041,3045,1805,2379,1609,1932,1679,9524,1932,1943,2390,1604,2342,2484,1859,1708,2119,1867,1881,2455,2088,1968,1655,9481,1890,1919,2409,1621,2313,2458,1858,2227,1980,1660,1728,2462,2163,2069,1612,9395,1970,1922,2400,1593,2300,2452,1889,2167,2015,1509,1728,2440,1959,1908,1615,9026,1860,1827,2272,1450,2235,2343,1668,2077,1941,1487,1576,2277,1465,1736,1536,9494,1988,2054,2309,1533,2235,2491,1898,2269,2089,1524,1679,2282,1378,2050,1506,9597,2161,2181,2329,1675,2273,2618,2121,2442,2265,1992,2328,2395,1569,2146,1671,9765,2191,2362,2431,1678,2334,2620,1985,2396,2481,1586,1726,2404,1521,2077,1668,9612,2172,2065,2451,1585,2325,2600,1996,2176,2109,1505,1627,2514,1426,1967,1599,vips_Halfcache
30538,20656,19773,19781,20093,19614,20015,19989,20233,20223,19382,18761,19512,19799,20382,19989,10804,2753,2346,1772,2084,1776,2307,2567,2187,2778,2220,2011,1708,2177,2662,1887,10682,2817,2349,1754,1954,1786,2362,2541,2148,2749,2142,1951,1738,2069,2639,1866,10977,2741,2328,1762,2069,1969,2394,2556,2180,2713,2189,1972,1884,2084,2589,2451,10974,2841,2384,1784,2129,1872,2492,2589,2247,2803,2212,1996,1808,2144,2664,2389,10986,2873,2383,2003,1944,1720,2643,2595,2228,2861,2225,2005,1787,2081,2762,1862,10689,2835,2389,1784,1820,1750,2465,2528,2183,2850,2208,2009,1683,2091,2674,1775,10804,2827,2404,1821,1954,1747,2360,2680,2187,2777,2280,2062,1946,2167,2679,1890,10876,2738,2381,1848,1899,1762,2396,2616,2268,2822,2321,2074,2003,2253,2609,1890,10769,2908,2490,1810,1917,1722,2537,2600,2269,2857,2237,2076,1923,2169,3009,1922,10518,2768,2323,1715,1781,1669,2376,2516,2178,2732,2188,1980,1871,2196,2602,1753,10274,2756,2276,1605,1663,1520,2361,2436,2083,2644,2098,1884,1650,1993,2502,1652,10778,2804,2392,1678,1993,1582,2443,2577,2178,2700,2207,2013,1710,2118,2652,1879,10813,2753,2373,1735,2050,1673,2617,2541,2240,2711,2316,1958,1535,2082,2577,1773,10872,2947,2550,1869,2115,1781,2644,2609,2457,3373,2374,2132,1723,2203,2743,1915,11116,2966,2513,1747,2363,1613,2654,2584,2407,2982,2391,2087,1691,2144,2730,1833,vips_Halfcache
