Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.0001, Gamma: 0.0001",0,12,0,125,91.24087591,0,40
"Nu: 0.0001, Gamma: 0.0002",0,12,0,125,91.24087591,0,40
"Nu: 0.0001, Gamma: 0.0003",0,12,0,125,91.24087591,0,40
"Nu: 0.0001, Gamma: 0.0004",0,12,0,125,91.24087591,0,40
"Nu: 0.0001, Gamma: 0.005",0,12,0,125,91.24087591,0,40
"Nu: 0.0001, Gamma: 0.05",8,4,98,27,25.54744526,0,40
"Nu: 0.0001, Gamma: 0.0625",8,4,98,27,25.54744526,0,40
"Nu: 0.0001, Gamma: 0.1",7,5,80,45,37.95620438,0,40
"Nu: 0.0001, Gamma: 0.2",6,6,69,56,45.25547445,0,40
"Nu: 0.0001, Gamma: 0.5",6,6,75,50,40.87591241,0,40
"Nu: 0.0001, Gamma: 0.7",11,1,92,33,32.11678832,0,40
"Nu: 0.0001, Gamma: 0.9",10,2,78,47,41.60583942,0,40
"Nu: 0.0001, Gamma: 0.99",6,6,49,76,59.8540146,0,40
"Nu: 0.0002, Gamma: 0.0001",0,12,0,125,91.24087591,0,40
"Nu: 0.0002, Gamma: 0.0002",0,12,0,125,91.24087591,0,40
"Nu: 0.0002, Gamma: 0.0003",0,12,0,125,91.24087591,0,40
"Nu: 0.0002, Gamma: 0.0004",0,12,0,125,91.24087591,0,40
"Nu: 0.0002, Gamma: 0.005",8,4,98,27,25.54744526,0,40
"Nu: 0.0002, Gamma: 0.05",12,0,124,1,9.489051095,0,40
"Nu: 0.0002, Gamma: 0.0625",11,1,124,1,8.759124088,0,40
"Nu: 0.0002, Gamma: 0.1",11,1,105,20,22.62773723,0,40
"Nu: 0.0002, Gamma: 0.2",10,2,102,23,24.08759124,0,40
"Nu: 0.0002, Gamma: 0.5",5,7,31,94,72.26277372,0,40
"Nu: 0.0002, Gamma: 0.7",9,3,61,64,53.28467153,0,40
"Nu: 0.0002, Gamma: 0.9",6,6,29,96,74.45255474,0,40
