Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.52542373
"Nu: 0.0001, Gamma: 0.0001",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0001, Gamma: 0.05",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0001, Gamma: 0.0625",5,0,53,1,10.16949153,0,40,,
"Nu: 0.0001, Gamma: 0.1",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0001, Gamma: 0.2",1,4,27,27,47.45762712,0,40,,
"Nu: 0.0001, Gamma: 0.5",0,5,22,32,54.23728814,0,40,,
"Nu: 0.0001, Gamma: 0.7",4,1,43,11,25.42372881,0,40,,
"Nu: 0.0001, Gamma: 0.9",2,3,45,9,18.6440678,0,40,,
"Nu: 0.0001, Gamma: 0.99",2,3,45,9,18.6440678,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0002, Gamma: 0.05",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0002, Gamma: 0.0625",5,0,53,1,10.16949153,0,40,,
"Nu: 0.0002, Gamma: 0.1",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0002, Gamma: 0.2",1,4,27,27,47.45762712,0,40,,
"Nu: 0.0002, Gamma: 0.5",4,1,46,8,20.33898305,0,40,,
"Nu: 0.0002, Gamma: 0.7",4,1,43,11,25.42372881,0,40,,
"Nu: 0.0002, Gamma: 0.9",2,3,45,9,18.6440678,0,40,,
"Nu: 0.0002, Gamma: 0.99",2,3,45,9,18.6440678,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0003, Gamma: 0.05",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0003, Gamma: 0.0625",5,0,53,1,10.16949153,0,40,,
"Nu: 0.0003, Gamma: 0.1",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0003, Gamma: 0.2",1,4,27,27,47.45762712,0,40,,
"Nu: 0.0003, Gamma: 0.5",1,4,26,28,49.15254237,0,40,,
"Nu: 0.0003, Gamma: 0.7",0,5,19,35,59.3220339,0,40,,
"Nu: 0.0003, Gamma: 0.9",0,5,26,28,47.45762712,0,40,,
"Nu: 0.0003, Gamma: 0.99",1,4,22,32,55.93220339,0,40,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0004, Gamma: 0.005",0,5,0,54,91.52542373,0,40,,
"Nu: 0.0004, Gamma: 0.05",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0004, Gamma: 0.0625",5,0,53,1,10.16949153,0,40,,
"Nu: 0.0004, Gamma: 0.1",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0004, Gamma: 0.2",1,4,27,27,47.45762712,0,40,,
"Nu: 0.0004, Gamma: 0.5",1,4,26,28,49.15254237,0,40,,
"Nu: 0.0004, Gamma: 0.7",2,3,20,34,61.01694915,0,40,,
"Nu: 0.0004, Gamma: 0.9",1,4,22,32,55.93220339,0,40,,
"Nu: 0.0004, Gamma: 0.99",2,3,32,22,40.6779661,0,40,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,54,91.52542373,0,40,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,54,91.52542373,0,40,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,54,91.52542373,0,40,,
"Nu: 0.005, Gamma: 0.0004",0,5,0,54,91.52542373,0,40,,
"Nu: 0.005, Gamma: 0.005",5,0,54,0,8.474576271,0,40,,
"Nu: 0.005, Gamma: 0.05",5,0,54,0,8.474576271,0,40,,
"Nu: 0.005, Gamma: 0.0625",5,0,53,1,10.16949153,0,40,,
"Nu: 0.005, Gamma: 0.1",5,0,54,0,8.474576271,0,40,,
"Nu: 0.005, Gamma: 0.2",2,3,36,18,33.89830508,0,40,,
"Nu: 0.005, Gamma: 0.5",2,3,33,21,38.98305085,0,40,,
