From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raytrace
4186.0,2774.0,3209.0,3455.0,2733.0,3401.0,3234.0,3369.0,3378.0,2608.0,2653.0,2690.0,2726.0,2780.0,2793.0,2708.0,1402.0,15.0,530.0,744.0,13.0,761.0,605.0,656.0,670.0,13.0,13.0,11.0,13.0,17.0,15.0,20.0,1349.0,24.0,557.0,699.0,17.0,710.0,670.0,676.0,635.0,22.0,23.0,23.0,22.0,18.0,24.0,24.0,1390.0,26.0,525.0,718.0,24.0,722.0,635.0,697.0,702.0,30.0,28.0,27.0,22.0,23.0,16.0,23.0,1387.0,21.0,515.0,706.0,23.0,773.0,562.0,698.0,699.0,26.0,26.0,29.0,24.0,31.0,21.0,25.0,1377.0,22.0,536.0,685.0,29.0,723.0,583.0,607.0,731.0,30.0,34.0,26.0,21.0,26.0,23.0,24.0,1351.0,30.0,584.0,717.0,18.0,722.0,632.0,681.0,678.0,22.0,32.0,29.0,26.0,24.0,21.0,29.0,1357.0,26.0,528.0,673.0,18.0,698.0,635.0,668.0,684.0,25.0,26.0,24.0,19.0,22.0,13.0,19.0,1354.0,18.0,541.0,621.0,13.0,774.0,644.0,657.0,676.0,18.0,16.0,15.0,16.0,14.0,10.0,16.0,1317.0,18.0,511.0,630.0,9.0,705.0,627.0,583.0,728.0,10.0,8.0,7.0,12.0,14.0,9.0,13.0,1341.0,14.0,536.0,672.0,8.0,711.0,620.0,694.0,716.0,9.0,11.0,7.0,10.0,11.0,8.0,12.0,1358.0,13.0,529.0,706.0,9.0,701.0,597.0,645.0,735.0,8.0,8.0,7.0,9.0,12.0,11.0,12.0,1374.0,13.0,584.0,705.0,8.0,701.0,615.0,732.0,743.0,9.0,8.0,5.0,9.0,14.0,8.0,12.0,1405.0,17.0,509.0,754.0,12.0,713.0,611.0,678.0,661.0,13.0,13.0,9.0,13.0,15.0,13.0,16.0,1416.0,17.0,516.0,752.0,15.0,689.0,625.0,646.0,620.0,14.0,15.0,12.0,15.0,17.0,14.0,15.0,1368.0,20.0,539.0,662.0,13.0,739.0,594.0,699.0,667.0,14.0,13.0,10.0,14.0,17.0,13.0,17.0,raytrace
4478.0,2945.0,3616.0,3633.0,2914.0,3743.0,3530.0,3475.0,3531.0,2865.0,2840.0,2818.0,2879.0,2897.0,2987.0,2893.0,1477.0,15.0,824.0,609.0,17.0,745.0,632.0,655.0,797.0,14.0,9.0,9.0,11.0,16.0,13.0,10.0,1456.0,26.0,816.0,619.0,24.0,708.0,724.0,689.0,750.0,20.0,28.0,26.0,30.0,22.0,28.0,23.0,1513.0,29.0,799.0,617.0,32.0,770.0,710.0,737.0,753.0,19.0,26.0,19.0,27.0,19.0,28.0,23.0,1469.0,19.0,745.0,560.0,26.0,782.0,701.0,677.0,751.0,21.0,16.0,11.0,20.0,17.0,20.0,22.0,1516.0,31.0,756.0,601.0,29.0,803.0,655.0,727.0,783.0,24.0,30.0,25.0,25.0,23.0,28.0,27.0,1425.0,29.0,865.0,612.0,29.0,727.0,679.0,719.0,743.0,29.0,32.0,26.0,34.0,24.0,30.0,23.0,1409.0,27.0,752.0,594.0,31.0,727.0,698.0,712.0,749.0,19.0,22.0,21.0,26.0,19.0,26.0,22.0,1427.0,20.0,799.0,607.0,24.0,700.0,732.0,694.0,743.0,21.0,28.0,18.0,25.0,20.0,23.0,19.0,1441.0,12.0,803.0,633.0,15.0,686.0,703.0,754.0,700.0,13.0,10.0,8.0,10.0,13.0,11.0,11.0,1429.0,12.0,747.0,603.0,15.0,793.0,713.0,698.0,736.0,10.0,4.0,5.0,12.0,12.0,9.0,8.0,1416.0,10.0,778.0,593.0,11.0,702.0,727.0,625.0,714.0,9.0,4.0,6.0,6.0,12.0,7.0,10.0,1450.0,12.0,822.0,644.0,14.0,762.0,784.0,713.0,687.0,10.0,7.0,7.0,8.0,14.0,10.0,9.0,1458.0,13.0,771.0,641.0,15.0,727.0,754.0,636.0,697.0,12.0,9.0,10.0,11.0,14.0,12.0,13.0,1507.0,15.0,732.0,617.0,18.0,748.0,750.0,674.0,716.0,13.0,11.0,9.0,12.0,15.0,12.0,12.0,1455.0,13.0,771.0,631.0,17.0,717.0,760.0,653.0,746.0,9.0,7.0,9.0,9.0,12.0,8.0,12.0,raytrace
4711.0,3107.0,3777.0,3782.0,2941.0,3671.0,3844.0,3571.0,3854.0,3054.0,2955.0,3038.0,3133.0,3167.0,3257.0,3211.0,1561.0,11.0,754.0,740.0,9.0,644.0,865.0,705.0,649.0,13.0,7.0,17.0,10.0,15.0,12.0,14.0,1542.0,31.0,783.0,750.0,21.0,648.0,837.0,717.0,679.0,25.0,23.0,37.0,20.0,27.0,39.0,30.0,1494.0,26.0,701.0,710.0,21.0,587.0,919.0,722.0,653.0,25.0,18.0,29.0,25.0,17.0,27.0,24.0,1490.0,18.0,714.0,699.0,7.0,634.0,807.0,657.0,654.0,19.0,13.0,19.0,11.0,16.0,18.0,14.0,1529.0,19.0,742.0,701.0,22.0,684.0,733.0,662.0,623.0,24.0,17.0,29.0,20.0,19.0,23.0,24.0,1510.0,37.0,800.0,769.0,24.0,664.0,776.0,733.0,679.0,28.0,28.0,39.0,29.0,31.0,41.0,36.0,1451.0,21.0,739.0,685.0,20.0,616.0,734.0,670.0,622.0,23.0,21.0,24.0,20.0,16.0,25.0,26.0,1541.0,20.0,753.0,737.0,23.0,651.0,857.0,685.0,649.0,26.0,21.0,35.0,27.0,22.0,29.0,28.0,1536.0,13.0,746.0,760.0,9.0,725.0,769.0,670.0,646.0,12.0,8.0,17.0,11.0,13.0,12.0,10.0,1490.0,13.0,742.0,785.0,9.0,662.0,822.0,636.0,612.0,14.0,8.0,18.0,8.0,11.0,13.0,13.0,1523.0,9.0,738.0,729.0,5.0,602.0,757.0,693.0,658.0,9.0,7.0,13.0,8.0,10.0,10.0,10.0,1578.0,10.0,735.0,720.0,6.0,697.0,836.0,792.0,718.0,12.0,8.0,16.0,8.0,12.0,11.0,10.0,1595.0,15.0,743.0,703.0,11.0,696.0,876.0,711.0,686.0,15.0,10.0,18.0,13.0,15.0,15.0,14.0,1639.0,14.0,765.0,790.0,10.0,707.0,831.0,694.0,667.0,15.0,12.0,18.0,13.0,15.0,13.0,14.0,1615.0,13.0,759.0,770.0,7.0,715.0,861.0,738.0,686.0,14.0,8.0,13.0,10.0,13.0,14.0,12.0,raytrace
4739.0,3188.0,3854.0,3946.0,3134.0,3778.0,3874.0,3824.0,3720.0,3116.0,3010.0,3096.0,3141.0,3186.0,3150.0,3154.0,1603.0,11.0,713.0,719.0,14.0,763.0,717.0,806.0,680.0,10.0,9.0,10.0,10.0,11.0,12.0,16.0,1573.0,17.0,681.0,699.0,20.0,742.0,784.0,791.0,622.0,17.0,13.0,19.0,18.0,24.0,20.0,17.0,1643.0,22.0,749.0,752.0,20.0,762.0,763.0,780.0,729.0,25.0,18.0,20.0,16.0,22.0,23.0,25.0,1573.0,12.0,672.0,702.0,17.0,716.0,745.0,754.0,682.0,12.0,10.0,8.0,11.0,16.0,15.0,13.0,1553.0,23.0,705.0,675.0,21.0,642.0,711.0,759.0,656.0,26.0,19.0,22.0,21.0,18.0,24.0,25.0,1598.0,25.0,806.0,855.0,28.0,728.0,718.0,835.0,711.0,22.0,17.0,20.0,22.0,30.0,29.0,27.0,1543.0,18.0,732.0,744.0,21.0,755.0,699.0,772.0,687.0,20.0,20.0,21.0,13.0,20.0,23.0,27.0,1516.0,17.0,686.0,734.0,14.0,687.0,754.0,780.0,701.0,17.0,14.0,17.0,15.0,17.0,15.0,19.0,1567.0,9.0,703.0,739.0,11.0,765.0,744.0,789.0,684.0,9.0,5.0,7.0,7.0,9.0,9.0,12.0,1510.0,7.0,718.0,775.0,10.0,787.0,686.0,732.0,682.0,6.0,1.0,4.0,7.0,7.0,7.0,9.0,1558.0,9.0,710.0,700.0,10.0,805.0,703.0,745.0,676.0,9.0,4.0,7.0,7.0,8.0,8.0,11.0,1580.0,9.0,705.0,775.0,12.0,802.0,726.0,724.0,722.0,7.0,4.0,5.0,8.0,9.0,10.0,12.0,1604.0,11.0,656.0,707.0,12.0,725.0,702.0,724.0,744.0,10.0,6.0,8.0,11.0,10.0,10.0,12.0,1586.0,10.0,718.0,737.0,14.0,683.0,663.0,732.0,677.0,10.0,6.0,9.0,10.0,10.0,11.0,12.0,1583.0,11.0,763.0,716.0,11.0,788.0,693.0,727.0,671.0,7.0,5.0,8.0,9.0,9.0,9.0,13.0,raytrace
4111.0,2642.0,3300.0,3455.0,2709.0,3354.0,3360.0,3309.0,3251.0,2626.0,2652.0,2657.0,2627.0,2726.0,2710.0,2697.0,1328.0,14.0,706.0,714.0,11.0,538.0,769.0,679.0,633.0,14.0,11.0,10.0,11.0,13.0,12.0,14.0,1312.0,19.0,649.0,706.0,22.0,590.0,754.0,662.0,644.0,21.0,21.0,21.0,14.0,18.0,22.0,31.0,1382.0,24.0,706.0,770.0,28.0,666.0,793.0,710.0,702.0,20.0,21.0,25.0,16.0,24.0,19.0,33.0,1375.0,15.0,575.0,791.0,15.0,639.0,746.0,709.0,719.0,14.0,9.0,7.0,9.0,13.0,13.0,18.0,1415.0,22.0,645.0,734.0,22.0,578.0,811.0,719.0,762.0,22.0,19.0,24.0,14.0,21.0,21.0,27.0,1315.0,22.0,641.0,707.0,18.0,604.0,773.0,717.0,746.0,17.0,19.0,30.0,16.0,23.0,24.0,30.0,1307.0,22.0,653.0,695.0,28.0,602.0,808.0,734.0,752.0,18.0,18.0,21.0,15.0,19.0,19.0,27.0,1313.0,20.0,680.0,671.0,20.0,599.0,786.0,731.0,695.0,20.0,17.0,27.0,19.0,21.0,17.0,29.0,1320.0,10.0,650.0,731.0,7.0,594.0,768.0,685.0,726.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,1335.0,9.0,739.0,738.0,6.0,615.0,778.0,694.0,719.0,7.0,7.0,6.0,6.0,9.0,7.0,10.0,1335.0,13.0,714.0,707.0,7.0,608.0,725.0,689.0,709.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,1322.0,10.0,660.0,664.0,7.0,583.0,763.0,809.0,731.0,7.0,7.0,7.0,7.0,10.0,8.0,9.0,1373.0,12.0,644.0,726.0,10.0,663.0,754.0,799.0,768.0,10.0,12.0,9.0,11.0,12.0,11.0,14.0,1368.0,12.0,664.0,740.0,10.0,601.0,707.0,716.0,747.0,11.0,12.0,9.0,11.0,12.0,12.0,15.0,1361.0,13.0,696.0,741.0,10.0,631.0,733.0,728.0,696.0,10.0,10.0,9.0,9.0,12.0,12.0,11.0,raytrace
3661.0,2382.0,2856.0,2763.0,2271.0,2945.0,2720.0,3004.0,2965.0,2344.0,2302.0,2524.0,2486.0,2392.0,2408.0,2356.0,1204.0,66.0,528.0,371.0,13.0,541.0,378.0,640.0,700.0,81.0,81.0,146.0,70.0,76.0,59.0,65.0,1194.0,63.0,525.0,388.0,20.0,610.0,403.0,598.0,706.0,80.0,94.0,173.0,76.0,72.0,67.0,62.0,1233.0,71.0,562.0,401.0,24.0,644.0,416.0,659.0,668.0,84.0,96.0,169.0,75.0,81.0,80.0,70.0,1197.0,54.0,532.0,358.0,10.0,619.0,388.0,659.0,687.0,77.0,89.0,172.0,54.0,64.0,56.0,54.0,1257.0,77.0,566.0,382.0,22.0,583.0,398.0,611.0,755.0,93.0,96.0,177.0,75.0,76.0,68.0,64.0,1193.0,54.0,490.0,412.0,24.0,567.0,405.0,652.0,714.0,145.0,555.0,147.0,72.0,68.0,65.0,73.0,1202.0,58.0,452.0,400.0,18.0,586.0,406.0,686.0,726.0,65.0,85.0,126.0,59.0,61.0,57.0,55.0,1216.0,57.0,496.0,414.0,17.0,565.0,430.0,662.0,714.0,81.0,87.0,172.0,73.0,69.0,62.0,62.0,1162.0,56.0,503.0,450.0,21.0,593.0,904.0,645.0,704.0,63.0,132.0,140.0,80.0,70.0,66.0,54.0,1148.0,55.0,474.0,459.0,24.0,548.0,398.0,736.0,688.0,295.0,64.0,474.0,67.0,81.0,82.0,57.0,1215.0,63.0,442.0,419.0,18.0,599.0,421.0,739.0,649.0,448.0,114.0,115.0,80.0,78.0,102.0,72.0,1274.0,62.0,486.0,382.0,12.0,649.0,485.0,760.0,757.0,101.0,105.0,163.0,73.0,87.0,78.0,72.0,1225.0,91.0,502.0,408.0,16.0,652.0,429.0,701.0,722.0,83.0,96.0,166.0,83.0,76.0,85.0,79.0,1236.0,70.0,458.0,372.0,14.0,633.0,447.0,638.0,703.0,97.0,115.0,188.0,74.0,89.0,69.0,80.0,1223.0,74.0,489.0,403.0,13.0,610.0,405.0,709.0,683.0,111.0,108.0,187.0,79.0,84.0,96.0,73.0,raytrace
1811.0,1133.0,1095.0,1125.0,1133.0,1395.0,1034.0,1834.0,1752.0,1085.0,1000.0,1053.0,1072.0,1091.0,1131.0,1092.0,575.0,11.0,31.0,17.0,9.0,273.0,18.0,687.0,724.0,24.0,14.0,16.0,14.0,15.0,14.0,14.0,540.0,14.0,26.0,13.0,11.0,276.0,17.0,663.0,717.0,30.0,10.0,14.0,17.0,10.0,19.0,16.0,576.0,20.0,38.0,23.0,10.0,315.0,18.0,771.0,688.0,25.0,13.0,21.0,17.0,17.0,22.0,16.0,587.0,17.0,37.0,16.0,6.0,269.0,12.0,708.0,753.0,36.0,13.0,15.0,12.0,14.0,14.0,14.0,545.0,12.0,30.0,12.0,4.0,289.0,14.0,721.0,600.0,16.0,11.0,14.0,16.0,11.0,15.0,14.0,529.0,7.0,33.0,18.0,6.0,262.0,14.0,744.0,671.0,17.0,7.0,13.0,11.0,8.0,13.0,10.0,557.0,9.0,21.0,11.0,6.0,296.0,15.0,743.0,700.0,17.0,8.0,12.0,10.0,6.0,9.0,8.0,551.0,9.0,27.0,18.0,5.0,287.0,18.0,710.0,680.0,22.0,15.0,16.0,16.0,14.0,13.0,14.0,548.0,16.0,33.0,23.0,8.0,268.0,14.0,727.0,699.0,22.0,12.0,18.0,13.0,20.0,16.0,16.0,505.0,10.0,25.0,13.0,5.0,277.0,9.0,628.0,660.0,18.0,5.0,11.0,7.0,7.0,11.0,8.0,534.0,3.0,19.0,14.0,6.0,262.0,7.0,661.0,724.0,8.0,6.0,7.0,2.0,6.0,10.0,7.0,547.0,12.0,45.0,14.0,6.0,282.0,13.0,787.0,732.0,23.0,10.0,13.0,12.0,13.0,14.0,14.0,558.0,15.0,31.0,17.0,6.0,277.0,16.0,713.0,718.0,17.0,11.0,12.0,14.0,13.0,13.0,17.0,577.0,14.0,56.0,15.0,8.0,279.0,16.0,689.0,659.0,48.0,14.0,13.0,12.0,13.0,16.0,13.0,562.0,16.0,58.0,20.0,6.0,319.0,19.0,687.0,657.0,33.0,15.0,18.0,14.0,14.0,19.0,18.0,raytrace
871.0,581.0,497.0,563.0,553.0,550.0,492.0,1183.0,635.0,542.0,474.0,496.0,493.0,582.0,583.0,581.0,296.0,5.0,6.0,7.0,6.0,6.0,4.0,669.0,104.0,7.0,4.0,4.0,6.0,17.0,5.0,6.0,255.0,4.0,1.0,4.0,13.0,5.0,6.0,704.0,99.0,2.0,2.0,3.0,2.0,22.0,7.0,5.0,289.0,7.0,9.0,9.0,6.0,5.0,8.0,722.0,78.0,6.0,4.0,3.0,6.0,20.0,7.0,7.0,285.0,5.0,4.0,3.0,4.0,5.0,3.0,693.0,92.0,6.0,3.0,4.0,5.0,32.0,4.0,6.0,285.0,10.0,8.0,8.0,8.0,15.0,8.0,725.0,90.0,7.0,4.0,6.0,8.0,19.0,7.0,9.0,252.0,5.0,2.0,5.0,6.0,7.0,3.0,705.0,73.0,3.0,2.0,4.0,3.0,18.0,4.0,4.0,272.0,3.0,3.0,3.0,4.0,5.0,4.0,685.0,80.0,2.0,3.0,3.0,3.0,17.0,5.0,5.0,267.0,9.0,8.0,10.0,9.0,11.0,8.0,740.0,115.0,7.0,9.0,11.0,8.0,19.0,9.0,10.0,277.0,6.0,4.0,5.0,14.0,6.0,3.0,678.0,89.0,4.0,2.0,3.0,7.0,25.0,15.0,11.0,241.0,4.0,0.0,2.0,6.0,4.0,0.0,681.0,74.0,2.0,0.0,1.0,4.0,19.0,6.0,6.0,253.0,7.0,1.0,4.0,6.0,4.0,1.0,689.0,64.0,3.0,1.0,3.0,3.0,16.0,6.0,5.0,254.0,8.0,4.0,5.0,6.0,5.0,2.0,720.0,108.0,4.0,3.0,2.0,4.0,21.0,7.0,7.0,281.0,6.0,3.0,7.0,8.0,6.0,2.0,749.0,118.0,4.0,3.0,3.0,4.0,12.0,10.0,7.0,297.0,5.0,4.0,7.0,9.0,6.0,4.0,713.0,97.0,6.0,3.0,6.0,6.0,52.0,9.0,9.0,294.0,6.0,3.0,6.0,6.0,5.0,3.0,681.0,101.0,5.0,3.0,5.0,5.0,27.0,7.0,6.0,raytrace
10558.0,5171.0,4876.0,4953.0,5430.0,4999.0,4697.0,4857.0,4719.0,4608.0,4799.0,4620.0,4784.0,4832.0,4833.0,4890.0,2645.0,454.0,415.0,354.0,900.0,427.0,280.0,460.0,427.0,189.0,411.0,259.0,422.0,317.0,386.0,471.0,2547.0,485.0,347.0,335.0,851.0,516.0,263.0,495.0,418.0,179.0,385.0,238.0,377.0,317.0,360.0,485.0,2626.0,499.0,378.0,356.0,788.0,429.0,291.0,479.0,396.0,190.0,426.0,267.0,398.0,321.0,338.0,497.0,2633.0,813.0,475.0,424.0,812.0,451.0,334.0,520.0,535.0,206.0,443.0,282.0,465.0,325.0,385.0,512.0,2658.0,540.0,443.0,357.0,902.0,379.0,273.0,511.0,392.0,187.0,461.0,256.0,417.0,345.0,366.0,428.0,2515.0,514.0,417.0,314.0,770.0,358.0,252.0,509.0,388.0,168.0,434.0,243.0,410.0,325.0,354.0,435.0,2500.0,443.0,409.0,311.0,757.0,356.0,267.0,501.0,342.0,177.0,395.0,280.0,418.0,383.0,349.0,435.0,2497.0,472.0,385.0,349.0,751.0,370.0,295.0,519.0,401.0,181.0,437.0,272.0,409.0,338.0,292.0,423.0,2566.0,427.0,402.0,332.0,703.0,405.0,277.0,491.0,381.0,169.0,391.0,269.0,371.0,376.0,329.0,411.0,2505.0,440.0,408.0,329.0,728.0,404.0,251.0,468.0,360.0,168.0,429.0,251.0,387.0,339.0,348.0,441.0,2495.0,436.0,297.0,318.0,806.0,369.0,254.0,459.0,354.0,167.0,364.0,229.0,401.0,330.0,363.0,434.0,2484.0,439.0,333.0,331.0,746.0,370.0,261.0,496.0,439.0,179.0,406.0,289.0,411.0,333.0,342.0,514.0,2586.0,453.0,385.0,346.0,820.0,389.0,287.0,485.0,461.0,191.0,410.0,272.0,422.0,351.0,367.0,437.0,2574.0,395.0,374.0,349.0,810.0,361.0,279.0,484.0,403.0,166.0,407.0,261.0,430.0,339.0,363.0,394.0,2573.0,481.0,385.0,397.0,879.0,354.0,273.0,486.0,412.0,181.0,403.0,300.0,434.0,353.0,380.0,404.0,raytrace
