From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
164,76,23,8068,76,71,30,37,35,45,5,22,53,51,70,108,39,4,4,7797,6,3,2,3,3,4,3,3,3,6,5,6,18,2,1,7786,3,5,1,1,2,0,1,0,0,4,2,4,43,3,3,8446,4,3,2,4,2,3,2,4,3,3,3,5,46,4,2,8469,3,2,3,4,2,4,4,2,5,5,4,6,38,3,2,8533,7,4,3,3,2,2,3,2,3,3,5,7,16,1,2,8463,3,2,2,1,0,1,1,1,3,1,2,5,25,4,3,8625,5,1,1,3,2,4,0,1,3,3,1,4,20,4,2,8440,4,1,0,3,2,1,1,2,2,4,2,4,26,1,2,8406,4,3,2,2,2,1,0,1,3,5,4,6,6,2,0,8403,4,3,1,0,1,1,0,1,2,0,3,4,16,3,0,8406,4,2,1,0,2,1,0,2,2,2,4,5,32,3,1,8416,5,3,2,3,2,2,0,1,4,2,6,6,31,6,0,8404,7,5,3,2,2,3,1,2,3,2,7,5,43,7,4,8102,6,7,3,3,5,6,4,5,6,5,7,8,59,3,4,7826,5,5,5,3,3,5,5,5,5,5,9,7,vips_IndirectBP
25752,18089,16860,17530,17231,17275,16697,17163,16820,16661,17392,17022,17234,17228,17154,17250,9663,2894,2219,2228,2255,1999,2137,2257,2044,2025,3323,2437,2393,2173,2009,1956,9351,2634,2079,2116,2163,1876,2090,2110,1963,1891,2596,2361,2287,2086,1939,1822,9558,2799,2191,2145,2181,2105,2151,2258,2052,2086,2708,2425,2305,2220,2082,1934,9525,2839,2023,2159,2211,1932,2023,2145,2022,2195,2636,2369,2299,2450,2068,1856,9589,2941,2007,2212,2167,1967,1997,2071,2041,2096,2830,2392,2280,2104,1915,1914,9260,2795,1971,2223,2110,1919,2099,2031,1991,2778,2667,2323,2252,2086,1865,1856,9418,2805,2403,2111,2169,1915,2258,2109,2028,3483,2563,2390,2310,2094,1940,1932,9668,2785,2026,2105,2184,2008,2224,2107,2057,2350,2625,2379,2289,2116,1939,2413,9276,2876,2033,2119,2159,2008,2169,2031,1969,2083,2761,2343,2318,2096,1842,2737,9422,4401,2097,2246,2307,2137,2259,2157,2091,2095,2789,2555,2460,2274,1946,2248,9192,2738,1981,1990,2093,1924,2016,2040,1961,1865,2630,2293,2440,2058,1816,1825,9450,2853,2133,2229,2222,2186,2116,2141,1997,1997,2712,2547,2328,2155,1979,1871,9558,2842,2162,2170,2255,2137,2021,2173,2000,1924,2681,2375,2321,2148,1940,1870,9534,2829,2129,2213,2168,2050,2105,2242,1983,1949,2677,2385,2343,2141,1956,1830,9652,2949,2177,2345,2208,2058,2138,2295,2055,1969,2733,2473,2389,2237,2066,1897,vips_IndirectBP
22252,14798,15483,15484,14986,15311,15433,15411,14862,14945,14588,14276,14565,14951,15378,15580,8435,1484,2349,2124,1945,2027,2384,2289,1700,2320,1918,1591,1593,1946,2259,2379,8260,1834,2359,2100,1908,2001,2403,2332,1801,2229,1819,1589,1599,2034,2274,2360,8433,2743,2375,2057,1949,1996,2315,2271,1718,2230,2487,1600,1617,1962,2284,2294,8397,2535,2442,2167,1992,2043,2412,2300,1693,2304,4885,1675,1688,2640,2313,2343,8369,1538,2381,2064,1926,1970,2373,2265,1670,2260,4503,1633,1604,1963,2269,2368,8098,1364,2395,2007,1919,2006,2343,2236,1657,2219,2052,1610,1509,2025,2263,2314,8279,1537,2972,2156,1938,2092,2386,2285,1734,2312,1869,1697,1618,2018,2270,2420,8941,1552,2507,2110,1992,2083,2444,2342,1786,2324,2026,1861,1628,2032,2303,2389,8009,1384,2349,2024,1825,1897,2257,2165,1598,2229,1675,1799,1481,1899,2222,2255,8131,1695,2418,2139,1963,2047,2412,2257,1697,2349,1847,1701,1585,1991,2286,2397,8011,1314,2338,1989,1809,1946,2316,2162,1601,2199,1696,1569,1513,1939,2185,2306,8268,1468,2384,2077,1856,2032,2340,2240,1733,2269,1813,1964,1610,1995,2240,2286,8191,1425,2371,2094,2013,1995,2316,2246,1673,2275,1740,1612,1580,1992,2260,2310,8201,1452,2337,2036,1861,1976,2285,2224,1678,2250,1756,1511,1518,1941,2206,2302,8389,1513,2425,2153,1891,1995,2452,2308,1684,2296,1749,1537,1540,1981,2297,2307,vips_IndirectBP
25643,17496,16839,17177,16949,16877,16839,16793,17420,16607,17375,16976,17334,16896,16739,16929,10106,2431,1852,1973,2100,1873,2029,1943,2473,1844,2548,2509,2555,2012,1792,1757,10020,2465,1833,2048,2087,1924,2014,1993,2451,1902,2604,2376,2419,2064,1819,1833,10023,2384,1923,1972,2042,1837,2235,1918,2403,1850,2553,2380,2404,2102,1857,1781,9968,2420,1837,2273,2127,1873,2500,1949,2510,1899,2544,2405,2427,2538,1832,1793,10033,2396,1890,2340,2065,1909,2249,2112,2489,2360,2579,2363,2387,1990,1803,1992,9839,2349,1721,1939,2030,2017,2027,1867,2509,2812,2553,2352,2366,2025,1866,2425,9953,2407,1883,1936,2075,1899,2200,1937,2565,2878,2628,2454,2445,2065,1860,2719,10262,2407,1918,2027,2183,1909,2159,1953,2522,2486,2848,2416,2448,2061,1878,2154,9906,2465,1939,2069,2137,1869,2169,1906,2484,2221,2606,2395,2401,2115,1897,1973,9983,2399,1994,1898,2092,1865,2085,1900,2688,1895,2555,2344,2423,2054,1915,2003,9738,2475,2030,1737,1968,1755,1984,1928,2385,1805,2590,2269,2427,1997,1799,1750,10018,2464,2012,1948,2165,1903,2158,2073,2553,1877,2583,2629,2397,2132,1940,1793,9939,2446,1851,1979,2162,1861,2053,2102,2495,1853,2607,2400,2468,2082,1869,1787,10021,2474,1875,1982,2109,1933,2097,2057,2502,1896,2605,2417,2476,2090,1778,1888,10116,2471,1934,2122,2125,1933,2212,2007,2577,1912,2588,2532,2455,2117,1952,1770,vips_IndirectBP
22483,15058,15323,15445,15821,16302,15713,16077,14784,14906,14516,14990,15031,15719,15393,15546,8091,1647,2140,1979,2394,2639,2607,2873,1424,2051,1583,1974,1812,2480,2132,2168,7954,1742,2178,2023,2409,2716,2550,2835,1486,2093,1516,2119,1831,2559,2158,2207,8215,1723,2185,1980,2397,2796,2610,2907,1445,2082,1469,2027,1811,2532,2178,2184,8132,1730,2215,2036,2463,2787,2684,2938,1542,2125,1461,1965,1830,2825,2209,2211,8216,1792,2361,2089,2538,2974,2767,3385,1566,2249,1472,2001,1936,2659,2247,2353,7784,1662,2167,1981,2516,2809,2621,3019,1468,2100,1356,1823,1778,2689,2211,2218,7915,1748,2216,2020,2456,3119,2817,2948,1429,2163,1500,1870,1774,2676,2213,2258,8298,1761,2231,2075,2439,2907,2645,3004,1567,2157,2048,1952,1839,2614,2239,2270,7624,1668,2206,1989,2341,2829,2564,2825,1330,2070,1316,1775,1706,2466,2142,2191,7839,1692,2184,2025,2408,2803,2709,2879,1679,2134,1384,1800,1745,2573,2176,2221,7789,1643,2178,1926,2399,2843,2658,2988,1441,2048,1345,1777,1830,2535,2127,2179,7993,1759,2226,2021,2372,2813,2657,2864,1530,2104,1496,2165,1813,2530,2217,2230,8047,1743,2202,2056,2414,2757,2732,2951,1512,2146,1580,1891,1886,2583,2208,2241,8037,1631,2145,1974,2372,2790,2644,2903,1533,2011,1513,1881,1900,2593,2157,2176,8166,1656,2267,2053,2470,2873,2767,3046,1559,2133,1615,2049,1949,2599,2210,2216,vips_IndirectBP
25431,17022,16503,17214,17025,16618,18379,16433,17471,16374,17484,16663,16975,16686,16606,16630,10140,2063,1834,1941,2322,1777,2381,1844,2642,1857,2842,2146,2195,1949,1746,1634,10056,2091,1852,2060,2233,1834,2512,1879,2594,1960,2806,2122,2184,1922,1749,1649,10109,2026,1965,2117,2115,2690,3389,3071,2635,2006,2763,2097,2180,1979,1805,1647,10145,2352,2019,2005,2150,3971,4426,4001,2707,1916,2862,2142,2231,2742,1874,2013,10129,2089,2315,2120,2223,3193,4368,2372,2774,1972,2935,2200,2207,2757,1868,2450,9960,2008,1946,1931,2161,2493,2214,1983,2750,1864,2942,2145,2245,2631,1820,1687,10074,2050,1854,2056,2161,2330,2051,1949,2768,2104,2902,2215,2290,2347,1846,1764,10306,2125,1900,2019,2112,2023,2342,1996,2790,1908,3572,2236,2303,2399,2014,1898,9943,1955,1784,1961,2074,1920,1861,1804,2647,1774,2805,2128,2164,2109,1906,1648,10141,2018,1816,1920,2086,1815,2206,1805,3137,1818,2893,2190,2250,1977,1924,1690,9872,1947,1735,1824,1993,1756,2920,1784,2601,1788,2809,2080,2159,1871,1836,1632,10066,2161,1877,2020,2065,1868,2423,1930,2733,1925,2872,2488,2269,2094,1886,1784,10017,2119,1790,1993,2061,1768,2596,1849,2717,1819,2841,2136,2179,1978,1763,1707,10088,2124,1809,2087,2092,1751,2949,1749,2674,1787,2793,2101,2189,1890,1716,1602,10061,2037,1740,2147,2098,1786,2597,1819,2726,1772,2869,2117,2180,1925,1686,1586,vips_IndirectBP
23839,16708,16724,17147,16240,16945,19093,16663,16100,16419,15984,15871,16365,17014,16967,17420,8576,2131,2303,2497,1832,2333,2784,2285,1539,2269,1348,1621,1952,2647,2491,2874,8424,2141,2361,2517,1803,2413,2851,2289,1439,2268,1461,1645,1928,2594,2492,2852,8536,2125,2361,2495,1845,2385,3533,2311,1494,2285,1578,1671,1956,2700,2548,2881,8484,2140,2367,2520,1831,2386,3485,2318,1426,2302,1699,1655,1987,2708,2570,2790,8508,2159,2432,2577,1818,2451,2779,2369,1343,2325,1623,1672,1975,2747,2583,2915,8401,2172,2414,2546,1854,2430,1834,2360,1375,2317,1594,1683,1996,2756,2550,2884,8421,2143,2333,2536,1829,2432,1582,2349,1409,2320,1720,1651,1955,2780,2492,2824,8893,2348,2471,2661,1955,2496,2531,2476,1617,2374,2321,1863,2131,2771,2631,2932,8330,2125,2378,2503,1772,2412,1713,2323,1511,2304,1747,1615,1919,2652,2507,2866,8611,2262,2422,2592,1896,2480,2153,2343,2100,2401,1967,1704,2025,2767,2559,2849,8580,2127,2355,2474,1784,2389,3701,2263,1867,2268,1512,1597,2030,2650,2505,2827,8757,2180,2379,2540,1821,2463,2843,2328,1909,2346,1496,1691,1987,2677,2543,2816,8583,2157,2402,2549,1823,2504,3083,2434,1850,2365,1413,1670,1952,2653,2540,2824,8528,2127,2345,2519,1846,2353,4011,2308,1789,2238,1393,1633,1964,2685,2544,2862,8572,2125,2414,2622,1854,2425,3367,2320,1713,2332,1400,1640,2018,2666,2517,2810,vips_IndirectBP
24773,16305,16134,16565,16156,16437,16756,16096,16830,15902,16694,15963,16399,16134,16167,16192,9846,1914,1779,1767,2022,1920,2193,1914,2514,1881,2582,2088,2034,1788,1797,1565,9758,1887,1796,1904,2015,1833,2187,1882,2531,1903,2580,2118,2127,1795,1875,1598,9893,1920,1951,1797,2045,2001,2513,2089,2599,1927,2580,2134,2529,1912,1878,1758,9612,1795,1722,1776,1946,1853,2375,1933,2462,1772,2473,2259,2262,1763,1722,1445,9964,2138,2043,1813,2151,1876,2273,1917,2580,1855,2692,2295,2132,1849,1807,1566,9519,2953,1679,1538,1987,1707,1762,1680,2464,1756,2459,1990,1889,1750,1668,1380,9855,3257,1822,1769,2093,1877,1915,1851,2657,2205,2594,2130,2116,2283,1763,1416,10402,2387,2025,1778,2101,1937,2212,2024,2659,2009,3282,2203,2183,2377,1853,1602,9654,1976,1815,1755,2029,1980,1903,1872,2593,1862,2571,2080,2024,2311,1704,1428,9751,1934,1878,1704,2053,1810,2020,1840,3397,1938,2655,2151,2021,2393,1788,1549,9456,1735,1776,1551,1896,1741,2397,1729,2495,1770,2548,1926,2011,2294,1698,1337,9685,1889,1953,1787,1968,1932,2184,1903,2601,1993,2605,2093,2006,2397,1843,1542,9756,1919,1969,1854,2021,1889,2379,2137,2630,2077,2603,2114,2083,2319,1878,1635,9884,1917,1961,1905,2036,1934,2527,1911,2644,1998,2652,2105,2038,1953,1920,1735,10013,1916,2036,2115,2055,2034,2448,1976,2699,1917,2715,2190,2168,1906,1880,1667,vips_IndirectBP
24654,16904,16599,17007,16878,17188,16583,16378,16241,16325,15752,16475,16545,16486,16737,17057,9179,2224,2313,2418,2382,2379,2370,2121,1776,2311,1651,2500,2201,2076,2334,2462,8935,2217,2296,2425,2329,2350,2250,2127,1864,2322,1603,2514,2241,2076,2324,2456,9259,2308,2352,2446,2401,2417,2341,2168,1935,2327,1676,2562,2239,2121,2405,2438,9499,2294,2339,2452,2462,2399,2317,2146,1964,2356,1705,2615,2275,2120,2377,2423,9309,2366,2386,2486,2515,2458,2397,2216,1945,2445,1753,2773,2354,2173,2439,2516,8864,2214,2283,2404,2433,2391,2303,2161,1805,2374,1573,2413,2237,2122,2331,2420,8941,2229,2340,2402,2378,2379,2313,2155,1838,2334,1662,2510,2217,2153,2358,2429,9354,2401,2450,2560,2511,2512,2446,2346,1973,2505,2054,2683,2421,2258,2472,2538,8706,2260,2316,2449,2325,2376,2340,2137,1760,2345,1638,2592,2220,2090,2379,2450,8992,2345,2392,2515,2519,2416,2407,2221,2224,2495,1739,2558,2401,2188,2455,2510,8822,2349,2417,2502,2547,2472,2391,2185,1856,2411,1728,2546,2360,2227,2444,2507,8947,2357,2364,2502,2503,2469,2332,2168,1844,2373,1702,2573,2346,2174,2415,2478,9033,2370,2348,2452,2381,2398,2342,2165,1813,2380,1658,2540,2251,2116,2363,2457,9080,2276,2317,2434,2353,2376,2325,2152,1807,2326,1661,2555,2246,2109,2347,2405,9153,2348,2434,2512,2441,2506,2361,2203,1851,2414,1667,2570,2385,2191,2473,2478,vips_IndirectBP
22575,15274,15037,15447,15173,14998,14875,14926,15152,14922,15143,15003,15227,15064,14887,15002,8678,1879,1696,1619,2017,1626,1967,1823,1969,1947,2102,2035,2024,1822,1554,1425,8724,2025,1695,1655,1999,1837,1886,1751,1943,1738,2030,1935,1941,1929,1678,1462,11212,2119,2020,1611,2073,1706,1827,1842,2169,1737,1974,2345,1920,1992,2083,1661,10202,2280,2044,1789,2191,1664,1909,1930,2465,1763,2036,2817,2048,2001,2208,1508,8828,2501,1844,1757,2323,1753,1934,1838,2669,1774,2075,2836,2158,2073,1808,1546,8410,2043,1725,1490,2123,1593,1849,1771,2754,1781,1996,2921,2006,1930,1616,1538,8511,1924,1834,1559,2008,1714,1915,1799,2183,2114,2143,2766,2023,2056,1540,1465,8864,2006,2022,1695,2084,1920,1985,2050,2257,1952,2545,2746,2164,2007,1646,1589,8454,1840,1711,1569,1931,1646,1911,1840,2161,1823,2122,2404,2025,1840,1510,1447,8487,1854,1654,1581,1966,1630,1993,1805,2460,1918,2132,2119,2029,1862,1564,1511,8457,1773,1714,1509,1959,1639,1979,1797,2188,1862,2163,2021,2205,1759,1522,1498,8695,1869,1847,1671,2226,1719,2138,1923,2432,1955,2314,2145,2107,1850,1627,1547,8557,1828,1716,1539,1910,1677,2115,1908,2267,1872,2342,1972,1980,1853,1579,1510,8637,1822,1695,1613,1933,1752,2028,1754,2015,1848,2288,1998,1998,1840,1551,1502,8624,1775,1662,1984,1925,1541,1887,1734,1917,1909,2312,1951,1921,1771,1463,1428,vips_IndirectBP
