Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.0001, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.05",8,4,91,25,25.78125,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",8,4,91,25,25.78125,0,40,,,
"Nu: 0.0001, Gamma: 0.1",7,5,72,44,39.84375,0,40,,,
"Nu: 0.0001, Gamma: 0.2",6,6,66,50,43.75,0,40,,,
"Nu: 0.0001, Gamma: 0.5",6,6,67,49,42.96875,0,40,,,
"Nu: 0.0001, Gamma: 0.7",11,1,83,33,34.375,0,40,,,
"Nu: 0.0001, Gamma: 0.9",10,2,61,55,50.78125,0,40,,,
"Nu: 0.0001, Gamma: 0.99",6,6,39,77,64.84375,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.0002, Gamma: 0.005",8,4,91,25,25.78125,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,113,3,11.71875,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",11,1,113,3,10.9375,0,40,,,
"Nu: 0.0002, Gamma: 0.1",11,1,93,23,26.5625,0,40,,,
"Nu: 0.0002, Gamma: 0.2",10,2,92,24,26.5625,0,40,,,
"Nu: 0.0002, Gamma: 0.5",5,7,29,87,71.875,0,40,,,
"Nu: 0.0002, Gamma: 0.7",9,3,55,61,54.6875,0,40,,,
"Nu: 0.0002, Gamma: 0.9",6,6,28,88,73.4375,0,40,,,
"Nu: 0.0002, Gamma: 0.99",9,3,54,62,55.46875,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.0003, Gamma: 0.005",8,4,91,25,25.78125,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,113,3,11.71875,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",11,1,113,3,10.9375,0,40,,,
"Nu: 0.0003, Gamma: 0.1",11,1,93,23,26.5625,0,40,,,
"Nu: 0.0003, Gamma: 0.2",10,2,92,24,26.5625,0,40,,,
"Nu: 0.0003, Gamma: 0.5",9,3,74,42,39.84375,0,40,,,
"Nu: 0.0003, Gamma: 0.7",10,2,78,38,37.5,0,40,,,
"Nu: 0.0003, Gamma: 0.9",11,1,63,53,50,0,40,,,
"Nu: 0.0003, Gamma: 0.99",10,2,69,47,44.53125,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.0004, Gamma: 0.005",8,4,91,25,25.78125,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,113,3,11.71875,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",11,1,113,3,10.9375,0,40,,,
"Nu: 0.0004, Gamma: 0.1",11,1,93,23,26.5625,0,40,,,
"Nu: 0.0004, Gamma: 0.2",10,2,92,24,26.5625,0,40,,,
"Nu: 0.0004, Gamma: 0.5",9,3,74,42,39.84375,0,40,,,
"Nu: 0.0004, Gamma: 0.7",10,2,78,38,37.5,0,40,,,
"Nu: 0.0004, Gamma: 0.9",11,1,63,53,50,0,40,,,
"Nu: 0.0004, Gamma: 0.99",10,2,69,47,44.53125,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.005, Gamma: 0.0002",8,4,91,25,25.78125,0,40,,,
"Nu: 0.005, Gamma: 0.0003",8,4,91,25,25.78125,0,40,,,
"Nu: 0.005, Gamma: 0.0004",8,4,91,25,25.78125,0,40,,,
