Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,90.90909091
"Nu: 0.0001, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.05",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.0625",5,0,49,1,10.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.1",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0001, Gamma: 0.2",1,4,25,25,47.27272727,0,40,,
"Nu: 0.0001, Gamma: 0.5",0,5,22,28,50.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.7",4,1,43,7,20,0,40,,
"Nu: 0.0001, Gamma: 0.9",2,3,45,5,12.72727273,0,40,,
"Nu: 0.0001, Gamma: 0.99",2,3,45,5,12.72727273,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.05",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0002, Gamma: 0.0625",5,0,49,1,10.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.1",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0002, Gamma: 0.2",1,4,25,25,47.27272727,0,40,,
"Nu: 0.0002, Gamma: 0.5",4,1,46,4,14.54545455,0,40,,
"Nu: 0.0002, Gamma: 0.7",4,1,43,7,20,0,40,,
"Nu: 0.0002, Gamma: 0.9",2,3,45,5,12.72727273,0,40,,
"Nu: 0.0002, Gamma: 0.99",2,3,45,5,12.72727273,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.05",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0003, Gamma: 0.0625",5,0,49,1,10.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.1",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0003, Gamma: 0.2",1,4,25,25,47.27272727,0,40,,
"Nu: 0.0003, Gamma: 0.5",1,4,22,28,52.72727273,0,40,,
"Nu: 0.0003, Gamma: 0.7",0,5,15,35,63.63636364,0,40,,
"Nu: 0.0003, Gamma: 0.9",0,5,22,28,50.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.99",1,4,21,29,54.54545455,0,40,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.05",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0004, Gamma: 0.0625",5,0,49,1,10.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.1",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0004, Gamma: 0.2",1,4,25,25,47.27272727,0,40,,
"Nu: 0.0004, Gamma: 0.5",1,4,22,28,52.72727273,0,40,,
"Nu: 0.0004, Gamma: 0.7",2,3,22,28,54.54545455,0,40,,
"Nu: 0.0004, Gamma: 0.9",1,4,25,25,47.27272727,0,40,,
"Nu: 0.0004, Gamma: 0.99",2,3,31,19,38.18181818,0,40,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.005, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.005, Gamma: 0.005",5,0,50,0,9.090909091,0,40,,
"Nu: 0.005, Gamma: 0.05",5,0,50,0,9.090909091,0,40,,
"Nu: 0.005, Gamma: 0.0625",5,0,49,1,10.90909091,0,40,,
"Nu: 0.005, Gamma: 0.1",5,0,50,0,9.090909091,0,40,,
