From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
396,274,212,7387,252,267,218,234,229,230,210,217,247,265,286,284,50,6,2,6898,5,3,3,4,5,2,2,4,6,8,8,5,18,5,0,6867,4,5,1,1,2,2,0,0,3,3,7,2,42,10,2,6888,3,4,2,2,4,4,3,6,5,5,23,3,39,4,1,6896,4,3,3,3,2,2,1,2,3,5,22,3,49,6,2,6989,1,4,4,4,1,2,3,5,3,5,15,7,21,1,1,6873,3,1,1,4,2,3,2,1,1,3,6,3,30,4,1,7059,2,5,2,0,4,4,3,1,4,4,8,4,28,4,0,7300,2,4,2,2,1,6,4,1,2,3,17,3,27,5,0,6934,3,3,1,3,2,3,6,0,2,4,14,4,18,2,2,6886,1,3,2,3,4,3,3,5,4,3,18,5,20,3,1,6280,1,3,2,0,1,2,2,0,4,2,13,4,37,4,2,6281,2,3,3,3,2,1,3,2,2,7,19,5,44,3,4,6262,4,4,2,4,2,3,4,4,5,8,19,6,52,7,4,6514,7,11,3,3,5,4,8,8,7,8,12,10,51,5,4,6243,2,7,3,5,2,3,3,3,4,4,9,8,vips_MRUCache
26042,17616,17858,17658,17749,19247,17957,17609,17909,17960,17568,18414,18123,17862,18266,19189,9662,1544,2213,1563,2056,3256,2406,2011,2522,2499,2289,2986,2528,2255,2385,3007,9481,1580,2227,1557,2066,3150,2409,2019,2542,2540,2275,3042,2496,2228,2387,2926,9996,1625,2252,1651,2113,3230,2435,2059,2584,2554,2308,3039,2595,2238,2405,2910,9592,1635,2283,1651,2062,3329,2418,2267,2538,2540,2288,3044,2471,2248,2414,3033,9790,1482,2368,1716,2157,3351,2516,2142,2673,2639,2376,3779,2659,2357,2495,3402,9548,1333,2260,1604,2155,3295,2400,2038,2572,2481,2274,3067,2516,2228,2362,2958,9492,1409,2279,1629,2074,3375,2411,2054,2552,2531,2336,2978,2523,2232,2393,3087,9396,1453,2278,1659,2112,3294,2435,2072,2623,2606,2347,3098,2593,2290,2429,2981,9405,1374,2257,1609,2095,3350,2455,2033,2649,2520,2307,3149,2541,2269,2386,3015,9319,1359,2311,1608,2089,3397,2480,2067,2570,2589,2309,3070,2560,2305,2417,3001,9350,1281,2286,1594,2128,3744,2451,2055,2618,2572,2303,2996,2567,2255,2448,3135,9506,1466,2336,1658,2165,3314,2592,2141,2701,2600,2363,3084,2646,2300,2459,3053,9506,1515,2281,1702,2084,3344,2395,2049,2566,2517,2324,3174,2548,2219,2415,3002,9670,1591,2299,1588,2173,3384,2443,2074,2669,2567,2324,3144,2575,2259,2385,2958,9806,1576,2361,1638,2195,3903,2523,2157,2693,2683,2363,3315,2657,2315,2441,3205,vips_MRUCache
20915,14576,13342,14862,14204,13779,13833,13611,13235,13246,13061,12988,13927,13561,13406,13501,8070,2438,1498,2028,2031,1438,2040,1736,1455,1568,1386,1364,1779,1506,1346,1426,8030,2318,1480,2005,2034,1698,2027,1687,1478,1526,1360,1342,1795,1558,1422,1378,8609,2411,1586,2058,2117,2728,2164,1826,1614,1579,1474,2018,1848,1572,1449,1507,8208,2386,1712,2214,2311,2658,2206,2172,1668,1661,1489,4260,1844,1576,1516,1695,8302,2503,1694,2260,2233,1657,2339,2167,1686,1676,1514,4213,1999,1862,1609,1690,7995,2448,1589,2137,2253,1513,2102,1923,1648,1585,1411,1738,1926,1577,1529,2301,8074,2404,1449,2076,2080,1492,2032,1777,1501,1469,1318,1325,1790,1457,1434,3016,8114,2487,1565,2778,2236,1582,2185,1917,1639,1745,1418,1429,1851,1519,1629,1899,7954,2402,1476,2938,2132,1462,2160,1747,1649,1598,1318,1459,1800,1500,1641,1572,7850,2376,1496,2436,2106,1484,2253,1756,1588,1569,1339,1345,1862,1488,1461,1373,7884,2454,1604,2201,2155,1602,2386,1811,1721,1620,1425,1360,1969,1522,1613,1453,8243,2514,1592,2295,2184,1614,2454,1869,1820,1747,1486,1480,2069,1583,1555,1601,8076,2382,1513,2177,2035,1665,2126,1796,1556,1674,1544,1434,2015,1474,1448,1466,8018,2378,1440,2158,2027,1464,2077,1751,1535,1541,1366,1409,1952,1420,1401,1377,8179,2504,1555,2318,2164,1622,2158,1859,1565,1600,1489,1474,1959,1740,1458,1486,vips_MRUCache
25600,16478,16907,17876,17168,17696,17075,17166,17160,17381,16837,16558,16706,17533,17053,17774,9632,1359,2104,2247,1916,2662,2279,1918,2384,2623,2191,1965,1780,2682,1908,2480,9448,1378,2036,2124,1859,2470,2190,1840,2297,2530,2143,1919,1699,2592,1766,2431,10373,1458,2176,2280,1993,2567,2336,1945,2448,2675,2287,1998,1868,2639,1894,2547,9663,1470,2137,2260,2091,2558,2335,2300,2435,2664,2216,1971,1805,2634,1935,2534,9652,1568,2178,2251,2058,2603,2310,2096,2422,2756,2244,2082,1872,2870,1933,2611,9516,1583,2083,2159,1809,2565,2268,1950,2398,2613,2199,1935,1734,2669,1792,2451,9628,1464,2165,2280,2112,2666,2375,1894,2491,2686,2262,2001,1926,2583,1863,2475,9520,1550,2122,2251,1878,2577,2365,1873,2440,2730,2218,1950,1779,2663,1913,2501,9413,1431,2069,2197,1827,2690,2272,1854,2409,2624,2231,1991,1758,2726,1874,2493,9504,1441,2129,2217,1844,2607,2297,1914,2400,2655,2192,1961,1846,2637,1853,2475,9385,1383,2118,2153,1881,2533,2326,1831,2391,2625,2188,1908,1761,2589,1921,2434,9530,1510,2197,2285,2043,2685,2435,2152,2514,2644,2280,2073,1884,2699,1992,2564,9596,1400,2139,2255,1965,2690,2334,2006,2451,2687,2192,2028,1784,2576,1945,2525,9661,1414,2151,2180,1992,2639,2330,1999,2462,2665,2232,2030,1876,2628,1886,2479,9859,1392,2198,2262,2070,2912,2444,2062,2513,2771,2267,1996,1838,2812,1886,2531,vips_MRUCache
21744,15028,14824,15315,14982,14649,14814,15723,14543,14431,14600,14572,15662,14387,15307,14239,8371,1999,2087,1881,2123,1557,2152,2697,1980,1842,2159,2209,2966,1521,2419,1440,8138,1952,2133,1835,2157,1558,2227,2807,1976,1958,2128,2202,2914,1572,2405,1509,8619,1987,2175,1906,2245,1658,2400,2957,2048,1919,2083,2204,2961,1660,2447,1476,8238,1937,2149,1963,2175,1651,3347,3051,2107,1895,2006,2220,3030,1614,2486,1513,8625,2045,2172,2410,2248,1612,3169,3097,2131,1927,1965,2250,3049,1653,2441,1486,8790,1958,2162,2723,2192,1602,2391,2914,2143,1753,2003,2235,3004,1559,2474,1494,8918,2091,2175,2900,2267,1654,2582,3007,2124,1792,2070,2265,3277,1563,2490,1577,8327,1988,2219,2561,2219,1632,2606,2922,2130,1832,2084,2248,2947,1595,2477,1538,8207,1938,2079,2251,2178,1523,2237,2956,2098,1641,1942,2179,2933,1489,2368,1549,8347,1958,2194,1945,2255,1559,2325,2968,2205,1688,1985,2246,2952,1507,2416,1546,8064,1909,2087,1820,2167,1478,2214,2819,2032,1626,1931,2091,2956,1502,2378,1415,8258,2065,2195,2014,2264,1661,2250,3387,2191,1793,2096,2258,3066,1609,2470,1638,8247,2027,2149,1962,2191,1790,2190,2972,2065,1822,2187,2307,2951,1623,2396,1598,8270,2003,2115,1929,2127,1640,2199,2938,2065,1766,2077,2227,3010,1571,2389,1476,8317,2065,2118,2016,2264,2071,2263,3137,2063,1892,2117,2224,3118,1870,2429,1481,vips_MRUCache
25816,17455,17008,17856,17271,17834,17084,18527,17151,17298,16980,17067,16893,17377,17514,17834,9733,2008,1926,2019,1821,2272,2068,2316,2068,2308,2026,2028,1775,2299,2216,2318,9430,2017,1956,2076,2013,2234,2290,2472,2099,2317,2082,2014,1912,2320,2179,2298,9702,2018,1957,2070,2033,2253,2736,4357,2087,2287,2114,2009,3454,2256,2089,2232,9672,2043,2026,2226,2074,2256,2981,5537,2697,2320,2128,2119,5267,2268,2122,2315,9792,2164,2032,2276,2286,2348,3179,4429,2714,3002,2193,2271,2682,2580,2178,2461,9413,2046,1941,2127,2061,2295,2343,2599,2759,2413,2145,2100,1770,2372,2063,2300,9559,2149,2022,2150,1966,2403,2221,2463,2436,2432,2192,2128,1936,2385,2031,2351,9439,2104,2006,2163,1895,2312,2200,2342,2330,2420,2132,2100,1900,2341,2100,2368,9381,2041,1895,2116,1851,2367,2115,2208,2176,2323,2083,2060,1807,2324,2072,2363,9399,2152,1962,2228,1839,2370,2434,2212,2200,2415,2110,2013,1850,2382,2108,2354,9379,2010,2065,2128,1830,2272,2090,2688,2138,2382,2036,1983,1860,2302,2070,2276,9539,2134,2110,2246,2302,2379,2270,2299,2343,2433,2200,2187,1990,2360,2163,2438,9599,2144,2069,2215,1947,2461,2117,2566,2204,2456,2081,2237,1907,2327,2139,2504,9628,2044,2148,2151,1991,2312,2181,2769,2183,2401,2203,2458,1910,2379,2205,2350,9745,2100,2066,2283,1903,2422,2191,2698,2236,2492,2211,2243,1951,2519,2154,2378,vips_MRUCache
22822,16160,15996,15781,16161,15760,15386,18733,15235,15223,15504,15958,15936,15427,16043,15421,9094,1898,2316,1964,2358,1946,1765,3137,1696,2000,2221,2626,2330,1797,2209,1618,8683,2081,2251,1836,2342,1852,1790,3090,1714,1973,2093,2784,2347,1780,2205,1597,8828,2156,2319,1887,2289,1917,1736,4128,1758,2036,2112,2615,2300,1703,2153,1595,8654,1936,2296,2278,2322,1892,1786,3534,1781,2055,2156,2575,2304,1759,2175,1625,8750,2054,2334,2693,2412,1959,1860,3489,1819,2396,2177,2651,2387,1815,2230,1681,8557,1806,2286,1823,2295,1865,1735,1766,1821,2026,2110,2590,2301,1782,2170,1568,8532,1840,2275,1917,2355,1959,1769,2047,1722,2022,2153,2594,2335,1822,2164,1618,8556,1839,2282,1928,2324,2001,1814,2773,1786,2177,2216,2589,2316,1791,2290,1781,8380,1811,2329,1960,2401,2276,1807,2622,1768,2081,2167,2693,2387,1921,2230,1751,8370,1783,2297,1856,2360,2026,1766,2378,1763,2035,2122,2610,2307,1900,2204,1640,8435,1796,2364,1791,2357,1992,1748,3538,1761,1966,2069,2547,2296,2007,2168,1611,8603,1874,2311,1938,2403,2124,1795,2580,1830,2018,2184,2612,2317,2021,2202,1665,8598,1849,2279,1903,2369,2167,1802,3195,1773,2044,2127,2623,2349,1853,2223,1748,8684,1828,2247,1901,2283,1987,1760,3962,1704,1924,2149,2632,2306,1808,2156,1613,8672,1827,2276,1863,2364,1953,1733,3561,1712,1993,2212,2573,2344,2130,2085,1544,vips_MRUCache
25841,18006,16780,18084,16978,17622,16940,18043,16960,16896,16818,16523,16889,17087,17105,17422,10142,2377,1925,2620,1876,2337,2172,2431,2086,2124,2074,1829,1869,2200,2007,2169,9660,2339,1886,2504,1988,2188,2174,2491,2058,2097,2133,1997,1969,2135,2015,2107,9851,2288,1890,2474,1831,2177,2107,2647,2018,2141,2373,1819,2096,2114,1952,2082,9813,2344,1895,2628,1881,2153,2356,2625,2128,2348,2352,1864,2254,2196,1949,2164,9963,2413,2037,2639,1910,2108,2496,2685,2319,2729,2236,2074,2014,2240,2254,2185,9588,2230,1930,2473,1895,2058,2045,1930,2152,2270,1977,1866,1802,2073,3148,2046,9638,2292,1911,2483,2094,2112,2074,2078,2033,2468,2040,2191,1884,2132,3388,2088,9589,2204,1900,2480,1860,2049,2096,2239,1964,2316,2031,2244,1939,2083,2269,2088,9618,2352,1967,2582,1894,2215,2184,2288,2250,2359,2081,2369,1842,2163,2033,2163,9531,2302,1960,2564,1922,2248,2103,2069,2039,2468,2019,2363,1859,2095,1974,2097,9471,2333,1970,2519,1861,2418,2103,2456,2062,2224,2046,2336,1905,2143,2018,2073,9710,2378,2077,2602,2172,2470,2206,2351,2125,2225,2110,2532,2022,2202,1978,2212,9690,2358,2135,2590,2013,2413,2194,2458,2109,2172,2069,2233,2005,2129,2045,2238,9750,2225,2068,2529,1987,2321,2181,2665,2089,2150,2058,1963,1973,2087,1975,2145,9911,2353,2021,2703,1963,2390,2230,2575,2112,2250,2183,1902,1997,2404,2020,2116,vips_MRUCache
22549,15997,15741,15553,15884,16175,15760,15740,15829,15814,15560,15332,15582,15567,16124,15632,8855,1910,2309,2181,2436,2666,2456,2240,2548,2743,2311,2219,2240,2065,2541,2046,8300,1744,2232,1697,2346,2522,2333,2110,2479,2623,2195,2075,2136,2035,2369,1947,8628,1993,2333,1769,2375,2627,2342,2204,2531,2631,2183,2158,2181,2070,2453,1957,8423,1781,2312,1751,2381,2578,2344,2174,2632,2673,2219,2122,2235,2047,2493,2013,8504,1882,2458,1819,2548,2632,2658,2338,2835,3076,2286,2304,2300,2244,2538,2145,8445,1712,2378,1749,2476,3149,2411,2306,2609,2852,2320,2202,2248,2286,2508,2073,8389,1668,2246,1696,2335,2594,2332,2164,2485,2691,2212,2100,2168,1979,2392,1906,8468,1756,2418,1811,2508,2760,2448,2308,2692,2938,2354,2243,2250,2098,2553,2115,8292,1741,2335,1764,2478,2969,2536,2269,2712,2641,2261,2285,2277,2205,2500,2043,8315,1655,2304,1635,2418,2603,2332,2194,2494,2648,2241,2121,2171,2031,2497,1927,8265,1590,2277,1664,2357,2461,2289,2099,2431,2603,2137,2092,2123,2025,2432,1879,8497,1808,2323,1796,2378,2571,2336,2178,2589,2601,2309,2132,2203,2000,2554,1943,8517,1859,2384,1830,2402,2665,2537,2267,2598,2677,2271,2211,2253,2002,2545,2526,8537,1795,2308,1842,2346,2580,2317,2183,2510,2695,2230,2120,2117,2024,2404,1912,8648,1934,2364,1803,2429,2763,2527,2244,2535,2791,2288,2185,2244,2398,2428,1904,vips_MRUCache
25922,17584,16407,17693,16704,17029,16370,16568,16369,16230,16297,16101,16345,16843,16838,17098,10427,2549,1927,2508,1812,2037,2070,1873,1945,1982,2048,1889,1787,2182,2009,2226,9725,2507,2040,2437,1830,2029,2060,1831,1906,2108,1976,1950,1828,2166,2092,2150,9983,2491,2062,2440,1728,2408,1988,1876,2118,3721,2008,2011,1831,2115,2152,2025,9957,2598,2369,2619,1803,2706,2055,2059,2854,3805,2147,2139,2223,2183,2200,2116,10142,2704,2588,2663,1988,2970,2437,2122,3188,2411,2415,2369,2052,2206,2527,2169,9719,2585,2173,2506,1898,2821,2048,2031,2771,2128,2365,2094,1922,2129,2198,2087,9808,2534,1861,2382,1811,2238,2139,1861,2480,2030,2027,2189,1959,2069,2012,2023,9773,2534,2003,2536,1927,2256,2195,2077,2591,2128,2125,2026,2119,2041,2081,2119,9615,2535,1885,2555,1836,2192,2108,1910,2535,1971,2120,1950,1868,2031,2001,2087,9619,2595,1885,2544,1922,2231,2179,1891,2109,2039,1997,1868,1892,2062,1987,2099,9580,2530,1825,2486,2060,2230,2103,1826,1986,2025,1944,1826,1820,2015,1968,2052,9731,2547,1906,2519,2043,2416,2191,1949,1990,2041,2055,1970,1931,2081,1990,2202,9962,2663,1994,2545,1964,2392,2415,1942,2060,2113,2353,2005,1930,2259,2153,2398,9908,2524,1924,2484,1926,2090,2280,1889,1954,2026,2045,1911,1861,2138,1999,2288,10179,2691,1999,2690,2049,2209,2384,1979,2101,2172,2203,1976,1979,2725,2098,2275,vips_MRUCache
