Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.0001, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,116,90.625,0,40,,,
"Nu: 0.0001, Gamma: 0.05",8,4,90,26,26.5625,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",8,4,90,26,26.5625,0,40,,,
"Nu: 0.0001, Gamma: 0.1",7,5,72,44,39.84375,0,40,,,
"Nu: 0.0001, Gamma: 0.2",6,6,65,51,44.53125,0,40,,,
"Nu: 0.0001, Gamma: 0.5",6,6,71,45,39.84375,0,40,,,
"Nu: 0.0001, Gamma: 0.7",11,1,85,31,32.8125,0,40,,,
"Nu: 0.0001, Gamma: 0.9",10,2,64,52,48.4375,0,40,,,
"Nu: 0.0001, Gamma: 0.99",6,6,42,74,62.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.0002, Gamma: 0.005",8,4,91,25,25.78125,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,113,3,11.71875,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",11,1,112,4,11.71875,0,40,,,
"Nu: 0.0002, Gamma: 0.1",11,1,92,24,27.34375,0,40,,,
"Nu: 0.0002, Gamma: 0.2",10,2,95,21,24.21875,0,40,,,
"Nu: 0.0002, Gamma: 0.5",5,7,32,84,69.53125,0,40,,,
"Nu: 0.0002, Gamma: 0.7",9,3,61,55,50,0,40,,,
"Nu: 0.0002, Gamma: 0.9",6,6,32,84,70.3125,0,40,,,
"Nu: 0.0002, Gamma: 0.99",9,3,54,62,55.46875,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.0003, Gamma: 0.005",8,4,91,25,25.78125,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,113,3,11.71875,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",11,1,112,4,11.71875,0,40,,,
"Nu: 0.0003, Gamma: 0.1",11,1,92,24,27.34375,0,40,,,
"Nu: 0.0003, Gamma: 0.2",10,2,95,21,24.21875,0,40,,,
"Nu: 0.0003, Gamma: 0.5",9,3,77,39,37.5,0,40,,,
"Nu: 0.0003, Gamma: 0.7",10,2,79,37,36.71875,0,40,,,
"Nu: 0.0003, Gamma: 0.9",11,1,70,46,44.53125,0,40,,,
"Nu: 0.0003, Gamma: 0.99",10,2,73,43,41.40625,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.0004, Gamma: 0.005",8,4,91,25,25.78125,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,113,3,11.71875,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",11,1,112,4,11.71875,0,40,,,
"Nu: 0.0004, Gamma: 0.1",11,1,92,24,27.34375,0,40,,,
"Nu: 0.0004, Gamma: 0.2",10,2,95,21,24.21875,0,40,,,
"Nu: 0.0004, Gamma: 0.5",9,3,77,39,37.5,0,40,,,
"Nu: 0.0004, Gamma: 0.7",10,2,79,37,36.71875,0,40,,,
"Nu: 0.0004, Gamma: 0.9",11,1,70,46,44.53125,0,40,,,
"Nu: 0.0004, Gamma: 0.99",10,2,73,43,41.40625,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,116,90.625,0,40,,,
"Nu: 0.005, Gamma: 0.0002",8,4,91,25,25.78125,0,40,,,
"Nu: 0.005, Gamma: 0.0003",8,4,91,25,25.78125,0,40,,,
