From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackscholes_IndirectBP
243,194,34,34,31,50,25,21,25,25,27,15,18,33,32,44,14,76,3,4,2,2,2,2,2,1,4,1,1,4,1,1,12,104,0,1,0,2,2,0,0,1,1,1,0,1,3,0,12,111,3,1,4,1,1,1,0,0,1,0,0,0,0,0,17,110,0,2,3,3,0,1,0,0,1,0,1,1,3,2,23,108,1,0,1,0,3,0,2,1,4,1,1,1,4,2,9,101,0,1,0,2,0,2,0,0,1,0,0,2,1,2,7,86,1,1,2,1,3,1,2,0,2,0,0,1,0,1,8,98,1,0,0,2,0,1,0,2,1,0,1,0,1,1,9,75,0,0,0,1,0,3,0,0,3,0,1,0,2,2,10,79,2,1,1,3,1,2,1,1,2,4,1,2,1,2,10,58,1,0,1,1,0,0,0,0,2,1,1,1,3,1,9,73,0,1,1,1,0,0,0,1,0,0,3,1,1,0,14,85,0,2,0,1,1,3,0,0,1,0,1,2,6,0,12,95,1,2,3,2,3,2,3,3,2,2,3,1,3,3,17,97,0,1,2,1,2,1,1,2,2,1,0,1,0,1,blackscholes_IndirectBP
1497,505,359,281,272,294,219,196,359,168,270,309,253,185,325,423,261,124,76,72,57,64,70,54,83,4,53,83,72,7,101,105,707,185,61,49,58,448,53,57,115,5,61,85,589,2,72,110,187,158,73,48,66,82,147,75,99,2,73,106,76,5,83,85,207,169,92,56,51,73,64,176,117,2,90,135,112,3,78,109,212,191,85,53,69,57,136,82,111,3,69,118,81,2,102,147,147,138,58,118,41,121,41,68,92,0,72,76,61,0,58,78,149,132,66,41,126,56,37,66,99,0,56,92,169,1,55,90,195,139,76,39,48,40,47,52,86,2,83,112,94,1,78,84,137,100,70,32,33,43,42,55,81,0,46,88,73,1,65,75,158,109,83,44,48,57,45,58,104,1,62,92,95,3,70,92,186,85,107,64,58,71,58,68,126,3,62,95,87,3,87,91,145,117,96,51,40,61,55,164,115,1,71,115,83,4,84,88,187,114,75,64,53,59,56,77,93,1,69,93,73,0,86,81,193,132,101,109,51,78,55,59,136,7,75,107,69,7,62,181,295,154,104,65,76,70,68,79,129,4,80,139,84,5,186,102,blackscholes_IndirectBP
2784,644,334,517,646,483,455,374,294,160,499,315,404,370,736,733,346,153,110,158,197,178,189,142,94,8,187,73,158,85,176,236,581,248,54,186,213,347,473,149,176,14,225,67,381,94,184,209,342,196,65,227,349,167,303,221,64,6,344,62,159,101,254,282,404,249,65,360,230,179,259,228,79,4,353,85,160,127,299,245,318,233,70,195,245,139,282,177,79,4,237,72,178,105,240,242,274,172,58,273,247,168,139,150,63,6,215,69,125,149,186,216,275,175,51,217,300,162,194,187,53,4,241,54,174,82,210,242,257,188,69,146,173,105,172,124,56,11,193,158,113,101,186,185,261,129,61,158,173,133,159,108,61,1,229,58,125,73,149,155,318,158,81,319,397,192,248,177,79,15,222,77,147,109,268,255,667,111,335,159,197,150,237,132,391,7,195,312,146,75,242,256,387,187,57,189,234,162,193,180,64,4,226,62,166,109,207,226,372,132,64,164,213,180,268,150,60,8,220,66,171,87,258,198,511,252,60,284,291,235,272,211,96,7,278,73,205,179,225,370,563,285,90,270,312,243,273,278,108,5,261,87,245,137,415,264,blackscholes_IndirectBP
672,248,446,257,324,221,408,208,475,198,435,473,1413,344,382,290,235,24,138,32,49,30,146,61,137,8,156,141,574,128,66,39,231,30,120,26,40,28,477,31,218,11,136,179,703,121,34,30,229,25,174,26,37,27,144,34,165,8,147,188,717,117,28,24,255,46,139,29,43,29,150,50,191,10,175,200,771,102,31,50,232,18,155,33,39,29,148,42,189,11,135,204,741,124,40,43,227,17,112,20,29,21,115,32,156,8,117,157,596,145,29,29,184,19,144,24,36,25,142,27,161,7,158,162,664,99,38,36,206,27,128,37,45,22,146,33,149,12,149,186,635,112,43,42,190,22,151,27,33,22,138,33,132,3,133,174,530,120,25,31,193,21,140,28,53,27,156,30,171,7,161,173,697,119,46,42,741,17,483,33,40,14,141,20,659,14,155,493,708,88,54,30,286,46,194,28,45,38,175,57,223,18,386,210,659,134,69,66,197,20,152,23,38,24,266,26,176,10,130,194,676,122,36,33,271,74,145,21,23,20,151,40,220,10,190,198,741,116,26,69,273,54,178,31,43,29,172,48,211,7,203,228,957,122,53,62,blackscholes_IndirectBP
226,108,45,87,65,81,87,49,68,65,47,40,839,79,116,76,64,22,20,7,14,19,32,17,15,3,22,19,514,19,13,11,42,24,11,8,8,5,32,7,11,3,15,11,606,15,4,5,61,30,12,4,7,5,31,7,14,4,16,14,708,12,9,9,64,24,11,3,6,9,41,3,13,4,16,17,644,17,4,6,68,25,13,5,2,10,35,7,19,2,17,15,714,14,6,8,37,22,10,3,6,3,26,7,18,4,17,16,603,15,3,4,42,22,11,4,3,4,31,4,13,3,18,13,610,15,4,2,56,25,16,4,5,2,27,4,17,7,19,15,548,18,12,8,59,17,16,4,4,2,24,2,20,2,21,17,788,20,3,3,72,19,17,4,6,9,25,5,13,3,18,19,688,20,25,10,27,12,8,0,5,4,16,2,9,2,11,11,680,13,9,6,54,20,11,2,4,4,36,3,16,2,15,16,687,15,8,5,55,17,11,3,4,4,26,5,18,4,15,14,662,15,5,7,96,17,14,5,5,6,59,5,15,5,16,14,589,14,4,8,82,16,15,10,6,5,44,6,11,5,19,10,646,13,11,7,blackscholes_IndirectBP
1397,1196,1161,1164,1246,1164,1056,1159,1104,973,1299,1091,1123,5186,1347,1572,114,107,70,80,148,71,70,70,75,34,201,71,79,4069,276,237,94,108,59,104,124,75,70,58,69,23,171,61,72,3491,194,210,124,92,67,77,126,81,115,74,73,21,198,74,86,3045,221,231,136,129,94,84,131,92,86,127,89,22,239,91,112,2896,279,290,152,96,89,88,152,89,90,89,96,26,197,122,100,3159,241,266,88,89,63,71,106,104,67,63,70,20,169,66,74,2834,205,194,93,86,61,70,114,74,74,59,64,18,190,66,127,2929,178,186,105,98,80,78,135,79,78,79,73,22,230,80,102,2749,198,193,99,86,75,72,116,73,73,74,73,24,202,76,92,2743,209,219,106,96,79,76,192,93,78,85,71,23,243,79,107,3690,270,215,98,75,72,66,163,79,67,66,65,12,182,69,86,3041,181,195,108,77,75,77,140,80,83,74,118,19,192,84,94,3131,221,221,302,168,219,185,260,193,186,194,180,57,290,188,222,3036,448,462,139,84,74,73,158,88,72,69,71,26,169,67,85,3001,226,574,333,106,93,99,185,97,103,86,97,32,228,96,102,3330,495,286,blackscholes_IndirectBP
139,80,40,74,103,63,36,52,49,40,48,65,41,99,103,63,43,6,11,12,33,9,10,14,16,9,16,16,12,28,10,9,22,2,4,11,19,5,5,11,10,7,16,14,6,26,9,7,31,4,9,12,31,17,10,20,12,7,17,23,9,28,9,9,42,6,9,13,32,11,11,14,14,7,18,44,9,50,24,16,34,10,10,12,28,12,11,19,13,10,20,21,9,30,18,14,17,9,8,11,20,8,10,15,13,11,13,21,9,22,10,12,24,1,7,7,17,8,10,15,21,10,18,18,9,27,12,9,28,2,12,11,24,13,12,18,17,12,19,22,15,34,17,10,26,3,12,8,20,10,11,16,15,5,19,24,14,33,15,13,16,4,7,7,21,9,9,14,9,8,13,22,13,26,18,10,20,3,4,6,20,10,5,7,6,7,11,13,16,36,25,12,29,6,8,9,28,9,10,14,12,7,13,33,10,47,14,11,44,11,12,15,67,13,15,19,17,13,18,23,16,25,22,26,57,6,9,12,48,13,13,14,16,10,17,42,13,57,17,17,34,2,13,17,37,13,14,16,18,12,16,29,13,47,21,9,blackscholes_IndirectBP
88,39,17,49,35,43,19,22,29,20,10,16,33,38,30,49,18,3,4,4,4,5,3,2,2,4,2,3,10,1,4,5,12,1,0,4,2,0,0,2,1,1,1,0,9,5,3,8,26,2,1,6,5,3,3,3,4,3,3,2,16,7,4,5,21,5,4,5,5,7,0,2,2,2,1,5,15,3,3,10,23,0,1,1,4,5,4,1,2,0,1,2,12,3,3,4,12,0,1,3,2,4,1,4,1,1,1,3,9,1,3,7,14,2,2,5,1,4,2,5,7,1,4,5,11,3,3,8,16,2,2,5,3,2,2,1,3,6,1,2,20,0,1,7,11,3,2,1,2,2,2,0,3,1,3,0,13,0,2,2,8,2,2,3,4,2,2,5,3,3,3,6,13,6,4,11,12,4,5,6,8,5,4,5,4,4,6,2,12,3,4,9,11,2,5,3,3,5,2,2,4,4,4,4,14,4,4,19,23,3,2,3,10,4,3,3,3,3,4,3,23,3,5,11,17,2,6,6,5,4,4,5,5,3,2,4,19,6,2,9,21,3,2,2,4,1,4,3,3,3,6,4,31,1,1,6,blackscholes_IndirectBP
185,40,70,43,58,43,59,67,95,41,114,27,87,68,75,37,13,1,4,3,1,3,2,12,6,3,4,2,8,10,2,2,9,1,0,2,1,0,0,25,8,3,41,0,14,14,0,0,15,2,2,3,4,3,2,22,9,5,4,1,6,6,4,1,14,0,0,0,1,2,2,11,5,3,31,1,20,4,1,4,18,2,0,0,0,0,3,24,5,5,2,0,7,4,1,1,10,0,0,0,1,1,1,18,8,4,29,1,19,8,1,0,15,2,2,2,1,3,1,12,8,5,8,2,7,10,3,2,16,0,0,1,1,0,0,13,12,7,40,2,29,8,1,1,15,2,0,2,1,2,0,11,6,2,10,0,9,6,1,0,11,2,1,1,2,2,1,17,16,1,36,3,30,12,1,1,10,2,0,1,1,0,0,9,5,0,5,0,10,6,1,2,19,2,0,3,2,1,0,14,14,1,41,0,22,11,3,2,19,0,4,1,2,1,1,16,2,2,12,1,12,7,3,3,21,1,2,3,1,1,2,17,14,2,39,2,21,9,5,5,13,0,0,0,3,1,0,19,9,1,8,0,8,7,0,0,blackscholes_IndirectBP
