Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,152
"Nu: 0.0001, Gamma: 0.0001",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.0001, Gamma: 0.1",2,0,6,7,60,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,0,2,11,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.1",2,0,6,7,60,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,0,2,11,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,2,1,12,80,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.05",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.0003, Gamma: 0.1",2,0,6,7,60,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,0,2,11,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.5",0,2,1,12,80,0,40,,,
"Nu: 0.0003, Gamma: 0.7",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2,0,9,4,40,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,0,9,4,40,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.0004, Gamma: 0.05",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.0004, Gamma: 0.1",2,0,6,7,60,0,40,,,
"Nu: 0.0004, Gamma: 0.2",0,2,1,12,80,0,40,,,
"Nu: 0.0004, Gamma: 0.5",0,2,1,12,80,0,40,,,
"Nu: 0.0004, Gamma: 0.7",2,0,9,4,40,0,40,,,
"Nu: 0.0004, Gamma: 0.9",0,2,1,12,80,0,40,,,
"Nu: 0.0004, Gamma: 0.99",0,2,1,12,80,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,2,0,13,86.66666667,0,40,,,
