From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
243.0,194.0,34.0,34.0,31.0,50.0,25.0,21.0,25.0,25.0,27.0,15.0,18.0,33.0,32.0,44.0,14.0,76.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,12.0,104.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,12.0,111.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,110.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,23.0,108.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,9.0,101.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,7.0,86.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,8.0,98.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,75.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,10.0,79.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,10.0,58.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,9.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,14.0,85.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,12.0,95.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,17.0,97.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,blackscholes
1497.0,505.0,359.0,281.0,272.0,294.0,219.0,196.0,359.0,168.0,270.0,309.0,253.0,185.0,325.0,423.0,261.0,124.0,76.0,72.0,57.0,64.0,70.0,54.0,83.0,4.0,53.0,83.0,72.0,7.0,101.0,105.0,707.0,185.0,61.0,49.0,58.0,448.0,53.0,57.0,115.0,5.0,61.0,85.0,589.0,2.0,72.0,110.0,187.0,158.0,73.0,48.0,66.0,82.0,147.0,75.0,99.0,2.0,73.0,106.0,76.0,5.0,83.0,85.0,207.0,169.0,92.0,56.0,51.0,73.0,64.0,176.0,117.0,2.0,90.0,135.0,112.0,3.0,78.0,109.0,212.0,191.0,85.0,53.0,69.0,57.0,136.0,82.0,111.0,3.0,69.0,118.0,81.0,2.0,102.0,147.0,147.0,138.0,58.0,118.0,41.0,121.0,41.0,68.0,92.0,0.0,72.0,76.0,61.0,0.0,58.0,78.0,149.0,132.0,66.0,41.0,126.0,56.0,37.0,66.0,99.0,0.0,56.0,92.0,169.0,1.0,55.0,90.0,195.0,139.0,76.0,39.0,48.0,40.0,47.0,52.0,86.0,2.0,83.0,112.0,94.0,1.0,78.0,84.0,137.0,100.0,70.0,32.0,33.0,43.0,42.0,55.0,81.0,0.0,46.0,88.0,73.0,1.0,65.0,75.0,158.0,109.0,83.0,44.0,48.0,57.0,45.0,58.0,104.0,1.0,62.0,92.0,95.0,3.0,70.0,92.0,186.0,85.0,107.0,64.0,58.0,71.0,58.0,68.0,126.0,3.0,62.0,95.0,87.0,3.0,87.0,91.0,145.0,117.0,96.0,51.0,40.0,61.0,55.0,164.0,115.0,1.0,71.0,115.0,83.0,4.0,84.0,88.0,187.0,114.0,75.0,64.0,53.0,59.0,56.0,77.0,93.0,1.0,69.0,93.0,73.0,0.0,86.0,81.0,193.0,132.0,101.0,109.0,51.0,78.0,55.0,59.0,136.0,7.0,75.0,107.0,69.0,7.0,62.0,181.0,295.0,154.0,104.0,65.0,76.0,70.0,68.0,79.0,129.0,4.0,80.0,139.0,84.0,5.0,186.0,102.0,blackscholes
2784.0,644.0,334.0,517.0,646.0,483.0,455.0,374.0,294.0,160.0,499.0,315.0,404.0,370.0,736.0,733.0,346.0,153.0,110.0,158.0,197.0,178.0,189.0,142.0,94.0,8.0,187.0,73.0,158.0,85.0,176.0,236.0,581.0,248.0,54.0,186.0,213.0,347.0,473.0,149.0,176.0,14.0,225.0,67.0,381.0,94.0,184.0,209.0,342.0,196.0,65.0,227.0,349.0,167.0,303.0,221.0,64.0,6.0,344.0,62.0,159.0,101.0,254.0,282.0,404.0,249.0,65.0,360.0,230.0,179.0,259.0,228.0,79.0,4.0,353.0,85.0,160.0,127.0,299.0,245.0,318.0,233.0,70.0,195.0,245.0,139.0,282.0,177.0,79.0,4.0,237.0,72.0,178.0,105.0,240.0,242.0,274.0,172.0,58.0,273.0,247.0,168.0,139.0,150.0,63.0,6.0,215.0,69.0,125.0,149.0,186.0,216.0,275.0,175.0,51.0,217.0,300.0,162.0,194.0,187.0,53.0,4.0,241.0,54.0,174.0,82.0,210.0,242.0,257.0,188.0,69.0,146.0,173.0,105.0,172.0,124.0,56.0,11.0,193.0,158.0,113.0,101.0,186.0,185.0,261.0,129.0,61.0,158.0,173.0,133.0,159.0,108.0,61.0,1.0,229.0,58.0,125.0,73.0,149.0,155.0,318.0,158.0,81.0,319.0,397.0,192.0,248.0,177.0,79.0,15.0,222.0,77.0,147.0,109.0,268.0,255.0,667.0,111.0,335.0,159.0,197.0,150.0,237.0,132.0,391.0,7.0,195.0,312.0,146.0,75.0,242.0,256.0,387.0,187.0,57.0,189.0,234.0,162.0,193.0,180.0,64.0,4.0,226.0,62.0,166.0,109.0,207.0,226.0,372.0,132.0,64.0,164.0,213.0,180.0,268.0,150.0,60.0,8.0,220.0,66.0,171.0,87.0,258.0,198.0,511.0,252.0,60.0,284.0,291.0,235.0,272.0,211.0,96.0,7.0,278.0,73.0,205.0,179.0,225.0,370.0,563.0,285.0,90.0,270.0,312.0,243.0,273.0,278.0,108.0,5.0,261.0,87.0,245.0,137.0,415.0,264.0,blackscholes
672.0,248.0,446.0,257.0,324.0,221.0,408.0,208.0,475.0,198.0,435.0,473.0,1413.0,344.0,382.0,290.0,235.0,24.0,138.0,32.0,49.0,30.0,146.0,61.0,137.0,8.0,156.0,141.0,574.0,128.0,66.0,39.0,231.0,30.0,120.0,26.0,40.0,28.0,477.0,31.0,218.0,11.0,136.0,179.0,703.0,121.0,34.0,30.0,229.0,25.0,174.0,26.0,37.0,27.0,144.0,34.0,165.0,8.0,147.0,188.0,717.0,117.0,28.0,24.0,255.0,46.0,139.0,29.0,43.0,29.0,150.0,50.0,191.0,10.0,175.0,200.0,771.0,102.0,31.0,50.0,232.0,18.0,155.0,33.0,39.0,29.0,148.0,42.0,189.0,11.0,135.0,204.0,741.0,124.0,40.0,43.0,227.0,17.0,112.0,20.0,29.0,21.0,115.0,32.0,156.0,8.0,117.0,157.0,596.0,145.0,29.0,29.0,184.0,19.0,144.0,24.0,36.0,25.0,142.0,27.0,161.0,7.0,158.0,162.0,664.0,99.0,38.0,36.0,206.0,27.0,128.0,37.0,45.0,22.0,146.0,33.0,149.0,12.0,149.0,186.0,635.0,112.0,43.0,42.0,190.0,22.0,151.0,27.0,33.0,22.0,138.0,33.0,132.0,3.0,133.0,174.0,530.0,120.0,25.0,31.0,193.0,21.0,140.0,28.0,53.0,27.0,156.0,30.0,171.0,7.0,161.0,173.0,697.0,119.0,46.0,42.0,741.0,17.0,483.0,33.0,40.0,14.0,141.0,20.0,659.0,14.0,155.0,493.0,708.0,88.0,54.0,30.0,286.0,46.0,194.0,28.0,45.0,38.0,175.0,57.0,223.0,18.0,386.0,210.0,659.0,134.0,69.0,66.0,197.0,20.0,152.0,23.0,38.0,24.0,266.0,26.0,176.0,10.0,130.0,194.0,676.0,122.0,36.0,33.0,271.0,74.0,145.0,21.0,23.0,20.0,151.0,40.0,220.0,10.0,190.0,198.0,741.0,116.0,26.0,69.0,273.0,54.0,178.0,31.0,43.0,29.0,172.0,48.0,211.0,7.0,203.0,228.0,957.0,122.0,53.0,62.0,blackscholes
226.0,108.0,45.0,87.0,65.0,81.0,87.0,49.0,68.0,65.0,47.0,40.0,839.0,79.0,116.0,76.0,64.0,22.0,20.0,7.0,14.0,19.0,32.0,17.0,15.0,3.0,22.0,19.0,514.0,19.0,13.0,11.0,42.0,24.0,11.0,8.0,8.0,5.0,32.0,7.0,11.0,3.0,15.0,11.0,606.0,15.0,4.0,5.0,61.0,30.0,12.0,4.0,7.0,5.0,31.0,7.0,14.0,4.0,16.0,14.0,708.0,12.0,9.0,9.0,64.0,24.0,11.0,3.0,6.0,9.0,41.0,3.0,13.0,4.0,16.0,17.0,644.0,17.0,4.0,6.0,68.0,25.0,13.0,5.0,2.0,10.0,35.0,7.0,19.0,2.0,17.0,15.0,714.0,14.0,6.0,8.0,37.0,22.0,10.0,3.0,6.0,3.0,26.0,7.0,18.0,4.0,17.0,16.0,603.0,15.0,3.0,4.0,42.0,22.0,11.0,4.0,3.0,4.0,31.0,4.0,13.0,3.0,18.0,13.0,610.0,15.0,4.0,2.0,56.0,25.0,16.0,4.0,5.0,2.0,27.0,4.0,17.0,7.0,19.0,15.0,548.0,18.0,12.0,8.0,59.0,17.0,16.0,4.0,4.0,2.0,24.0,2.0,20.0,2.0,21.0,17.0,788.0,20.0,3.0,3.0,72.0,19.0,17.0,4.0,6.0,9.0,25.0,5.0,13.0,3.0,18.0,19.0,688.0,20.0,25.0,10.0,27.0,12.0,8.0,0.0,5.0,4.0,16.0,2.0,9.0,2.0,11.0,11.0,680.0,13.0,9.0,6.0,54.0,20.0,11.0,2.0,4.0,4.0,36.0,3.0,16.0,2.0,15.0,16.0,687.0,15.0,8.0,5.0,55.0,17.0,11.0,3.0,4.0,4.0,26.0,5.0,18.0,4.0,15.0,14.0,662.0,15.0,5.0,7.0,96.0,17.0,14.0,5.0,5.0,6.0,59.0,5.0,15.0,5.0,16.0,14.0,589.0,14.0,4.0,8.0,82.0,16.0,15.0,10.0,6.0,5.0,44.0,6.0,11.0,5.0,19.0,10.0,646.0,13.0,11.0,7.0,blackscholes
1397.0,1196.0,1161.0,1164.0,1246.0,1164.0,1056.0,1159.0,1104.0,973.0,1299.0,1091.0,1123.0,5186.0,1347.0,1572.0,114.0,107.0,70.0,80.0,148.0,71.0,70.0,70.0,75.0,34.0,201.0,71.0,79.0,4069.0,276.0,237.0,94.0,108.0,59.0,104.0,124.0,75.0,70.0,58.0,69.0,23.0,171.0,61.0,72.0,3491.0,194.0,210.0,124.0,92.0,67.0,77.0,126.0,81.0,115.0,74.0,73.0,21.0,198.0,74.0,86.0,3045.0,221.0,231.0,136.0,129.0,94.0,84.0,131.0,92.0,86.0,127.0,89.0,22.0,239.0,91.0,112.0,2896.0,279.0,290.0,152.0,96.0,89.0,88.0,152.0,89.0,90.0,89.0,96.0,26.0,197.0,122.0,100.0,3159.0,241.0,266.0,88.0,89.0,63.0,71.0,106.0,104.0,67.0,63.0,70.0,20.0,169.0,66.0,74.0,2834.0,205.0,194.0,93.0,86.0,61.0,70.0,114.0,74.0,74.0,59.0,64.0,18.0,190.0,66.0,127.0,2929.0,178.0,186.0,105.0,98.0,80.0,78.0,135.0,79.0,78.0,79.0,73.0,22.0,230.0,80.0,102.0,2749.0,198.0,193.0,99.0,86.0,75.0,72.0,116.0,73.0,73.0,74.0,73.0,24.0,202.0,76.0,92.0,2743.0,209.0,219.0,106.0,96.0,79.0,76.0,192.0,93.0,78.0,85.0,71.0,23.0,243.0,79.0,107.0,3690.0,270.0,215.0,98.0,75.0,72.0,66.0,163.0,79.0,67.0,66.0,65.0,12.0,182.0,69.0,86.0,3041.0,181.0,195.0,108.0,77.0,75.0,77.0,140.0,80.0,83.0,74.0,118.0,19.0,192.0,84.0,94.0,3131.0,221.0,221.0,302.0,168.0,219.0,185.0,260.0,193.0,186.0,194.0,180.0,57.0,290.0,188.0,222.0,3036.0,448.0,462.0,139.0,84.0,74.0,73.0,158.0,88.0,72.0,69.0,71.0,26.0,169.0,67.0,85.0,3001.0,226.0,574.0,333.0,106.0,93.0,99.0,185.0,97.0,103.0,86.0,97.0,32.0,228.0,96.0,102.0,3330.0,495.0,286.0,blackscholes
139.0,80.0,40.0,74.0,103.0,63.0,36.0,52.0,49.0,40.0,48.0,65.0,41.0,99.0,103.0,63.0,43.0,6.0,11.0,12.0,33.0,9.0,10.0,14.0,16.0,9.0,16.0,16.0,12.0,28.0,10.0,9.0,22.0,2.0,4.0,11.0,19.0,5.0,5.0,11.0,10.0,7.0,16.0,14.0,6.0,26.0,9.0,7.0,31.0,4.0,9.0,12.0,31.0,17.0,10.0,20.0,12.0,7.0,17.0,23.0,9.0,28.0,9.0,9.0,42.0,6.0,9.0,13.0,32.0,11.0,11.0,14.0,14.0,7.0,18.0,44.0,9.0,50.0,24.0,16.0,34.0,10.0,10.0,12.0,28.0,12.0,11.0,19.0,13.0,10.0,20.0,21.0,9.0,30.0,18.0,14.0,17.0,9.0,8.0,11.0,20.0,8.0,10.0,15.0,13.0,11.0,13.0,21.0,9.0,22.0,10.0,12.0,24.0,1.0,7.0,7.0,17.0,8.0,10.0,15.0,21.0,10.0,18.0,18.0,9.0,27.0,12.0,9.0,28.0,2.0,12.0,11.0,24.0,13.0,12.0,18.0,17.0,12.0,19.0,22.0,15.0,34.0,17.0,10.0,26.0,3.0,12.0,8.0,20.0,10.0,11.0,16.0,15.0,5.0,19.0,24.0,14.0,33.0,15.0,13.0,16.0,4.0,7.0,7.0,21.0,9.0,9.0,14.0,9.0,8.0,13.0,22.0,13.0,26.0,18.0,10.0,20.0,3.0,4.0,6.0,20.0,10.0,5.0,7.0,6.0,7.0,11.0,13.0,16.0,36.0,25.0,12.0,29.0,6.0,8.0,9.0,28.0,9.0,10.0,14.0,12.0,7.0,13.0,33.0,10.0,47.0,14.0,11.0,44.0,11.0,12.0,15.0,67.0,13.0,15.0,19.0,17.0,13.0,18.0,23.0,16.0,25.0,22.0,26.0,57.0,6.0,9.0,12.0,48.0,13.0,13.0,14.0,16.0,10.0,17.0,42.0,13.0,57.0,17.0,17.0,34.0,2.0,13.0,17.0,37.0,13.0,14.0,16.0,18.0,12.0,16.0,29.0,13.0,47.0,21.0,9.0,blackscholes
88.0,39.0,17.0,49.0,35.0,43.0,19.0,22.0,29.0,20.0,10.0,16.0,33.0,38.0,30.0,49.0,18.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,3.0,10.0,1.0,4.0,5.0,12.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,9.0,5.0,3.0,8.0,26.0,2.0,1.0,6.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,16.0,7.0,4.0,5.0,21.0,5.0,4.0,5.0,5.0,7.0,0.0,2.0,2.0,2.0,1.0,5.0,15.0,3.0,3.0,10.0,23.0,0.0,1.0,1.0,4.0,5.0,4.0,1.0,2.0,0.0,1.0,2.0,12.0,3.0,3.0,4.0,12.0,0.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,3.0,9.0,1.0,3.0,7.0,14.0,2.0,2.0,5.0,1.0,4.0,2.0,5.0,7.0,1.0,4.0,5.0,11.0,3.0,3.0,8.0,16.0,2.0,2.0,5.0,3.0,2.0,2.0,1.0,3.0,6.0,1.0,2.0,20.0,0.0,1.0,7.0,11.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0,0.0,13.0,0.0,2.0,2.0,8.0,2.0,2.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,6.0,13.0,6.0,4.0,11.0,12.0,4.0,5.0,6.0,8.0,5.0,4.0,5.0,4.0,4.0,6.0,2.0,12.0,3.0,4.0,9.0,11.0,2.0,5.0,3.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,14.0,4.0,4.0,19.0,23.0,3.0,2.0,3.0,10.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,23.0,3.0,5.0,11.0,17.0,2.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,19.0,6.0,2.0,9.0,21.0,3.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,6.0,4.0,31.0,1.0,1.0,6.0,blackscholes
185.0,40.0,70.0,43.0,58.0,43.0,59.0,67.0,95.0,41.0,114.0,27.0,87.0,68.0,75.0,37.0,13.0,1.0,4.0,3.0,1.0,3.0,2.0,12.0,6.0,3.0,4.0,2.0,8.0,10.0,2.0,2.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,25.0,8.0,3.0,41.0,0.0,14.0,14.0,0.0,0.0,15.0,2.0,2.0,3.0,4.0,3.0,2.0,22.0,9.0,5.0,4.0,1.0,6.0,6.0,4.0,1.0,14.0,0.0,0.0,0.0,1.0,2.0,2.0,11.0,5.0,3.0,31.0,1.0,20.0,4.0,1.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,3.0,24.0,5.0,5.0,2.0,0.0,7.0,4.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,8.0,4.0,29.0,1.0,19.0,8.0,1.0,0.0,15.0,2.0,2.0,2.0,1.0,3.0,1.0,12.0,8.0,5.0,8.0,2.0,7.0,10.0,3.0,2.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,12.0,7.0,40.0,2.0,29.0,8.0,1.0,1.0,15.0,2.0,0.0,2.0,1.0,2.0,0.0,11.0,6.0,2.0,10.0,0.0,9.0,6.0,1.0,0.0,11.0,2.0,1.0,1.0,2.0,2.0,1.0,17.0,16.0,1.0,36.0,3.0,30.0,12.0,1.0,1.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,0.0,5.0,0.0,10.0,6.0,1.0,2.0,19.0,2.0,0.0,3.0,2.0,1.0,0.0,14.0,14.0,1.0,41.0,0.0,22.0,11.0,3.0,2.0,19.0,0.0,4.0,1.0,2.0,1.0,1.0,16.0,2.0,2.0,12.0,1.0,12.0,7.0,3.0,3.0,21.0,1.0,2.0,3.0,1.0,1.0,2.0,17.0,14.0,2.0,39.0,2.0,21.0,9.0,5.0,5.0,13.0,0.0,0.0,0.0,3.0,1.0,0.0,19.0,9.0,1.0,8.0,0.0,8.0,7.0,0.0,0.0,blackscholes
