From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bodytrack_IndirectBP
3570,3582,3551,3523,64,3596,3696,71,3604,3729,3647,3568,3412,3528,3742,3515,3529,3584,3643,3574,5,3780,3875,12,3836,3864,3786,3696,3458,3669,3731,3506,3390,3433,3468,3303,11,3538,3452,3,3360,3582,3380,3311,3324,3406,3420,3297,3517,3616,3682,3458,4,3731,3561,3,3665,3702,3604,3652,3762,3542,3638,3508,3353,3403,3469,3289,6,3541,3701,6,3631,3619,3588,3396,3547,3387,3325,3363,3556,3696,3806,3502,3,3698,3884,4,3622,3815,3704,3713,3612,3663,3623,3497,3302,3313,3322,3302,1,3376,3457,3,3148,3383,3392,3291,3279,3254,3233,3168,3443,3526,3573,3416,3,3619,3650,4,3295,3642,3696,3460,3438,3420,3525,3453,3409,3326,3542,3361,5,3581,3516,3,3329,3270,3510,3439,3274,3577,3508,3394,3664,3573,3650,3552,3,3754,3695,3,3362,3597,3693,3576,3389,3661,3537,3555,3191,3223,3370,3433,0,3426,3281,1,3187,3516,3343,3362,3281,3359,3207,3339,3247,3363,3345,3079,1,3321,3513,2,3296,3391,3484,3195,3211,3378,3495,3349,3535,3457,3548,3559,7,3667,3577,3,3454,3697,3608,3543,3383,3519,3341,3490,3201,3185,3267,3233,8,3419,3286,5,3224,3435,3257,3409,3172,3157,3248,3191,3306,3314,3261,3258,5,3521,3237,6,3255,3390,3239,3276,3071,3240,3193,3137,3395,3397,3323,3413,24,3577,3386,4,3409,3530,3475,3378,3276,3299,3455,3434,bodytrack_IndirectBP
3407,3611,3547,3600,67,3501,3555,67,3682,3702,3536,3524,3248,3455,3747,3423,3346,3663,3720,3617,4,3599,3671,9,3887,3852,3726,3756,3343,3704,3791,3441,3203,3425,3543,3211,10,3405,3304,1,3483,3587,3319,3290,3216,3472,3403,3212,3359,3609,3629,3446,2,3562,3474,1,3764,3798,3457,3620,3563,3609,3719,3318,3237,3579,3473,3237,4,3322,3556,6,3666,3677,3441,3474,3466,3485,3333,3300,3487,3717,3760,3555,4,3564,3679,3,3626,3853,3640,3655,3389,3687,3628,3407,3152,3272,3416,3311,0,3233,3198,1,3246,3390,3378,3338,3207,3343,3360,3144,3406,3490,3600,3484,5,3391,3532,4,3200,3597,3573,3563,3219,3535,3587,3265,3181,3542,3486,3366,2,3331,3446,2,3367,3372,3490,3476,3050,3665,3593,3248,3461,3683,3657,3504,2,3558,3530,2,3450,3660,3685,3609,3249,3622,3649,3332,3040,3229,3322,3514,0,3256,3162,0,3301,3496,3302,3410,3051,3470,3251,3179,3027,3296,3460,3160,1,3253,3299,1,3383,3502,3372,3196,2892,3529,3558,3206,3369,3486,3619,3495,11,3455,3456,2,3513,3606,3578,3601,3141,3702,3425,3339,3035,3212,3272,3159,3,3238,3200,2,3250,3431,3234,3295,2970,3270,3271,3020,3170,3276,3203,3248,5,3335,3086,6,3263,3305,3186,3334,2954,3227,3177,3023,3304,3388,3214,3348,28,3320,3282,5,3446,3466,3410,3368,3135,3344,3533,3278,bodytrack_IndirectBP
1746,1441,1215,1706,105,1375,1408,116,1293,1691,2255,1295,1302,1371,1583,1368,1090,1069,1072,1409,30,1097,1169,12,1240,1438,2005,1083,969,1083,1173,987,1003,1110,1009,1325,14,1050,1080,3,1048,1305,1882,960,926,973,1066,933,1130,1201,1142,1263,82,1185,1229,19,1189,1538,2093,1096,1133,1146,1192,1070,1068,1214,1045,1273,5,1054,1164,4,1188,1352,2077,1030,1001,1052,1083,1026,1133,1238,1106,1460,14,1176,1218,6,1186,1468,2040,1058,1059,1122,1164,1074,990,1105,973,1397,13,1028,1024,4,987,1327,1960,957,929,983,1028,922,1017,1084,1076,1240,6,1036,1104,3,1026,1297,1981,1005,958,1011,1082,948,1067,1139,1078,1340,20,1047,1066,5,1027,1369,1993,1018,939,1061,1156,1005,1030,1134,1024,1421,34,1094,1109,10,1044,1299,2016,1010,959,1152,1092,992,1002,1061,1039,1447,34,1180,1110,10,1107,1430,2017,1099,1024,1092,1115,977,1010,1074,992,1309,12,1102,1066,13,1022,1285,1975,994,940,1014,1143,1022,1119,1113,1054,1406,13,1182,1138,7,1062,1361,1976,1046,957,1106,1131,1022,1086,1103,998,1309,13,1037,1019,7,1071,1271,1907,983,923,950,1048,965,1049,1105,967,1324,16,1078,972,17,1037,1260,1881,984,934,1014,1006,974,1117,1095,1063,1356,18,1082,1052,9,1112,1389,1945,1010,979,1004,1156,1015,bodytrack_IndirectBP
3571,3663,3596,3562,54,3657,3705,102,3688,3719,3706,3532,3337,3500,3649,3521,3460,3619,3784,3572,6,3848,3762,14,3919,3779,3793,3797,3349,3697,3762,3477,3451,3508,3582,3165,10,3550,3533,10,3411,3523,3378,3335,3348,3482,3393,3232,3540,3702,3790,3466,6,3691,3673,12,3718,3622,3603,3685,3766,3523,3736,3570,3460,3445,3604,3099,4,3498,3671,13,3632,3668,3463,3436,3448,3379,3428,3328,3590,3738,3870,3572,5,3779,3856,11,3722,3914,3784,3751,3564,3707,3599,3529,3228,3348,3409,3273,1,3427,3426,10,3174,3444,3416,3282,3321,3338,3342,3200,3517,3552,3661,3517,5,3605,3612,4,3405,3609,3666,3525,3395,3549,3539,3467,3366,3462,3558,3365,3,3509,3552,7,3374,3490,3655,3351,3174,3592,3364,3341,3620,3616,3812,3471,1,3741,3634,5,3539,3693,3702,3679,3328,3706,3587,3524,3233,3288,3477,3490,0,3509,3280,6,3356,3402,3518,3335,3342,3397,3285,3256,3242,3383,3412,3263,1,3601,3358,3,3359,3458,3628,3386,3235,3308,3477,3364,3460,3506,3731,3489,5,3642,3562,30,3556,3546,3630,3598,3218,3597,3452,3402,3260,3364,3308,3219,5,3357,3334,6,3316,3441,3248,3301,3163,3207,3263,3193,3304,3375,3321,3325,6,3516,3327,37,3236,3375,3245,3297,3007,3210,3121,3215,3421,3436,3380,3372,24,3496,3390,40,3460,3508,3476,3447,3158,3285,3467,3370,bodytrack_IndirectBP
3367,3628,3313,3361,85,3712,3669,70,3719,3547,3409,3570,3250,3462,3688,3285,3264,3682,3576,3385,4,3854,3882,7,3908,3553,3546,3803,3257,3561,3736,3375,3162,3425,3379,3074,6,3510,3469,0,3524,3333,3174,3339,3156,3400,3440,3227,3309,3691,3475,3302,3,3836,3760,1,3701,3367,3399,3695,3505,3555,3738,3351,3089,3573,3352,2958,7,3488,3701,5,3585,3345,3218,3403,3443,3500,3497,3146,3379,3713,3557,3347,2,3807,3926,3,3678,3668,3590,3705,3392,3659,3642,3401,3071,3416,3201,3080,1,3400,3477,1,3176,3215,3216,3413,3172,3359,3360,3005,3227,3492,3484,3299,7,3636,3663,2,3300,3413,3516,3458,3237,3456,3524,3302,3155,3476,3439,3241,3,3567,3688,2,3382,3323,3516,3300,2986,3594,3395,3148,3389,3644,3552,3246,3,3702,3676,1,3352,3458,3492,3514,3208,3638,3576,3385,3034,3215,3275,3187,1,3617,3291,0,3352,3293,3207,3186,3104,3344,3364,3035,2991,3390,3223,3115,2,3534,3451,1,3238,3192,3247,3292,3052,3228,3370,3126,3251,3515,3517,3326,9,3670,3493,2,3560,3280,3394,3596,3217,3546,3394,3302,3056,3268,3090,3088,5,3377,3276,1,3366,3243,3150,3262,2921,3191,3344,3006,3084,3391,3090,3088,4,3575,3311,2,3301,3124,3018,3287,2890,3247,3252,2964,3152,3402,3173,3080,26,3511,3443,6,3414,3272,3285,3283,3158,3317,3443,3245,bodytrack_IndirectBP
1959,1468,1364,1532,121,1691,1654,145,1446,1637,2390,1376,1421,1437,1573,1519,1253,1129,1187,1148,16,1405,1475,11,1211,1321,2215,1238,1126,1171,1199,1090,1153,1049,1065,1083,16,1358,1393,5,1091,1254,2033,1124,1124,1051,1050,1098,1283,1134,1200,1082,36,1444,1501,8,1173,1316,2085,1263,1246,1089,1191,1156,1194,1073,1112,1102,7,1349,1435,4,1181,1251,2156,1125,1139,1142,1106,1085,1335,1150,1212,1230,50,1453,1506,11,1225,1471,2280,1289,1215,1154,1245,1208,1145,1066,1076,1123,27,1368,1333,8,1049,1274,2153,1128,1104,1086,1065,1061,1165,1059,1108,1124,6,1290,1360,4,1042,1190,2137,1153,1084,1044,1126,1064,1184,1062,1144,1191,20,1309,1446,5,1088,1209,2174,1141,1062,1093,1143,1105,1260,1092,1184,1245,53,1438,1367,10,1111,1239,2130,1218,1119,1212,1131,1137,1176,1105,1189,1235,33,1398,1414,10,1126,1397,2054,1216,1185,1113,1136,1166,1164,1048,1151,1153,14,1370,1383,13,1090,1272,2160,1147,1099,1141,1156,1180,1215,1066,1187,1211,14,1414,1442,6,1135,1263,2155,1244,1081,1144,1140,1125,1207,1053,1086,1110,15,1300,1330,7,1093,1243,2067,1110,1086,1005,1060,1027,1216,1059,1070,1159,15,1358,1294,17,1047,1220,1986,1105,1049,1055,1055,1035,1296,1097,1160,1153,23,1299,1359,6,1132,1288,2068,1165,1120,1050,1133,1098,bodytrack_IndirectBP
3525,3643,3451,3630,67,3661,3683,63,3791,3785,3625,3553,3430,3556,3671,3463,3588,3642,3790,3585,5,3800,3814,8,3895,3911,3825,3785,3400,3605,3811,3376,3507,3461,3476,3271,3,3623,3472,1,3490,3508,3371,3412,3244,3375,3478,3310,3536,3623,3593,3384,6,3758,3753,4,3692,3672,3625,3636,3661,3540,3645,3569,3235,3440,3413,3109,6,3524,3641,5,3663,3477,3587,3295,3424,3432,3397,3342,3634,3606,3711,3499,3,3734,3869,4,3674,3774,3766,3750,3513,3626,3660,3410,3272,3344,3303,3314,1,3449,3384,0,3234,3379,3418,3428,3200,3358,3343,3129,3465,3465,3533,3459,2,3613,3602,4,3393,3510,3714,3443,3297,3513,3495,3413,3425,3285,3340,3377,2,3414,3596,2,3392,3485,3626,3408,3203,3491,3547,3283,3591,3521,3618,3400,3,3644,3543,2,3390,3693,3691,3624,3293,3655,3542,3355,3336,3225,3445,3420,0,3470,3361,0,3239,3499,3355,3392,3269,3304,3341,3341,3254,3220,3332,3341,1,3528,3396,1,3268,3567,3418,3299,3168,3422,3435,3405,3511,3380,3649,3478,12,3680,3558,3,3585,3573,3605,3537,3235,3534,3386,3461,3259,3228,3254,3209,7,3334,3295,4,3225,3487,3322,3186,3017,3224,3279,3098,3254,3330,3165,3185,4,3493,3207,5,3273,3410,3169,3289,2983,3216,3155,3122,3370,3427,3355,3288,29,3498,3399,4,3499,3453,3456,3397,3222,3323,3459,3364,bodytrack_IndirectBP
3665,3588,3219,3233,99,3675,3371,63,3541,3364,3334,3353,3160,3414,3608,3217,3586,3691,3563,3234,2,3866,3535,9,3711,3548,3487,3475,3135,3548,3619,3284,3447,3417,3384,2959,5,3593,3184,0,3316,3127,3072,3130,2962,3293,3352,3102,3475,3592,3434,3198,4,3756,3330,0,3596,3394,3276,3453,3341,3499,3562,3299,3317,3412,3481,2772,5,3634,3467,4,3418,3291,3173,3176,3267,3430,3284,3180,3642,3623,3609,3258,2,3741,3491,2,3479,3430,3368,3498,3284,3509,3553,3212,3244,3349,3244,3078,0,3390,3157,1,2986,3103,3155,3135,3059,3269,3238,2985,3517,3373,3408,3205,4,3627,3301,4,3220,3175,3365,3301,3119,3315,3375,3099,3457,3283,3231,3071,2,3547,3252,0,3130,3150,3280,3326,3010,3498,3488,3121,3587,3541,3486,3194,2,3690,3330,2,3259,3373,3433,3468,3076,3604,3414,3203,3347,3196,3180,3123,0,3458,3011,0,3104,3136,3099,3084,3008,3235,3173,3030,3098,3242,3120,3079,1,3437,3069,1,3055,3204,3067,3002,2900,3297,3191,3102,3468,3423,3450,3316,5,3692,3239,2,3366,3291,3234,3380,3018,3477,3306,3252,3251,3264,3115,2981,3,3473,3087,1,3070,3205,2986,3104,2849,3218,3153,2870,3294,3275,3050,3030,3,3466,2966,4,3140,3078,2992,3057,2744,3171,3048,2895,3441,3382,3095,2991,29,3527,3078,7,3284,3124,3143,3182,2901,3173,3357,3123,bodytrack_IndirectBP
935,626,524,606,514,695,588,497,548,604,4251,537,572,585,676,663,221,21,23,26,9,95,31,6,20,25,2138,26,26,22,28,30,188,18,19,30,4,104,35,2,18,26,2235,16,24,18,38,37,239,27,38,35,10,109,44,6,39,22,2244,34,33,29,33,49,204,45,40,40,7,87,72,6,42,46,2500,37,42,37,42,65,270,50,53,60,27,125,59,7,63,70,2336,45,56,54,50,63,191,26,28,24,8,112,31,5,23,38,2278,21,39,27,46,61,165,22,17,20,7,68,29,4,18,24,2179,17,21,17,25,35,192,26,31,46,8,90,35,3,23,41,2123,33,32,28,33,44,202,25,30,31,10,117,48,4,24,26,2095,27,40,31,32,40,154,35,43,48,7,94,49,1,35,45,2166,34,42,39,43,51,166,23,38,36,5,78,30,5,20,24,2142,22,28,24,29,39,192,27,28,39,6,94,53,5,27,37,2332,23,32,27,35,56,209,36,34,39,7,96,39,4,26,36,2357,28,37,26,37,42,257,29,34,40,10,94,63,10,28,24,2174,29,35,30,34,69,233,30,30,51,8,93,56,5,35,46,2248,38,40,38,41,62,bodytrack_IndirectBP
