Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.005",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.05",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.0625",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.1",1,3,25,13,33.33333333333333,0,40,
"Nu: 0.0001, Gamma: 0.2",2,2,5,33,83.33333333333334,0,40,
"Nu: 0.0001, Gamma: 0.5",2,2,0,38,95.23809523809523,0,40,
"Nu: 0.0001, Gamma: 0.7",2,2,0,38,95.23809523809523,0,40,
"Nu: 0.0001, Gamma: 0.9",2,2,0,38,95.23809523809523,0,40,
"Nu: 0.0001, Gamma: 0.99",2,2,0,38,95.23809523809523,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.005",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.05",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.0002, Gamma: 0.0625",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.0002, Gamma: 0.1",3,1,25,13,38.095238095238095,0,40,
"Nu: 0.0002, Gamma: 0.2",2,2,5,33,83.33333333333334,0,40,
"Nu: 0.0002, Gamma: 0.5",3,1,14,24,64.28571428571429,0,40,
"Nu: 0.0002, Gamma: 0.7",3,1,11,27,71.42857142857143,0,40,
"Nu: 0.0002, Gamma: 0.9",3,1,0,38,97.61904761904762,0,40,
"Nu: 0.0002, Gamma: 0.99",3,1,0,38,97.61904761904762,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.005",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.05",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.0003, Gamma: 0.0625",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.0003, Gamma: 0.1",3,1,25,13,38.095238095238095,0,40,
"Nu: 0.0003, Gamma: 0.2",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.0003, Gamma: 0.5",3,1,14,24,64.28571428571429,0,40,
"Nu: 0.0003, Gamma: 0.7",3,1,2,36,92.85714285714286,0,40,
"Nu: 0.0003, Gamma: 0.9",3,1,0,38,97.61904761904762,0,40,
"Nu: 0.0003, Gamma: 0.99",3,1,0,38,97.61904761904762,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.005",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.05",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.0004, Gamma: 0.0625",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.0004, Gamma: 0.1",3,1,25,13,38.095238095238095,0,40,
"Nu: 0.0004, Gamma: 0.2",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.0004, Gamma: 0.5",3,1,9,29,76.19047619047619,0,40,
"Nu: 0.0004, Gamma: 0.7",3,1,2,36,92.85714285714286,0,40,
"Nu: 0.0004, Gamma: 0.9",3,1,0,38,97.61904761904762,0,40,
"Nu: 0.0004, Gamma: 0.99",3,1,0,38,97.61904761904762,0,40,
"Nu: 0.005, Gamma: 0.0001",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.005, Gamma: 0.0002",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.005, Gamma: 0.0003",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.005, Gamma: 0.0004",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.005, Gamma: 0.005",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.005, Gamma: 0.05",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.005, Gamma: 0.0625",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.005, Gamma: 0.1",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.005, Gamma: 0.2",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.005, Gamma: 0.5",3,1,12,26,69.04761904761905,0,40,
"Nu: 0.005, Gamma: 0.7",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.005, Gamma: 0.9",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.005, Gamma: 0.99",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.05, Gamma: 0.0001",2,2,15,23,59.523809523809526,0,40,
"Nu: 0.05, Gamma: 0.0002",3,1,29,9,28.57142857142857,0,40,
"Nu: 0.05, Gamma: 0.0003",3,1,29,9,28.57142857142857,0,40,
"Nu: 0.05, Gamma: 0.0004",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.05, Gamma: 0.005",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.05, Gamma: 0.05",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.05, Gamma: 0.0625",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.05, Gamma: 0.1",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.05, Gamma: 0.2",3,1,24,14,40.476190476190474,0,40,
