Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0001, Gamma: 0.005",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0001, Gamma: 0.05",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0001, Gamma: 0.0625",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0001, Gamma: 0.1",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0001, Gamma: 0.2",4,1,32,16,37.735849056603776,0,40,
"Nu: 0.0001, Gamma: 0.5",3,2,20,28,58.490566037735846,0,40,
"Nu: 0.0001, Gamma: 0.7",2,3,33,15,32.075471698113205,0,40,
"Nu: 0.0001, Gamma: 0.9",2,3,28,20,41.509433962264154,0,40,
"Nu: 0.0001, Gamma: 0.99",2,3,26,22,45.28301886792453,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0002, Gamma: 0.005",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0002, Gamma: 0.05",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0002, Gamma: 0.0625",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0002, Gamma: 0.1",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0002, Gamma: 0.2",4,1,32,16,37.735849056603776,0,40,
"Nu: 0.0002, Gamma: 0.5",2,3,37,11,24.528301886792452,0,40,
"Nu: 0.0002, Gamma: 0.7",2,3,33,15,32.075471698113205,0,40,
"Nu: 0.0002, Gamma: 0.9",2,3,28,20,41.509433962264154,0,40,
"Nu: 0.0002, Gamma: 0.99",2,3,13,35,69.81132075471697,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0003, Gamma: 0.005",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0003, Gamma: 0.05",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0003, Gamma: 0.0625",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0003, Gamma: 0.1",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0003, Gamma: 0.2",4,1,32,16,37.735849056603776,0,40,
"Nu: 0.0003, Gamma: 0.5",4,1,24,24,52.83018867924528,0,40,
"Nu: 0.0003, Gamma: 0.7",1,4,26,22,43.39622641509434,0,40,
"Nu: 0.0003, Gamma: 0.9",3,2,9,39,79.24528301886792,0,40,
"Nu: 0.0003, Gamma: 0.99",2,3,8,40,79.24528301886792,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.0004, Gamma: 0.005",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0004, Gamma: 0.05",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0004, Gamma: 0.0625",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0004, Gamma: 0.1",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.0004, Gamma: 0.2",4,1,32,16,37.735849056603776,0,40,
"Nu: 0.0004, Gamma: 0.5",4,1,24,24,52.83018867924528,0,40,
"Nu: 0.0004, Gamma: 0.7",1,4,26,22,43.39622641509434,0,40,
"Nu: 0.0004, Gamma: 0.9",1,4,13,35,67.9245283018868,0,40,
"Nu: 0.0004, Gamma: 0.99",3,2,8,40,81.13207547169812,0,40,
"Nu: 0.005, Gamma: 0.0001",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.005, Gamma: 0.0002",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.005, Gamma: 0.0003",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.005, Gamma: 0.0004",4,1,41,7,20.754716981132077,0,40,
"Nu: 0.005, Gamma: 0.005",5,0,47,1,11.320754716981133,0,40,
