Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.07142857,174
"Nu: 0.0001, Gamma: 0.0001",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0001, Gamma: 0.05",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0001, Gamma: 0.1",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0001, Gamma: 0.2",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,5,18,31,58.18181818,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,4,6,43,81.81818182,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,4,8,41,78.18181818,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0002, Gamma: 0.05",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0002, Gamma: 0.1",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0002, Gamma: 0.2",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0002, Gamma: 0.5",4,2,36,13,30.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,3,33,16,34.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.9",2,4,6,43,81.81818182,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,4,11,38,72.72727273,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0003, Gamma: 0.05",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0003, Gamma: 0.1",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0003, Gamma: 0.2",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,2,36,13,30.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,5,23,26,49.09090909,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2,4,23,26,50.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,4,11,38,72.72727273,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.0004, Gamma: 0.05",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0004, Gamma: 0.1",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0004, Gamma: 0.2",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0004, Gamma: 0.5",2,4,24,25,49.09090909,0,40,,,
"Nu: 0.0004, Gamma: 0.7",1,5,23,26,49.09090909,0,40,,,
"Nu: 0.0004, Gamma: 0.9",2,4,23,26,50.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.99",2,4,17,32,61.81818182,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,6,0,49,89.09090909,0,40,,,
"Nu: 0.005, Gamma: 0.005",5,1,47,2,12.72727273,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,1,47,2,12.72727273,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,1,46,3,14.54545455,0,40,,,
"Nu: 0.005, Gamma: 0.1",5,1,46,3,14.54545455,0,40,,,
"Nu: 0.005, Gamma: 0.2",3,3,45,4,12.72727273,0,40,,,
"Nu: 0.005, Gamma: 0.5",3,3,38,11,25.45454545,0,40,,,
"Nu: 0.005, Gamma: 0.7",3,3,39,10,23.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.9",2,4,24,25,49.09090909,0,40,,,
"Nu: 0.005, Gamma: 0.99",2,4,23,26,50.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.0001",4,2,38,11,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0002",4,2,38,11,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0003",4,2,38,11,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0004",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.05, Gamma: 0.005",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.05",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.0625",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.1",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.05, Gamma: 0.2",3,3,38,11,25.45454545,0,40,,,
"Nu: 0.05, Gamma: 0.5",3,3,43,6,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,4,34,15,30.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,4,25,24,47.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,4,25,24,47.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,2,34,15,34.54545455,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,1,42,7,21.81818182,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,1,42,7,21.81818182,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,1,41,8,23.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,1,40,9,25.45454545,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,3,38,11,25.45454545,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,3,36,13,29.09090909,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,4,36,13,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,4,25,24,47.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,4,25,24,47.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.0001",4,2,38,11,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,2,38,11,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.0003",5,1,39,10,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.0004",5,1,39,10,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.005",5,1,39,10,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.05",5,1,39,10,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.0625",5,1,39,10,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.1",5,1,39,10,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,3,39,10,23.63636364,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,3,35,14,30.90909091,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,4,34,15,30.90909091,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,4,22,27,52.72727273,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,4,20,29,56.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,2,36,13,30.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,2,36,13,30.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,2,34,15,34.54545455,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,3,22,27,54.54545455,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,4,36,13,27.27272727,0,40,,,
