Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63702359
"Nu: 0.0001, Gamma: 0.0001",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0001, Gamma: 0.0004",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0001, Gamma: 0.005",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0001, Gamma: 0.05",9,1,2742,3,0.435571688,0,40,,
"Nu: 0.0001, Gamma: 0.0625",8,2,2742,3,0.399274047,0,40,,
"Nu: 0.0001, Gamma: 0.1",9,1,2742,3,0.435571688,0,40,,
"Nu: 0.0001, Gamma: 0.2",9,1,2737,8,0.617059891,0,40,,
"Nu: 0.0001, Gamma: 0.5",1,9,25,2720,98.76588022,0,40,,
"Nu: 0.0001, Gamma: 0.7",4,6,2720,25,1.052631579,0,40,,
"Nu: 0.0001, Gamma: 0.9",3,7,36,2709,98.43920145,0,40,,
"Nu: 0.0001, Gamma: 0.99",3,7,28,2717,98.72958258,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0002, Gamma: 0.0002",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0002, Gamma: 0.0003",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0002, Gamma: 0.0004",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0002, Gamma: 0.005",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0002, Gamma: 0.05",9,1,2742,3,0.435571688,0,40,,
"Nu: 0.0002, Gamma: 0.0625",8,2,2742,3,0.399274047,0,40,,
"Nu: 0.0002, Gamma: 0.1",10,0,2742,3,0.471869328,0,40,,
"Nu: 0.0002, Gamma: 0.2",9,1,66,2679,97.56805808,0,40,,
"Nu: 0.0002, Gamma: 0.5",9,1,2737,8,0.617059891,0,40,,
"Nu: 0.0002, Gamma: 0.7",5,5,49,2696,98.0399274,0,40,,
"Nu: 0.0002, Gamma: 0.9",3,7,36,2709,98.43920145,0,40,,
"Nu: 0.0002, Gamma: 0.99",3,7,28,2717,98.72958258,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,10,0,2745,99.63702359,0,40,,
"Nu: 0.0003, Gamma: 0.0002",0,10,0,2745,99.63702359,0,40,,
