Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.6371553
"Nu: 0.0001, Gamma: 0.0001",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0001, Gamma: 0.0004",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0001, Gamma: 0.005",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0001, Gamma: 0.05",10,0,2742,4,0.507982583,0,40,,
"Nu: 0.0001, Gamma: 0.0625",9,1,2742,4,0.471698113,0,40,,
"Nu: 0.0001, Gamma: 0.1",8,2,2743,3,0.399129173,0,40,,
"Nu: 0.0001, Gamma: 0.2",6,4,2737,9,0.544267054,0,40,,
"Nu: 0.0001, Gamma: 0.5",8,2,61,2685,97.71407837,0,40,,
"Nu: 0.0001, Gamma: 0.7",5,5,2703,43,1.741654572,0,40,,
"Nu: 0.0001, Gamma: 0.9",5,5,2704,42,1.705370102,0,40,,
"Nu: 0.0001, Gamma: 0.99",1,9,2702,44,1.632801161,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0002, Gamma: 0.0002",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0002, Gamma: 0.0003",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0002, Gamma: 0.0004",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0002, Gamma: 0.005",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0002, Gamma: 0.05",10,0,2742,4,0.507982583,0,40,,
"Nu: 0.0002, Gamma: 0.0625",9,1,2742,4,0.471698113,0,40,,
"Nu: 0.0002, Gamma: 0.1",10,0,2743,3,0.471698113,0,40,,
"Nu: 0.0002, Gamma: 0.2",10,0,2739,7,0.616835994,0,40,,
"Nu: 0.0002, Gamma: 0.5",7,3,2723,23,1.088534107,0,40,,
"Nu: 0.0002, Gamma: 0.7",6,4,46,2700,98.18577649,0,40,,
"Nu: 0.0002, Gamma: 0.9",8,2,2733,13,0.761973875,0,40,,
"Nu: 0.0002, Gamma: 0.99",8,2,2732,14,0.798258345,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0003, Gamma: 0.0002",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0003, Gamma: 0.0003",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0003, Gamma: 0.0004",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0003, Gamma: 0.005",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0003, Gamma: 0.05",10,0,2742,4,0.507982583,0,40,,
"Nu: 0.0003, Gamma: 0.0625",9,1,2742,4,0.471698113,0,40,,
"Nu: 0.0003, Gamma: 0.1",10,0,2744,2,0.435413643,0,40,,
"Nu: 0.0003, Gamma: 0.2",10,0,2739,7,0.616835994,0,40,,
"Nu: 0.0003, Gamma: 0.5",7,3,2711,35,1.52394775,0,40,,
"Nu: 0.0003, Gamma: 0.7",8,2,2736,10,0.653120464,0,40,,
"Nu: 0.0003, Gamma: 0.9",8,2,2733,13,0.761973875,0,40,,
"Nu: 0.0003, Gamma: 0.99",8,2,2732,14,0.798258345,0,40,,
"Nu: 0.0004, Gamma: 0.0001",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0004, Gamma: 0.0002",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0004, Gamma: 0.0003",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0004, Gamma: 0.0004",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0004, Gamma: 0.005",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.0004, Gamma: 0.05",10,0,2742,4,0.507982583,0,40,,
"Nu: 0.0004, Gamma: 0.0625",9,1,2742,4,0.471698113,0,40,,
"Nu: 0.0004, Gamma: 0.1",10,0,2744,2,0.435413643,0,40,,
"Nu: 0.0004, Gamma: 0.2",10,0,2739,7,0.616835994,0,40,,
"Nu: 0.0004, Gamma: 0.5",7,3,55,2691,97.89550073,0,40,,
"Nu: 0.0004, Gamma: 0.7",8,2,2736,10,0.653120464,0,40,,
"Nu: 0.0004, Gamma: 0.9",8,2,2733,13,0.761973875,0,40,,
"Nu: 0.0004, Gamma: 0.99",10,0,2736,10,0.725689405,0,40,,
"Nu: 0.005, Gamma: 0.0001",0,10,0,2746,99.6371553,0,40,,
"Nu: 0.005, Gamma: 0.0002",0,10,0,2746,99.6371553,0,40,,
