Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0001, Gamma: 0.005",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0001, Gamma: 0.05",23,0,985,1,2.3785926660059467,0,40,
"Nu: 0.0001, Gamma: 0.0625",23,0,985,1,2.3785926660059467,0,40,
"Nu: 0.0001, Gamma: 0.1",23,0,985,1,2.3785926660059467,0,40,
"Nu: 0.0001, Gamma: 0.2",22,1,975,11,3.270564915758176,0,40,
"Nu: 0.0001, Gamma: 0.5",22,1,827,159,17.938553022794846,0,40,
"Nu: 0.0001, Gamma: 0.7",1,22,286,700,69.47472745292369,0,40,
"Nu: 0.0001, Gamma: 0.9",1,22,61,925,91.77403369672945,0,40,
"Nu: 0.0001, Gamma: 0.99",1,22,9,977,96.92765113974232,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0002, Gamma: 0.005",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0002, Gamma: 0.05",23,0,985,1,2.3785926660059467,0,40,
"Nu: 0.0002, Gamma: 0.0625",23,0,985,1,2.3785926660059467,0,40,
"Nu: 0.0002, Gamma: 0.1",23,0,985,1,2.3785926660059467,0,40,
"Nu: 0.0002, Gamma: 0.2",22,1,975,11,3.270564915758176,0,40,
"Nu: 0.0002, Gamma: 0.5",21,2,810,176,19.52428146679881,0,40,
"Nu: 0.0002, Gamma: 0.7",23,0,592,394,41.32804757185332,0,40,
"Nu: 0.0002, Gamma: 0.9",23,0,285,701,71.75421209117938,0,40,
"Nu: 0.0002, Gamma: 0.99",14,9,283,703,71.06045589692765,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,23,0,986,97.7205153617443,0,40,
