From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
5089,3254,3138,3192,3195,3190,7296,4477,3071,7346,3049,6322,3122,3134,3192,3324,1635,40,39,41,33,41,3558,1453,23,2334,13,1537,49,35,29,31,1560,23,18,27,21,17,3751,941,7,2447,5,1820,35,19,16,20,1611,36,26,33,35,33,3077,1369,20,2386,11,1557,39,28,28,27,1617,38,37,30,26,45,3175,953,14,2584,11,1842,50,33,35,39,1616,43,32,35,36,35,3191,1007,15,2572,11,1761,41,34,37,39,1673,190,165,91,165,123,2996,1041,50,2825,21,2174,159,136,165,173,1589,71,58,56,57,49,2894,1106,41,2313,31,1454,58,51,56,54,1566,28,45,26,33,29,2861,900,15,2366,13,1582,45,33,27,28,1558,79,43,23,59,73,2958,1985,32,2209,8,1728,70,34,72,48,1535,25,21,19,17,19,3292,942,16,2451,6,1532,33,24,20,18,1569,73,52,25,72,46,3182,1676,28,2861,4,1683,45,25,48,51,1566,27,23,24,30,23,2860,908,8,2376,13,1556,50,41,53,36,1580,36,33,32,29,34,2930,1349,14,2393,13,1729,52,33,45,32,1600,28,26,19,24,24,2882,868,13,2495,13,1675,55,30,36,34,1686,34,34,25,23,22,3221,1480,12,2821,15,1884,51,28,37,28,ferret_IndirectBP
111,65,24,1675,1060,42,28,24,17,28,15,19,28,71,51,37,38,4,5,2635,4618,3,3,1,3,3,1,2,5,11,6,5,17,1,1,7025,10719,1,2,2,0,2,0,0,1,7,3,1,26,3,0,1889,7345,0,2,0,0,1,0,2,3,10,2,2,26,0,0,1833,3867,1,0,1,0,1,1,0,1,23,1,1,28,3,1,1835,1752,1,1,1,2,1,1,1,1,11,3,4,20,3,1,1778,1132,2,1,1,1,0,0,0,1,9,3,3,15,0,0,1678,862,1,0,1,1,0,1,1,2,7,0,2,14,3,0,1591,804,2,1,0,0,1,0,0,2,6,2,1,18,4,2,1556,795,0,0,0,0,2,0,0,1,6,0,2,11,1,0,1545,802,1,1,0,0,0,0,0,1,7,3,1,14,1,1,1545,788,1,1,1,0,0,0,0,1,3,2,1,21,2,0,1556,796,0,0,1,0,0,1,0,1,20,9,2,26,3,2,1558,783,1,2,1,0,1,1,2,1,4,4,3,29,2,2,1521,784,5,3,1,3,1,3,1,3,36,5,3,22,2,0,1510,796,1,2,2,1,0,0,0,0,17,3,2,ferret_IndirectBP
72,60,12,2054,1145,42,16,22,23,36,8,6,18,38,38,32,34,3,3,2809,4749,4,2,2,4,4,3,2,3,2,4,5,9,1,1,6052,10666,2,0,1,1,0,0,1,0,0,2,1,21,0,0,2235,7423,2,1,1,1,1,2,1,1,1,1,1,23,2,1,2181,4078,1,0,2,1,0,1,2,2,2,3,3,27,3,2,2251,2467,3,3,0,2,2,2,2,0,1,2,2,13,1,0,2185,1269,0,0,0,0,0,1,1,0,1,2,2,15,3,1,2082,1053,1,2,0,0,1,0,1,1,1,4,3,14,1,0,1981,986,3,1,2,2,2,1,0,0,1,2,2,23,2,1,1936,987,3,0,2,3,0,1,0,1,3,3,3,8,1,0,1926,958,2,0,0,1,2,0,0,2,2,1,1,7,1,0,1928,969,2,0,0,0,1,0,0,0,0,1,1,14,3,1,1931,983,1,0,1,1,1,1,0,1,2,4,1,23,3,0,1951,975,3,4,1,6,5,4,5,8,1,9,8,23,3,3,1918,955,1,3,3,2,4,2,2,4,4,7,7,19,5,2,1879,979,4,2,3,3,3,2,2,3,2,6,2,ferret_IndirectBP
116,72,21,1658,1700,54,15,31,27,21,13,19,17,23,28,30,44,4,3,3353,3674,5,3,4,4,2,3,2,4,3,4,3,16,0,0,7230,7015,1,1,1,0,0,1,0,0,1,0,1,19,0,1,2481,3938,0,1,2,0,0,0,1,1,0,1,3,21,2,2,2298,3126,1,3,1,3,1,1,0,1,1,1,1,31,2,2,2259,2763,4,1,2,2,3,2,0,2,1,2,3,11,4,1,1836,1872,3,0,2,0,2,0,0,0,2,1,0,20,1,2,1707,1705,2,1,2,3,2,1,0,0,3,1,0,20,4,1,1591,1622,0,1,1,0,0,0,0,1,2,1,0,18,2,0,1560,1567,1,1,0,0,2,1,1,0,1,0,1,10,2,1,1549,1540,2,0,2,0,0,0,0,0,0,0,1,14,2,0,1545,1551,1,0,0,0,0,0,0,0,0,0,0,14,2,0,1552,1572,2,0,0,1,0,0,0,0,2,0,2,19,2,0,1569,1543,2,1,3,2,0,2,0,0,1,1,1,20,5,2,1528,1522,2,2,3,3,1,1,1,1,1,1,1,18,1,0,1515,1504,3,1,1,0,2,1,0,1,1,0,0,ferret_IndirectBP
279,162,120,1241,1607,602,117,114,310,102,106,98,136,128,195,131,88,6,3,1507,4180,288,5,9,87,4,3,3,5,6,7,5,65,4,1,3258,8752,325,2,7,92,1,1,1,4,1,5,2,74,3,3,1319,5644,394,4,14,107,1,5,2,6,3,8,4,63,1,1,1243,3660,334,1,8,120,3,2,0,1,2,6,2,68,5,2,1179,2525,314,3,11,115,1,3,1,5,6,14,4,65,1,3,1108,1540,264,1,6,72,2,2,2,3,1,6,3,57,4,0,1063,1303,290,1,6,84,1,5,1,4,0,7,3,66,2,2,989,1262,312,5,6,78,4,3,4,11,3,26,11,55,1,2,959,1159,290,3,1,73,3,1,0,3,2,5,3,57,3,0,975,1182,317,2,4,107,1,0,0,2,2,7,3,56,3,1,948,1187,310,2,6,84,1,0,0,3,3,10,4,74,3,3,961,1207,345,1,5,102,1,1,2,3,3,16,4,74,4,2,999,1198,329,3,5,82,1,0,1,6,5,19,4,98,2,2,973,1178,332,4,7,146,6,4,3,5,4,9,5,72,5,4,992,1186,348,2,7,113,3,2,2,4,2,10,3,ferret_IndirectBP
165,90,26,123,1868,52,22,34,52,35,16,13,24,39,69,56,51,4,4,41,3064,17,2,4,16,4,3,3,4,6,5,10,20,1,1,34,6758,15,0,5,13,0,2,1,2,1,5,4,31,2,2,34,2598,23,2,4,19,5,5,6,7,6,35,7,29,1,2,58,2273,14,2,1,13,0,2,3,0,1,13,2,36,5,3,54,2360,14,4,0,17,2,3,4,5,3,29,7,12,1,1,36,1922,11,1,3,13,0,1,1,1,1,4,1,17,2,0,35,1847,13,3,1,14,3,2,2,3,4,5,3,25,2,4,46,1791,15,2,1,14,2,3,0,1,2,19,3,24,5,0,39,1706,18,0,1,14,1,3,0,0,3,11,3,12,3,1,39,1695,14,1,3,12,1,2,3,1,2,17,4,10,3,0,31,1724,10,0,0,8,0,1,0,2,1,8,2,17,3,2,51,1733,13,3,2,12,2,3,2,1,5,16,4,24,4,1,40,1704,12,1,0,17,2,5,1,2,5,20,3,28,4,3,86,1680,12,8,3,13,3,7,7,3,3,14,8,30,4,1,65,1685,18,4,7,18,3,3,4,4,5,9,7,ferret_IndirectBP
118,77,39,37,1165,36,13,33,24,25,11,8,20,27,58,52,41,4,7,6,3865,7,3,4,2,3,4,3,6,2,4,4,9,3,4,7,9835,8,2,2,2,2,3,3,3,5,6,9,29,6,20,5,5684,4,0,3,0,0,2,0,3,1,11,6,17,1,19,1,3338,5,1,1,2,1,1,0,0,2,2,0,21,2,13,5,2147,4,3,1,0,2,1,1,2,1,7,2,14,3,13,3,1257,5,0,3,1,2,2,0,1,1,4,3,20,3,13,4,1107,5,0,1,4,0,2,0,2,1,2,4,14,4,6,0,1014,1,1,0,0,3,1,0,2,2,5,1,14,3,4,0,1003,2,0,1,1,0,4,1,2,1,3,2,9,4,10,3,991,4,1,3,3,2,2,3,2,1,4,3,8,2,7,1,1000,4,0,0,2,1,1,0,3,1,2,1,13,3,17,2,1010,4,1,2,3,1,3,2,2,4,1,3,20,3,6,5,1011,3,0,2,0,2,1,2,2,0,2,3,38,3,51,7,992,7,1,3,1,4,3,1,2,2,8,5,30,5,26,8,990,3,2,2,2,3,4,1,2,2,5,2,ferret_IndirectBP
89,103,16,32,1347,28,16,21,10,27,6,5,35,43,36,62,43,8,6,2,4194,5,4,2,3,6,5,6,6,9,11,14,15,16,1,2,9574,2,1,0,2,0,1,0,0,0,8,3,19,13,2,0,7378,2,3,0,4,1,3,0,1,2,3,1,19,25,2,1,4010,4,0,1,0,1,1,1,1,0,1,0,19,12,2,2,3052,1,2,1,0,1,1,1,1,1,5,2,11,10,2,2,1351,0,0,3,2,0,1,0,1,3,2,1,15,8,0,0,1287,0,0,3,0,2,1,1,1,2,1,1,12,7,0,1,1208,0,1,3,0,1,0,0,1,1,3,2,19,5,1,0,1198,1,3,2,1,1,1,1,1,1,2,3,7,8,1,2,1148,2,1,1,1,2,1,1,2,3,2,3,8,4,0,2,1146,2,0,1,0,1,0,0,1,0,2,2,23,29,1,2,1201,3,1,1,2,0,0,0,3,1,3,3,25,9,3,1,1189,1,3,1,2,1,1,0,1,2,4,4,21,52,2,1,1163,3,3,1,3,3,1,3,4,4,4,3,36,36,2,1,1161,2,2,3,2,3,3,1,3,4,2,4,ferret_IndirectBP
59,72,12,35,1573,22,13,16,22,14,13,7,24,25,38,33,39,2,3,7,4271,2,3,2,2,3,4,3,3,4,10,4,14,2,2,4,7706,0,0,0,0,0,1,0,1,2,11,1,15,3,0,3,3227,5,2,3,5,3,3,2,2,2,25,3,8,1,1,6,2493,2,0,0,0,0,1,1,0,0,12,0,10,3,0,6,2264,2,2,0,4,0,1,0,1,1,9,2,11,1,0,5,1912,1,1,2,0,1,1,1,0,1,3,0,9,3,1,3,1598,2,2,1,4,1,2,1,2,2,6,2,14,3,1,8,1532,1,0,0,2,2,1,1,1,2,12,2,9,2,0,6,1474,0,0,0,0,2,3,0,0,2,12,0,11,3,2,8,1481,1,2,1,1,1,3,3,2,1,13,1,6,1,0,7,1475,0,1,0,1,0,1,0,3,1,7,0,16,2,1,4,1478,1,0,1,3,0,2,0,0,3,14,0,16,5,2,5,1449,0,1,1,0,2,2,1,2,2,14,0,17,6,4,22,1453,3,3,4,2,3,6,3,2,2,11,5,19,3,2,5,1442,1,0,0,1,0,0,1,0,0,5,0,ferret_IndirectBP
70,65,10,35,1185,31,9,17,21,17,8,6,16,22,17,29,33,2,7,8,4204,3,2,3,4,3,3,2,3,2,3,3,8,1,0,12,9892,1,0,1,0,1,1,0,0,1,1,1,12,3,1,10,9491,0,0,0,2,0,1,1,1,3,1,2,12,0,1,6,4745,3,1,0,0,0,2,0,0,1,0,1,18,2,0,13,1872,3,4,2,1,2,2,1,1,0,1,2,6,1,0,8,1068,1,1,3,0,0,1,0,0,0,0,2,11,2,1,9,956,1,0,0,2,0,1,0,1,2,0,1,13,2,0,8,890,4,0,0,2,3,1,0,0,0,3,1,14,1,0,2,864,3,0,0,1,0,4,0,0,1,0,2,7,2,1,7,870,3,1,1,2,2,2,3,3,1,0,4,6,2,0,3,871,1,0,1,0,0,1,0,2,1,1,2,12,2,0,5,875,2,0,1,0,0,2,1,1,3,0,2,15,2,2,2,867,0,1,3,2,1,1,1,1,0,1,3,11,1,1,5,876,2,1,1,4,1,1,3,1,2,1,4,16,3,1,5,884,2,1,2,1,1,3,2,2,2,2,2,ferret_IndirectBP
