Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.54098361,28
"Nu: 0.0001, Gamma: 0.0001",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0001, Gamma: 0.05",3,1,46,72,61.47540984,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,1,44,74,63.1147541,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,1,31,87,73.7704918,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,3,2,116,95.90163934,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,3,11,107,88.52459016,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,46,72,61.47540984,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,44,74,63.1147541,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,31,87,73.7704918,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,3,2,116,95.90163934,0,40,,,
"Nu: 0.0002, Gamma: 0.5",1,3,4,114,94.26229508,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,3,21,97,80.32786885,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,3,2,116,95.90163934,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,3,0,118,97.54098361,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,46,72,61.47540984,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,1,44,74,63.1147541,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,31,87,73.7704918,0,40,,,
