From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ferret
5089.0,3254.0,3138.0,3192.0,3195.0,3190.0,7296.0,4477.0,3071.0,7346.0,3049.0,6322.0,3122.0,3134.0,3192.0,3324.0,1635.0,40.0,39.0,41.0,33.0,41.0,3558.0,1453.0,23.0,2334.0,13.0,1537.0,49.0,35.0,29.0,31.0,1560.0,23.0,18.0,27.0,21.0,17.0,3751.0,941.0,7.0,2447.0,5.0,1820.0,35.0,19.0,16.0,20.0,1611.0,36.0,26.0,33.0,35.0,33.0,3077.0,1369.0,20.0,2386.0,11.0,1557.0,39.0,28.0,28.0,27.0,1617.0,38.0,37.0,30.0,26.0,45.0,3175.0,953.0,14.0,2584.0,11.0,1842.0,50.0,33.0,35.0,39.0,1616.0,43.0,32.0,35.0,36.0,35.0,3191.0,1007.0,15.0,2572.0,11.0,1761.0,41.0,34.0,37.0,39.0,1673.0,190.0,165.0,91.0,165.0,123.0,2996.0,1041.0,50.0,2825.0,21.0,2174.0,159.0,136.0,165.0,173.0,1589.0,71.0,58.0,56.0,57.0,49.0,2894.0,1106.0,41.0,2313.0,31.0,1454.0,58.0,51.0,56.0,54.0,1566.0,28.0,45.0,26.0,33.0,29.0,2861.0,900.0,15.0,2366.0,13.0,1582.0,45.0,33.0,27.0,28.0,1558.0,79.0,43.0,23.0,59.0,73.0,2958.0,1985.0,32.0,2209.0,8.0,1728.0,70.0,34.0,72.0,48.0,1535.0,25.0,21.0,19.0,17.0,19.0,3292.0,942.0,16.0,2451.0,6.0,1532.0,33.0,24.0,20.0,18.0,1569.0,73.0,52.0,25.0,72.0,46.0,3182.0,1676.0,28.0,2861.0,4.0,1683.0,45.0,25.0,48.0,51.0,1566.0,27.0,23.0,24.0,30.0,23.0,2860.0,908.0,8.0,2376.0,13.0,1556.0,50.0,41.0,53.0,36.0,1580.0,36.0,33.0,32.0,29.0,34.0,2930.0,1349.0,14.0,2393.0,13.0,1729.0,52.0,33.0,45.0,32.0,1600.0,28.0,26.0,19.0,24.0,24.0,2882.0,868.0,13.0,2495.0,13.0,1675.0,55.0,30.0,36.0,34.0,1686.0,34.0,34.0,25.0,23.0,22.0,3221.0,1480.0,12.0,2821.0,15.0,1884.0,51.0,28.0,37.0,28.0,ferret
111.0,65.0,24.0,1675.0,1060.0,42.0,28.0,24.0,17.0,28.0,15.0,19.0,28.0,71.0,51.0,37.0,38.0,4.0,5.0,2635.0,4618.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,11.0,6.0,5.0,17.0,1.0,1.0,7025.0,10719.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,7.0,3.0,1.0,26.0,3.0,0.0,1889.0,7345.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,10.0,2.0,2.0,26.0,0.0,0.0,1833.0,3867.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,28.0,3.0,1.0,1835.0,1752.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,3.0,4.0,20.0,3.0,1.0,1778.0,1132.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,3.0,3.0,15.0,0.0,0.0,1678.0,862.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,0.0,2.0,14.0,3.0,0.0,1591.0,804.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,2.0,1.0,18.0,4.0,2.0,1556.0,795.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,2.0,11.0,1.0,0.0,1545.0,802.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,1.0,14.0,1.0,1.0,1545.0,788.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,21.0,2.0,0.0,1556.0,796.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,9.0,2.0,26.0,3.0,2.0,1558.0,783.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,29.0,2.0,2.0,1521.0,784.0,5.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,36.0,5.0,3.0,22.0,2.0,0.0,1510.0,796.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,2.0,ferret
72.0,60.0,12.0,2054.0,1145.0,42.0,16.0,22.0,23.0,36.0,8.0,6.0,18.0,38.0,38.0,32.0,34.0,3.0,3.0,2809.0,4749.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,5.0,9.0,1.0,1.0,6052.0,10666.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,21.0,0.0,0.0,2235.0,7423.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,23.0,2.0,1.0,2181.0,4078.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,27.0,3.0,2.0,2251.0,2467.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,13.0,1.0,0.0,2185.0,1269.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,15.0,3.0,1.0,2082.0,1053.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,14.0,1.0,0.0,1981.0,986.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,23.0,2.0,1.0,1936.0,987.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,8.0,1.0,0.0,1926.0,958.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,7.0,1.0,0.0,1928.0,969.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,3.0,1.0,1931.0,983.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,23.0,3.0,0.0,1951.0,975.0,3.0,4.0,1.0,6.0,5.0,4.0,5.0,8.0,1.0,9.0,8.0,23.0,3.0,3.0,1918.0,955.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,7.0,7.0,19.0,5.0,2.0,1879.0,979.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,6.0,2.0,ferret
116.0,72.0,21.0,1658.0,1700.0,54.0,15.0,31.0,27.0,21.0,13.0,19.0,17.0,23.0,28.0,30.0,44.0,4.0,3.0,3353.0,3674.0,5.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,16.0,0.0,0.0,7230.0,7015.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,1.0,2481.0,3938.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,21.0,2.0,2.0,2298.0,3126.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,31.0,2.0,2.0,2259.0,2763.0,4.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,11.0,4.0,1.0,1836.0,1872.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,20.0,1.0,2.0,1707.0,1705.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,20.0,4.0,1.0,1591.0,1622.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,18.0,2.0,0.0,1560.0,1567.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,2.0,1.0,1549.0,1540.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,2.0,0.0,1545.0,1551.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1552.0,1572.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,19.0,2.0,0.0,1569.0,1543.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,20.0,5.0,2.0,1528.0,1522.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,0.0,1515.0,1504.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,ferret
279.0,162.0,120.0,1241.0,1607.0,602.0,117.0,114.0,310.0,102.0,106.0,98.0,136.0,128.0,195.0,131.0,88.0,6.0,3.0,1507.0,4180.0,288.0,5.0,9.0,87.0,4.0,3.0,3.0,5.0,6.0,7.0,5.0,65.0,4.0,1.0,3258.0,8752.0,325.0,2.0,7.0,92.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,74.0,3.0,3.0,1319.0,5644.0,394.0,4.0,14.0,107.0,1.0,5.0,2.0,6.0,3.0,8.0,4.0,63.0,1.0,1.0,1243.0,3660.0,334.0,1.0,8.0,120.0,3.0,2.0,0.0,1.0,2.0,6.0,2.0,68.0,5.0,2.0,1179.0,2525.0,314.0,3.0,11.0,115.0,1.0,3.0,1.0,5.0,6.0,14.0,4.0,65.0,1.0,3.0,1108.0,1540.0,264.0,1.0,6.0,72.0,2.0,2.0,2.0,3.0,1.0,6.0,3.0,57.0,4.0,0.0,1063.0,1303.0,290.0,1.0,6.0,84.0,1.0,5.0,1.0,4.0,0.0,7.0,3.0,66.0,2.0,2.0,989.0,1262.0,312.0,5.0,6.0,78.0,4.0,3.0,4.0,11.0,3.0,26.0,11.0,55.0,1.0,2.0,959.0,1159.0,290.0,3.0,1.0,73.0,3.0,1.0,0.0,3.0,2.0,5.0,3.0,57.0,3.0,0.0,975.0,1182.0,317.0,2.0,4.0,107.0,1.0,0.0,0.0,2.0,2.0,7.0,3.0,56.0,3.0,1.0,948.0,1187.0,310.0,2.0,6.0,84.0,1.0,0.0,0.0,3.0,3.0,10.0,4.0,74.0,3.0,3.0,961.0,1207.0,345.0,1.0,5.0,102.0,1.0,1.0,2.0,3.0,3.0,16.0,4.0,74.0,4.0,2.0,999.0,1198.0,329.0,3.0,5.0,82.0,1.0,0.0,1.0,6.0,5.0,19.0,4.0,98.0,2.0,2.0,973.0,1178.0,332.0,4.0,7.0,146.0,6.0,4.0,3.0,5.0,4.0,9.0,5.0,72.0,5.0,4.0,992.0,1186.0,348.0,2.0,7.0,113.0,3.0,2.0,2.0,4.0,2.0,10.0,3.0,ferret
165.0,90.0,26.0,123.0,1868.0,52.0,22.0,34.0,52.0,35.0,16.0,13.0,24.0,39.0,69.0,56.0,51.0,4.0,4.0,41.0,3064.0,17.0,2.0,4.0,16.0,4.0,3.0,3.0,4.0,6.0,5.0,10.0,20.0,1.0,1.0,34.0,6758.0,15.0,0.0,5.0,13.0,0.0,2.0,1.0,2.0,1.0,5.0,4.0,31.0,2.0,2.0,34.0,2598.0,23.0,2.0,4.0,19.0,5.0,5.0,6.0,7.0,6.0,35.0,7.0,29.0,1.0,2.0,58.0,2273.0,14.0,2.0,1.0,13.0,0.0,2.0,3.0,0.0,1.0,13.0,2.0,36.0,5.0,3.0,54.0,2360.0,14.0,4.0,0.0,17.0,2.0,3.0,4.0,5.0,3.0,29.0,7.0,12.0,1.0,1.0,36.0,1922.0,11.0,1.0,3.0,13.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,17.0,2.0,0.0,35.0,1847.0,13.0,3.0,1.0,14.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,25.0,2.0,4.0,46.0,1791.0,15.0,2.0,1.0,14.0,2.0,3.0,0.0,1.0,2.0,19.0,3.0,24.0,5.0,0.0,39.0,1706.0,18.0,0.0,1.0,14.0,1.0,3.0,0.0,0.0,3.0,11.0,3.0,12.0,3.0,1.0,39.0,1695.0,14.0,1.0,3.0,12.0,1.0,2.0,3.0,1.0,2.0,17.0,4.0,10.0,3.0,0.0,31.0,1724.0,10.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,1.0,8.0,2.0,17.0,3.0,2.0,51.0,1733.0,13.0,3.0,2.0,12.0,2.0,3.0,2.0,1.0,5.0,16.0,4.0,24.0,4.0,1.0,40.0,1704.0,12.0,1.0,0.0,17.0,2.0,5.0,1.0,2.0,5.0,20.0,3.0,28.0,4.0,3.0,86.0,1680.0,12.0,8.0,3.0,13.0,3.0,7.0,7.0,3.0,3.0,14.0,8.0,30.0,4.0,1.0,65.0,1685.0,18.0,4.0,7.0,18.0,3.0,3.0,4.0,4.0,5.0,9.0,7.0,ferret
118.0,77.0,39.0,37.0,1165.0,36.0,13.0,33.0,24.0,25.0,11.0,8.0,20.0,27.0,58.0,52.0,41.0,4.0,7.0,6.0,3865.0,7.0,3.0,4.0,2.0,3.0,4.0,3.0,6.0,2.0,4.0,4.0,9.0,3.0,4.0,7.0,9835.0,8.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,6.0,9.0,29.0,6.0,20.0,5.0,5684.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,11.0,6.0,17.0,1.0,19.0,1.0,3338.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,21.0,2.0,13.0,5.0,2147.0,4.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,7.0,2.0,14.0,3.0,13.0,3.0,1257.0,5.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,20.0,3.0,13.0,4.0,1107.0,5.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,4.0,14.0,4.0,6.0,0.0,1014.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,5.0,1.0,14.0,3.0,4.0,0.0,1003.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,3.0,2.0,9.0,4.0,10.0,3.0,991.0,4.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,8.0,2.0,7.0,1.0,1000.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,13.0,3.0,17.0,2.0,1010.0,4.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,20.0,3.0,6.0,5.0,1011.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,38.0,3.0,51.0,7.0,992.0,7.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,8.0,5.0,30.0,5.0,26.0,8.0,990.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,5.0,2.0,ferret
89.0,103.0,16.0,32.0,1347.0,28.0,16.0,21.0,10.0,27.0,6.0,5.0,35.0,43.0,36.0,62.0,43.0,8.0,6.0,2.0,4194.0,5.0,4.0,2.0,3.0,6.0,5.0,6.0,6.0,9.0,11.0,14.0,15.0,16.0,1.0,2.0,9574.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,19.0,13.0,2.0,0.0,7378.0,2.0,3.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,19.0,25.0,2.0,1.0,4010.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,19.0,12.0,2.0,2.0,3052.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,11.0,10.0,2.0,2.0,1351.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,15.0,8.0,0.0,0.0,1287.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,12.0,7.0,0.0,1.0,1208.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,19.0,5.0,1.0,0.0,1198.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,8.0,1.0,2.0,1148.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,8.0,4.0,0.0,2.0,1146.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,23.0,29.0,1.0,2.0,1201.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,25.0,9.0,3.0,1.0,1189.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,4.0,21.0,52.0,2.0,1.0,1163.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,36.0,36.0,2.0,1.0,1161.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,4.0,ferret
59.0,72.0,12.0,35.0,1573.0,22.0,13.0,16.0,22.0,14.0,13.0,7.0,24.0,25.0,38.0,33.0,39.0,2.0,3.0,7.0,4271.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,10.0,4.0,14.0,2.0,2.0,4.0,7706.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,1.0,15.0,3.0,0.0,3.0,3227.0,5.0,2.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,25.0,3.0,8.0,1.0,1.0,6.0,2493.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,10.0,3.0,0.0,6.0,2264.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,9.0,2.0,11.0,1.0,0.0,5.0,1912.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,9.0,3.0,1.0,3.0,1598.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,14.0,3.0,1.0,8.0,1532.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,12.0,2.0,9.0,2.0,0.0,6.0,1474.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,12.0,0.0,11.0,3.0,2.0,8.0,1481.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,13.0,1.0,6.0,1.0,0.0,7.0,1475.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,16.0,2.0,1.0,4.0,1478.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,14.0,0.0,16.0,5.0,2.0,5.0,1449.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,14.0,0.0,17.0,6.0,4.0,22.0,1453.0,3.0,3.0,4.0,2.0,3.0,6.0,3.0,2.0,2.0,11.0,5.0,19.0,3.0,2.0,5.0,1442.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,ferret
