Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.05940594,488
"Nu: 0.0001, Gamma: 0.0001",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0001, Gamma: 0.05",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0001, Gamma: 0.1",6,10,86,100,52.47524752,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,14,59,127,63.86138614,0,40,,,
"Nu: 0.0001, Gamma: 0.5",15,1,164,22,18.31683168,0,40,,,
"Nu: 0.0001, Gamma: 0.7",13,3,167,19,15.84158416,0,40,,,
"Nu: 0.0001, Gamma: 0.9",11,5,159,27,18.81188119,0,40,,,
"Nu: 0.0001, Gamma: 0.99",1,15,51,135,67.32673267,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0002, Gamma: 0.005",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0002, Gamma: 0.05",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0002, Gamma: 0.1",6,10,86,100,52.47524752,0,40,,,
"Nu: 0.0002, Gamma: 0.2",14,2,166,20,16.83168317,0,40,,,
"Nu: 0.0002, Gamma: 0.5",15,1,157,29,21.78217822,0,40,,,
"Nu: 0.0002, Gamma: 0.7",9,7,77,109,58.41584158,0,40,,,
"Nu: 0.0002, Gamma: 0.9",9,7,67,119,63.36633663,0,40,,,
"Nu: 0.0002, Gamma: 0.99",7,9,81,105,55.44554455,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0003, Gamma: 0.005",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0003, Gamma: 0.05",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0003, Gamma: 0.1",6,10,86,100,52.47524752,0,40,,,
"Nu: 0.0003, Gamma: 0.2",14,2,166,20,16.83168317,0,40,,,
"Nu: 0.0003, Gamma: 0.5",15,1,157,29,21.78217822,0,40,,,
"Nu: 0.0003, Gamma: 0.7",14,2,139,47,30.1980198,0,40,,,
"Nu: 0.0003, Gamma: 0.9",13,3,132,54,33.16831683,0,40,,,
"Nu: 0.0003, Gamma: 0.99",8,8,72,114,60.3960396,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.0004, Gamma: 0.005",6,10,87,99,51.98019802,0,40,,,
"Nu: 0.0004, Gamma: 0.05",15,1,185,1,7.920792079,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",15,1,185,1,7.920792079,0,40,,,
"Nu: 0.0004, Gamma: 0.1",15,1,175,11,12.87128713,0,40,,,
"Nu: 0.0004, Gamma: 0.2",15,1,172,14,14.35643564,0,40,,,
"Nu: 0.0004, Gamma: 0.5",15,1,157,29,21.78217822,0,40,,,
"Nu: 0.0004, Gamma: 0.7",13,3,152,34,23.26732673,0,40,,,
"Nu: 0.0004, Gamma: 0.9",14,2,150,36,24.75247525,0,40,,,
"Nu: 0.0004, Gamma: 0.99",14,2,121,65,39.10891089,0,40,,,
