Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.28571429,681
"Nu: 0.0001, Gamma: 0.0001",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,12,13,51.72413793,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,10,15,58.62068966,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,10,15,58.62068966,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,9,16,62.06896552,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,12,13,51.72413793,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,2,12,13,51.72413793,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,3,8,17,62.06896552,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,3,13,12,44.82758621,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,3,13,12,44.82758621,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0003, Gamma: 0.05",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0003, Gamma: 0.1",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,2,12,13,51.72413793,0,40,,,
"Nu: 0.0003, Gamma: 0.5",2,2,12,13,51.72413793,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,3,8,17,62.06896552,0,40,,,
"Nu: 0.0003, Gamma: 0.9",1,3,13,12,44.82758621,0,40,,,
"Nu: 0.0003, Gamma: 0.99",1,3,13,12,44.82758621,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.0004, Gamma: 0.05",4,0,23,2,20.68965517,0,40,,,
