Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.80952381,118
"Nu: 0.0001, Gamma: 0.0001",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,191,49,24.20634921,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,189,51,25,0,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,176,64,30.15873016,0,40,,,
"Nu: 0.0001, Gamma: 0.2",7,5,160,80,34.52380952,0,40,,,
"Nu: 0.0001, Gamma: 0.5",5,7,88,152,62.3015873,0,40,,,
"Nu: 0.0001, Gamma: 0.7",6,6,73,167,68.65079365,0,40,,,
"Nu: 0.0001, Gamma: 0.9",11,1,110,130,55.95238095,0,40,,,
"Nu: 0.0001, Gamma: 0.99",11,1,101,139,59.52380952,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,191,49,24.20634921,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,189,51,25,0,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,176,64,30.15873016,0,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,173,67,31.34920635,0,40,,,
"Nu: 0.0002, Gamma: 0.5",11,1,125,115,50,0,40,,,
"Nu: 0.0002, Gamma: 0.7",9,3,136,104,44.84126984,0,40,,,
"Nu: 0.0002, Gamma: 0.9",11,1,110,130,55.95238095,0,40,,,
"Nu: 0.0002, Gamma: 0.99",11,1,101,139,59.52380952,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,191,49,24.20634921,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,189,51,25,0,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,176,64,30.15873016,0,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,173,67,31.34920635,0,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,132,108,47.22222222,0,40,,,
"Nu: 0.0003, Gamma: 0.7",9,3,136,104,44.84126984,0,40,,,
