From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
4343,3411,3154,3075,3025,3227,3035,3083,3262,3116,3202,3046,3667,3531,3117,3220,3219,2099,2378,2438,2392,2483,2329,2362,2651,2384,2585,2358,2488,2601,2413,2341,3095,2171,2538,2554,2428,2474,2407,2468,2813,2434,2539,2475,3150,2626,2432,2435,2943,2174,2453,2538,2358,2467,2533,2384,2604,2488,2578,2443,2677,2750,2427,2494,3105,2320,2630,2816,2525,2586,2662,2655,3399,2653,2652,2704,3815,2714,2553,2587,2961,2060,2316,2271,2270,2286,2355,2250,2387,2366,2378,2360,2594,2459,2324,2337,2462,1775,2072,1814,1893,1941,2136,1948,1905,2030,2071,2023,2307,2250,1961,2034,2714,2061,2323,2090,2213,2237,2468,2219,2202,2604,2363,2291,2318,2415,2157,2441,2664,2223,2233,2156,2114,2148,2240,2047,2122,2517,2241,2237,2285,2366,2032,2162,2592,2139,2340,2179,2267,2176,2308,2141,2197,2492,2336,2114,2224,2333,2142,2154,3192,2488,2756,2585,2734,2569,2697,2718,2596,2928,2821,2579,2597,2751,3953,2574,2844,2301,2576,2379,2561,2503,2538,2534,2522,2760,2563,2468,2124,2376,3016,2370,2908,2182,2437,2256,2384,2317,2378,2319,2428,2389,2535,2343,2480,2688,2530,2232,2734,2082,2359,2204,2172,2442,2332,2268,2238,2343,2402,2248,2456,2563,2515,2240,2814,1975,2241,2052,2128,2257,2218,2139,2190,2153,2316,2166,2242,2478,2282,2004,2889,2007,2139,1935,2005,2186,2012,2018,2062,2042,2149,2045,2385,2605,2044,2038,swaptions_IndirectBP
2884,2651,2501,2586,2527,2769,2517,2557,2621,2538,2605,2540,2853,3025,2603,2584,2612,2231,2324,2439,2319,2459,2262,2362,2578,2357,2468,2393,2524,2619,2330,2308,2591,2442,2502,2560,2380,2433,2397,2465,3059,2462,2549,2483,3378,2701,2429,2403,2622,2503,2576,2489,2405,2493,2575,2429,2620,2575,2533,2441,2860,2761,2414,2497,2532,2603,2657,2594,2501,2602,2761,2638,3293,2590,2724,2640,4146,2817,2508,2818,2379,2244,2368,2344,2263,2335,2373,2255,2463,2323,2378,2375,2635,2504,2265,2324,1985,1925,2018,1986,1885,1869,2087,1918,1895,1973,2023,2085,2401,2246,1913,2052,2237,2225,2283,2178,2233,2168,2573,2192,2210,2685,2343,2330,2477,2373,2257,2419,2185,2484,2175,2106,2154,2085,2251,2132,2129,2517,2237,2239,2303,2424,2085,2155,2162,2451,2297,2185,2280,2137,2312,2170,2129,2462,2442,2132,2371,2361,2105,2194,2650,2883,2816,2559,2758,2582,2736,2641,2623,2901,2761,2526,2753,2791,3686,2593,2502,2715,2655,2418,2525,2453,2572,2569,2461,2739,2599,2534,2241,2287,3396,2412,2341,2485,2490,2222,2375,2278,2397,2339,2391,2308,2358,2378,2574,2674,2467,2249,2291,2299,2375,2224,2225,2465,2320,2338,2243,2323,2408,2279,2529,2562,2469,2247,2355,2156,2216,2055,2170,2246,2208,2134,2140,2206,2305,2141,2369,2520,2275,2117,2221,2047,2177,1978,1961,2210,2105,1998,2096,2033,2182,2043,2433,2620,2039,1988,swaptions_IndirectBP
2845,2670,2474,2560,2540,2697,2530,2504,2718,2535,2515,2542,2877,2998,2623,2552,2589,2311,2305,2354,2236,2494,2338,2393,2578,2349,2480,2381,2498,2605,2393,2431,2544,2382,2513,2505,2345,2465,2451,2456,3000,2527,2579,2421,3311,2686,2423,2370,2630,2477,2516,2489,2337,2402,2518,2361,2585,2510,2571,2482,2868,2789,2347,2526,2693,2507,2684,2602,2442,2546,2696,2633,3213,2595,2704,2700,4038,2816,2636,2685,2319,2252,2278,2307,2200,2296,2361,2269,2366,2327,2353,2449,2661,2406,2272,2276,1954,1969,2034,1920,1921,1957,2128,1884,1873,2032,2034,2031,2401,2311,1897,2014,2213,2246,2248,2141,2248,2269,2453,2192,2195,2636,2319,2369,2418,2370,2159,2355,2179,2390,2111,2086,2187,2074,2346,2060,2076,2434,2296,2205,2319,2335,2102,2133,2219,2445,2377,2123,2214,2155,2290,2094,2201,2562,2327,2165,2325,2395,2118,2151,2629,2904,2778,2598,2650,2594,2714,2649,2656,2915,2790,2572,2726,2780,3865,2507,2499,2727,2662,2420,2587,2434,2576,2525,2440,2789,2561,2522,2259,2315,3203,2420,2331,2489,2484,2241,2359,2324,2407,2333,2336,2378,2413,2355,2646,2639,2453,2221,2262,2302,2400,2206,2238,2461,2318,2325,2287,2306,2399,2332,2532,2596,2514,2160,2345,2208,2200,2034,2098,2262,2208,2168,2118,2193,2299,2159,2300,2410,2343,2032,2221,2045,2107,1970,1911,2121,2076,2059,2084,2068,2141,2090,2405,2588,2152,1972,swaptions_IndirectBP
2840,2717,2517,2586,2548,2643,2559,2555,2620,2557,2631,2510,2877,3037,2583,2587,2517,2274,2376,2416,2351,2475,2327,2303,2525,2360,2513,2400,2573,2556,2326,2360,2560,2356,2511,2571,2386,2416,2489,2411,3104,2463,2578,2388,3190,2668,2448,2432,2605,2436,2470,2357,2422,2429,2501,2484,2564,2515,2527,2444,2836,2816,2377,2473,2534,2744,2605,2595,2602,2618,2730,2544,3347,2660,2643,2752,3996,2734,2515,2777,2330,2377,2370,2291,2281,2324,2379,2257,2381,2257,2394,2398,2651,2467,2291,2246,1907,1984,1999,1880,1906,1904,2121,1897,1853,2020,2042,2103,2432,2262,1947,2037,2177,2275,2254,2140,2263,2190,2464,2177,2188,2788,2333,2373,2397,2411,2171,2416,2107,2481,2227,2106,2132,2105,2220,2141,2148,2427,2196,2189,2305,2317,2057,2159,2177,2432,2351,2097,2276,2222,2322,2115,2171,2454,2375,2145,2339,2384,2129,2168,2565,2921,2780,2583,2666,2621,2720,2644,2630,2933,2755,2555,2773,2718,3919,2569,2467,2712,2628,2434,2600,2482,2552,2549,2521,2671,2524,2501,2298,2339,3155,2410,2313,2503,2479,2223,2263,2301,2326,2347,2307,2430,2406,2360,2638,2685,2492,2298,2292,2369,2397,2217,2217,2438,2335,2294,2283,2324,2435,2314,2490,2595,2517,2244,2357,2160,2207,2069,2085,2303,2186,2099,2160,2245,2300,2117,2375,2499,2233,2089,2234,2085,2085,1915,1915,2197,2044,1942,2061,2066,2156,2027,2377,2532,2050,2044,swaptions_IndirectBP
2861,2732,2470,2546,2639,2714,2569,2518,2719,2608,2588,2532,2905,3077,2597,2624,2575,2309,2386,2391,2357,2518,2398,2399,2565,2345,2493,2493,2576,2601,2299,2385,2555,2436,2473,2510,2431,2450,2429,2401,3020,2469,2523,2420,3294,2664,2411,2498,2603,2512,2454,2378,2347,2410,2540,2429,2557,2454,2507,2493,2842,2770,2365,2509,2720,2550,2647,2644,2568,2553,2666,2664,3381,2695,2719,2696,3903,2669,2419,2748,2267,2358,2302,2349,2322,2260,2423,2240,2368,2308,2371,2399,2649,2455,2236,2340,1918,2006,1949,1919,1935,1940,2120,1921,1881,2038,2046,2049,2381,2249,1959,2099,2245,2296,2306,2132,2313,2228,2501,2167,2181,2627,2310,2396,2412,2359,2125,2439,2061,2406,2163,2040,2240,2077,2357,2120,2080,2460,2230,2244,2388,2260,2054,2140,2177,2446,2354,2146,2258,2114,2288,2155,2183,2464,2342,2145,2322,2343,2135,2185,2586,2877,2746,2594,2745,2653,2710,2700,2617,2920,2779,2598,2725,2752,3858,2533,2488,2754,2669,2427,2551,2440,2547,2505,2472,2735,2529,2412,2290,2288,3347,2512,2290,2603,2459,2282,2347,2213,2414,2313,2326,2380,2414,2422,2679,2594,2516,2263,2265,2351,2346,2239,2271,2367,2342,2335,2274,2275,2463,2280,2527,2565,2509,2302,2369,2210,2218,2108,2147,2200,2174,2158,2192,2115,2304,2184,2317,2475,2208,2076,2136,2083,2054,1946,2020,2145,2033,1947,2075,2014,2128,2092,2403,2535,2030,2061,swaptions_IndirectBP
2834,2661,2505,2587,2549,2667,2603,2507,2627,2575,2623,2535,2879,3012,2570,2630,2578,2246,2342,2389,2391,2416,2403,2371,2535,2361,2474,2381,2485,2552,2396,2288,2559,2480,2493,2529,2421,2493,2528,2463,3228,2486,2590,2404,3190,2663,2433,2406,2612,2483,2461,2401,2370,2473,2597,2396,2530,2468,2562,2467,2863,2822,2313,2501,2639,2727,2678,2669,2490,2645,2782,2624,3281,2529,2677,2631,4052,2840,2570,2695,2354,2300,2304,2343,2249,2280,2439,2252,2426,2266,2330,2380,2601,2412,2310,2295,1972,1974,2007,1913,1893,1957,2125,1908,1971,2022,2102,2077,2449,2299,1916,2042,2146,2232,2279,2151,2240,2181,2645,2221,2152,2432,2279,2331,2387,2445,2149,2387,2119,2346,2245,2118,2166,2076,2383,2101,2153,2414,2260,2209,2382,2335,2049,2141,2148,2424,2326,2169,2235,2180,2322,2194,2200,2423,2360,2192,2260,2374,2174,2137,2567,2904,2798,2551,2720,2649,2744,2774,2599,2935,2829,2613,2688,2767,3807,2508,2461,2732,2621,2462,2579,2498,2630,2526,2508,2725,2598,2494,2292,2309,3347,2399,2390,2554,2449,2263,2389,2298,2423,2272,2354,2393,2429,2324,2547,2742,2390,2250,2347,2326,2456,2201,2266,2437,2377,2314,2268,2282,2359,2261,2549,2617,2394,2204,2394,2197,2238,2082,2099,2295,2258,2153,2172,2112,2327,2138,2342,2522,2244,2021,2187,2041,2057,1947,1973,2121,2135,2009,2068,2009,2141,2080,2467,2556,2090,1944,swaptions_IndirectBP
2817,2660,2519,2495,2546,2670,2490,2586,2658,2558,2638,2561,2810,2992,2575,2562,2500,2318,2371,2470,2335,2390,2323,2414,2654,2408,2428,2413,2505,2582,2386,2369,2502,2456,2503,2508,2438,2447,2469,2399,3180,2516,2577,2416,3310,2636,2340,2426,2619,2444,2412,2413,2400,2394,2532,2413,2525,2493,2586,2399,2774,2758,2353,2403,2547,2681,2599,2739,2530,2628,2706,2558,3320,2681,2642,2702,4162,2671,2507,2596,2313,2271,2262,2275,2250,2253,2346,2322,2360,2275,2327,2426,2668,2422,2318,2338,1924,1924,2006,1892,1846,1911,2096,1970,1837,2052,2046,2087,2413,2208,1931,2017,2195,2225,2264,2135,2269,2213,2461,2238,2235,2698,2343,2379,2349,2429,2238,2531,2117,2343,2197,2004,2208,2068,2321,2091,2128,2507,2273,2203,2288,2376,2209,2177,2124,2414,2295,2096,2270,2176,2313,2154,2198,2518,2377,2167,2356,2400,2172,2195,2520,2844,2756,2548,2653,2648,2752,2693,2636,2943,2812,2673,2707,2847,3827,2571,2445,2731,2700,2370,2587,2415,2563,2641,2423,2717,2628,2522,2250,2312,3224,2375,2317,2537,2466,2229,2307,2236,2393,2352,2342,2463,2409,2225,2592,2678,2435,2217,2203,2248,2378,2232,2236,2413,2321,2338,2262,2359,2448,2224,2556,2530,2462,2194,2350,2157,2208,2085,2069,2264,2164,2188,2108,2156,2333,2147,2312,2471,2161,2132,2170,2020,2052,1934,1980,2198,2021,2020,2047,2035,2147,2035,2341,2554,2140,2042,swaptions_IndirectBP
2860,2676,2482,2567,2496,2651,2494,2510,2694,2628,2583,2523,2910,3018,2615,2588,2566,2272,2318,2374,2241,2420,2419,2346,2558,2363,2504,2395,2517,2560,2374,2281,2555,2483,2474,2508,2366,2468,2491,2320,2996,2518,2567,2395,3368,2636,2380,2417,2657,2396,2478,2372,2356,2516,2563,2434,2562,2456,2465,2354,2848,2756,2394,2438,2688,2601,2514,2659,2598,2560,2699,2662,3431,2643,2640,2648,3958,2813,2498,2681,2312,2274,2301,2283,2264,2323,2309,2214,2376,2262,2330,2370,2660,2392,2223,2282,1936,1924,1959,1887,1909,1934,2102,1949,1895,1982,2015,2047,2438,2237,1894,1998,2209,2303,2257,2181,2207,2216,2520,2181,2232,2717,2266,2303,2407,2350,2146,2345,2135,2364,2232,2062,2062,2119,2343,2042,2188,2497,2320,2237,2252,2330,2094,2139,2187,2413,2348,2201,2248,2158,2330,2106,2201,2510,2346,2138,2391,2364,2120,2203,2599,2888,2758,2514,2652,2644,2705,2678,2617,2876,2780,2579,2718,2861,3875,2503,2442,2734,2655,2411,2559,2411,2557,2554,2511,2751,2552,2498,2241,2287,3314,2424,2336,2454,2494,2298,2335,2285,2414,2315,2381,2484,2482,2281,2593,2673,2449,2253,2317,2294,2307,2207,2193,2370,2314,2315,2247,2303,2421,2225,2530,2557,2484,2201,2287,2175,2199,2077,2044,2291,2145,2171,2129,2160,2292,2110,2356,2478,2273,2085,2234,2054,2104,1927,1978,2159,2048,2011,2097,2060,2174,2063,2434,2598,2064,1943,swaptions_IndirectBP
2861,2632,2504,2581,2522,2646,2483,2529,2677,2579,2568,2515,2903,2935,2621,2549,2592,2316,2301,2368,2288,2428,2425,2403,2527,2428,2469,2374,2528,2547,2323,2312,2520,2341,2481,2503,2360,2474,2449,2334,2683,2457,2594,2361,3199,2697,2443,2420,2638,2418,2488,2389,2406,2412,2600,2440,2579,2499,2532,2400,2860,2787,2433,2358,2579,2555,2607,2608,2508,2614,2614,2588,3428,2682,2622,2723,4147,2802,2427,2571,2277,2250,2229,2297,2269,2189,2384,2206,2409,2232,2357,2445,2632,2475,2252,2278,1924,1987,1984,1858,1931,1964,2151,1847,1898,1956,2019,2014,2456,2235,1880,2003,2203,2232,2250,2132,2240,2201,2527,2225,2167,2650,2300,2358,2378,2429,2175,2375,2195,2429,2226,2122,2150,2105,2345,2099,2102,2419,2252,2190,2351,2293,2107,2062,2194,2454,2299,2101,2268,2189,2290,2153,2185,2443,2354,2165,2343,2383,2141,2125,2591,2869,2740,2558,2663,2686,2768,2681,2632,2978,2789,2642,2730,2771,3975,2541,2492,2708,2607,2394,2539,2460,2538,2557,2466,2745,2527,2500,2255,2261,3351,2386,2296,2539,2419,2221,2401,2304,2404,2292,2484,2441,2387,2277,2635,2622,2390,2318,2253,2307,2364,2194,2221,2398,2310,2359,2261,2299,2408,2240,2526,2555,2469,2182,2311,2171,2207,2051,2087,2282,2171,2209,2219,2149,2310,2165,2355,2505,2248,2047,2126,2083,2091,1918,1921,2173,2085,1936,2008,2009,2141,2059,2439,2596,2111,2005,swaptions_IndirectBP
2838,2642,2484,2528,2575,2677,2507,2545,2661,2577,2616,2542,2828,3045,2606,2540,2554,2259,2340,2349,2265,2433,2392,2444,2579,2395,2512,2379,2548,2546,2309,2408,2563,2330,2533,2456,2372,2490,2477,2313,2951,2485,2581,2316,3201,2721,2457,2489,2619,2457,2472,2416,2412,2425,2564,2427,2516,2513,2593,2481,2848,2807,2418,2401,2451,2526,2737,2635,2526,2564,2743,2643,3310,2710,2588,2686,3944,2848,2546,2699,2277,2316,2312,2266,2258,2276,2382,2211,2398,2290,2345,2401,2590,2472,2276,2281,1938,1953,1964,1903,1891,1945,2066,1902,1833,1992,2074,2081,2386,2271,1823,2017,2215,2214,2272,2193,2230,2265,2603,2200,2200,2555,2311,2324,2404,2360,2131,2362,2142,2428,2144,2146,2153,2153,2317,2107,2105,2477,2236,2176,2383,2359,2024,2172,2130,2408,2310,2139,2221,2132,2315,2131,2175,2496,2405,2132,2331,2399,2134,2192,2558,2860,2758,2614,2746,2558,2728,2668,2652,2916,2808,2667,2659,2793,3902,2510,2474,2734,2602,2406,2563,2424,2563,2547,2499,2751,2682,2432,2337,2301,3466,2423,2254,2548,2418,2192,2323,2273,2371,2264,2418,2429,2380,2225,2654,2688,2547,2304,2370,2274,2348,2211,2191,2439,2311,2286,2228,2316,2486,2207,2554,2571,2498,2225,2367,2114,2207,2037,2102,2238,2140,2160,2184,2172,2305,2171,2301,2418,2324,2070,2164,2033,2059,1969,2002,2201,2048,1980,2077,2029,2158,2039,2409,2548,2103,1926,swaptions_IndirectBP
