Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.82608696,184
"Nu: 0.0001, Gamma: 0.0001",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,1,26,4,22.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,1,25,5,25.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,2,22,8,31.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,1,26,4,22.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,1,25,5,25.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,2,22,8,31.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,2,19,11,40,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,3,14,16,51.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,5,2,28,80,0,40,,,
