From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
23054,1628,763,822,905,819,721,754,764,754,762,732,949,787,4702,1016,86,321,83,53,134,56,58,48,46,45,45,40,182,85,3581,197,30,551,20,22,78,23,26,21,21,23,24,23,140,40,2781,128,40,477,23,23,66,26,25,27,21,24,25,24,134,46,2491,141,53,669,35,27,74,32,31,33,27,24,30,30,134,72,2563,184,58,709,27,30,76,29,31,28,28,32,29,30,118,53,2743,152,38,506,21,25,61,24,23,25,24,28,29,25,106,46,2233,107,31,402,20,23,59,21,26,19,21,23,26,26,112,46,2079,120,33,519,24,25,74,24,25,25,24,27,31,28,139,57,2105,133,39,370,25,27,62,28,27,25,29,26,27,28,143,54,2087,135,35,333,21,23,65,22,25,23,22,24,25,24,151,51,2375,135,34,325,15,14,62,18,15,15,15,14,18,19,111,45,2059,121,63,461,37,33,80,35,32,35,30,32,35,33,135,67,2283,347,44,337,25,28,83,29,26,27,26,29,31,27,130,60,2345,135,91,1472,81,61,139,82,41,35,28,32,45,35,175,83,2315,148,66,299,28,27,109,30,26,25,24,24,27,27,191,50,2921,166,vips_IndirectBP
205,79,13,47,70,59,21,25,24,31,6,28,39,62,8792,92,41,4,4,7,5,7,4,4,4,4,2,3,3,4,8455,7,14,3,0,1,3,3,0,0,1,1,0,0,1,3,8454,1,32,1,4,2,4,4,2,1,2,1,0,3,3,4,8446,3,41,5,2,2,5,2,1,1,3,3,4,4,6,5,8486,4,33,3,1,2,4,5,3,1,3,0,2,2,5,4,8532,3,22,2,1,1,5,2,0,2,2,1,1,1,1,3,8431,3,19,1,1,3,3,3,1,2,0,1,1,1,0,2,8596,2,18,1,1,4,3,2,1,0,0,0,2,1,1,1,8446,2,29,2,1,3,5,4,2,1,0,2,0,1,1,4,8463,2,12,3,1,2,5,3,1,0,1,2,0,2,1,2,8430,3,19,3,2,2,4,1,0,2,1,2,1,0,2,2,8768,3,30,2,1,2,6,4,2,1,1,0,1,2,2,1,8438,4,36,4,3,4,5,1,4,3,2,4,3,2,1,2,8439,4,39,1,3,3,3,2,3,2,4,4,3,4,5,2,8646,4,50,4,3,4,4,3,5,2,2,4,2,3,3,4,8507,8,vips_IndirectBP
22131,15611,15143,14802,14973,14792,14409,15376,14755,15186,14391,14396,15127,15491,15826,15749,8131,2281,1687,1478,1656,1383,1446,2213,1427,2331,1555,1522,2005,2632,2349,2490,8112,2238,1624,1469,1628,1541,1452,2168,1459,2266,1488,1525,2003,2249,2243,2312,8512,2435,1888,2691,1808,1822,2627,2290,2097,2414,1775,1938,2157,2500,2495,2504,8120,2235,1675,3551,1750,1476,3877,2110,2370,2223,1631,2027,2033,2305,2338,2317,8571,2368,1822,1925,1751,1537,3037,2191,2712,2355,1920,2226,2060,2425,2369,2390,8121,2403,1640,1869,1801,1538,2060,2227,1848,2402,1675,2169,2216,2440,2414,2452,8056,2242,1537,1417,1640,1400,1741,2073,1713,2228,1402,1783,2080,2349,2308,2332,8230,2434,1834,1728,2137,1666,2081,2304,1813,2488,1736,2123,2262,2512,2514,2543,7828,2366,1600,1453,1836,1407,1537,2088,1515,2309,1476,1733,2056,2401,2468,2399,7990,2324,1635,1482,1804,1763,1532,2172,1568,2366,1483,1654,2136,2401,2427,2453,7908,2376,1795,1432,1749,1380,1484,2155,1518,2324,1443,1506,2111,2366,2339,2427,8063,2329,1699,1455,1722,1433,1490,2293,1478,2326,1512,1737,2110,2358,2391,2408,8048,2450,1713,1409,1653,1419,1477,2256,1479,2320,1495,1584,2067,2318,2371,2500,8028,2291,1785,1408,1563,1367,1437,2262,1364,2360,1477,1496,2055,2310,2370,2382,8227,3033,1878,1530,1694,1435,1512,2258,1465,2359,1528,1596,2146,2529,2695,2559,vips_IndirectBP
25932,17141,19509,17787,17474,18038,17408,17131,17523,16214,17683,17311,17114,16910,16707,16870,10196,1995,2906,2647,2552,2770,2684,2250,2638,1512,3003,2664,2204,2071,1623,1767,9897,1914,3115,2614,2499,2612,2659,2207,2562,1500,2900,2554,2058,1831,1596,1744,10076,2024,3801,2685,2463,2695,2690,2248,2547,1499,2975,2613,1986,1887,1644,2164,9945,1932,2781,2560,2516,2598,2555,2170,2537,1530,2891,2513,2054,1825,1880,2028,10226,2026,3639,2691,2591,2686,2663,2340,2653,1634,3091,2644,2101,1971,1803,1802,9908,1977,1846,2924,2551,2703,2636,2307,2648,1623,3032,2591,2038,1822,1654,1678,10031,1945,1813,2596,2500,2643,2649,2281,2624,1484,3003,2640,2131,1861,1620,1722,10052,2085,2480,2684,2642,2705,2726,2365,2679,1593,3043,2693,2212,1932,1696,1779,9884,1914,2176,2626,2507,2680,2645,2207,2598,1452,2920,2555,2210,1764,1650,1994,9890,1956,2345,2662,2542,2878,2734,2226,2660,1555,3001,2633,2184,1836,1562,1680,9825,1917,3814,2617,2456,2629,2682,2207,2575,1435,2968,2550,2236,1740,1472,1615,10016,1950,3038,2589,2540,2632,2661,2238,2689,1504,2943,2620,2423,1840,1573,1676,10175,2168,3132,2653,2599,2738,2760,2288,2719,1576,3021,2691,2314,1963,1676,1798,10080,1906,3851,2540,2505,2598,2544,2130,2537,1452,2864,2544,2124,1799,1489,1660,10231,2016,3325,2654,2566,2726,2721,2261,2721,1559,3003,2692,2127,1929,1853,1752,vips_IndirectBP
22512,15780,17680,15364,15378,15154,14988,15710,14928,15389,14937,14757,15885,16110,16010,15821,8355,2069,2527,1566,1866,1405,1595,2065,1563,2098,1547,1549,2236,2301,2224,2097,8273,2008,2792,1480,1838,1445,1579,1975,1528,2066,1525,1569,2241,2049,2114,1998,8537,2124,3532,1608,1884,1572,1887,2082,1774,2137,1646,1691,2376,2176,2248,2147,8353,2256,3004,1575,1879,1499,1629,2004,1524,2030,1565,1579,2340,2025,2283,2093,8446,2205,3666,1558,1829,1496,1648,2295,1787,2125,1691,1572,2408,2079,2256,2095,8194,2280,1804,1662,1804,1543,1510,3333,1621,2017,1585,1714,2442,1937,2155,2033,8308,2461,1751,1496,1706,1486,1488,3595,1490,2027,1913,1526,2280,2072,2189,2100,8381,2601,2401,1728,1894,1793,1734,2479,1545,2192,2126,1596,2414,2212,2272,2174,8079,2669,2164,1538,1702,1482,1447,1996,1454,2038,2029,1512,2304,2207,2204,2097,8137,2960,2255,1596,1881,1569,1550,2067,1570,2109,2092,1556,2299,2400,2335,2146,8251,2261,3451,1493,1802,1445,1481,2017,1482,2023,2010,1504,2310,2339,2138,2091,8347,2158,2908,1670,1881,1616,1639,2077,1639,2137,2111,1657,2329,2505,2290,2205,8420,2045,2773,1639,1849,1690,1597,2055,1606,2101,1901,1637,2260,2447,2251,2087,8271,2187,3413,1561,1875,1513,1572,2046,1539,2038,1569,1617,2272,2297,2217,2085,8473,2160,3086,1789,1985,1586,1747,2175,1612,2447,1610,1676,2379,2480,2753,2214,vips_IndirectBP
25926,17708,17218,17485,17222,17648,17403,17423,17251,17234,17308,17117,17344,17416,18016,17850,10265,2527,2372,2506,2331,2491,2596,2544,2453,2930,2497,2513,2382,2449,3048,2779,9807,2419,2165,2323,2316,2335,2454,2350,2235,2364,2283,2305,2189,2376,2659,2464,10014,2439,2186,2331,2156,2380,2519,2440,2424,2331,2314,2339,2165,2330,2620,2440,9883,2452,2157,2283,2152,2330,2388,2428,2250,2368,2268,2294,2110,2353,2644,2434,10117,2499,2168,2356,2163,2386,2495,2552,2435,2481,2368,2338,2094,2375,2681,2427,9893,2397,2109,2423,2177,2324,2375,2472,2361,2364,2257,2446,2036,2365,2654,2388,9957,2437,2212,2334,2179,2362,2423,2454,2398,2378,2333,2368,2059,2368,2698,2512,9963,2532,2250,2407,2261,2444,2556,2470,2393,2376,2361,2423,2111,2419,2691,2476,10000,2934,2320,2499,2294,2523,2574,2560,2454,2485,2478,2501,2216,2471,2819,3202,9848,2433,2293,2364,2198,2387,2554,2479,2365,2458,2351,2353,2108,2371,2645,2499,9870,2396,2157,2321,2160,2354,2783,2460,2349,2394,2282,2314,2039,2265,2615,2430,9981,2423,2241,2310,2229,2319,2427,2542,2336,2364,2335,2355,2174,2384,2600,2418,9983,2497,2182,2269,2178,2365,2434,2479,2338,2345,2303,2348,2272,2321,2607,2483,10212,2949,2334,2493,2355,2485,2620,2529,2507,2635,2465,2494,2412,2488,2808,2868,10391,2842,2442,2534,2416,2626,2669,2727,2620,3331,2591,2616,2502,2573,3696,2863,vips_IndirectBP
21162,14589,14172,14347,14299,14483,14134,14569,13987,14410,13875,13670,14369,14645,14628,14503,7950,1959,1614,1712,1764,1849,1817,2122,1665,2103,1611,1585,1976,2255,2202,1993,7835,1840,1552,1529,1644,1800,1635,2003,1659,1934,1724,1485,1903,1876,2014,1887,8242,2189,1666,1715,1691,2229,1752,2179,1975,1993,2260,1626,1964,1987,3658,2334,8153,2610,1757,1605,1646,2458,1636,2149,1694,1888,2291,1583,1959,1962,3656,2363,8106,2722,1829,1769,1746,2483,1713,2490,1978,2098,1878,1766,2027,2192,2238,2642,7942,2545,1650,1734,1764,2081,1696,2240,1804,1993,1612,1641,1989,2074,1973,2330,7980,2470,1677,1636,1705,1827,1656,2112,1664,2054,1666,1701,1986,1935,1945,2036,8077,2583,1797,2128,1790,2141,1818,2076,1730,2164,1738,1852,2064,2083,2017,2113,7765,2321,1646,1791,1677,1810,1797,2082,1666,2091,1726,1774,2048,2147,2022,2244,7712,1971,1600,1633,1615,1769,1695,2003,1629,2081,1601,1583,2000,2081,1918,2079,7699,1892,1567,1623,1618,1772,1858,1968,1582,2045,1589,1506,1935,1876,1801,2020,7800,1938,1665,1647,1658,1828,1854,2031,1660,2148,1640,1651,1974,1948,1944,2267,7952,1945,1676,1672,1681,1895,1842,2089,1698,2433,1690,1633,2062,1935,2032,2231,7806,2076,1624,1598,1647,1781,1736,2073,1577,2375,1583,1508,1913,1981,1936,2053,7987,2073,1734,1723,1778,1902,2070,2304,1708,2742,1779,1676,2086,2099,2267,2029,vips_IndirectBP
25932,18037,17923,17508,17296,17557,17428,17590,17564,17378,17968,17188,17730,17453,18040,17796,9953,2522,2487,2320,2077,2292,2268,2270,2385,2334,2617,2298,2377,2400,2878,2332,9695,2465,2422,2237,1973,2212,2211,2198,2266,2201,2779,2205,2287,2276,2526,2193,9731,2523,2403,2258,1958,2466,2244,2240,2363,2183,2570,2183,2310,2233,2555,2153,9887,2486,2403,2226,1978,2163,2214,2255,2261,2139,2571,2173,2281,2228,2570,2224,9817,2615,2406,2320,2007,2277,2250,2336,2335,2203,2657,2375,2426,2259,2593,2217,9871,2500,2337,2256,2025,2210,2193,2308,2332,2176,2559,2429,2518,2215,2562,2183,9776,2576,2386,2250,1947,2244,2275,2298,2350,2245,2604,2223,2497,2270,2609,2245,9804,2576,2550,2466,2037,2332,2348,2242,2366,2279,2724,2294,2570,2305,2663,2238,9755,2592,2433,2297,2022,2258,2268,2242,2371,2276,2603,2319,2470,2455,2703,2561,9671,2518,2523,2245,2010,2241,2241,2229,2326,2234,2596,2249,2415,2217,2591,2250,9565,2512,2345,2242,1917,2331,2202,2244,2324,2220,2494,2184,2309,2228,2501,2211,9792,2553,2564,2217,2000,2278,2304,2246,2404,2277,2701,2262,2412,2282,2610,2206,9777,2640,2402,2244,2047,2235,2250,2264,2359,2414,2656,2248,2460,2302,2709,2441,9850,2757,2444,2251,2109,2245,2260,2251,2378,2241,2695,2299,2462,2357,2605,2199,9937,2705,2575,2299,2091,2297,2330,2367,2427,2669,2762,2315,2437,2548,2793,2341,vips_IndirectBP
21416,14249,13869,14333,14486,14611,14521,14240,14008,13532,13633,14291,14035,14243,14900,13943,8570,1844,1653,2105,2163,2204,2365,2225,2027,1521,1706,2295,1904,1984,2135,1520,8452,1873,1604,2025,2137,2100,2370,2004,2059,1503,1724,2210,1853,1917,2082,1431,8627,1931,1656,2157,2341,2299,2714,2104,2127,1559,1761,2330,1935,1991,2073,1496,8852,1918,2019,2122,2429,2230,3337,2043,2140,1562,2223,2347,2302,1984,2181,1522,8830,1921,2238,2153,2455,2282,2925,2079,2206,1550,2403,2582,2662,1984,2173,1570,8829,2006,1845,2157,2388,2435,2573,2011,2189,1558,1850,2543,2318,1894,2071,1457,8453,1866,1649,1946,2199,2202,2441,1917,1991,1411,1718,2295,1887,1803,2124,1440,8581,2036,1759,2197,2396,2340,2556,2039,2096,1558,1809,2357,2035,1976,2142,1598,8350,2006,1656,1936,2220,2150,2392,1923,1937,1466,1694,2296,1908,1920,2162,1839,8374,2009,1642,1932,2316,2285,2321,1913,1913,1498,1680,2373,1887,1832,2326,1549,8493,2189,1669,2052,2313,2502,2561,2068,2003,1619,1720,2574,1908,1895,2405,1659,8412,2353,1715,2043,2191,2499,2373,1986,2119,1622,1733,2716,2003,1979,2465,1723,8513,2688,1665,2058,2214,2445,2381,2094,2163,1797,1723,2675,1955,2096,2500,1652,8548,2417,1649,2084,2177,2344,2354,2097,2052,1640,1687,2719,1931,2143,2273,1536,8754,2257,1724,2074,2287,2337,2541,2099,2092,1761,1708,2687,1942,2165,2635,1561,vips_IndirectBP
26816,16662,16754,17276,17352,17687,17554,16463,17116,16979,16582,17359,16975,16787,16787,17184,10318,1649,1850,2426,2513,2526,2641,2064,2258,2414,1965,2637,1994,1935,1842,2184,10423,1668,1837,2391,2477,2576,2563,1704,2185,2358,1926,2484,1982,1886,1754,2217,11851,1836,1893,2482,2543,3004,3555,1798,2484,2428,1957,2698,2069,1984,1814,2254,12169,1924,1902,2421,2568,2565,4495,1839,2245,2407,2036,2836,2078,2041,1950,2258,10772,1793,1957,2901,2599,2543,3327,1888,2357,2459,2055,2867,2093,2127,2041,2330,9328,1777,1913,2514,2736,2594,2569,1757,2259,2417,2019,2654,2032,2559,2067,2271,9105,1994,1871,2462,2582,2492,2536,1649,2247,2440,1941,2558,2017,2555,2081,2226,9873,1831,1969,3046,3135,2702,2703,1848,2367,2491,2067,2701,2145,2222,1977,2359,9673,1752,1879,2486,3327,2547,2667,1713,2279,2379,2022,2659,2087,2021,1838,2587,9629,1629,1811,2381,2561,2500,2507,1657,2224,2373,1946,2590,1980,1945,1835,2205,10752,1675,1848,2486,2544,2517,3147,1746,2250,2354,1949,2610,2053,1934,1898,2249,10538,1736,1915,2451,2535,2600,2598,1772,2286,2417,2014,2666,2061,1899,1850,2250,10131,1768,1895,2411,2485,2552,2658,1773,2267,2357,2013,2696,2098,1912,2120,2283,10815,1621,1879,2441,2529,2509,2606,1673,2297,2376,1973,2616,2042,2267,1779,2217,10418,1751,1887,2537,2611,2676,2748,1725,2352,2615,2025,2677,2134,2025,1950,2245,vips_IndirectBP
